miliseconds,O,I1,I2,c,T
0,-1.3731826630135307e-06,2.1034401942412923e-07,1.0005999507506937,-0.00042242958635033145,-0.019245661496948733
100,1.1396808235756627e-06,2.632339946342002e-07,0.9986124102831249,0.0038078800790505756,0.13434559234116722
200,-1.6225473582527597e-06,1.2008520497159267e-07,0.9953079098900727,0.003871951978999067,0.24272896646808576
300,3.2093975548390354e-07,2.099577280331931e-07,0.9933417445022648,0.006045891325229433,0.29356370771086016
400,4.5720568390323524e-07,-3.310399352274234e-07,0.9930294257348647,0.010534960650126896,0.36353062373449346
500,4.944817041782806e-07,-3.823083393181082e-07,0.9896079383635934,0.011552823936853317,0.49187985417868757
600,1.579131924843477e-06,2.7853052310911535e-07,0.9890501081498791,0.016372328438577333,0.6173753957082845
700,4.799385180036413e-07,1.3228255352085841e-07,0.9864398578169641,0.015976139646286188,0.7421271226282866
800,-1.6189429606243696e-06,1.6709413694640576e-07,0.9845402046806735,0.021024494387667587,0.7672975542314064
900,1.0651747382645288e-06,-2.0836839542099685e-07,0.9835329204560885,0.02322330005782274,0.9166284118901897
1000,4.202460341249283e-07,-1.377487662714322e-07,0.9800461203137956,0.02639222677943743,1.0680228563271619
1100,8.453310956285823e-07,-1.9610803468836084e-08,0.9774703424763528,0.027148084782340952,1.0971346526676555
1200,-6.952570031716183e-07,3.72495069627783e-07,0.9748809090192908,0.02827436924279072,1.269485047939341
1300,1.6152181198084703e-06,1.708167911483806e-07,0.973822163435363,0.033477986919936926,1.3711187200667003
1400,-4.770860231850699e-07,2.10624125058686e-08,0.9737878003503208,0.03351417007134379,1.3960765471262744
1500,-1.3154030120033793e-06,1.9479369694315377e-07,0.9690844916582322,0.037400540205514636,1.5287333236263814
1600,-1.0753007374107213e-06,-3.9602351393568983e-07,0.9682760156651948,0.040821012334906794,1.6450405935051566
1700,-4.2693852965985147e-07,3.41623046186512e-08,0.9679141017501685,0.04201248967077277,1.7700000583783777
1800,-2.2880055106080788e-07,-1.573998127558852e-07,0.963750726631217,0.044831776435550474,1.7532571831333534
1900,-4.47881078754105e-07,-2.2388018271107483e-07,0.9615168604998032,0.04628940294309311,1.9071032837401087
2000,3.391368210007364e-08,1.3429493911931662e-07,0.9601342421468465,0.04980009732937909,1.9910713799018973
2100,1.8930411953407137e-06,1.9254091436282358e-07,0.9598889580213004,0.050430419914170105,2.047985399920956
2200,2.5186165550902496e-06,-1.46362953190085e-07,0.9560265138851411,0.05470366828688623,2.261467685707862
2300,2.124600402561709e-06,5.937509863477795e-07,0.9558831173676148,0.05747958425712803,2.2635501043293242
2400,1.6663756873846468e-06,2.924218921965329e-07,0.9543077952765264,0.05788396093084403,2.35077692730023
2500,3.844265246658169e-06,3.433658596660017e-07,0.9498794927521796,0.05939951784698352,2.54988043527444
2600,3.021291899038842e-06,9.670687620011911e-07,0.9506468732576087,0.06351901317865606,2.635548215178225
2700,5.850052820520676e-06,8.212821842456282e-07,0.9467049450253757,0.06374583224047954,2.7225890973962583
2800,5.598122047626008e-06,6.8480142865697e-07,0.9468925440635684,0.06867783697781446,2.762046645434556
2900,9.017306784761318e-06,1.1756038307205749e-06,0.9449554381816261,0.07026643370090986,2.860162338993693
3000,8.056347753208634e-06,2.051870830812147e-06,0.9421879890890306,0.0712843772992826,3.0199786582492014
3100,1.1836226101057922e-05,2.0800284745166818e-06,0.9396728960553219,0.07240421853498553,3.07959064200947
3200,1.2263862045497466e-05,2.387091554618603e-06,0.9390903602947879,0.0772444801257727,3.181251509949669
3300,1.4944556384824004e-05,3.1395843248882325e-06,0.9357020430578942,0.07690638648316511,3.3600508076988502
3400,1.9447727731054212e-05,3.980077488569505e-06,0.9337586229123888,0.08021680638066236,3.3364625729087742
3500,2.2578263898695583e-05,4.264158067005846e-06,0.933283902846868,0.08337921212388738,3.524618725372004
3600,2.5131432516645776e-05,4.981902738686407e-06,0.9302569984572976,0.08317604339504268,3.5292116482710085
3700,2.7470819863382357e-05,6.3378208962083406e-06,0.9287425921023031,0.08662978770640424,3.701491886830727
3800,3.2439858441345554e-05,7.892217595959197e-06,0.9274748717057968,0.08899150175914466,3.790696297419527
3900,3.668650586618603e-05,8.805529979958404e-06,0.9257529005836317,0.09122407217631767,3.9331872819144835
4000,4.085472744115953e-05,1.0381826934553301e-05,0.9230336493312672,0.09324694667896864,3.954707229186192
4100,4.788442754566634e-05,1.1881323385299503e-05,0.9211493591530053,0.09468331389042549,4.086410588372421
4200,5.437014699353628e-05,1.3702661572350047e-05,0.9185185311279969,0.09585821019831481,4.256204122645326
4300,5.7839067593862554e-05,1.5251329970479499e-05,0.9168647598534011,0.09763545490874066,4.249268897281681
4400,6.667265206759777e-05,1.7462754657361002e-05,0.9168375028962569,0.09838690927204685,4.434306657495035
4500,7.384782940189902e-05,1.9966763875331128e-05,0.9126208629726559,0.10240692730157257,4.498225266123903
4600,8.181896443873227e-05,2.3594871542110503e-05,0.9108410852368466,0.1016417993207662,4.649194388066099
4700,9.22934795737589e-05,2.6630477883593622e-05,0.9098882925978484,0.10399903230947949,4.7606046039461365
4800,0.00010248941014659907,2.9441898365383818e-05,0.9079166863794361,0.105544133446764,4.743161538960274
4900,0.00011219822645343655,3.268333425582673e-05,0.9068981160777179,0.10811654223079467,4.847418768386969
5000,0.00012391546412372588,3.736734578661202e-05,0.905252197662756,0.10923743169761976,5.020180531614023
