milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p21,p21_mRNA,p21step1,p21step2,p53_P,Mdm2_P,p21_basal,p38,p38_P,GADD45,IR,damDNA,ROS,basalROS
0,5.007433548142874,4.996421951340611,95.00150371021084,9.999935826489585,10.0,1.5324890089192194e-11,200.00000000000463,4.230637277604661e-15,0.9999970404032311,4.7271947351096335e-05,5.7386537101071435e-09,-1.80224424851286e-13,-3.729035670665695e-11,7.0,100.0,1.1538478428188542e-18,2.24894761521113e-19,0.0,7.723009432410795e-10,-1.666070407967316e-23,10.0
100,5.006321899202215,5.007474218204621,94.98816988614514,10.000005712845985,10.0,-3.7308700491224885e-12,200.0000000000076,2.1664274135568574e-14,0.999997331159999,-1.3730098243077436e-05,1.6511959275624128e-09,1.4648074554753266e-13,-9.827978824735958e-11,7.0,100.0,1.2148099550432958e-18,-1.3520670496291006e-18,0.0,-1.4816053894360884e-11,-2.538076825748489e-22,10.0
200,5.015191501484014,5.006196233757515,94.9848373085506,9.999972850354787,10.0,1.1378570547469954e-11,199.99999999999608,-5.920678506050439e-14,0.9999925270671455,3.053222233879813e-05,5.592474448783838e-09,5.99704611377326e-14,9.627890654448654e-11,7.0,100.0,5.34101049053144e-19,-8.442823100318002e-19,0.0,3.201464132109157e-09,-5.007167301525658e-22,10.0
300,5.014161300798334,5.009938567648501,94.98862027577277,9.999891886119759,10.0,1.4896689669037337e-11,199.99999999998633,-1.335554999117578e-13,0.9999898876156853,0.00017490134104387043,2.372110378452336e-09,-9.810589155603406e-14,-1.6653506298394888e-12,7.0,100.0,7.159557377562992e-19,-1.479614000460748e-18,0.0,3.724727137302316e-09,-1.0520596356276499e-22,10.0
400,5.021464973561882,5.009819748812004,94.97965157097454,9.999766113326984,10.0,7.823834986685863e-13,199.99999999999818,3.767336608744289e-13,0.9999911518356339,0.00018534170152142434,5.146583100903027e-09,1.8767153541740784e-13,6.155376057322857e-11,7.0,100.0,2.489421781382143e-20,1.416819950563764e-19,0.0,4.012681684067287e-09,4.463431386401039e-22,10.0
500,5.025099997648861,5.011694580878083,94.97226575636309,9.999704114085745,10.0,1.9230417390166305e-11,200.0000000000035,2.723081351360312e-13,0.9999886664284559,0.00024436384938278193,4.8202271803213384e-09,3.3645154270838733e-13,-1.3111970168844206e-10,7.0,100.0,1.7135987734308083e-19,-6.27051361990642e-19,0.0,6.335036097181956e-09,2.6555422914543986e-22,10.0
600,5.033430514004616,5.022663456894609,94.96496675493565,9.99975906491961,10.0,1.542207585728952e-11,199.9999999999777,2.845815741061576e-13,0.9999889292755706,0.0002604751017280641,4.870352280551211e-09,-1.357395690957331e-13,-1.2992412924448044e-10,7.0,100.0,5.982418943487833e-19,1.8348010050015287e-18,0.0,7.216746651236698e-09,1.1265756626409065e-22,10.0
700,5.0341594783791495,5.022186320936376,94.96930967324539,9.999695043683193,10.0,1.521130127025163e-11,199.99999999998113,1.6798429500002262e-13,0.9999842741334187,0.0003335139940474722,2.3000994938945896e-09,1.7486913773927449e-13,-1.1829148261905052e-10,7.0,100.0,-1.1620283656235167e-18,-1.3416915229803277e-18,0.0,5.541103788887704e-09,-3.611359970810399e-22,10.0
800,5.044335917276521,5.024671209742185,94.95990741766668,9.999643514290607,10.0,1.2960947216231875e-11,199.9999999999729,-1.9805133492985438e-15,0.9999805052697642,0.000273689180122906,9.461546413409623e-09,1.0035683635849465e-13,-4.215872713038839e-11,7.0,100.0,-9.596603213482453e-19,-9.969895012310297e-19,0.0,8.666919685856909e-09,1.367400371614598e-22,10.0
900,5.0400807929917555,5.030253917662989,94.9525351618619,9.999608209405677,10.0,8.443263042723544e-12,199.99999999997237,-5.043970169748396e-14,0.9999790619064781,0.00041886658677353346,1.2612159606309263e-08,1.0402198141616015e-13,-5.895096462941091e-13,7.0,100.0,6.227931446344968e-19,1.907739865850328e-18,0.0,8.530801827141728e-09,-4.944993146779395e-22,10.0
1000,5.049684116157781,5.03469045092625,94.95725437352469,9.999438109238117,10.0,1.8230119223260046e-11,199.99999999998857,4.868399900035343e-14,0.9999789387585927,0.00040534970914907545,1.1046675684048453e-08,4.176292669880979e-13,-1.4018448323981058e-11,7.0,100.0,5.24160143621567e-19,-2.4086071433520867e-19,0.0,9.790873312441085e-09,-3.768329861252464e-22,10.0
1100,5.0585020373800225,5.035541286298547,94.95127340827857,9.999419692313802,10.0,1.3092241434863037e-11,199.99999999996322,-1.5998387625768218e-13,0.9999756736272711,0.0004815625451176969,5.80104877097831e-09,1.8121110043255924e-13,1.7078926120073724e-10,7.0,100.0,6.365007136042225e-19,-8.029173229496902e-19,0.0,1.0949943082277929e-08,1.9694086653254897e-22,10.0
1200,5.069967359657315,5.032786670033414,94.94131653571341,9.999416178112842,10.0,1.8639501823559503e-11,199.99999999997817,1.7465390736857977e-13,0.9999741396832535,0.0005262415434070475,1.5617184581457657e-08,-8.761166640601064e-14,3.790171975596727e-12,7.0,100.0,8.117963657793021e-20,2.08209927587777e-18,0.0,1.344407555460021e-08,-3.9292865409408823e-22,10.0
1300,5.065443492299387,5.0364188864394395,94.93831042095738,9.99936465827672,10.0,2.955164728802456e-11,199.99999999996692,4.026630167852296e-13,0.9999657032416043,0.0005618685087027186,1.3712961242063295e-08,2.0600597563295849e-13,1.913425154489235e-10,7.0,100.0,2.0338608265005623e-19,1.7507819397435934e-18,0.0,1.1741440351106339e-08,-2.5653366029253796e-22,10.0
1400,5.074434201369113,5.04740303811353,94.93635840472969,9.999258967773006,10.0,3.491528367385118e-11,199.99999999997493,6.710762569738634e-13,0.9999691735806667,0.0005679527195414635,1.762221051028125e-08,6.546152414412568e-13,1.9786420112071994e-10,7.0,100.0,1.1620837404646636e-20,-7.161795876308067e-19,0.0,1.4746537724073548e-08,3.2288581415576677e-22,10.0
1500,5.07771064692649,5.046984279225118,94.92327395516193,9.99932629654928,10.0,4.705417671298897e-11,199.99999999993972,6.207479499976894e-13,0.9999646255911768,0.0006287635629135944,2.2025261443516252e-08,3.619014601736952e-13,3.2191158862287366e-10,7.0,100.0,-4.618893166501769e-19,-1.1022976218519187e-18,0.0,1.3925494550108708e-08,-4.0156818879809503e-22,10.0
1600,5.088909351232014,5.044958082621538,94.91780575897164,9.999162144875271,10.0,5.179516927878781e-11,199.99999999994873,6.236203992627246e-13,0.999961260970582,0.0006422606816919791,2.1450466836327456e-08,1.0325769053688746e-12,2.575311427123359e-10,7.0,100.0,6.124070410649407e-19,1.763656788263474e-18,0.0,1.7238452148342154e-08,1.1499036293840019e-22,10.0
