milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p21,p21_mRNA,p21step1,p21step2,p53_P,Mdm2_P,p21_basal,p38,p38_P,GADD45,IR,damDNA,ROS,basalROS
0,4.994771483706191,4.999525767301622,94.9983330424438,10.000055047249054,10.0,-1.0284834538461725e-11,200.0000000000111,-1.7456941604286517e-13,0.9999975388437494,2.9175564995703805e-05,5.795602030360485e-10,-1.9289273828845003e-13,-8.577455865669694e-11,7.0,100.0,1.067481577155348e-18,-1.5672273783579703e-18,0.0,3.8471801979106003e-10,4.0249136885078386e-22,10.0
100,5.010436555966128,5.00037289841329,95.00188423359602,9.999926021649019,10.0,1.5590633513464557e-12,199.9999999999971,-2.883436367703537e-13,0.999996261337117,-1.228655527970416e-06,-3.873355609015972e-09,6.20736096793398e-14,6.55992325186359e-11,7.0,100.0,-1.0809838027918064e-18,-1.026120239998915e-18,0.0,2.461207331218681e-09,1.4152584802593047e-22,10.0
200,5.011794882687847,5.005743090800841,94.99203099224738,9.999873341631435,10.0,-6.4712399092992676e-12,199.99999999998914,9.506089088741533e-14,0.9999932948453529,3.686085175695189e-05,3.4363082201744845e-10,1.7893528423641753e-13,-1.3913518338716955e-10,7.0,100.0,-1.1900053027714024e-18,1.0294263886532403e-18,0.0,2.6451537957349663e-09,4.870835801579628e-22,10.0
300,5.021788162349583,5.0097749802836695,94.98751446253225,9.999819618267198,10.0,2.0820936060430747e-12,200.00000000000298,1.7082377475413137e-13,0.9999898086409001,6.634740010570027e-05,-4.1682579627879e-09,2.4450651708876217e-13,1.3647054318458492e-10,7.0,100.0,1.2180126560196808e-19,8.439377535814509e-19,0.0,3.879558464823414e-09,4.757570382889794e-22,10.0
400,5.014108105842747,5.011603701953956,94.97539780038763,9.99981732371969,10.0,3.1732896800830535e-12,200.00000000000995,1.3461667781946695e-14,0.9999875314671572,0.00016723117822520545,1.0303528495066427e-09,-1.6146822910106212e-13,4.1046023886549325e-11,7.0,100.0,-5.4437381481881305e-19,-9.850926165497023e-19,0.0,3.764535954813293e-09,5.452147749842475e-23,10.0
500,5.032742885913193,5.014265245732907,94.98077869904627,9.999734751092998,10.0,8.177085173829613e-12,199.99999999999764,1.7783768759750612e-13,0.9999858006702652,0.00019230566457305233,6.810063775574985e-10,-3.251298159519766e-13,-7.699678034005758e-11,7.0,100.0,-7.707751191916505e-19,-1.6861367396653324e-18,0.0,4.06377476833638e-09,-3.613686892355052e-22,10.0
600,5.032380788113024,5.020470227843976,94.97543102346647,9.99973304833128,10.0,-8.878445756036756e-13,199.99999999999312,-1.5264247510958228e-13,0.9999839773130355,0.00019769413186178863,3.730337344549753e-09,-3.709764041571275e-13,5.1819283603680846e-11,7.0,100.0,8.267620741526732e-19,-7.013267011090958e-19,0.0,4.759042892406439e-09,-2.684407436490985e-22,10.0
700,5.0291730293080406,5.017995271957304,94.96915630416457,9.99970617193681,10.0,4.607232117081809e-13,200.00000000000122,-1.6260061546947042e-13,0.999983865706655,0.00032046327044987663,7.473597859946362e-09,2.943014161473561e-14,1.3922386712138165e-10,7.0,100.0,-7.74092016626646e-19,1.1922932611118718e-18,0.0,6.855780463229637e-09,4.58479337337978e-22,10.0
800,5.043098567006472,5.021970498663907,94.95338686762348,9.999537884087152,10.0,1.5007205696092355e-11,199.99999999999196,2.8757038777388743e-13,0.9999807064437602,0.0003050040596343167,1.0281665103405617e-08,5.426148257721781e-13,-2.650317607816132e-11,7.0,100.0,-5.498614585604151e-19,-1.3467414279899009e-19,0.0,9.314356981221784e-09,-4.371036328681846e-22,10.0
900,5.0533164850894146,5.028861541075787,94.96208582169844,9.999507217702051,10.0,1.2916018503789416e-11,199.99999999998664,3.968219819027346e-13,0.9999791232998092,0.0003866335150675707,8.05508462442136e-09,-1.7858213486360573e-13,1.4249836993646612e-10,7.0,100.0,-1.3327913815761384e-18,-1.6143949235543075e-18,0.0,7.826895325428165e-09,-4.2238160760375344e-23,10.0
