milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p21,p21_mRNA,p21step1,p21step2,p53_P,Mdm2_P,p21_basal,p38,p38_P,GADD45,IR,damDNA,ROS,basalROS
0,5.000546617689795,4.998067311412021,95.00489619968535,10.000022215639362,10.0,5.737803056473742e-12,199.99999999998502,-1.0739723095118766e-13,1.0000012154838316,-2.308637833155993e-05,8.954763969855192e-10,9.421133220647225e-14,-4.5360908809085325e-11,7.0,100.0,-1.1563303641733191e-18,-1.5287420639512695e-18,0.0,-1.34343133550893e-09,2.4039425108678566e-22,10.0
100,5.011908478733339,5.006597551724595,94.99224367307245,9.999967721092956,10.0,-1.4170870368245982e-12,200.00000000000188,-1.990330546449694e-13,1.0000002891470317,3.9077413893918865e-05,1.6650125016138225e-09,6.060936163039324e-14,-2.9905831838182173e-11,7.0,100.0,1.3279360396988088e-18,-9.753228069463378e-19,0.0,1.2102465460689614e-09,4.1404249749778054e-22,10.0
200,5.005871944397519,5.009490569913705,94.99254157255662,9.999882669179778,10.0,-4.5099041775203866e-12,199.99999999999318,3.5950665206964627e-13,0.999995064081504,0.00012750597635954294,5.397246654422178e-09,-8.482955996728632e-14,1.7952158541409452e-11,7.0,100.0,4.0800884434278316e-19,7.704784391352824e-19,0.0,1.4767649071948944e-09,-4.661014653793398e-22,10.0
300,5.0202553439985245,5.0090843945509995,94.98043972423821,9.999808116407616,10.0,1.1860795642046227e-11,199.99999999998897,3.201079281453692e-14,0.9999955475942062,0.00013978044470161214,3.3833937746517597e-09,-1.931325510429686e-13,1.4038951347157788e-10,7.0,100.0,8.817745548307224e-20,-2.297116436230281e-19,0.0,2.9236064297783524e-09,-1.9879662665448787e-22,10.0
400,5.0219184566424,5.011996462752281,94.98413833640305,9.999734157334153,10.0,1.293732353818208e-11,199.9999999999873,1.7142506249665698e-13,0.9999912308785169,0.00016202349447516125,-3.900748705624918e-09,2.9962777190544486e-13,3.715728439852211e-11,7.0,100.0,1.2801745681412323e-18,5.236083383994401e-19,0.0,2.7713514934164373e-09,2.522309441360599e-22,10.0
500,5.026161036319178,5.011821619635628,94.97738505587283,9.999784179021619,10.0,1.9748032473933782e-11,199.9999999999838,-9.44359410951234e-14,0.9999892074294531,0.00023557701097968808,2.882947291745271e-09,-3.3591174672292673e-13,-4.305485224553104e-12,7.0,100.0,3.781665122938986e-19,-1.0806412174293797e-18,0.0,5.725638450449998e-09,-4.3384517115941904e-23,10.0
600,5.030144600080578,5.018371700522642,94.97359836402454,9.999684537929602,10.0,2.203639470113084e-11,199.99999999998855,9.788095859758573e-14,0.9999840265325641,0.00025935236991291407,8.291477197998203e-09,3.022382505402932e-13,-3.578184612446634e-11,7.0,100.0,3.5915694863170137e-19,-1.2349931816516806e-18,0.0,6.255325651547945e-09,-3.1117598374161906e-22,10.0
700,5.037968641675207,5.025967762102002,94.95838005101682,9.999604461475725,10.0,1.5537221525231006e-11,199.999999999975,2.8839983734972815e-13,0.9999844033529357,0.0002822670927605418,9.452866826173789e-09,2.0173170745036343e-13,-1.1905869529615039e-10,7.0,100.0,-4.07536528250683e-19,-1.1478517686155877e-18,0.0,6.614288559567064e-09,2.5977833609959934e-22,10.0
800,5.036550168710766,5.027123854836679,94.95955020670783,9.999647947232988,10.0,2.6004441268333228e-11,199.99999999997962,-1.0549197820725855e-13,0.9999787817197049,0.00028564512439053477,9.847887537244034e-09,-1.1768169323874193e-13,-2.91724329922234e-11,7.0,100.0,9.585287266060126e-19,7.129042780096261e-19,0.0,9.253173417611667e-09,2.37124332952231e-23,10.0
900,5.0433129793663705,5.029941312711132,94.95071487077857,9.999595315333341,10.0,2.3562684127492268e-11,199.99999999998929,-1.0912617441402253e-13,0.9999768582234456,0.0003782316219965154,1.0739771923989707e-08,3.672887670234748e-13,1.0139644704025128e-10,7.0,100.0,-3.5229043935198386e-19,1.8277636203205667e-18,0.0,8.484555562964356e-09,1.6996898421975846e-22,10.0
