miliseconds,InR,Ins_InR,Ins_InR_P,Ins_2_InR_P,cytoplasm_InR,cytoplasm_Ins_2_InR_P,cytoplasm_Ins_InR_P,PTP1B,IRS1_TyrP_PI3K,PI345P3,PIP2,Akt,Akt_P2,PKC,PKC_P,AS160,AS160_P,cytoplasm_GLUT4,cellsurface_GLUT4,PTEN,PP2A,PTP1B_ox,PTEN_ox,ROS,GSH,GSSG,cytoplasm_SOD2,NOX_inact,NOX,NOX_deact,IRS1,IRS1_TyrP,IRS1_PolySerP,IRS1_TyrP_PolySerP,PI3K,JNK_P,IKK_P,JNK,IKK,DUSP,DUSP_ox,degr_Foxo1,cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb0,nucleus_Foxo1_Pa0_Pd0_Pe0_pUb0,dnabound_Foxo1_Pa0_Pd0_Pe0_pUb0,cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb1,nucleus_Foxo1_Pa0_Pd0_Pe0_pUb1,dnabound_Foxo1_Pa0_Pd0_Pe0_pUb1,cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb0,nucleus_Foxo1_Pa0_Pd0_Pe1_pUb0,dnabound_Foxo1_Pa0_Pd0_Pe1_pUb0,cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb1,nucleus_Foxo1_Pa0_Pd0_Pe1_pUb1,dnabound_Foxo1_Pa0_Pd0_Pe1_pUb1,cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb0,nucleus_Foxo1_Pa0_Pd1_Pe0_pUb0,dnabound_Foxo1_Pa0_Pd1_Pe0_pUb0,cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb1,nucleus_Foxo1_Pa0_Pd1_Pe0_pUb1,dnabound_Foxo1_Pa0_Pd1_Pe0_pUb1,cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb0,nucleus_Foxo1_Pa0_Pd1_Pe1_pUb0,dnabound_Foxo1_Pa0_Pd1_Pe1_pUb0,cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb1,nucleus_Foxo1_Pa0_Pd1_Pe1_pUb1,dnabound_Foxo1_Pa0_Pd1_Pe1_pUb1,cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb0,nucleus_Foxo1_Pa1_Pd0_Pe0_pUb0,dnabound_Foxo1_Pa1_Pd0_Pe0_pUb0,cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb1,nucleus_Foxo1_Pa1_Pd0_Pe0_pUb1,dnabound_Foxo1_Pa1_Pd0_Pe0_pUb1,cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb0,nucleus_Foxo1_Pa1_Pd0_Pe1_pUb0,dnabound_Foxo1_Pa1_Pd0_Pe1_pUb0,cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb1,nucleus_Foxo1_Pa1_Pd0_Pe1_pUb1,dnabound_Foxo1_Pa1_Pd0_Pe1_pUb1,cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb0,nucleus_Foxo1_Pa1_Pd1_Pe0_pUb0,dnabound_Foxo1_Pa1_Pd1_Pe0_pUb0,cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb1,nucleus_Foxo1_Pa1_Pd1_Pe0_pUb1,dnabound_Foxo1_Pa1_Pd1_Pe0_pUb1,cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb0,nucleus_Foxo1_Pa1_Pd1_Pe1_pUb0,dnabound_Foxo1_Pa1_Pd1_Pe1_pUb0,cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb1,nucleus_Foxo1_Pa1_Pd1_Pe1_pUb1,dnabound_Foxo1_Pa1_Pd1_Pe1_pUb1,nucleus_RNA_InR,cytoplasm_RNA_InR,nucleus_RNA_SOD2,cytoplasm_RNA_SOD2,E2F1,SGK,CDK2,AMPK,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,1.4062417787175107e+18,0.0,0.0,0.0,606135814656892.9,0.0,0.0,6060147003345367.0,0.0,60292763446264.66,1.2120971252388814e+16,6060609482817016.0,-7148303794.93793,6060592950852027.0,-2459781251.236281,1212154974228259.8,-10623650839.94447,5819088727231016.0,6.306292279593077e+16,6060519692200038.0,3.03030303030303e+16,12496188208784.295,-92225273019.04347,-355122609.2723739,6059758060249.931,-1576491497.0752156,2526994665444390.5,6060606060606.061,0.0,0.0,6061253455142955.0,0.0,-65882698059.26655,0.0,606060606060606.0,-24969463189.904324,532476433.30043113,969699931998558.2,121211454457869.48,6060859065723467.0,320920605576.47955,-319735735.4072465,60583341053288.58,-3811692249519.7573,-29786489702503.848,-1277494695.814656,8652714402.384619,-67799526174.43405,-236198119.8964418,-13923766623.193144,103971076020.88106,-548965.429965159,-130608906.49500068,-456909130.0883547,5034246.320038402,-326405691.8427242,2499992546.8127112,-2461870.9818040407,1152608.3394082712,96283725.41146001,75384.72369153441,-8822190.097106198,-581610.0884995831,-1143.7618266145205,-141663.36349372502,-228941.84647560283,-977104169.221286,4174656308.231014,16328503781.446629,-10663525.098448226,-38988794.394700505,66923054.48452317,-119265.25519177399,-52787336.8931395,-65989754.06687681,-17830.291898948704,-64713.1199031658,-189591.74602311748,3148.5218883894295,75281.742130237,-620590.5417998134,1119.6789198402575,-2634.215158176533,26421.52090597006,278.92052710662455,-1762.7495363293556,-13117.291977755483,-5.875854463516289,-109.72945640392088,-470.91138523373945,-1653813704792.0713,-25218439.78894073,11232397839703.398,-1190493146.7246807,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,1.4062557001898368e+18,0.0,0.0,0.0,605737283605172.8,0.0,0.0,5983742651158574.0,0.0,11391685860746.46,1.2170637080453974e+16,6059854569602865.0,751333847924.1547,6059567692697236.0,1038100309809.5706,1211674493496433.8,502620962311.58765,5814191022500491.0,6.3595470675254856e+16,6060184455382945.0,3.03030303030303e+16,77761674444422.55,292516589892.5358,109265948280.21136,6012515347534.9795,51922651279.173065,2526982172393481.5,6060606060606.061,0.0,0.0,6059354603782046.0,0.0,2169180604494.716,0.0,606060606060606.0,44866631229.59721,820903204.1290201,969678965940680.2,121210592349393.28,6059579215402143.0,1075306902227.714,463238773.50973284,59387122372319.69,36164778470335.66,20510099971147.914,6286344276.483895,21603447052.606716,-37996337008.0398,696273242.1260439,-71866054040.43906,-33501920725.2281,-1919089.7896809867,3916975.543177381,-114312148.88211642,-16223889.17936191,546028857.4552703,2936432572.5561934,-1971116.4995469144,-566354.21409058,-17399481.27616152,-50952.00973099219,62622.95571323409,21539301.79163058,-528.40316473828,-203289.30336011556,-519355.4972670296,21140220761.299236,7449608356.072333,-23413933113.11702,-727104.2480724407,26409255.837461606,15534677.816305926,-720057.9656084205,40063965.339257054,-36101016.07338505,-29826.65247619931,-379737.17492359143,82094.17794335276,59218.741475758216,142064.79705028085,464321.45507343794,3764.4358638632634,-997.0256461946071,133107.82007209724,536.338573781519,-581.4331417268448,4992.135413803659,5.913506598555083,2.7048314078058673,-586.7892520309044,-2082970396153.3438,-758426902.3040012,555096921574.0928,-3364278150.1549525,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,1.4062273120559657e+18,0.0,0.0,0.0,605628976142528.5,0.0,0.0,5896841418242143.0,0.0,11043556213121.658,1.2170301205607652e+16,6059901043125033.0,707358566163.168,6059644760851424.0,960355484332.9418,1211232447255354.8,932889047376.6566,5809069506620143.0,6.518444149839309e+16,6059894210631227.0,3.03030303030303e+16,168759884429872.7,442691979943.6642,108601811761.81003,5971831610619.841,87566621112.81401,2526045300535491.5,6060606060606.061,0.0,0.0,6058321363573390.0,0.0,3828392684278.2266,0.0,606060606060606.0,75032295677.13124,2100149046.8524847,969614751386324.0,121210148342255.0,6059456171907654.0,1579761773935.291,-180550942.7488531,58074784142194.59,68611318545867.19,29757232809033.816,12499921381.922071,47999200201.40331,15967044780.287472,146522024.52773023,-17322820334.626728,66942550825.02475,1148601.9766629776,-90696221.82041122,-784589994.4046785,86088413.19632423,-345232259.17005694,-2240619085.187696,-1461198.413384069,-6012530.272146136,-87142849.47411051,-94946.24094826578,-6170549.746322609,-14488769.157443445,3634.5157632969435,-31003.6121364703,354646.3340851157,39685223658.83005,22896116412.860054,-15294148294.367933,19258573.745517228,1059051.4685912346,-140063257.12479755,3011397.716428606,41207052.21441954,-83925339.12848637,-1451.7756269938886,-181794.93839758655,-76765.5119766662,-92297.27662669217,159734.62718364925,-1567304.5813932263,10336.065622294715,14.500385706068025,-47408.14120498585,-203.4710155739905,-2723.1206757890527,9188.560165931684,10.693512109638084,12.71791541066257,-101.04553645726847,4944578641739.172,-1596429186.3683555,978995106498.1797,10927327144.21164,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,1.406259007398223e+18,0.0,0.0,0.0,605390934696357.1,0.0,0.0,5827588751244253.0,0.0,11464253467832.69,1.2170385697103204e+16,6059939611845763.0,661393110118.1919,6059688310666791.0,911970521251.3574,1210825157755491.2,1273662862724.477,5806201282960233.0,6.5583881552856584e+16,6059865225764486.0,3.03030303030303e+16,237180558939839.22,826286969499.4404,108490919986.44853,5940014068365.226,122525425326.09514,2525791814744271.0,6060606060606.061,0.0,0.0,6058003605743103.0,0.0,5413472765519.881,0.0,606060606060606.0,135285421197.83853,3832231401.622482,969553203527840.1,121208346472854.7,6058573285572213.0,1850901228166.6074,320274823.4569648,57190064092464.055,104665810382005.34,32863023674885.67,18242510426.751045,-5423371608.42868,6351365674.809002,2097560527.705468,43269824302.10071,-129284937956.85942,873378.9810494932,127433182.53389543,-675143367.0147027,40211241.918348245,-184372732.1153754,4134942455.613928,-157171.3104149319,3555653.570314025,3300681.749296137,-65611.47510575183,5289645.2908237,212949.00721311552,1739.505940973392,-20298.80232261881,-546591.8056644078,55879418608.056305,50042715289.59706,-10081580107.181505,22939814.43380709,60431494.45723591,-5709877.909644424,5180245.349002569,-49098490.48942343,27426107.05497604,-9868.274067101529,-120827.96865768585,-907755.1241421447,38634.112996494245,47166.73999460885,-1300281.0052949453,-10671.747218280327,-3367.7241886630054,97649.06757686703,-266.9890818698561,3122.6599594715713,10075.314141752971,18.219986909363357,5.627940620903926,370.97758917493906,4801427078776.797,5183497084.859228,14919388536106.426,744181217.1857557,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,1.4062419896820995e+18,0.0,0.0,0.0,604989791615863.5,0.0,0.0,5769583936594007.0,0.0,10893151453983.18,1.2170375906142728e+16,6059992813450493.0,614245815529.0444,6059750345861779.0,857535244642.308,1210462808427209.2,1652151914067.8364,5800910630362326.0,6.664728025357834e+16,6059606821738778.0,3.03030303030303e+16,300260092735392.8,1255489671215.63,109085049911.01883,5912978875293.331,149483248528.96548,2525111609639155.0,6060606060606.061,0.0,0.0,6057267882839556.0,0.0,6548355075163.507,0.0,606060606060606.0,166901737617.13248,4448214690.151204,969497297481179.1,121207105249466.36,6057829671930340.0,2837638058271.083,571985793.4778197,56000785704822.85,134659833673047.56,64322390804792.42,22631865630.12461,50092526248.29933,80466402676.51285,1910272805.1803071,-2583203961.114624,-36939290718.10148,2479000.477025341,-243731646.60455495,167749685.53509676,191799937.6245892,341462604.05258876,2264459719.584129,2448043.8721044096,-5983982.722119315,-76667729.09097852,125247.47817831456,2572578.9526228686,-20937363.458721045,169.0586232700463,-161931.87646507096,174152.4640446641,73059133431.3191,92080546367.60197,45051105009.966354,50175461.200893514,62864934.34023056,58515411.920382746,1111377.251569158,-14782638.139563708,-108596023.95784453,14772.380997403376,340491.2921156333,-579083.3639559317,312940.36930767854,210257.01740828913,2017976.4659800478,1219.6444012349125,4348.79896505145,1500.6001681489572,33.39432492255195,-544.9314784203182,-8059.69357463496,1.9848718470708935,119.90751962618899,-137.28890568306218,2057528888776.736,5723355433.398251,8780021049418.065,5008386562.7513485,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,1.4062047321866516e+18,0.0,0.0,0.0,604763451390658.4,0.0,0.0,5682941904589519.0,0.0,11443316288821.834,1.2170732071267354e+16,6060018930205330.0,580372959151.2964,6059790358840683.0,799120198371.9403,1210145680042196.2,1980089844193.2078,5795558556147771.0,6.7790260142180104e+16,6059235681250879.0,3.03030303030303e+16,366690315867137.0,1326383854816.1575,108482503140.11847,5894029822654.545,169221181194.36746,2524973921901229.0,6060606060606.061,0.0,0.0,6057908178731285.0,0.0,7481325071148.764,0.0,606060606060606.0,213006707859.1721,5222812018.468915,969485135799986.2,121206350455478.19,6057162329915964.0,2836648292518.1787,494100860.2769602,55277923809391.94,165021498293732.06,40359264609999.96,26574734441.02175,95097369196.44682,130009184262.91367,3746626466.775051,16610334923.564365,24125022270.076057,4074956.8763517234,-301108877.45683277,193787276.9060798,145283245.16499332,-278103541.72747386,-2233260825.0470753,240841.02650230867,-18039711.824590817,-68929135.51091664,-130374.26856403396,-8990402.400059534,5388793.223640353,1617.364874498157,-75873.11396763059,-599244.5558326589,86367350117.25429,122012425340.84026,14832758173.628735,74393684.75991346,133115046.65884545,-19272844.394334428,5319367.662670515,81900778.22188197,99966364.4578355,-17088.613703139694,22231.801713555622,716083.2294408245,68471.4547033284,119281.4880011794,-1252028.6175060314,6852.192555063362,-2607.773232436907,-20622.591010693603,164.53606982650018,-2990.2914679597316,12903.509729554813,-18.179936032093533,42.53986043192548,-569.6220248518011,4459195698295.531,2255129076.0596943,26444326406517.305,24186891088.19401,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,1.4062039634735337e+18,0.0,0.0,0.0,604526576088227.5,0.0,0.0,5637388584458537.0,0.0,11292324748577.316,1.2170656049794032e+16,6060061750224321.0,547488742551.8389,6059859559405782.0,769284154586.4486,1209839604149382.0,2252025863228.8486,5788719713777858.0,6.9880047963277384e+16,6059013845352398.0,3.03030303030303e+16,417810492568696.0,1693048794834.7043,109162313293.48872,5874974860960.6455,184692856967.483,2524399629733184.0,6060606060606.061,0.0,0.0,6058133474195251.0,0.0,8401770912336.241,0.0,606060606060606.0,231982047772.66928,6812809906.65802,969458039896938.1,121205442982723.7,6056797382939350.0,4301189277243.1226,1275165790.2894797,54719582389733.45,194901835916538.6,77128231703300.84,31675864860.95664,144079024535.61874,177477631851.7151,4381408580.308719,93787637914.03452,127779789394.13043,3646642.168757425,224924642.59593654,-349026881.4724748,187048687.8353621,534189974.71397877,-221824068.75692296,2542172.17451715,-15767408.903133024,60418379.226994485,-67735.72339759373,-3561179.7789826025,22452722.342828166,1168.8453029018228,-145561.7766653398,132226.78455371084,95121985726.63272,153744593894.37607,71305469789.48709,122568783.84424339,205330479.32203776,71894698.24344093,13087708.678177733,48362632.09996274,34931239.99685019,33331.0471750934,-381043.2031234106,62195.24630056077,414665.04896354326,364264.94881176663,-1619244.2972243307,-3070.9310913479712,-753.292567485194,35408.60026970644,420.0427498174219,-2289.662909862491,-3270.6652805301283,-10.587905296534501,-59.763285965390374,735.6812511412893,4625521893566.844,7208430471.920111,23052726550709.805,28358933058.153435,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,1.4062047828981266e+18,0.0,0.0,0.0,604443300662054.8,0.0,0.0,5564958741429300.0,0.0,11360467988404.629,1.2170315620437212e+16,6060092173377957.0,523115784593.3467,6059888704068134.0,711219731086.919,1209642348783817.5,2490769141260.221,5785756950631645.0,7.009665595037787e+16,6058622224077456.0,3.03030303030303e+16,506592128509457.5,1881026883557.6917,109089054135.27573,5858288159150.241,201102974356.1118,2524119285391341.5,6060606060606.061,0.0,0.0,6057957079498212.0,0.0,8879426835822.006,0.0,606060606060606.0,282784388400.8506,7056600184.509811,969400114848045.6,121204708207449.81,6056445981229857.0,4791801468723.046,1852539390.6887617,53613996718101.266,219773147092478.84,115871869047832.5,34696018233.63929,163890745694.4981,-65319891192.45738,5894104200.627871,63149040695.44071,-24212310921.197365,2543609.916125098,-171674448.8837824,513513853.16774994,252176332.3883857,-31100457.056794524,1288139567.3301947,1754375.8082927265,6788994.357879504,-51690435.3793007,-97612.83975781771,352678.47641586605,-9728097.553860605,1186.9987078783029,191628.06273792722,239685.8258528634,105735039448.53549,202309475134.854,74447009389.47476,140430045.62488523,223258411.28705886,72302754.38135949,14059405.49840697,95958890.58246365,-29284104.84759359,-5888.573851074354,-340575.1470889741,-232443.1379645323,446717.0439648824,667143.5070636623,1335225.6221233103,10442.79000446758,5111.8684151402085,-65419.48606042099,-402.8723564493983,3524.3090891193997,5611.074565094828,-1.399460420313628,145.69557957719084,457.39520221929445,7855958035091.726,9135460023.766478,32681512375795.953,8602226209.050411,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,1.4061839372190682e+18,0.0,0.0,0.0,604107573243107.0,0.0,0.0,5505543581778099.0,0.0,10922954185193.725,1.217066924051736e+16,6060120984407855.0,496489751620.7742,6059926666613049.0,658706029592.1,1209467693338247.2,2678308114880.3374,5780787372207802.0,7.122293669398142e+16,6058370967298429.0,3.03030303030303e+16,561904975425827.7,2231132403390.264,109447949187.82317,5848531644086.238,211317177615.69592,2523448380087909.5,6060606060606.061,0.0,0.0,6058451418052082.0,0.0,9416733707865.504,0.0,606060606060606.0,327216745634.8783,8786088304.762514,969328425232484.8,121203325963606.92,6055254433983157.0,4967488869294.014,1922004893.6520276,52805943875416.55,230944999493010.72,88341372690841.47,41175775805.06763,190080542789.04892,199375968589.7885,7827061308.787819,90503003354.57034,15094531457.98317,4928950.07202596,-175508774.76007262,-770483887.5522895,440341639.26439327,406995930.5463313,2231498511.343566,162775.25422412762,24618766.676279306,-52672411.13814476,66974.4768836636,-2934628.1729611866,2350142.2712664064,3039.1181482640586,130502.47702743583,459194.4268129504,112125920354.056,242108725199.53714,145793622735.8744,169262440.59451255,310079931.880959,36296487.01840356,16935427.75311388,88312924.78967506,35802541.33358922,21573.234889694977,-1253.5645620242867,-736253.0004844783,972043.6002028191,911333.6300839687,-380586.8930265807,19075.08719031363,8283.045418426931,90267.65442805004,429.60739488003503,-3707.904162446178,10136.828795498137,-17.310564374368766,-82.27365688578386,-344.1032416843048,6498280513861.758,9694686954.222466,37144595186522.67,20814821008.840363,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,1.4061956043999652e+18,0.0,0.0,0.0,603981619324237.5,0.0,0.0,5479333772588633.0,0.0,10965384177441.246,1.2170661867958192e+16,6060145051136912.0,461483630801.16376,6059976721490343.0,621601793303.2938,1209277983551984.5,2876159400956.239,5778802357609470.0,7.286571887697658e+16,6058228214385548.0,3.03030303030303e+16,602670973809519.0,2445503769489.488,108954018180.38367,5836866525361.519,222341537232.65765,2523123489066659.5,6060606060606.061,0.0,0.0,6060037992909644.0,0.0,9707419707863.555,0.0,606060606060606.0,388296387214.54785,9132166291.64803,969332542193268.5,121203239980517.75,6054584306156627.0,5503836389429.288,2718608254.4347644,51206878514368.4,259622477474671.56,149841622451504.6,44482503038.91533,222467565739.3884,274264516039.2741,8476491453.722544,274496208784.1803,-26334251769.484055,6450649.9447978325,66172128.29626933,404724699.40388227,552027423.6835998,2821313973.2553964,-1837589878.1263456,3667947.041091124,-2730468.197286768,-17470564.8862416,90617.50457957813,10099415.555425758,-6460058.627086693,-3650.071773513875,14701.098253799419,-544203.7179585303,120864929038.95822,277566766454.63336,183905535565.73376,205265768.14129338,402027784.42229503,425644314.37352574,29299865.72465851,219516304.93672204,94416406.14698592,66289.06856310251,445608.8524630115,620781.1498453527,990910.5810511842,1327962.1025520847,593242.1974363212,29276.036768276783,12605.514244040069,43081.60627989996,-313.01477871016743,3850.5689200478,-11584.616679903644,36.55086436373849,-50.07790315377532,-721.053564301333,12243128492694.348,12394318443.76483,33533725504398.062,28147498162.739147,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
