miliseconds,InR,Ins_InR,Ins_InR_P,Ins_2_InR_P,cytoplasm_InR,cytoplasm_Ins_2_InR_P,cytoplasm_Ins_InR_P,PTP1B,IRS1_TyrP_PI3K,PI345P3,PIP2,Akt,Akt_P2,PKC,PKC_P,AS160,AS160_P,cytoplasm_GLUT4,cellsurface_GLUT4,PTEN,PP2A,PTP1B_ox,PTEN_ox,ROS,GSH,GSSG,cytoplasm_SOD2,NOX_inact,NOX,NOX_deact,IRS1,IRS1_TyrP,IRS1_PolySerP,IRS1_TyrP_PolySerP,PI3K,JNK_P,IKK_P,JNK,IKK,DUSP,DUSP_ox,degr_Foxo1,cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb0,nucleus_Foxo1_Pa0_Pd0_Pe0_pUb0,dnabound_Foxo1_Pa0_Pd0_Pe0_pUb0,cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb1,nucleus_Foxo1_Pa0_Pd0_Pe0_pUb1,dnabound_Foxo1_Pa0_Pd0_Pe0_pUb1,cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb0,nucleus_Foxo1_Pa0_Pd0_Pe1_pUb0,dnabound_Foxo1_Pa0_Pd0_Pe1_pUb0,cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb1,nucleus_Foxo1_Pa0_Pd0_Pe1_pUb1,dnabound_Foxo1_Pa0_Pd0_Pe1_pUb1,cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb0,nucleus_Foxo1_Pa0_Pd1_Pe0_pUb0,dnabound_Foxo1_Pa0_Pd1_Pe0_pUb0,cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb1,nucleus_Foxo1_Pa0_Pd1_Pe0_pUb1,dnabound_Foxo1_Pa0_Pd1_Pe0_pUb1,cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb0,nucleus_Foxo1_Pa0_Pd1_Pe1_pUb0,dnabound_Foxo1_Pa0_Pd1_Pe1_pUb0,cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb1,nucleus_Foxo1_Pa0_Pd1_Pe1_pUb1,dnabound_Foxo1_Pa0_Pd1_Pe1_pUb1,cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb0,nucleus_Foxo1_Pa1_Pd0_Pe0_pUb0,dnabound_Foxo1_Pa1_Pd0_Pe0_pUb0,cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb1,nucleus_Foxo1_Pa1_Pd0_Pe0_pUb1,dnabound_Foxo1_Pa1_Pd0_Pe0_pUb1,cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb0,nucleus_Foxo1_Pa1_Pd0_Pe1_pUb0,dnabound_Foxo1_Pa1_Pd0_Pe1_pUb0,cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb1,nucleus_Foxo1_Pa1_Pd0_Pe1_pUb1,dnabound_Foxo1_Pa1_Pd0_Pe1_pUb1,cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb0,nucleus_Foxo1_Pa1_Pd1_Pe0_pUb0,dnabound_Foxo1_Pa1_Pd1_Pe0_pUb0,cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb1,nucleus_Foxo1_Pa1_Pd1_Pe0_pUb1,dnabound_Foxo1_Pa1_Pd1_Pe0_pUb1,cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb0,nucleus_Foxo1_Pa1_Pd1_Pe1_pUb0,dnabound_Foxo1_Pa1_Pd1_Pe1_pUb0,cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb1,nucleus_Foxo1_Pa1_Pd1_Pe1_pUb1,dnabound_Foxo1_Pa1_Pd1_Pe1_pUb1,nucleus_RNA_InR,cytoplasm_RNA_InR,nucleus_RNA_SOD2,cytoplasm_RNA_SOD2,E2F1,SGK,CDK2,AMPK,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,1.406262018479685e+18,0.0,0.0,0.0,605984917849383.0,0.0,0.0,6052395507663719.0,0.0,60739338035835.984,1.212130404326746e+16,6060613474284063.0,-3822477985.238972,6060600281772364.0,-7929761150.513457,1212159449709123.2,11364134751.74883,5818936992137854.0,6.278562736720274e+16,6060695133993343.0,3.03030303030303e+16,-5286534633359.599,-6404685443.25113,-523017800.28876877,6059457567277.882,2416367144.200842,2527384226564594.5,6060606060606.061,0.0,0.0,6060635620876765.0,0.0,80064410509.33444,0.0,606060606060606.0,-3140871668.6169786,-695648948.6565913,969691033759869.6,121211432834824.47,6060220383379451.0,396308311522.25226,-258419155.2310849,60407722261650.71,2339466172139.106,-11095022121442.604,-1083238908.3881028,34061832367.482384,31870673176.329403,-553031191.693345,-24346966621.057964,184888280103.13934,-2178232.21234711,-186424878.52899808,-509486849.84314746,-47262734.20090704,200955597.78505546,-3398784845.856223,-1988471.129220942,-18353983.79425687,2813087.687454019,22103.238145081803,-1920772.035915772,21683056.15066021,-3208.9906594286217,218882.95951378052,329680.87804392714,419971990.07710814,-2124078612.1562152,19255926721.285255,-10032005.231619649,14530438.986305062,-65129715.07706238,-680073.2895457846,-54410634.608458266,86613180.37813887,22117.19726515318,-353431.4639779881,-611659.6938947029,102820.64774562875,67084.58168808221,1269857.504722427,-6595.512360784355,3860.41818021801,-30357.908438214487,217.17827303460268,884.3233187648967,53.34493827092821,-4.529978641798689,-47.70396143274812,664.3389606362641,-765091967351.6471,2488470707.113255,11440690004043.275,4713954801.788932,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,1.4062468605650593e+18,0.0,0.0,0.0,605843134248724.2,0.0,0.0,5983436595976974.0,0.0,11285166410300.47,1.217048555584775e+16,6059856160981957.0,745530650017.6544,6059581985253470.0,1024427783265.1974,1211628598897242.5,454698081905.8055,5814768136684733.0,6.380966112185799e+16,6060413589420715.0,3.03030303030303e+16,77649090041212.69,360260097856.0392,108999311182.92139,6008958479228.804,46753330342.351166,2526496541531797.0,6060606060606.061,0.0,0.0,6059542151631266.0,0.0,2110731764481.4465,0.0,606060606060606.0,65181944082.12621,467065985.2569226,969630677848823.8,121210572423176.05,6059769980253558.0,409907263345.8667,592185834.7912414,59476893161065.12,26211186110071.625,9028232250407.39,6641303564.537571,3195077585.9054117,-9943362564.57691,-210909890.91115603,-41830765404.416306,-184771893836.472,751301.4536280336,-142816759.3940391,-306590056.0910605,-45239448.805810176,714922523.7498182,1011866778.3907728,1059468.843750676,-7841323.509641157,-83525348.02025048,-41323.83084749587,4916117.599017062,18344640.752189655,1977.174367396776,132675.7395999349,-51442.012266468555,19828809312.264412,1079655490.947194,-23964265320.777508,-5051799.745815966,-2717265.842469224,-153682650.9899474,3758170.298435954,30060899.193084463,-621469.590403437,27234.871289382358,-87714.69751195608,-135942.3889774041,-154708.37195763923,120925.78782330228,-2769046.5360330576,-2100.2737507462184,-1289.4254159236941,-16518.899307617427,157.99808055123316,-187.18935423000286,-3283.1369526430003,-7.7831940995705144,-123.39162548706639,611.4021962519574,2208099728382.874,2529867098.485216,-4702317062194.955,-61833094.76492536,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,1.4062696003607532e+18,0.0,0.0,0.0,605534380444472.8,0.0,0.0,5899048544407996.0,0.0,11054294678425.293,1.2170328578522214e+16,6059915513083691.0,699438348408.5383,6059644308698629.0,974379576611.0376,1211246827629112.5,884478660529.6274,5809767934184001.0,6.489799128890934e+16,6060093610536458.0,3.03030303030303e+16,171461081915321.28,513254655867.723,108690834016.27657,5970529804676.727,91591998566.61479,2526550267431255.0,6060606060606.061,0.0,0.0,6058528072027070.0,0.0,3863387602722.6035,0.0,606060606060606.0,64731772057.866425,1604839665.2466068,969616718094131.2,121209823452372.77,6059247718987529.0,1433278713047.8123,-172275746.64758265,58611658235878.055,63182951971071.15,2011136265173.8047,11603642791.581192,-19442050191.175293,-33798342646.901234,1201609390.7023847,38209124624.49406,-83401374229.27733,474894.98489557387,275980395.68893254,76342430.28957647,87547198.6910778,-347315030.0250027,2501788657.3847136,-868905.4787735263,12562891.45450308,-97979945.07200862,25794.940071579003,3077494.1493243137,8574797.264253275,-3314.8226169531235,-59676.6758737473,60600.5049894681,41798738144.6245,25141319833.740677,-14114730837.369703,24197740.47359632,26788219.206015088,-143809952.1724514,-489487.4557786869,-45786701.07341828,21080221.937919315,-15286.840523788474,-137606.93648045496,-494339.1162244987,217653.3802377971,61314.97067081608,-325650.8873957081,-7595.380803473608,-4009.670307259352,-131124.61152828077,83.82562042950345,1213.252737034076,6039.969831127347,-2.8572375326829684,-10.530070767186393,650.4426119771836,-358674748315.34375,-2012863739.816036,-2866996373827.2236,-8186935307.7976675,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,1.4062531282734461e+18,0.0,0.0,0.0,605292219250080.0,0.0,0.0,5841078620336629.0,0.0,11224555349987.092,1.2170633776247354e+16,6059937647938056.0,661737572423.7341,6059692943937200.0,919592713065.7136,1210810694438350.0,1284242267795.493,5805545999768064.0,6.651738952205319e+16,6059717146431445.0,3.03030303030303e+16,242534152413470.06,848526228196.2871,108354932512.09018,5941626502264.752,120321325260.26843,2526093015446214.5,6060606060606.061,0.0,0.0,6057850524224898.0,0.0,5407929339726.3,0.0,606060606060606.0,154308482604.24887,2725697221.4223504,969556829684292.9,121208897256145.19,6058863687490234.0,2182727547206.213,682373257.8733202,57392099479552.336,98041223247075.5,-14062441158994.27,15409281679.278069,39377314859.1087,155993003281.43182,2101018813.7257347,73873546948.64005,-110482527456.55965,1974936.5687635401,-251575343.51442197,-316327064.592822,77607255.8471405,1014555260.2277368,-2175760182.182733,-1643136.0225145952,2443729.5780204227,-37350187.27954422,139767.06623067413,-3835807.8113081018,-23764909.186016493,1524.0473806197601,-1252.2084785570214,-448832.70452527143,57031404652.77751,59911240055.977394,-11806552691.3127,28934080.87672705,55680546.078631654,-125690747.36162136,4095471.0343493223,-5976481.622367796,75517489.71644697,10961.010444615125,341261.4358905458,399590.5791347221,54828.927156956335,205609.72019781283,1688218.5784982573,-10197.632840678436,1757.3037965892563,149382.56013994373,56.21987436116439,3721.0077435615326,-5145.413107106712,19.68846871722941,-156.01042974515227,459.5387247380947,710457050423.1714,-158058139.65467978,16574706838388.96,2805238595.8837028,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,1.4062450967815688e+18,0.0,0.0,0.0,605044460110062.1,0.0,0.0,5734087109397816.0,0.0,11035690291815.39,1.2170420185517122e+16,6059988952608033.0,626083196169.1539,6059740624747652.0,848490085716.0664,1210483937370543.5,1669155616722.0562,5797783698073790.0,6.77658817345367e+16,6059519662739272.0,3.03030303030303e+16,300840639269674.25,1159716948456.1738,108820661860.46776,5912655115584.648,147181619886.98834,2525335133576011.0,6060606060606.061,0.0,0.0,6058118661605068.0,0.0,6598549469054.203,0.0,606060606060606.0,150363099098.68393,4091330241.9518046,969545527921461.1,121208044343206.73,6057733777965609.0,2245481942825.8413,830766720.5121893,56411626993111.0,132419724728142.88,8934768335591.543,23295625010.70507,65532863881.11711,85605037603.68661,1919067373.1005006,-30023126649.634098,146057515523.2905,878396.847267476,-50197193.031762294,373157898.09419024,148670601.23160988,480842842.4251648,-2419964657.156226,1726395.4028890096,-8085252.177747938,2005510.488587797,56995.11491580044,-4753441.278139909,-10901404.181996537,-3317.0094501123285,-71929.59455002494,-362007.7935726852,71115422154.88074,84700144098.66783,15071251535.436028,52980656.44959497,79130102.690554,39791353.387813196,5788113.683280526,-5305892.498054074,-33517156.700148575,17806.236035194353,306940.421527474,-816972.5491058235,-5264.99828862655,86231.94636711817,1094938.6071410296,14003.449355309129,1028.2308665017383,52432.28895700887,585.4263059669605,3216.9475704118563,-6945.754120315902,-37.635064837106555,-205.6573374419419,-670.9522291575578,5177903374096.394,-185324774.9041853,9791064850682.576,16492487426.358377,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,1.4062455946757194e+18,0.0,0.0,0.0,604908426922325.8,0.0,0.0,5680766666607174.0,0.0,11203478035323.809,1.2170628633461536e+16,6060029716856140.0,591129643047.943,6059793707645198.0,798279771942.1204,1210165887501326.0,1941095189941.2568,5797137751914569.0,6.867622621561371e+16,6059214006039739.0,3.03030303030303e+16,373959853003499.94,1493915574164.3635,108592328184.87314,5888842497100.127,168230483692.11914,2525158208840909.0,6060606060606.061,0.0,0.0,6058528392359115.0,0.0,7494333551612.904,0.0,606060606060606.0,231790709156.1791,5758275621.340988,969454760558489.0,121206364405788.8,6057438965036740.0,3120583404788.9995,677991098.5399721,55304167550022.69,153939238939069.4,25340259959816.51,27965831797.834034,94501808051.93375,111578163856.87119,3836544813.5534368,62194651046.98633,-81230899538.13614,3076415.0548992716,-273698177.549401,-213679716.53762412,242202612.15224832,-314129883.8552537,907084592.707992,-1234291.5992046008,8421200.614311565,-32303786.82982596,162603.10998898477,-4595974.144866107,21275769.085230272,2392.2612026935,-38939.01462401677,590347.9189592683,85019863067.83931,120027347850.27917,55760881896.90991,87182503.92445642,106989864.20846616,183584692.3420961,2966217.449069505,70205858.0134855,44955652.203181095,24538.03451572265,149792.5723176935,331621.9739563246,101640.10268290885,127373.57216221643,2841705.6758906636,1682.5857243547648,1909.5718747005849,100044.30294397585,568.5883287315069,1645.4575925464826,-13237.27794756475,-20.820983851522254,-209.8865220851722,653.2383913603496,7025190918921.666,5975150772.144214,8844627841386.912,3692341388.4537563,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,1.4062308219330724e+18,0.0,0.0,0.0,604541626233180.2,0.0,0.0,5618834745759774.0,0.0,11230611400372.986,1.217066937901752e+16,6060050299292908.0,551676712403.3737,6059856093269553.0,744507561649.653,1209846907995021.0,2282616948709.8086,5791179943301257.0,6.938425074079325e+16,6058844639468133.0,3.03030303030303e+16,422317344903857.56,1555834827907.6292,109758317726.1826,5871534409651.688,183890305285.887,2524091007014667.5,6060606060606.061,0.0,0.0,6058708054831104.0,0.0,8294483340138.509,0.0,606060606060606.0,247424061941.21637,6071488646.98701,969461455113407.4,121205032005578.22,6056575413955184.0,3607640670950.209,1565258232.1144776,54570801550256.41,183283750686455.7,84571243174587.38,30094411336.29934,120553074214.70184,189464975539.68143,4308108565.041571,57922875609.96395,8676420290.369085,2193979.1591604087,-134486939.05501348,547443484.5812768,265467933.84799832,1052899949.9097092,-849836076.4237859,3265650.603846211,10316561.056285657,-8549074.26742909,-799.0257803823042,-2726968.4188627866,-23238903.57621984,2395.826887913469,-48530.15081830756,-1065.6030831765868,94436446536.86618,156445186320.51132,57572052296.79479,110734109.68577996,182646308.66207469,197626294.7170055,10936396.045418885,98306884.65643364,-65929340.87850279,-20178.57585409122,426359.18596756976,200117.3606281475,455481.5869064762,216300.22150868975,-612179.8628184942,-4395.9121447476255,5796.4523718523305,158066.87619943827,532.962522533219,4496.136114321246,7402.763935015503,-5.342086923308262,34.91810148218856,505.909026222909,7263320744463.762,3251316719.0204706,19250702934736.027,3363497422.4063663,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,1.4061926387500037e+18,0.0,0.0,0.0,604395133386309.1,0.0,0.0,5575561854032191.0,0.0,11065754568408.232,1.2170588675103034e+16,6060084274932130.0,510307495196.5433,6059892649402809.0,702150195001.2112,1209632398075915.2,2478126556123.583,5786439436023190.0,7.097150712279606e+16,6058562271832482.0,3.03030303030303e+16,498315678570207.25,1947139737310.7087,109475630584.065,5860289830975.921,199214587824.48953,2523900066881924.5,6060606060606.061,0.0,0.0,6058089032002124.0,0.0,8853408480119.436,0.0,606060606060606.0,322382886972.0235,7253678264.021606,969415247686022.4,121204241722842.88,6055950331017728.0,4787610732673.947,1526510034.9648764,53806763676441.47,218563701123948.9,114839088558053.64,34948676589.38559,163643453068.27887,60215308882.96477,5538252340.81609,56132407985.373215,122197947987.88214,3714280.0312967678,-89963036.21168877,-655125795.9123622,358128188.7062729,773993993.9181969,4721576030.401636,2878410.8844334083,15750591.096102234,-33397232.491049204,-115065.99452181658,-1231673.3825287358,15502375.338096872,-727.343635071321,-4114.089111610427,53055.65219130091,103494718084.7401,199710257045.54608,73948359932.66869,148357437.21550915,244862847.53172603,67311081.40998855,13236204.708502982,122204507.08618557,-81924551.0797669,25389.61975813308,99608.3616344962,-176806.38368300637,679592.6179254713,591219.6487460921,2596697.647764203,-3779.333675719343,8943.495595455654,105560.15512811567,-252.60199631413644,3186.944893381212,-7484.451306057411,39.01213103797161,-161.5970307285304,-285.90210048389474,7350645054584.443,5318657958.269054,25853299620102.613,10603802296.137756,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,1.4062114432111693e+18,0.0,0.0,0.0,604179352385544.0,0.0,0.0,5505492437766481.0,0.0,10898164035870.438,1.2170316891417704e+16,6060108627603106.0,484661881019.7023,6059926619516142.0,667432968051.222,1209419373734632.0,2687312526533.982,5781943677474339.0,7.196041420432692e+16,6058459540787758.0,3.03030303030303e+16,560367911886657.94,2287189559792.27,109120206871.3819,5848147268096.73,214448075782.3,2523263961510341.0,6060606060606.061,0.0,0.0,6059447686638406.0,0.0,9388414585260.492,0.0,606060606060606.0,353028807545.7934,8869270068.325552,969369994758931.4,121203269662128.52,6055508427123517.0,5091792116188.487,2027823426.7704785,52235204802866.47,231790108219493.8,101590136694788.7,41130455379.26962,225117991680.68777,136719749156.48889,6679987236.892263,225171335276.19617,-21317813380.72795,5139383.2036449,38174922.360206366,-553035762.252837,447696768.2283706,1769679931.199671,-1092145249.8095253,1039285.6604410026,-4809418.026998344,86640558.30231741,-45696.84050462505,1692359.1225228072,-5310951.337076856,3256.717392233615,-78237.98074059212,160502.88094054334,113968013076.36592,233870427438.96375,100156941074.92479,178639328.508419,310547749.31068176,216802003.92377466,22889520.549626324,125362859.98576863,69662580.35909517,60345.16853789512,139135.37479374374,-518084.44707811554,845170.1481258485,708063.073380343,1698516.8282720044,21145.66821417018,9363.290107708488,-1965.2959135804958,-177.47093434744912,-919.1170703039577,7314.422097969533,15.926113763515426,203.23479879293498,-508.1586471331714,6410904894130.785,10141631810.845924,19297799478073.832,22586641520.956657,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,1.4061725905997115e+18,0.0,0.0,0.0,603968148239527.0,0.0,0.0,5473714872631534.0,0.0,10915588681846.297,1.2170380907903816e+16,6060140847997365.0,467249307761.90076,6059990898167917.0,628655505828.8162,1209270112341057.5,2886913932416.371,5776216527624932.0,7.321759927406664e+16,6058113113486609.0,3.03030303030303e+16,594881785340542.0,2383975698294.9146,109213887263.99461,5841665030154.3,222729146835.78125,2522946591037059.5,6060606060606.061,0.0,0.0,6059902914224716.0,0.0,9739640619901.434,0.0,606060606060606.0,406727317865.8628,9105442824.769032,969329479917264.1,121202815544654.5,6055164209795810.0,6192980414956.761,1688148030.6025968,51122310207032.19,265856587307112.3,124945144610697.42,43822352614.013794,204211234705.29898,-2139258836.8198395,8397852111.093218,156585735784.37518,211887810313.71802,5795145.234062863,-8182184.177945346,63555251.3737527,581160636.0368117,1313272807.8430285,-71782718.28834724,3578021.1035519573,-3664222.0518441293,-18392926.169125184,-59761.41930040294,2638014.8567936337,-3383653.4590760414,4282.906043404984,-14862.949644431272,155108.8083641732,119778047348.97444,267620923715.90652,154058351697.85934,201580008.43037796,402307454.586671,398081843.4598212,28203863.840334475,225896061.15141815,21582435.92890185,19352.617703278913,-127653.22099355166,-19154.53310997982,1197802.004772333,1284302.7779051887,-1363382.6715910274,13210.959757755136,15236.247253140742,126563.70882086836,689.4244443181594,-2556.4652034735927,-7196.470648950429,-7.047881154295888,-199.20111950099258,551.6472727527909,10572650885256.268,12866912755.787766,42674417458791.29,40695843930.01764,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
