milliseconds,InR,Ins_InR,Ins_InR_P,Ins_2_InR_P,cytoplasm_InR,cytoplasm_Ins_2_InR_P,cytoplasm_Ins_InR_P,PTP1B,IRS1_TyrP_PI3K,PI345P3,PIP2,Akt,Akt_P2,PKC,PKC_P,AS160,AS160_P,cytoplasm_GLUT4,cellsurface_GLUT4,PTEN,PP2A,PTP1B_ox,PTEN_ox,ROS,GSH,GSSG,cytoplasm_SOD2,NOX_inact,NOX,NOX_deact,IRS1,IRS1_TyrP,IRS1_PolySerP,IRS1_TyrP_PolySerP,PI3K,JNK_P,IKK_P,JNK,IKK,DUSP,DUSP_ox,degr_Foxo1,cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb0,nucleus_Foxo1_Pa0_Pd0_Pe0_pUb0,dnabound_Foxo1_Pa0_Pd0_Pe0_pUb0,cytoplasm_Foxo1_Pa0_Pd0_Pe0_pUb1,nucleus_Foxo1_Pa0_Pd0_Pe0_pUb1,dnabound_Foxo1_Pa0_Pd0_Pe0_pUb1,cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb0,nucleus_Foxo1_Pa0_Pd0_Pe1_pUb0,dnabound_Foxo1_Pa0_Pd0_Pe1_pUb0,cytoplasm_Foxo1_Pa0_Pd0_Pe1_pUb1,nucleus_Foxo1_Pa0_Pd0_Pe1_pUb1,dnabound_Foxo1_Pa0_Pd0_Pe1_pUb1,cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb0,nucleus_Foxo1_Pa0_Pd1_Pe0_pUb0,dnabound_Foxo1_Pa0_Pd1_Pe0_pUb0,cytoplasm_Foxo1_Pa0_Pd1_Pe0_pUb1,nucleus_Foxo1_Pa0_Pd1_Pe0_pUb1,dnabound_Foxo1_Pa0_Pd1_Pe0_pUb1,cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb0,nucleus_Foxo1_Pa0_Pd1_Pe1_pUb0,dnabound_Foxo1_Pa0_Pd1_Pe1_pUb0,cytoplasm_Foxo1_Pa0_Pd1_Pe1_pUb1,nucleus_Foxo1_Pa0_Pd1_Pe1_pUb1,dnabound_Foxo1_Pa0_Pd1_Pe1_pUb1,cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb0,nucleus_Foxo1_Pa1_Pd0_Pe0_pUb0,dnabound_Foxo1_Pa1_Pd0_Pe0_pUb0,cytoplasm_Foxo1_Pa1_Pd0_Pe0_pUb1,nucleus_Foxo1_Pa1_Pd0_Pe0_pUb1,dnabound_Foxo1_Pa1_Pd0_Pe0_pUb1,cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb0,nucleus_Foxo1_Pa1_Pd0_Pe1_pUb0,dnabound_Foxo1_Pa1_Pd0_Pe1_pUb0,cytoplasm_Foxo1_Pa1_Pd0_Pe1_pUb1,nucleus_Foxo1_Pa1_Pd0_Pe1_pUb1,dnabound_Foxo1_Pa1_Pd0_Pe1_pUb1,cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb0,nucleus_Foxo1_Pa1_Pd1_Pe0_pUb0,dnabound_Foxo1_Pa1_Pd1_Pe0_pUb0,cytoplasm_Foxo1_Pa1_Pd1_Pe0_pUb1,nucleus_Foxo1_Pa1_Pd1_Pe0_pUb1,dnabound_Foxo1_Pa1_Pd1_Pe0_pUb1,cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb0,nucleus_Foxo1_Pa1_Pd1_Pe1_pUb0,dnabound_Foxo1_Pa1_Pd1_Pe1_pUb0,cytoplasm_Foxo1_Pa1_Pd1_Pe1_pUb1,nucleus_Foxo1_Pa1_Pd1_Pe1_pUb1,dnabound_Foxo1_Pa1_Pd1_Pe1_pUb1,nucleus_RNA_InR,cytoplasm_RNA_InR,nucleus_RNA_SOD2,cytoplasm_RNA_SOD2,E2F1,SGK,CDK2,AMPK,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,1.4062481523757504e+18,0.0,0.0,0.0,606029961005938.8,0.0,0.0,6078347847370008.0,0.0,60807339151791.875,1.2121058469787576e+16,6060610039422552.0,-1322122460.7843914,6060619622529589.0,-11758433532.089256,1212108216285670.5,-15046999055.445137,5819028072994777.0,6.231847942848836e+16,6060691875827350.0,3.03030303030303e+16,-6040831989513.999,-81816470970.31165,-643534805.014488,6059940841100.192,2663421675.976935,2527508329263690.5,6060606060606.061,0.0,0.0,6060791274373690.0,0.0,51271005596.59591,0.0,606060606060606.0,-13730172184.501299,-302198811.5103277,969689423641338.9,121212410780135.28,6060378596385418.0,-379054728396.1689,-96983553.97851934,60973250613204.336,-4293233265016.8496,15578074718610.58,509797018.1695581,33685079520.97138,4358102114.664364,599609347.8651725,-55276106074.79947,-118614549415.66464,1977785.182775881,-38506746.7291589,-732045072.2464923,72819122.41059558,207731321.4297024,-1346384742.2385085,-1839255.3636321805,20710505.646973535,-54947316.70268738,-106666.86620752956,1206262.8653917217,15955401.611630278,2835.735930396489,159042.26230211995,245187.2545642543,1335974167.598227,-3901455440.079747,22299360727.84102,-2832222.696089825,-11736384.478476802,-165274666.46553013,2031624.3829363445,-35817825.35801509,106203915.26933245,30576.981502870396,-207539.87794193128,-477687.26588716236,-109894.3583298674,-107497.61782235045,1509227.9031921066,895.3236362460508,1357.176070276737,23801.386187646574,79.32462250039872,-2970.6521746987114,8988.275123498746,-34.9366456757752,99.92693822665798,-358.2531707446452,2708024772942.793,-1659911453.2354524,8303170297790.998,-8450192597.685458,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,1.4062291661205699e+18,0.0,0.0,0.0,605824808426932.9,0.0,0.0,5970337105806589.0,0.0,11258117287014.285,1.2170468129362744e+16,6059861031221363.0,745147401398.8446,6059574332333300.0,1025402445945.477,1211663242506261.2,475369650906.6759,5814482418510539.0,6.4042735683463144e+16,6060322446687325.0,3.03030303030303e+16,87999589213908.81,160876738783.63556,109532690888.73804,6008717274753.126,51748128690.857506,2527052441340772.5,6060606060606.061,0.0,0.0,6059887576681630.0,0.0,2101427954986.0293,0.0,606060606060606.0,60366112914.85853,729293192.0607119,969666448057770.8,121211604179835.36,6060252202775251.0,695630188187.7146,73822607.48293681,59582095234359.484,41052938604867.22,34526034932857.797,4965549548.29614,-33642905894.64818,126207903255.95837,633107897.1307232,13491582228.441933,81831487097.8716,-2057648.826153362,-182088291.76224187,-185045083.13432676,-43038926.02638776,967723148.1337079,2233972278.794777,-342598.575599249,-19471189.928662952,-104222357.17878126,144554.4972746294,2466024.1100941547,5572573.0294224,2920.1804301250686,92196.83452358027,503594.65609356447,20165831333.83451,6990053993.345404,2320673895.321995,-4647551.717768043,22209356.753034614,123088823.8183812,-1320094.6375341346,40796205.60858034,41870720.12633485,-19376.03459277188,-166617.20791905635,707253.6989663009,131034.28936336584,93548.55396497346,-1784290.7351388615,7154.76538584345,-1791.5137926021446,-2902.041319082075,-353.2005843667786,-3428.957579722473,-11774.323544913395,11.701525975411244,78.62997609639706,230.73796690735762,4025916805421.6235,-2277778816.4581604,6337510637064.839,7508167537.051973,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,1.4062323221874985e+18,0.0,0.0,0.0,605514000054660.1,0.0,0.0,5879447921044321.0,0.0,11080878974701.365,1.2170292103168466e+16,6059899041119856.0,694574715925.8969,6059625961687660.0,982892467994.5819,1211202243360519.0,920563551898.9833,5807438060252727.0,6.504101339512366e+16,6060010653949336.0,3.03030303030303e+16,177992046505083.1,698685232998.2861,108700473454.37013,5974471281588.568,89043506421.16917,2526358633680384.5,6060606060606.061,0.0,0.0,6058311191450588.0,0.0,3845500879688.7197,0.0,606060606060606.0,112374465392.59404,2231297547.9091625,969590130607955.9,121210455953170.33,6059527742263142.0,1678288059186.9563,-341609344.4730119,58244591253837.984,78212197323966.95,24509808393138.92,12362424038.849827,-22397896660.075058,105635841024.1584,733810745.4530813,12053200987.527193,-50079983126.044395,845292.6500003915,7402594.018255298,-143866946.89488542,-1788281.7489469238,797388616.1084085,-2181319832.7718716,718888.4884750732,-19186652.79846919,-12207753.795500904,87831.45530573589,-8006264.878889291,-23190952.369042993,-2418.8619763623424,-161057.64048691862,59672.11465526836,41645266279.55509,26373675710.435993,16987143421.090433,26424946.68689255,-14536178.891297653,-127195796.53952746,-2684988.3512021806,-51611890.68671273,29325483.69525224,2439.292383548308,371494.9216712822,-94360.3239587352,84561.08104100532,39954.71237775298,538622.9053185559,12828.101050667185,4172.443188769502,94304.17843333737,159.57355462752074,-2941.9611559563514,-10700.282572001504,-3.1892462972678848,-155.6400542047152,236.4928757059058,-673231039175.9048,2135618557.7008157,5373998321137.217,5467995863.063007,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,1.4062408820631987e+18,0.0,0.0,0.0,605383230687095.0,0.0,0.0,5826097072170036.0,0.0,11142302076461.89,1.2170501174103954e+16,6059942622574753.0,652064451436.241,6059697850802317.0,924229065507.8362,1210819171099940.2,1345256342384.7446,5804383822085610.0,6.544894934873068e+16,6059668740984702.0,3.03030303030303e+16,238087895315126.53,918775533172.8721,109485301608.84238,5941002360619.049,119917336466.26663,2525653713737023.5,6060606060606.061,0.0,0.0,6058766020882223.0,0.0,5438688911742.733,0.0,606060606060606.0,156345343426.8039,3137353172.2683363,969586948184771.6,121208178772833.02,6058615880677726.0,1978805359782.2417,-231325820.78887755,57424575946575.8,100631017031543.97,36850990790037.94,18244586970.60742,28172937023.63953,-20186080696.101963,1025970543.3176935,13137008127.565802,-46027518462.5257,1706394.5551338906,180876792.5778411,-822516390.8966734,117822031.53920078,-829000774.5057379,-1722935815.6053483,-606457.6722202352,5283811.809455712,-43950138.661461726,-82882.10403700285,3462160.975655844,-9367204.165467678,1848.8608750732594,217695.38862377676,380155.1290391374,56419535505.42405,52813765800.30533,27477579596.878265,26110365.01214327,24161621.708024815,109851391.84317595,-715573.5589664956,10357084.61183048,-35341675.288650356,26238.667794988443,69513.83464084825,-376463.69606105424,23289.308034801914,-111018.45415249567,-2434127.5349561605,9806.470805567273,680.6146217763759,115009.61195806078,-286.42285620408757,4258.877460949991,3017.70153667198,6.121791635293259,-203.79285854268565,-587.455581645476,4596152738962.694,4245171042.385027,6829032749108.935,16888626382.825977,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,1.4062382246859428e+18,0.0,0.0,0.0,604963752615106.0,0.0,0.0,5756017404893939.0,0.0,11339676808775.086,1.2170845485020624e+16,6059976350805728.0,616179057336.9312,6059757342563852.0,871573176429.6959,1210438947198097.8,1693808617042.1072,5799971557371330.0,6.754898976017639e+16,6059608216976784.0,3.03030303030303e+16,321413967759986.3,1045450003462.0773,108694338735.41971,5914347461098.416,148768193139.6321,2525130831468131.0,6060606060606.061,0.0,0.0,6057708824900619.0,0.0,6588545889340.502,0.0,606060606060606.0,177255774056.1409,4064861404.9317675,969516987987702.8,121208087679213.69,6057958104907316.0,2189039130499.8196,260023706.5414382,55890700651001.35,139009131267161.69,35650909083513.95,21193749605.012863,16301245191.861008,-95784508209.85037,2353978966.350125,-30255352966.062176,-142658847969.1806,952531.9133350443,-264560673.78700227,-445325771.2669451,51522398.71978609,286654038.9064985,-3376491373.238622,-1520561.6033563686,5086379.772737813,108709847.58980396,-98384.00819805915,-5651711.912446621,-1419331.503035945,-3543.367278732952,43725.15789014861,-359228.7550151793,73316252119.26256,85396322620.87967,35332813469.72286,51736998.52323459,18972867.034212954,68036767.92242913,5758413.316417377,-4475005.611994276,-7243323.6134103965,24437.38125652716,225068.44672646362,162223.94907880103,56195.35202214515,87770.30846631058,-480976.9954545408,-11741.270252573844,4393.559367808733,-158479.90181938678,340.4364637538741,-1633.132146220609,890.2965511568925,-28.459198728699608,-213.7741010067178,631.1187531654942,2786315458907.1895,3782841671.0488796,10964525295269.488,14188830439.787624,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,1.4062228358840005e+18,0.0,0.0,0.0,604886966505156.9,0.0,0.0,5686870296455237.0,0.0,11180194657318.252,1.2170891503644964e+16,6060017781014180.0,584604049837.488,6059800014827557.0,811037560277.7612,1210117839269300.8,1936923859932.9478,5796084126828390.0,6.8814568955166056e+16,6059266694821645.0,3.03030303030303e+16,367733472076437.9,1402780745293.156,108841263400.99739,5892578665534.5,167040779438.82904,2524697279627178.0,6060606060606.061,0.0,0.0,6058386692028553.0,0.0,7611385622275.155,0.0,606060606060606.0,199319817974.90112,5628308698.148351,969483512615294.6,121207392096523.23,6057581387042784.0,3419235867913.889,1007092785.1123028,55001998419844.64,165125571314037.34,86450501052672.55,26340326233.91363,122704304841.49472,-4067150576.623348,3547454453.9327335,-15309945786.319572,3570460517.023077,138087.42425015243,-155969326.5404771,-190096018.33834672,232664036.13695422,-301342018.88607585,1018413601.7686017,1276983.2171927553,11033849.828786604,-102984795.67187704,-127466.90706826694,6521651.229710788,18559454.41124145,893.8259556287309,31139.714330295403,18535.41660153363,86363210633.54048,128974891425.56433,61623238458.43147,83439249.03712244,83266505.02689405,-59959011.860651106,6814270.792928349,-8276030.702894125,-34399780.91332558,26132.809454273935,-127351.88147807613,-364329.9853266107,442137.2754881566,97038.65458752641,206344.19964519213,79.1177730497252,1244.5491142261906,146889.01301316332,177.3236973297468,1678.939265432232,-13056.40971588023,14.472830331146865,-59.770031073225375,-789.751788143355,3896288118573.8267,5476593403.960197,10708143832851.695,14112041075.218931,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,1.4061993754599306e+18,0.0,0.0,0.0,604618368039760.5,0.0,0.0,5626301470270902.0,0.0,10905503996335.742,1.2170649506973796e+16,6060055380013622.0,556703400994.3002,6059840523126405.0,767396201144.2891,1209894195221149.0,2208842651382.449,5793140449876002.0,6.9181113832903816e+16,6059026629661767.0,3.03030303030303e+16,432870165647495.06,1540026373265.6653,109286287218.30952,5871615342709.775,186675676644.993,2524692320572889.0,6060606060606.061,0.0,0.0,6057407982999874.0,0.0,8357985384447.145,0.0,606060606060606.0,263876372558.64642,6796898784.399075,969415102405410.9,121205978376785.38,6056790772121722.0,3590379751474.8657,1116908505.0667548,54148609507890.99,180527690917517.75,53192001079091.555,31913506705.02572,77164071489.82419,87543291438.83725,5287740712.714739,57525229708.95553,8697306393.93883,1987691.2083720649,32248119.831808068,-167175923.3944677,161282501.81321192,1499345401.8037295,-1606441605.6266088,697735.8515107873,-17794164.441165105,-69931577.27267899,-106079.97947160847,1847391.542366922,14210958.451439368,-1705.4334091683745,-170563.51285022046,306037.53725391283,96124542908.4667,158065450486.50986,85253348296.73415,107014310.92799954,134100682.08042121,227515771.08555514,13258214.666728556,36287800.28513288,-12744847.34648904,31802.27594618326,-354470.22591220884,-141270.3349654209,396497.95533068787,412436.6405611901,-164609.4168077088,12287.24875183813,417.99588617606105,3651.728234742493,153.71606634500964,1510.7082119379993,13145.49910407273,-13.581717891813652,-103.17304795113753,422.6262625756662,8335076192298.185,1944240019.629631,8836237915752.275,21975147254.53694,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,1.4061818065612104e+18,0.0,0.0,0.0,604463584865718.8,0.0,0.0,5558405216454896.0,0.0,11200847357359.135,1.2170669613785004e+16,6060092251287053.0,522164705436.87683,6059892454851797.0,699558542176.6959,1209675364754551.2,2489999340333.531,5788709909647385.0,7.077637783226703e+16,6058678738601277.0,3.03030303030303e+16,485638667674897.6,2019570481754.5747,109410050266.86528,5862715960857.162,202207972942.9087,2524196743748945.0,6060606060606.061,0.0,0.0,6059093827932307.0,0.0,9002502474088.43,0.0,606060606060606.0,300497095965.5044,7650350099.699293,969369740575774.6,121204571765750.08,6056430236715584.0,4674368375774.914,1868533856.4698722,53464982660331.57,221501263277250.9,92991674554451.03,37576889492.13853,115469635828.36168,127075783347.1573,6510360447.401461,118534385607.11377,-43862190256.95792,1900969.6400346872,54755131.690364376,-169124404.71099898,264950110.8895219,1468473856.225799,5000303905.48122,173678.81204625987,25604990.116159678,-83015330.09478393,67836.67194204524,133769.17940949352,947960.941631799,3552.325814133651,171675.07303306382,-344948.90237368766,103640237769.55194,195343570061.24786,77479626202.13632,134874635.34784278,216235716.5998351,35532521.189696506,14230733.426482828,30711542.12221778,-62546125.45769773,23720.149827547222,520248.7778946395,393304.0240019607,522209.60656140454,661947.7391748785,2877290.423014622,-2284.811627072915,7586.1008009608195,140162.08304552213,-304.1189125007387,-660.6865320640957,3853.6864697580745,-32.28688168209636,-88.16665796927731,-738.4660870682808,7088938331725.083,3228659762.2386646,17813165818233.273,21384918319.724617,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,1.4061920837177142e+18,0.0,0.0,0.0,604221395143776.2,0.0,0.0,5509834531169611.0,0.0,11481359056155.328,1.217079539507708e+16,6060110965900264.0,489697616884.41187,6059950728663216.0,656497205930.7283,1209467319686987.2,2665094244965.112,5782210451220203.0,7.114543102985057e+16,6058555557375757.0,3.03030303030303e+16,564166631742992.1,2149805306208.5854,108851308781.0066,5850035822832.658,212298430938.16302,2523592234886366.0,6060606060606.061,0.0,0.0,6059496691954097.0,0.0,9285975015127.611,0.0,606060606060606.0,359174538116.90155,8992199320.175816,969333985593705.9,121203459989666.1,6055654908437512.0,5189418224813.466,1867153264.6822464,52008539650825.05,245396022159599.28,118870856734585.69,41851586015.99213,222659883436.61502,262711517691.0822,7174514769.662546,136849738649.2024,54959996079.72335,3635854.1618515207,268935164.9160503,-628338740.4647896,354035388.96919745,1406298064.5934849,2519330790.2601643,1246216.471153082,25321285.036005702,-101992973.80091876,153840.95441119387,6249272.602551565,21803096.4855267,2661.640204533952,-77624.83847369504,386360.4245966337,111522965321.54402,243636067538.60464,133519386697.97919,173279632.4636387,337376104.0593583,358198528.05897486,20888028.71809531,114611817.16412354,-57640375.37079054,1481.004255952168,529587.6584415913,98417.3456530705,791426.7951237777,964124.1014323446,756566.0665623433,10037.380836073991,7210.791988974827,-39072.16297386633,740.7882860308235,3181.445146973504,-9344.038365974797,16.059423170033362,157.21510730914196,671.7544340048111,7627805485918.834,8314690992.305189,29282654782517.26,14648614424.405613,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,1.4061795112762614e+18,0.0,0.0,0.0,604031388803133.8,0.0,0.0,5459491740794359.0,0.0,11434618338361.59,1.2170738170151776e+16,6060147847486092.0,454267315548.4066,6059990691602405.0,640706337414.4384,1209292826886441.0,2897102184973.9663,5779817384550309.0,7.242940697362158e+16,6058136394449231.0,3.03030303030303e+16,597285738415863.6,2301020938768.831,109715571696.43724,5837843544567.226,219097407553.90015,2523068540592803.0,6060606060606.061,0.0,0.0,6059040178222319.0,0.0,9773820738261.13,0.0,606060606060606.0,367464767710.3187,9641062787.230213,969297973948607.5,121202810436747.38,6054606704434725.0,5662927257114.968,1915303695.9365187,51766330434103.086,255466123192699.97,118685209113730.78,43016400288.45484,241920786457.91324,115647059066.21994,8011841989.567634,264895482317.70386,157191779821.64008,6422498.580530817,134301870.14723372,-118172797.05201747,503150572.6654112,1148160597.3632197,1749941592.2112947,5302358.399222098,13624599.172208784,-23600702.042473637,223662.74223217776,-1916332.7947226167,8836929.340211978,-2606.6407223618617,-22431.556295493305,-244750.84229520257,120598389884.18494,274950574392.582,165858598871.09406,215808169.25559616,398417680.4474957,158154519.2805816,28611208.573388036,183689121.79665026,-49604935.05542837,64745.796907711185,-108341.26895131706,849274.8601869192,1252962.8098005964,1199682.3376166257,2976589.4436370465,17431.62811986306,11481.20263058088,-124078.96556304209,142.39946349107106,4644.034835800159,2998.359441377528,-31.042078071111924,-118.33138106122799,-116.97103954432467,8978942461431.691,6619427016.330513,43574464814228.8,42880698405.02173,18181818181818.18,0.0,0.0,0.0,606060606060.606,60606060606060.6,0.0,60606060606060.6,60606060606060.6,60606060606060.6
