miliseconds,A,R,S,C
0,1.0000029679937201,3.6584435421446336e-06,0.9999748441747037,0.002659125379671355
100,0.9999135265951449,0.00010062532736160483,0.9999597837389185,0.9980281519104105
200,0.9998220921843736,0.00018126306192065985,1.000050128270815,0.9918589224424501
300,0.9997591152617625,0.00023578341405023105,0.9999250971543328,0.9925285097520506
400,0.9996926552952181,0.0003114628112099691,0.9999248068480702,0.9942010406898963
500,0.9996424265167335,0.0003593286710491804,0.9997751085750184,0.9994181009615737
600,0.9995932149392459,0.00039677190237117423,0.9997127830285687,0.9944440141882246
700,0.999554571793578,0.0004328018584632983,0.9997305335170736,0.999380749136075
800,0.9995195496126689,0.0004684011700901176,0.9995683586940104,0.997267547586515
900,0.9995028354117022,0.0005022549043183063,0.9994606123257245,0.9880902601236611
1000,0.9994734999703667,0.0005260911315474286,0.9993406004386259,0.9924525352743984
1100,0.9994568700679637,0.0005564444894361302,0.9991866636320136,0.9869269887491089
1200,0.9994296879163883,0.0005691915261905869,0.9992213545592945,0.9949890104195381
1300,0.9994195758779006,0.0005846564020250182,0.9991060267664283,0.9911502501954209
1400,0.9993923855588251,0.0005985714793594263,0.9988865352011375,0.9940233254499561
1500,0.9993826451674428,0.0006075529631024505,0.9988044880613115,0.9945370386354296
1600,0.9993791061401934,0.0006283678532780052,0.998606987718367,0.9936954997926488
1700,0.9993598884785598,0.0006365457058094664,0.9984676930090276,0.9894790729785105
1800,0.999359485838061,0.0006352373939020795,0.998378888410842,0.9892817905091295
1900,0.9993546088059049,0.0006563399086116004,0.9983411543177992,0.997324407841012
2000,0.9993494649874446,0.0006482686224028804,0.9981251772072065,0.9896514450652258
2100,0.9993356209407036,0.0006572068954971172,0.9979813709909067,0.9936997059462364
2200,0.9993358981915784,0.0006659352120236161,0.9978121553185311,0.9912669075592395
2300,0.9993342315535726,0.0006755107993704858,0.9977241303412502,0.9939889353764527
2400,0.9993323776516606,0.0006793205480134154,0.9977037320449684,0.9967561842880835
2500,0.999327988732971,0.0006818289859160775,0.9974810734119928,0.9921962731669679
2600,0.9993191476136035,0.0006690336671834557,0.9973257750855058,0.9968255340848581
2700,0.999324712043731,0.000681449275545043,0.9971677128049771,0.9901358315947593
2800,0.9993132743173188,0.0006742163986938922,0.9971479239704654,0.9866322500283706
2900,0.9993243009550985,0.0006786507104899321,0.9969224235761157,0.984112294190203
3000,0.9993162730672611,0.000683546904778364,0.996882182582336,0.9888807328239836
3100,0.9993124676187696,0.0006815042982934697,0.9966071244037742,0.9937352719073013
3200,0.99931274889194,0.0006812420538194652,0.9964705352676962,0.9925431492164895
3300,0.9993109203544902,0.0006883389617602104,0.9963421071576261,0.9931703986598791
3400,0.9993116046896003,0.0006907414726795781,0.996276866993962,0.9864209723415043
3500,0.9993086042140085,0.0006918631564057724,0.9961331345857513,0.9848451338276085
3600,0.9993079802463932,0.00068210791624699,0.9960667693706565,0.9873110872099714
3700,0.9993121636396148,0.0006886304139877177,0.9959167646236903,0.9845176542026637
3800,0.9993177588844318,0.0006914033336105267,0.9956468038217123,0.9857379508168039
3900,0.9993033264203116,0.0006975371601357184,0.995533382061044,0.9854323755944527
4000,0.9993058934913845,0.0006906843663179399,0.9954634920606437,0.9887423581170622
4100,0.9993080154827938,0.0006875919349202077,0.995242567602865,0.9826593776256727
4200,0.9993121944055664,0.0006878390413240887,0.9952710410942385,0.9902727719802296
4300,0.9993125984076551,0.0006931630222289706,0.9950410592566036,0.9913149745644521
4400,0.9993068500499028,0.0006963365988371719,0.9949636047899991,0.9827575072749462
4500,0.9993141684260058,0.0006882073973775586,0.994705503384794,0.9895972528387351
4600,0.999310977486678,0.0006992665960226426,0.9946129406327782,0.9825564056875408
4700,0.9993148774845508,0.0006914043607754883,0.9944623277910799,0.9817005445088554
4800,0.9993115754774792,0.0006949888190086641,0.9943703598180721,0.9839487147412121
4900,0.9993114370643924,0.0006968395109440799,0.99418635577251,0.9828847901002824
5000,0.9993045504831851,0.0006880829430922951,0.9941717809062948,0.9947549939763223
