miliseconds,A,R,S,C
0,1.0000054503247764,3.129712432232721e-06,1.0000715835903333,-0.00013858479137791445
100,0.9999049419817257,8.626633282877712e-05,0.9999719986288405,0.9894612681710657
200,0.9998183700900382,0.0001665434477097478,0.9999184662015969,0.9930419754379952
300,0.9997489588054458,0.0002473113232340692,1.0000140446214254,0.992479046875023
400,0.9997027722102959,0.0003078616753230442,0.999841328959202,0.9956692914192327
500,0.9996445286001738,0.00036222459277975396,0.999757191538745,0.9943723873110181
600,0.9996008146391254,0.0003968703467719978,0.9998107261549697,0.9912056243355282
700,0.9995620132522562,0.0004415175441035175,0.9997243568376715,0.9884745022453048
800,0.9995235094695036,0.00047024181421471316,0.999534011571304,0.9988441989206137
900,0.9994963184989478,0.0005111306693989203,0.999408031405479,0.9979845701260199
1000,0.99947790191071,0.0005368805459780605,0.9994034319645811,0.9894804753253227
1100,0.9994441377322345,0.0005572567635268992,0.9993377967039182,0.9997688604244629
1200,0.9994299023094406,0.0005700552452665036,0.9990547506300935,0.9975804863783295
1300,0.9994208272894954,0.0005906564647966339,0.9990663894629711,0.9899328923314471
1400,0.99940704611031,0.0005994384474149358,0.9989651559037513,0.9978686019742294
1500,0.9993901498276698,0.0006188530230452257,0.9987248631973187,0.992740569285632
1600,0.999370986172457,0.0006233620653514803,0.9985759040540239,0.9957048786081462
1700,0.9993632353065826,0.0006392524704442387,0.998587608699452,0.9934414653119411
1800,0.9993574753362873,0.0006450508817882638,0.9984841558380231,0.9893244451707044
1900,0.9993570769075583,0.0006508812897452208,0.9982015230142693,0.9907315495487353
2000,0.9993493828699962,0.0006473430978586528,0.9981601209142333,0.9883822583559388
2100,0.9993403858434725,0.000663938264345501,0.998016706958321,0.9896616312640547
2200,0.9993288832698374,0.0006580223771492224,0.9978657585394171,0.9886256046771019
2300,0.9993264008127098,0.0006743821841312106,0.9976650834412939,0.9882666901038822
2400,0.9993296573181584,0.0006736941993371892,0.9976625382672849,0.9856957752459289
2500,0.9993338737691629,0.0006828144900628375,0.9974997534907993,0.984855461395858
2600,0.9993299835964272,0.0006735876826512548,0.9974192793551359,0.9929396119956162
2700,0.9993188797647901,0.0006723866041851978,0.9971876038371541,0.9857622492692211
2800,0.9993229073379638,0.0006759401725854267,0.997021238711351,0.9862240551169645
2900,0.9993171181477362,0.0006806105848419699,0.9970392803347162,0.9930693814257093
3000,0.9993096058615395,0.0006868837608534032,0.9967778615181306,0.987089411652736
3100,0.9993076483135858,0.0006847990045280802,0.9966953522933748,0.9889776610470632
3200,0.9993218762560829,0.0006788422435870125,0.9965488338672788,0.985918657913035
3300,0.9993160810977535,0.0006908054559935914,0.9964526551696553,0.9967535567865288
3400,0.999316142689859,0.0006919217182429376,0.9962713659589922,0.9954046694102673
3500,0.9993049960881877,0.0006962138919298464,0.996181254762416,0.9834372380665894
3600,0.9993061279253572,0.0006861376681367538,0.9960120008509307,0.984564436044444
3700,0.9993163320996418,0.0006927962836426143,0.9958292097253553,0.9856220901935324
3800,0.9993087220993978,0.0006829151242435785,0.9956658960116138,0.9931827789726281
3900,0.9993074685750687,0.0006844597679846709,0.99564705991213,0.9952385066571039
4000,0.999311366830247,0.00069407445449074,0.9954321504379161,0.9883734482367373
4100,0.9993014958215961,0.0006861170899841164,0.9953571091165156,0.9908446743443206
4200,0.9993057107691943,0.0006929977173867307,0.9952050122128518,0.9878748872765278
4300,0.999309801559557,0.0006860088362675784,0.9950442610839365,0.9911175895722754
4400,0.9993009645740594,0.000685525504253044,0.9949894497927775,0.9896188696443616
4500,0.9993154130010555,0.0006963669643050772,0.9948570835861543,0.9939641023863556
4600,0.9993006668044003,0.0006910608190505683,0.9946310411911706,0.987844557478364
4700,0.9993154355343065,0.0006868143489582511,0.9944914373261113,0.9839467233561188
4800,0.9993150683017342,0.0006857476797916143,0.9944187420915137,0.9909836440191567
4900,0.9993002942522561,0.0006915583460900455,0.9942615448747041,0.9846765685547746
5000,0.9993102282559139,0.0006859132819660625,0.9940134222562311,0.9941440164373675
