milliseconds,Gsbg_cell,L_cell,Gsa_gdp_cell,Gsa_gtp_cell,b1AR_S464_cell,PDEcAMP_cell,PDE_cell,b1AR_cell,Gs_cell,A2RC_cell,A2R_cell,PKAC_cell,ARC_cell,PKAC_AKAR_cell,Propranolol_cell,b1ARinhib_cell,light_spot_cell,AC_cell,PKI_cell,PKAC_PKI_cell,RC_cell,b1AR_Gs_cell,cAMP_cell,GsAC_cell,IBMX_cell,PDE_IBMX_cell,Fsk_cell,FskAC_cell,b1AR_p_cell,L_b1AR_cell,AKAR_cell,AKARp_cell,PP_cell,PP_AKARp_cell,DMNB_cAMP_cell,L_b1AR_Gs_cell
0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0132,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497,0.18,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.67,0.0,3.01,0.0
100,0.002188590894528063,0.0,7.173731998912361e-05,0.0018888473931199595,0.0,2.4588433814074897e-07,0.013999754115661855,0.01182905332953691,3.8264404624352033,1.1526468901576715e-11,9.940128793161102e-10,2.0736409265896033e-10,2.9985294366135413e-06,9.828924160081046e-11,0.0,0.0,0.0,0.04947199381858364,0.17999999931164054,6.883595450563393e-10,1.1799970004650242,0.001370946670462925,2.327729791946817e-05,0.00022800618141632172,0.0,0.0,0.0,0.0,1.6335005516808996e-16,0.0,9.999999999804682,8.862346334771857e-11,0.6699999999915924,8.407418155424788e-12,3.01,0.0
200,0.00431942008518257,0.0,0.00023175063102713427,0.003644107546421834,0.0,9.854200029568184e-07,0.013999014579997035,0.011829737306717368,3.824310317221735,1.8307031247077614e-10,3.225168700328165e-08,3.8354170616982114e-09,1.1936212685055124e-05,1.8199332264699216e-09,0.0,0.0,0.0,0.04925643809227048,0.17999997340366333,2.659633671511351e-08,1.1799880313525581,0.0013702626932762967,9.25561524397278e-05,0.0004435619077294637,0.0,0.0,0.0,0.0,6.3325603175108705e-15,0.0,9.999999994459372,3.3971244698091738e-09,0.6699999996764269,3.235728266921084e-10,3.01,0.0
300,0.006307043293490129,0.0,0.00038517725826171285,0.005279192116186433,0.0,2.175899635377117e-06,0.013997824100364615,0.011830375394061902,3.822323332100815,8.894166140860625e-10,2.383702605019458e-07,1.9710198621128065e-08,2.6299097617783784e-05,9.355845677499241e-09,0.0,0.0,0.0,0.04905732608097701,0.1799997906957838,2.0930421620331842e-07,1.1799734616427053,0.0013696246058880904,0.00020385770260485296,0.0006426739190229408,0.0,0.0,0.0,0.0,5.0005297281811673e-14,0.0,9.999999961613923,2.6502640831466652e-08,0.6699999974724071,2.5275925638406415e-09,3.01,0.0
400,0.008112211633756226,0.0,0.00048339260779079054,0.006802133893608653,0.0,3.7736744466676706e-06,0.013996226325553326,0.011830954969439773,3.820518743336087,2.6707843090016167e-09,9.668138526970173e-07,6.103797248813366e-08,4.556365175121541e-05,2.8977799519364365e-08,0.0,0.0,0.0,0.0488733148676751,0.17999912320191935,8.76798080689519e-07,1.179953466863612,0.0013690450303500221,0.0003531315915337147,0.0008266851323248546,0.0,0.0,0.0,0.0,2.1020267332466124e-13,0.0,9.999999850483563,1.1003759259350915e-07,0.6699999894989517,1.0501048012388182e-08,3.01,0.0
500,0.009748817186379925,0.0,0.000531530463630702,0.008220468612004652,0.0,5.733237733910172e-06,0.013994266762266084,0.011831480473152845,3.8188826632875945,6.159328869671434e-09,2.824138252338103e-06,1.4368431933136625e-07,6.918417751317235e-05,6.822104874772239e-08,0.0,0.0,0.0,0.04870318188929414,0.17999738776711574,2.6122328842590142e-06,1.1799279855249059,0.0013685195262186998,0.0005361568450371989,0.0009968181107058048,0.0,0.0,0.0,0.0,6.284533433313666e-13,0.0,9.99999957587485,3.248879432607566e-07,0.6699999689838398,3.1016159881068715e-08,3.01,0.0
600,0.011247170167968957,0.0,0.0005517388952698415,0.009541245678045146,0.0,8.006546178844911e-06,0.013991993453821149,0.011831961623937619,3.817384791457678,1.200676690084855e-08,6.700334467844488e-06,2.844450725762668e-07,9.658439949635297e-05,1.350630742729629e-07,0.0,0.0,0.0,0.048545814405342703,0.17999371917367898,6.28082632099526e-06,1.179896703259269,0.0013680383745459362,0.0007484764623288318,0.0011541855946572417,0.0,0.0,0.0,0.0,1.5164435869524194e-12,0.0,9.99999901695687,7.740638694486153e-07,0.6699999260838102,7.39161895078312e-08,3.01,0.0
700,0.012631005334342466,0.0,0.0005601501239696315,0.010771053746148557,0.0,1.0542955696961576e-05,0.013989457044303034,0.01183240603400833,3.8160014007030156,2.0814771639403034e-08,1.3761848142868121e-05,4.993439306976228e-07,0.00012715644789836611,2.371149818098218e-07,0.0,0.0,0.0,0.04840019853582405,0.1799869746107696,1.3025389230360673e-05,1.1798590608891875,0.0013675939628353582,0.0009853893729385491,0.001299801464175894,0.0,0.0,0.0,0.0,3.1563118246571334e-12,0.0,9.999998020435324,1.5905401930373326e-06,0.6699998480904961,1.519095035439785e-07,3.01,0.0
800,0.013914948246139616,0.0,0.0005643065576592095,0.011916050656862857,0.0,1.3289726412915653e-05,0.013986710273587081,0.011832818392733608,3.8147178701526805,3.3072298054056394e-08,2.5415444994574554e-05,8.02055853401213e-07,0.00016026671290884367,3.808726128424839e-07,0.0,0.0,0.0,0.0482654089684909,0.1799757674834717,2.423251652833085e-05,1.1798142847697988,0.001367181601372462,0.0012419956480548974,0.0014345910315090452,0.0,0.0,0.0,0.0,5.8939319059875275e-12,0.0,9.999996407564248,2.9315396441172137e-06,0.6699997199765024,2.8002349716522026e-07,3.01,0.0
900,0.015108297455734377,0.0,0.0005669059080832793,0.01298199146545187,0.0,1.619301394702427e-05,0.013983806986052972,0.011833201679999352,3.813524904234584,4.9105270082868504e-08,4.324697275123447e-05,1.2025909804379089e-06,0.00019526759992867634,5.710913617373961e-07,0.0,0.0,0.0,0.04814059991798332,0.17995852670959098,4.147329040905916e-05,1.1797614363220503,0.0013667983098746722,0.001513287408213881,0.0015594000820166216,0.0,0.0,0.0,0.0,1.0125977511240179e-11,0.0,9.999993984191647,4.969934111679338e-06,0.6699995252171181,4.7478288146079846e-07,3.01,0.0
