milliseconds,T_1,T_2,E_1_Innate,E_2_Adaptive
0,80238905.48626436,19670350.427183017,10493875.695183992,-2780110.449074715
100,73691417.0475035,17819610.549489148,10529583.831070034,7338950.885192724
200,69364260.8363852,16200307.533356737,10563723.238890277,16668717.806284271
300,62815432.26993935,14004306.320853377,10595477.351695169,24210303.584743682
400,58023716.87877517,12700838.223776525,10633522.602785766,29408029.21735464
500,57398036.09995556,11240644.286590835,10672285.109234165,36269556.12838875
600,50902871.63420274,10204630.842525348,10688717.530017335,45406249.81739485
700,48719899.226019114,9422514.059740812,10737549.43908757,50658375.92883849
800,42523896.53712578,7927904.447433567,10765288.101398364,57685473.50147896
900,40196650.733288705,7971772.113790685,10787259.730259005,60872574.252645165
1000,36727543.93279342,6613936.128531712,10825416.949407523,65668892.48629779
1100,36213908.22019551,6439532.236161633,10876259.730578922,69764788.62581481
1200,34321911.17445878,5685358.028538743,10902891.931109782,72240631.4808564
1300,30200331.020495202,4475725.984590743,10940881.287524294,75967934.24776195
1400,29222540.98328969,4779344.59880232,10950195.42839943,79537742.03151359
1500,28359004.631017875,3502754.2921576994,10993149.402282394,85825888.3150293
1600,23533795.631618083,3036896.9795784284,11000120.446305217,84522074.57116055
1700,20785157.982306156,3090452.301853217,11042279.776620016,90826036.66805111
1800,21732654.464733746,2838825.175239291,11061599.285031376,92861593.86393324
1900,19257743.883181788,2909124.0452217665,11090665.310882008,90703429.10793708
2000,20003936.558165614,2502193.505282497,11085527.324345972,95764770.87976964
2100,17620356.01356474,1601367.4592903804,11102512.44725487,95542147.28320262
2200,14896870.993462013,1597286.2224372826,11114839.067927107,97557579.49179828
2300,13648079.433954231,1356629.209821232,11150553.714410715,98046484.05031155
2400,15157597.289029038,1036942.2208855916,11167522.546536455,103052092.55161557
2500,10814158.222244741,886932.1058313334,11173816.777808854,105228885.40341665
2600,13065972.029166708,1234398.4072999237,11154526.854678076,107574641.9822224
2700,11559463.136520611,1134079.332258762,11183861.621614845,105795200.89245088
2800,10900096.37018361,897161.3120040838,11187730.40003675,107924565.08074437
2900,10164519.715499124,529618.4860623581,11162956.545623446,107135538.21758458
3000,8267867.212652312,1016763.9656678924,11155609.433894202,105487186.41349106
3100,6094060.532482219,1121201.1146176076,11157604.85138429,107344401.001877
3200,5958068.569132946,580918.852404534,11151295.383295158,107330760.46633822
3300,8460854.302172763,998165.4598109871,11137720.52808756,113758106.09574722
3400,6429372.320741228,143156.50071665895,11160155.47358101,113776131.32513185
3500,5364177.22263873,861862.0838778166,11146004.708194222,114748051.75369653
3600,3920423.2459719577,338548.0712522634,11111527.195915295,110275369.10567231
3700,3277097.0188390147,607821.3583744027,11092274.591132244,114739451.35644683
3800,4599166.122081901,-87353.65903239028,11090906.771926181,110911902.97279035
3900,6617852.621364806,691572.5475797544,11051527.771923432,111666581.66373172
4000,4567050.989935906,563890.0940584785,11023789.60342998,111100176.00801337
4100,2181370.909993233,-173087.88037631614,11018715.099454414,116221234.00105703
4200,4128267.052342386,484004.23666422506,10987299.724186074,111998261.93163522
4300,3161498.317986562,128418.8415319516,10967276.993903808,116888754.80220869
4400,4367504.135801511,29214.54594889228,10942004.657810342,114646419.43688537
4500,2392128.1979738437,-12788.806153923331,10940685.931042125,114068201.91146389
4600,1774129.1510651736,176259.93456862966,10876973.428240025,117506434.67458253
4700,3739147.711700718,-86899.14928458256,10850025.724569222,115696319.19159074
4800,4395541.891559733,445881.6802215257,10821254.565643962,113742394.54569222
4900,2162312.8725208975,4823.476714833014,10808336.520537183,116090056.57004014
5000,1396664.1523541678,271897.4843324452,10776062.425642515,112418349.57885087
