milliseconds,T_1,T_2,E_1_Innate,E_2_Adaptive
0,80190925.50589989,20117602.27614799,10495260.086762274,-3076919.03605486
100,74115065.35541072,17530495.337255307,10516362.761226866,10842564.182728503
200,70977626.01455721,15676587.799173618,10573983.765248401,13971229.55399947
300,65859618.1098668,14167675.92512713,10596228.954182932,23283092.39072015
400,60644547.96118401,12615263.907077191,10649711.672593147,33070508.66786652
500,54448656.75225411,12025675.411078207,10680187.982100034,40434338.40128403
600,52113105.65474367,10497401.393789357,10701819.769296644,46594825.27708178
700,49061219.141324654,9511260.586072702,10722834.26237386,48191212.6778804
800,44588801.131959975,8483907.986147843,10762755.149839262,56684727.86914546
900,41380923.54942052,7671632.495650674,10796011.137552526,60063599.27293665
1000,37928558.735655956,7117376.069393531,10840491.265235802,65100568.46690886
1100,33571654.42831525,6313566.562014233,10861282.029542243,71660326.60217479
1200,34371328.08973072,5020428.09320892,10905772.543355456,75215501.85244097
1300,32386159.241495565,4606464.17302341,10920966.376041805,79480217.41462007
1400,28219756.038813155,4407887.435459679,10976601.08096073,79927567.49049379
1500,25981750.356606893,3570178.9611314298,10979270.633794598,85064705.89134492
1600,24009724.04313957,3525460.6087768427,11021634.265095674,83005701.6915189
1700,24618637.2876808,3471528.8632353204,11053108.534639983,90921381.58402175
1800,22037214.297228605,2573454.911530399,11063539.93840293,92411995.90447697
1900,20687991.624777894,2132194.64578863,11068248.982983107,96245127.66938892
2000,18499809.785220213,2751388.116538697,11102873.492193844,93872414.44676247
2100,18972345.038757674,2473215.024973409,11102387.67770595,97916931.11067168
2200,16569099.35876136,2177813.701063503,11137391.691616714,100761787.11073203
2300,15795465.882949777,1201187.5628607785,11143283.344475493,102766647.1937779
2400,12683035.392196018,1445538.8044844584,11173306.640187493,100928756.93238503
2500,12169956.038062071,854402.8666741202,11160072.465102585,105683607.40801993
2600,13541491.673771966,708562.8018106535,11154063.44069399,106411055.91505063
2700,12872272.059711676,666984.5766978508,11190501.004423039,103417229.83657
2800,11949040.171335028,971347.2240134075,11186699.855042914,107304367.9595578
2900,8964007.918912377,1065540.7945794412,11180878.404953556,105523978.23468776
3000,6612292.144846881,892078.6065014713,11174078.769639166,109578825.7067069
3100,6998888.154658797,843874.9161273474,11169273.815826643,107598221.28830455
3200,9327758.27682694,650093.7242182267,11146664.25930741,109626881.28485844
3300,8469477.78793712,903963.2944447303,11149807.3182918,111489581.8105674
3400,5603850.692811951,550425.105818164,11148212.679646673,108408134.79010619
3500,5337329.125078277,805127.6029767039,11136699.543766664,110886534.64701132
3600,7007285.418151656,-3817.01872772997,11095290.335498922,114891524.18119134
3700,6305600.720323793,680220.6392561579,11082994.203079272,109809773.30688742
3800,5213478.311986249,180944.14432844627,11098463.507632406,116014568.16179402
3900,4390682.1154012345,16321.970544303476,11056664.054672983,114105476.70091282
4000,2767696.340121584,-188001.00953185518,11047505.730322663,114843109.89951319
4100,4254618.876621921,426833.6573399268,11010675.804763183,114277677.02405655
4200,2244864.259218172,253907.23663025902,10994274.883973513,116457081.2958815
4300,5129165.212972786,655180.9615512651,10970738.165490065,116268006.64707553
4400,2630677.812483436,680759.312793823,10935757.66177689,116790195.39346425
4500,1618331.4511479863,20994.567839561,10909439.531704875,116542646.96379642
4600,3704551.663171594,315912.3308222025,10889081.070760546,113639364.25133009
4700,2024901.3904729187,471259.90967927,10856014.711388908,112646393.48297156
4800,2462558.6808391153,434219.4293928024,10824774.969573852,113566355.9790122
4900,2146640.090995232,281705.8831995383,10827697.251709195,113327826.55374724
5000,1991021.445642588,5578.292210397049,10789487.340351129,114481591.15455298
