milliseconds,T_1,T_2,E_1_Innate,E_2_Adaptive
0,78604708.3862373,20470700.32336332,10513535.977038989,1852934.9316567266
100,73793306.22329393,17764478.89183021,10545787.173166301,7427573.163525898
200,69029768.59401412,15891209.867351767,10549343.962387046,17262730.224733658
300,62651202.42702029,14574905.297926312,10592280.184593344,25820539.63494939
400,57447888.3127986,12816515.702378387,10629965.890356677,32861884.42495934
500,55558957.365548104,11589393.542349506,10673220.120466014,37028933.388478555
600,49323173.76838629,10473132.097014895,10714672.608480176,41576773.11012635
700,45775170.206066534,9348554.669929525,10723947.868927736,47555898.31555017
800,46280902.03981739,8306421.807009387,10781694.10967325,58078940.442095645
900,40552405.902569816,7264958.683688769,10791219.568266336,61869496.890898176
1000,38368089.982545316,7118814.290036354,10823390.29669524,64665011.15242387
1100,37317333.20781547,6286842.445204314,10861900.958715703,71749161.64911842
1200,34377890.59372978,5612390.315364988,10918047.618270835,71407422.00114469
1300,29943841.140891246,4414435.671169053,10920169.75741336,75259943.92501856
1400,29531411.582840562,4786434.441771857,10947817.869637687,82938456.16583255
1500,24556879.855011348,3907052.574048374,10995807.62955979,80277084.47677234
1600,25300233.874488715,3295246.996399743,11009506.052715244,87003277.74105509
1700,21884717.590640254,3085684.097645707,11041565.060124097,87408183.24575078
1800,19652952.043769117,2523605.9713481762,11050513.370513659,88687411.51444879
1900,18352167.84154385,2633107.6627281914,11081087.300441267,93455390.66139078
2000,19209847.328007545,2511280.2899444895,11117291.01136539,93860019.72392952
2100,15238659.610284278,1691873.27576298,11114062.972772336,98370614.33017144
2200,14775996.767271252,1692181.2859993111,11139667.42239696,96693655.48675545
2300,13766142.18312853,1864012.2629092706,11157368.734370593,97387949.96252316
2400,15161070.252794076,1728182.697102191,11166372.915300664,104187498.41417153
2500,11166995.659398587,1242123.236265294,11156683.133514583,100372931.37797347
2600,11863901.451563653,846904.4792132429,11155844.531747114,106980246.70627823
2700,9233635.10823019,1215241.7826845436,11182728.203206409,105330364.45479706
2800,11061715.390793249,1174074.704468466,11172129.062560886,107043260.14799677
2900,8822810.706277536,737101.8275657215,11164965.15961682,105184126.6079352
3000,7825835.26207287,892535.1777822921,11186462.178768527,109171623.4930413
3100,8983558.951255493,1136056.9501240947,11171867.211003466,108810746.86374311
3200,9586413.671668159,467407.82970534684,11175590.491179245,111846508.27997635
3300,5773576.962365017,242275.56493579835,11138246.482263273,109480022.37661155
3400,8474946.345145537,8343.869395242189,11126826.520062143,112650895.02572417
3500,8078922.465729378,570335.9081920864,11139766.325094972,112155373.37628496
3600,4436328.121942648,228005.01834592532,11097286.253754683,114268161.42417355
3700,6173782.666195613,44922.60816454259,11111980.555917902,111951745.58075497
3800,2875484.5928004542,812220.1495753012,11084661.931612382,110997319.44862929
3900,5822251.54525859,262116.12284695683,11052624.870664146,116190815.57356127
4000,2540146.0404158738,304745.63693460333,11042175.533916026,111949860.25470954
4100,4239702.655742901,639008.654327475,11019001.47305907,116383943.16223317
4200,3348655.6226871335,196970.18789872594,10995482.148335423,112749123.4026914
4300,1561678.0764628085,703261.4829158613,10989645.9366452,114983876.50884734
4400,3486054.1380142085,296049.5324654442,10959472.272543283,115471904.6988582
4500,4386241.04967113,450708.976314379,10940422.59866512,117065291.4374753
4600,4803912.95051978,4393.875860339409,10897481.644846886,117864976.31082849
4700,2066613.3603767976,-232599.45557275054,10855031.584033495,115373772.23277625
4800,3470090.722377844,144152.34144757144,10841409.363007942,117270815.1865686
4900,683273.0742450526,500990.2457899323,10808608.86852466,113665899.5984699
5000,3031898.6944540837,69192.3381179746,10759555.172374967,113590468.64120762
