milliseconds,sigb,lacz,x
0,668.1588774413428,-0.0012437181183016994,0.00010024671202489601
100,966.6608767465937,-0.0006800253074490207,-7.06611027650114e-05
200,2025.2298489043806,0.001391227228496219,-8.566036661857213e-05
300,3603.261545973082,0.0011880043235904052,1.3103333939975607e-05
400,3359.7377365655684,0.0017853151651018753,5.954453534540094e-05
500,5306.641006958354,0.0004734029315354341,8.397453824508439e-05
600,6008.992340165742,0.002704889140106213,-6.476757882073177e-06
700,7608.997176752113,0.0008374195357078022,0.00015923374508395504
800,8039.463196788892,0.002365578408888433,0.00028709678036770847
900,8955.559399252177,0.0019982165832803387,0.0003306606866264923
1000,10583.816352143429,0.003049714768652084,0.0003646120353585507
1100,10592.597126335771,0.006078122468495454,0.000485358994244994
1200,11614.171619601786,0.006420016850445695,0.0006604761138496789
1300,12873.433820805149,0.008540731028236105,0.0007089923995882608
1400,13991.30879659488,0.007107851263249256,0.000801440871064379
1500,14800.38851025387,0.010818371036520974,0.0011435241376582127
1600,16473.30570550133,0.011805548814626024,0.0011453013563400064
1700,17003.198822251044,0.012245761863273134,0.0013773449547802208
1800,18269.847437651166,0.014758069131527109,0.0014192979007864182
1900,18250.81756183388,0.017017104153235436,0.0015660383700982926
2000,20354.047347399828,0.018601887719586853,0.0017046102121740464
2100,20772.412229039135,0.019377181802095904,0.002066449141034053
2200,20922.100757464417,0.021851072202336026,0.002282553330734243
2300,22834.513763019277,0.024809716809243067,0.002450166914011634
2400,23640.311608456137,0.027275214838125332,0.002479636928118881
2500,25033.417770474727,0.02761167119589937,0.003014686546320203
2600,25070.972043474972,0.03088503266948194,0.0029574906723877767
2700,25945.949566870815,0.03214760138876826,0.0033186921197732406
2800,26729.94985791741,0.03561496258998659,0.003699443403917248
2900,28406.89553624186,0.038312285232378826,0.0038879327808823117
3000,29592.57046100359,0.03855913833839899,0.004166048574210118
3100,29787.393109396246,0.04212817167055792,0.004346107533278581
3200,30688.56996428647,0.04474212328985913,0.004792525541742921
3300,31782.363136024716,0.04700028849884458,0.005096609071430693
3400,33255.61516695099,0.04965366866412323,0.0053654654123005165
3500,34551.52212328874,0.055008273207000094,0.00552231599370402
3600,34734.07695746425,0.05579101193651265,0.005818894513820386
3700,36534.9185545868,0.05951336789566395,0.006155867331557564
3800,36415.33602574099,0.062308722066561927,0.006707024866235153
3900,38125.24331409767,0.0671281457284832,0.006810211348503825
4000,38839.93854304588,0.07185610402822672,0.007130971807077791
4100,40275.41221388478,0.07501734011573992,0.007682096831910698
4200,40732.5292339313,0.07917315428131003,0.008191436852647258
4300,41699.996182984716,0.08178077776627223,0.008575618880871846
4400,42333.96873828888,0.08656708073957053,0.008809967330320186
4500,42715.8078239899,0.08988164032768198,0.009134330340288854
4600,43987.81853833478,0.0925829382893294,0.00967690937116736
4700,45068.149479429616,0.09562566498255377,0.009947693901790807
4800,45540.06891055294,0.09998329961673401,0.010555639621547905
4900,46566.71093377178,0.10476493765008256,0.010949634312391475
5000,48008.998334752636,0.10924700889766481,0.011480935741661718
