miliseconds,Akt,RASSF1A,MST2,dMST2,aMST2,aMST2uRASSF1A,MST2uRASSF1A,iMST2,iRaf1uiMST2,aLATS1,LATS1,iRaf1,Raf1,aRaf1,ipRaf1,RasGDP,RasGTP,ERK,ppERK,pAkt
0,199.08854856958826,1.6065017882590724,0.19978194238867789,351.2603884703181,186.03142556813916,113.75948215289554,0.2292884883272192,-2.392890227072794,193.3222976433986,193.58455893496864,9.277326620608406,751.1037739767421,0.0017531871883435617,-0.5262624916409971,-3.3909391808882555e-08,299.92831142926286,-0.13978488483231438,2999.5506809885687,-0.6090353399270617,0.6362765794996963
100,199.51189327505114,1.6585597054705317,-0.0009767901702483922,334.160257791899,182.90522550353006,114.11174176207422,0.2277576223690964,-2.6524257081616285,229.32278512309108,191.58038055832085,6.389962431164757,717.5298622020402,0.056199302956298,0.9085561091888511,3.8892548399962384e-08,293.8759885544516,6.293658460514594,2999.7856935261907,0.6888871443320885,-0.07813577153591122
200,198.41506403377394,1.6338108207599915,-0.0005944300226259578,318.08156797703447,181.17510719589725,114.0651338597281,0.22467116212018728,0.14896739809901002,283.21167441059185,190.2532630928503,6.482129483096361,668.8116907999234,0.1210428020018301,1.3565962653935633,-4.134041129993777e-08,289.1860377849996,10.48661541214142,3000.247328056679,0.578169161929881,1.8446513227522412
300,199.16596091853785,1.7889430350021063,0.0006210465806123978,294.44551003807305,178.45494369883482,114.00539294093663,0.22381986241461188,1.7643825892880136,320.2732427858135,191.41585075491773,8.259821064431065,621.5707970769981,0.1652508644441813,1.9612062578099785,8.852015201233116e-08,286.0902369804343,13.929322841495686,2998.648538728575,0.5380568388875567,2.7885036592831103
400,196.52211553730353,1.6733013133286074,-0.0007017767465428563,274.6363699941447,169.31598243930733,114.02189143102389,0.22060532131698038,-1.4437322169562878,350.7367777212982,191.9518148283186,9.860383294300071,593.0118932845825,0.20444910236882338,3.573755035295351,-4.792347825811816e-08,284.06404680068505,16.11312690496503,2998.5608664479682,1.2008873950879788,3.530289931140595
500,195.93478762775797,2.2854269644520318,-0.0001690306573160535,264.8881304485466,162.1592857032278,113.49189516024084,0.21800705220530445,0.1551613311249517,397.49840645445056,192.0074112807061,7.594058448193448,541.9993433076363,0.2715346272679393,4.134859968907684,5.460285458437618e-08,282.19765169456724,17.607290267680227,2997.630744749451,1.6956428069084013,4.8491059562746015
600,195.3665645733458,2.14598366407452,-0.0003709654272298391,248.49574729193924,154.64408295172822,113.57760868007936,0.2152479064126487,-1.8439872075064094,429.77957455549324,190.8800872165372,7.619679228227666,505.87039547032356,0.3120020014224268,6.597948047025594,7.148260664307069e-08,280.95429380224056,19.161712897928233,2995.984615950269,2.9867747584915016,5.407973559016342
700,193.27313890568075,2.468883141098528,0.0012138289567768879,234.93639535901426,147.81479777337768,113.2322856372492,0.21362194290848951,1.0744342556264648,469.2675972443039,190.16631760002045,9.731999243625156,467.71129461665197,0.3576226642056662,7.114353040138401,7.402340969020604e-08,280.0970441649885,19.887007978833285,2995.489333975417,5.248318447175613,7.247541164178722
800,190.91047218785502,2.436926661616397,0.00012291297598679478,218.6241194100417,139.02009722956564,113.28776012636942,0.21006483712528362,2.0119322514631914,507.054103508929,187.8411803900281,11.373007634676204,439.33529912560306,0.41505015116872845,9.229374785366671,2.722137179302691e-07,279.35546666746257,20.449197013102165,2994.327761071894,5.444463256042883,7.429857976715794
900,191.1897049826266,2.577056198526107,-5.12327278010081e-05,204.06164601543617,130.25339447549618,113.48795324113888,0.20790909795385437,2.604287234423817,533.7157770820669,188.86067319651593,11.952622466471665,388.10707239823876,0.478130849805153,11.015657287744657,2.614377808245321e-07,278.8751369816426,21.003390308088832,2993.110208719715,6.56784111035441,9.021435510198755
1000,188.51092566947858,2.5179978968072705,0.0008674631079157569,194.31233681946458,121.99876283981128,113.18057701998747,0.20736257901558117,2.425927286870926,582.0656017681952,189.98470333577285,11.687665947757857,366.4031285229648,0.5092070082503174,12.477795684170362,4.286995630455191e-07,278.6742235593637,21.509233631494407,2991.1896589631065,8.424183139716552,10.9927127924204
1100,185.96159480111803,3.0338996219179277,0.0006680738294354532,185.9120289492334,117.96882722851035,112.69558389826938,0.2042011373769291,-2.564360266016862,616.55982458728,189.14071672291155,12.273389816523022,322.45452361898555,0.5637289470712434,14.615452544487326,6.503605983723622e-07,278.17982544422176,21.540918866787624,2989.326041694633,10.115301140229413,12.777368649784092
1200,184.28572085310847,3.110318787827151,0.00039809856695081143,166.31223298237515,110.59379868445168,112.771641107446,0.20230413642554804,-0.2059617289836302,645.8564530670402,187.18442307466725,12.49493464375828,285.5298036061807,0.6187643925939197,16.35206905342973,7.947413467393423e-07,278.32420150490617,21.63459099896458,2988.42104324408,11.27300346140456,15.032389149536789
1300,184.09004643058628,3.4635361408956733,-0.0004386036680766246,165.3866960230984,101.26108136489418,112.7497057371998,0.19956598952869495,-0.5560950592988689,666.7908079641612,185.80205677081696,13.849046266002393,257.08860940351025,0.6758816146796953,18.343146495426453,8.321384385448777e-07,278.030656730349,21.976189083421765,2986.006386215191,13.428298580933305,15.98699506727074
1400,181.25861076793134,3.2923575044911924,0.0006746138602495927,153.95978870593368,94.42672298570584,112.21548927770179,0.19583804518327302,1.4990272763310077,690.0729802025281,184.31913408016754,14.471123814750856,227.92513337523974,0.7369810570486226,20.207831142946148,1.144351128208332e-06,278.08765302599227,22.171506669150695,2985.7719091651184,15.426021124953817,18.418574100060788
1500,179.34432515205705,3.5676409951429195,0.001090722056515925,139.80570969980428,85.33877275921598,112.0980553884771,0.1943351972317727,1.3406336324935824,708.0666880998203,181.6115183136874,18.306271947058345,213.4408516651015,0.7613227542873682,21.698098386619783,1.3196470993997529e-06,278.03062401942725,22.12454848142581,2983.0554150197227,16.84507454721439,19.514104650262034
1600,177.72932598188316,4.19284648715209,0.0013373953342942166,131.36430626057768,82.09198350477449,112.08377066300413,0.1937494330410423,1.2837422320993874,737.960416917308,183.64083369807858,15.913014324297404,197.03112502828358,0.8305083478015144,22.84221604456295,1.4599087100415265e-06,277.6943429954974,22.113603254972286,2982.1615608538486,18.929350277232246,22.24010694000844
1700,177.72860305241898,3.992326403169968,0.0001671732493378555,127.74267520188774,73.48561313645348,111.63414948712075,0.18909287176562287,1.1805959672686517,765.9632958124471,182.1663460380993,18.8529728049012,159.77149808317753,0.8804231994638915,25.32801414600985,1.7813687001288123e-06,277.77669544042624,22.200377624536436,2980.5562795080264,19.446524482667293,23.08768274344395
1800,175.91247058862274,4.669205808442549,0.0012830288326748593,115.80004669919676,72.56658732584307,111.23465304965183,0.18828163049795174,0.5908321571805566,776.417122330946,177.90846657455296,18.698702666610846,130.3733349685807,0.9500735126545873,27.349650361495478,2.066062468164013e-06,277.75207879016216,22.335000397453147,2978.3256560503874,21.13338065447126,23.439997715329486
1900,173.18580613466384,4.983031059988943,0.0007118505300782202,113.98841490810518,67.1558229935315,111.10599601686641,0.18481330816814218,1.8738738816176148,795.4675850359632,178.23892917974524,21.36962998697912,119.45239883023756,0.9975621967428494,28.16304473795075,2.337130359710552e-06,277.7542715985106,22.12420060283235,2976.9703286209674,23.32010709139897,25.2623986011918
2000,172.62791665134992,5.028285686825125,-0.0013806925353216815,108.77077662975171,59.71973970477509,110.26715601920071,0.18338154884758462,2.0964728604077867,809.099761306308,175.4976470784789,24.112265157406846,102.38912704518896,1.0485010710870337,30.615369403476365,2.653018093690729e-06,277.6655529322853,22.248643437996442,2974.4736478818195,25.553887781728076,27.327061176603518
2100,170.42732988287594,5.712055868983186,-4.650336437516778e-05,102.04474168556393,56.96558902562977,110.40537898695757,0.18108748389416374,0.8192156088077576,826.1529013718326,175.2704140475635,25.57248055268295,73.8087080305899,1.0919458189942952,31.736834768233678,3.078116119416862e-06,277.72607656455824,22.22877450029787,2973.39227087963,27.268306389549526,30.32434738361842
2200,168.85269005441,6.20978405277519,-0.00027406614581341516,90.12047407531388,51.41390512303439,109.51764820695423,0.18121726245980377,-0.40184163126335776,850.0588803030384,174.38879224919052,27.65445909613471,54.60560223194548,1.1430060661795118,33.83253092875132,3.426317609500483e-06,277.8258266548209,22.353294811285828,2971.1414722025365,29.445483361478907,30.22206825843962
2300,167.5628143876387,6.160103232081264,0.0012647963950751513,85.82744761451814,48.076947364595846,109.4334532836122,0.17748253310451215,0.4242602005935799,871.5168672951968,171.69077951584111,30.90138851449552,52.46324265373945,1.2144267993166302,35.267144515601316,3.656379892134592e-06,277.86446888852555,22.39559726436555,2968.567024923503,30.331254296285355,32.26382614812025
2400,165.2525737025105,6.589861389066543,-0.0011832576112524858,77.99854928119687,46.93552468556497,109.03219000493301,0.1765325562169303,-0.12020383160413403,890.5079796268454,170.06617408822112,33.4784560789578,30.417515997100594,1.2550668652330166,36.38108957812015,4.168554014804397e-06,277.7339126909309,22.384198161356274,2967.437885850671,33.24904610784246,34.377679837637665
2500,165.04980780472187,7.040367512183645,0.00044436510234226433,79.5600988578046,44.609531364754815,108.72996513010122,0.17406883306573034,0.3915877364452295,885.3183629044049,166.68326337363527,33.524638736154245,5.4771669934229,1.301213329734031,38.33715111915492,4.380744493910305e-06,277.54829783738603,22.235606323667316,2966.131766943306,34.10747357712711,36.68787632209688
2600,161.93571749429768,7.67211874906837,0.0005271354822471389,74.59618466965671,40.09829617138523,108.13100512842969,0.17331234080875657,0.25612930536724654,915.7168161902536,164.75825462580804,37.10628094352201,4.8268028932339915,1.3357710577110258,39.49451893172644,4.856578687434947e-06,277.57650977148796,22.312438639455365,2962.835302536065,36.09835900488193,37.01151712542169
