milliseconds,s51,s52,s53,s78,s85,s211,s213,s482,s483,s484,s489,s490,s491,s492,s493,s494,s495,s496,s498,s499,s500,s501,s536,s107,s108,s109,s110,s111,s112,s113,s445,s446,s447,s448,s451,s517,s518,s519,s520,s521,s522,s523,s524,s525,s526,s528,s529,s530,s531,s533,s535,s527,s1,s2,s5,s6,s7,s17,s18,s20,s21,s22,s23,s24,s25,s26,s27,s29,s30,s31,s32,s33,s35,s200,s381,s383,s385,s387,s389,s391,s393,s473,s474,s475,s476,s477,s478,s479,s502
0,199.96121338956218,0.0001013267772298966,1.8145883829088631e-06,-0.00037012473625580887,-6.213458533337676e-05,1.1643337766030287e-06,-7.131571442751101e-05,-2.2686513841148227e-10,1.1840266307976232e-15,-8.999756094331814e-19,-1.5325940787506658e-32,-6.766644862305505e-28,6.378665450255048e-24,-4.605937292947642e-37,5.979511467164945e-42,-0.00012378327084116683,-0.0007156629767548387,0.0009010900674979933,0.00034671948198242137,-0.0005158126098615237,7.9633085604309e-08,-0.00039349935453397125,-4.455682513288383e-05,1.0803863790225799e-06,5.126833272604788e-09,4.909877437533368e-09,-6.102244563491032e-09,4.748415748909815e-09,-2.3785268867870184e-09,-3.7089122703732906e-09,3.006592282433061e-07,5.964277386097345e-09,2.8505991683452408e-09,2.1147349571772817e-09,-5.7746739205918365e-09,-3.4017739121420518e-09,-8.08230337611938e-09,-2.7831116697814124e-10,1.502391843308965e-08,-3.9349434225470995e-08,1.8371462047546396e-08,1.0301635032734157e-08,6.973455946935831e-10,7.111422887914383e-09,1.079454627870957e-08,-1.8198383119107955e-08,6.629654593237478e-09,-2.1031642823494915e-08,9.694925348620941e-09,-3.070975054075966e-07,-1.4534884678731435e-06,3.0714817542338997e-12,7.9999944648170285,8.000001247900752,7.999960559709391,-0.00017666894358884768,953.0465349817476,1650.0762217705192,21.999982307101437,7.999294748957268,8.000004250514612,749.939336868015,7.999778823795578,8.000320553896408,7.99999719814098,7.99999515464135,7.999991667984717,7.999527254876372,8.000004592534907,8.000661847339778,7.999512434329534,-5.442810811785906e-05,1499.9999902064228,-0.0620136518487325,-5.89577029630739e-06,-3.885067638246475e-06,3.133474191542232e-06,2.801421686076493e-06,-1.6186286303223995e-06,-2.8339588736791384e-06,5.805528170879165e-06,-3.203489020346516e-06,2.058327948589421e-06,5.782835036578997e-06,-2.2520606510949305e-06,-1.705435610862031e-06,3.3779411642886715e-06,-4.824499268783826e-06,-2.4630297213651456e-11
100,199.97734789930882,0.0001419219334871692,-5.549931687669968e-06,0.02803597285284988,0.0005853882381816433,-8.967394734324161e-07,3.950412341627155e-05,6.477225335292761e-10,-2.7758602550054675e-14,5.634540101920706e-19,1.4643051646596178e-32,-2.646598265732513e-29,2.761214994701798e-23,1.4112323219956694e-37,2.2937298623622334e-42,0.0003764263035560734,0.0003254165083577306,0.0005460736305324546,0.0005540859296204717,0.0015522299256670034,-3.813754740605388e-08,0.001385815450417905,0.0002128641920798958,-1.1037310202468773e-06,-2.862644710339611e-11,4.011956060395938e-09,-3.0399368173578148e-09,8.495750102739731e-10,6.133075862714445e-09,-1.5706163614939527e-10,-2.914296156389211e-07,4.015840662286286e-09,3.7658299232174e-09,-4.4670729457518707e-10,6.250640410009419e-09,1.0421835172990263e-08,2.018063974295904e-08,2.697989427564121e-08,-1.2766247108649379e-09,9.290416024160492e-08,3.958591916066181e-08,2.7607517305365422e-08,1.2942529572452281e-09,2.9528370756771406e-09,4.045080727186483e-08,3.926007198551597e-09,1.4731135728442559e-08,1.594658367541619e-08,1.2390905638886123e-08,3.151452639822008e-06,1.639690404422516e-06,1.5634320919991674e-12,8.00000081390241,7.999996811413906,7.999947548461807,0.00013285842069246773,952.973897764661,1650.0459568091953,22.00000243490199,7.999930196766887,8.000000610981099,749.160339763588,7.999748739139646,7.998964736936659,7.999997755700825,7.999993970552614,8.000046759792061,8.000095732629603,7.9999953171283105,7.999940261373318,7.999070850536407,3.5196829777004005e-06,1499.9998879821192,-0.015834835354474608,1.0615606760024253e-06,1.4734514145540215e-06,4.186523426652516e-06,-1.8433434905507753e-07,1.2125674680053145e-06,1.8734601672838432e-06,1.8091343281756384e-06,3.7935817364183104e-06,3.01554218021123e-06,-1.8915054936930482e-06,8.743719832653658e-06,4.870737318545763e-06,2.5598069512843472e-06,-7.127521429840147e-07,3.02351664963841e-10
200,199.96762841837074,-6.163906842995426e-05,7.551458280513046e-06,0.03807578828984255,0.00037615102612538866,9.97784642317582e-07,1.8951606218423166e-05,-2.850629002027575e-10,8.757882931691953e-15,-6.404569723714924e-19,1.9415085661612647e-32,2.8138762142032354e-28,1.6957827135875104e-23,4.026046714751582e-37,1.2793080476636315e-42,0.0004894531410521764,0.0020010139416128995,0.0016994110403625144,0.0018944504022400965,0.0005112834907334273,-6.639565472676251e-08,0.001232197798736968,0.00014203650998566056,-5.450261170656407e-07,-9.625195952115689e-10,-2.8956116134834557e-09,-4.471915888172857e-09,-5.524446004606157e-09,4.086778308248363e-09,4.336566602310551e-09,-1.949228780991768e-07,-1.2328445233346681e-09,4.382943970162823e-09,2.551749223191305e-09,5.345551878277973e-09,4.10887889256651e-08,2.084296240139359e-08,5.917869163000756e-08,5.601979306061479e-08,5.888059441799616e-08,4.051896648444416e-08,3.978624714657998e-08,7.350866048137217e-09,3.106045616649858e-08,3.43724292708981e-08,2.5781794067092715e-08,4.251303222428305e-08,4.3374973275525317e-08,2.331130713205581e-08,5.451651559151102e-06,3.958332145749937e-06,1.0888051388914118e-11,7.9999965352624995,7.9999889515639655,7.999951357245223,8.787835928786899e-05,953.2122116516442,1649.9225610540163,21.999955396262237,7.998410156482128,7.999988511758619,748.2067593253466,7.9980407866065475,7.99862863494087,7.999987734658362,7.999987528760242,8.000012549507751,7.998107885843558,7.9999881328488796,7.998949014768924,7.999529699174843,6.04247871023804e-05,1499.9999189392831,0.7317538860640913,1.0086179109047714e-05,4.765579600804757e-06,2.2309440553945856e-06,6.7306170342043155e-06,6.7711102840355134e-06,1.1604156069672268e-05,9.365492031516688e-06,1.4082686076504326e-05,1.4225148550955926e-05,1.3843930747756715e-05,1.0393825000333343e-05,2.6864515475617854e-06,9.224620943177303e-06,2.361224386186381e-06,-5.558189867154434e-10
300,199.9542228129442,0.00039507680673950995,3.0582858504029096e-07,0.06342797307129061,0.0005357659074061586,2.1642782318008796e-08,-9.276812787459916e-05,-3.5505256297244345e-12,2.8844432319324486e-14,-4.1024028235351984e-19,-1.0262849567105471e-32,-7.043270257609099e-28,9.197304619621251e-24,3.879338097610529e-37,-3.730315089063671e-42,0.0013292031260148203,0.001772775774422813,0.0016631445346693091,0.001823431310008502,0.0016224278628546047,3.2316184619828206e-08,0.0013875731062119058,0.0005042717977090288,-7.2729195919144e-07,3.1329564901685283e-09,-3.084463401962618e-09,5.9657985052326384e-09,-3.3792490763429852e-09,-1.1322026888517936e-09,8.389986979411251e-10,7.362096909150444e-07,4.302607667888274e-10,-3.489575414084456e-09,-2.056152146542919e-10,-1.1186980508287379e-09,3.925230963264325e-08,4.803061959488979e-08,3.617772128574684e-08,4.746852870702194e-08,1.318027144324493e-07,7.398698807477879e-08,5.074830141508609e-08,1.774554562650179e-10,3.792013515660455e-08,6.87475455901792e-08,6.584164580603143e-08,5.770254305224469e-08,5.278125736759264e-08,6.721644221383361e-08,1.2088068262629687e-05,7.0198262165728945e-06,-5.420079079409214e-12,7.999984939431667,7.999992935044282,7.999950642864532,0.00022168179025060578,953.355773950571,1649.672857270253,21.999889673907877,7.998432624259273,7.999992649495422,747.9368020776352,7.9986954432432205,7.998885244537249,7.999983179740191,7.999986299479207,8.0000719016717,7.998495320158888,7.999981675520623,7.997230442817745,7.997290807775482,0.0001319531247461184,1499.999846635248,1.5662067991548232,1.535783286845982e-05,9.100502153487494e-06,1.3918049965552796e-05,1.5247608067122616e-05,1.1987843943902535e-05,8.863423119098298e-06,9.530103457127798e-06,1.7912711889743444e-05,1.0821952080280164e-05,1.7128055598141626e-05,1.3434354171016193e-05,1.7379546057497143e-05,7.2734765079367375e-06,1.4050729082542558e-05,1.1335777255565239e-11
400,199.87690817527874,7.612258151021588e-05,6.4094330110549474e-06,0.09524194567043359,0.0011643729770547291,-1.471898287529089e-06,-1.6705296196956576e-05,-5.759252720270946e-10,-1.2848677617144292e-14,-6.990848582376932e-19,1.7523522578725374e-32,-1.0932347375819078e-27,-3.015656929050188e-23,1.2135493591469396e-37,-3.0048661683372573e-42,0.0026611402597914806,0.002446774377878102,0.003450135434144714,0.00319310776080903,0.0031872333378308517,5.405688027805708e-09,0.0030949006616599805,0.0006746693214121339,-1.812889730218635e-08,2.708561342325341e-09,4.193322701284077e-09,2.3298897328632463e-09,-4.202109665366379e-09,3.909075359424946e-09,-1.80347742155999e-09,4.325586460927279e-07,4.388717893107479e-09,6.0473186554643544e-09,7.57938799670817e-10,3.6318032467909284e-09,9.69597073242268e-08,5.790568849926805e-08,6.089413871756313e-08,8.972643806250528e-08,1.8312723138409666e-07,9.408424863309046e-08,9.448731786543334e-08,8.890569493734964e-09,6.862806711696466e-08,8.891392994304393e-08,9.09992557781886e-08,6.269463100740671e-08,6.117006708514443e-08,8.164904331711627e-08,1.619302682932899e-05,6.550209588377298e-06,-3.4024697259529763e-12,7.999982142799631,7.999987663629485,7.999864444116344,0.00044878057304119823,953.2234995221601,1649.6989895352824,21.99987672161188,7.997688945611725,7.999989443083016,747.1193068924881,7.997833164207296,7.9970664515874965,7.99998542373998,7.999983551603422,8.000096804499844,7.99740053794746,7.999985706979563,7.997333577828847,7.99659531587846,0.00022860425369668848,1499.9997929600747,2.616573971137341,2.2198993548247597e-05,1.858830338405497e-05,1.628597764731703e-05,1.5455097935624024e-05,1.791133128259544e-05,1.711044896563244e-05,2.0777325514954063e-05,2.095972565513378e-05,1.8358134318599492e-05,1.0822962428270477e-05,1.7441807618788924e-05,2.1886350205068517e-05,2.090413774667714e-05,1.8026222288441343e-05,8.16063886354301e-10
500,199.83252371980913,-0.0004124229732495364,1.006952378793579e-06,0.09445097967303659,0.001498621846396882,-4.870090678102418e-08,-8.231827297999772e-05,7.485512756652768e-10,7.193235504132926e-15,-1.0754313940550287e-18,4.438613587627618e-33,1.6061250938240758e-28,-1.161932777584189e-23,4.239386814734192e-37,5.5317659614195175e-42,0.0030745077430063216,0.003778474671464971,0.004018520854099363,0.003357873784588391,0.0031380104059962107,1.3569811310250233e-07,0.004131419031836706,0.0007922682756050227,1.1399759744274594e-06,-3.1202549694128964e-09,2.359472613870733e-09,4.7817536047651454e-09,4.674755668687363e-09,3.900308958834628e-09,-1.3768126177624454e-09,2.619483637075016e-07,-5.593663125804567e-10,-1.5175890143945553e-10,-2.3808561279891164e-10,3.7012019385489126e-09,1.0209184028656992e-07,1.0506766277496767e-07,7.554378123134117e-08,1.0795891733619771e-07,2.6731802373159127e-07,9.859592671032206e-08,1.1048443794967592e-07,1.142768400744989e-08,9.465451404873286e-08,1.0233283495186688e-07,1.0210808298191115e-07,7.828098570432092e-08,1.1252773577479277e-07,7.944455898005299e-08,1.9670490377765907e-05,9.014442669066017e-06,-4.848522002580962e-12,7.999979912613159,7.99997975992059,7.999813613253677,0.0005325632588527668,953.4114145382762,1649.3524087481057,21.99989259821717,7.997013053155865,7.999982033671347,747.7034875901741,7.996022335002494,7.997083646727488,7.999979403889284,7.99998441281008,8.000079556316956,7.996234036847516,7.999984232734751,7.996792752491223,7.997141397747831,0.00022086143578689207,1499.9996440784464,1.8455344795850372,1.6944958963758773e-05,2.509712974118082e-05,1.6408464878230166e-05,1.6196854891623663e-05,2.1076255010995464e-05,1.9755017397492582e-05,2.6378836962820153e-05,2.6230441549742717e-05,2.552495487402512e-05,2.1177192791057164e-05,2.4581066524111626e-05,2.404210993697726e-05,1.8945905655779245e-05,2.3768073977046636e-05,3.280747611963829e-10
600,199.82173701406035,0.0006433304618875422,-3.525482665722279e-06,0.14162877802143867,0.0018578218075422925,8.001752871978219e-07,3.610226402095781e-05,-3.3918675371300195e-11,-2.489648099419931e-14,1.3270662435403212e-18,2.360865680423516e-32,5.933587598531777e-28,1.4692315651846882e-23,-3.2996475400409943e-37,8.007107646529014e-42,0.003937732605470336,0.0034048353689650358,0.004649869618071611,0.003064956840925257,0.003395684188038329,6.944273739830493e-08,0.0037736903727463287,0.0007441334141076914,1.669614560237766e-06,9.043076438286988e-09,9.022060550182099e-09,5.950202351559813e-09,-1.4831829771430272e-10,3.381534341208352e-09,7.306081835051901e-09,7.680667014910115e-08,4.07215581571781e-09,9.17798124772347e-09,3.845776881925464e-09,7.145804215454148e-09,1.0695065781882184e-07,1.0196909902270397e-07,1.069235274706712e-07,1.0180391459944745e-07,2.7632481043140665e-07,1.1846147194194994e-07,1.0497057854145723e-07,1.9241740621926597e-08,1.228523581708871e-07,1.0050942683846698e-07,1.0360281829923695e-07,9.6165195351104e-08,1.0072739636945794e-07,1.0838022318403651e-07,2.6520424361570708e-05,1.36580105606596e-05,1.0069794420111864e-11,7.999980752360469,7.999972479466504,7.999858745685994,0.0009148643104205546,953.4843762688103,1649.5247560553482,21.99983782140238,7.996714158207007,7.999969292019576,746.760548451245,7.996343635951091,7.996130744527827,7.999971420502605,7.9999807587521605,8.000135883927427,7.995390396907847,7.99998096380534,7.995943884250649,7.995908260924308,0.0002560654319457482,1499.9996943308226,2.551081910730139,2.4987684322710098e-05,2.122448198069862e-05,2.6571541509285326e-05,2.1714422299289395e-05,2.560544214331223e-05,1.9766823573309224e-05,1.8738454168826173e-05,2.2309602650151912e-05,2.5139908595139858e-05,2.29189903832861e-05,2.8198174718304007e-05,2.8996433744561198e-05,2.117753179058464e-05,3.0506450062485763e-05,-2.2545307596859084e-10
700,199.8314835970343,0.0005533857951875523,4.5108169684079436e-06,0.14993942749343142,0.0019920594892330282,-3.694776713546126e-07,0.00010420179889801743,5.409272079775711e-11,-6.443181807722081e-15,1.5100413138565383e-19,-7.233434265039707e-33,-8.39284806680762e-28,1.0812433331323815e-23,-3.4699444691728897e-38,-2.008917736829644e-43,0.0040642510209893115,0.005127253352018141,0.005163192181379494,0.004856749309172625,0.0052917453259964005,1.2296950643652505e-07,0.005113116090423872,0.000989883474376009,5.441261185273629e-07,2.8377665227071024e-09,1.2780353875518744e-10,2.954752332975872e-09,9.235757041506879e-09,7.991914960967788e-09,2.3640023789821468e-09,-1.3918480543258769e-07,3.2289495365166954e-09,4.604321512251146e-09,2.1972581844129383e-09,2.4089234459843316e-09,1.0979781409422843e-07,1.3362212125102575e-07,1.2112957267429162e-07,1.0942109879574077e-07,3.232111255174203e-07,1.4022666922797115e-07,1.4276149067234738e-07,4.029414075164511e-09,1.492378348612066e-07,1.4119795339637908e-07,1.505800846055852e-07,1.4091089482886655e-07,1.1689960213352022e-07,1.2540466223279493e-07,3.1198675862761334e-05,1.5960080589183228e-05,1.1997675934959722e-11,7.9999664369095,7.999975337736625,7.9998354692753635,0.0009216305722962165,953.5686446693984,1649.1352963232193,21.999807198968245,7.995924464797547,7.99997221546885,745.2388727304158,7.995034963088518,7.994697599649586,7.999974708443007,7.999965536336954,8.000122686647087,7.995404449256076,7.999969927178481,7.996143319343898,7.996281715199745,0.0003610577913835026,1499.9996006734266,3.850551682268093,2.322183014801286e-05,2.8972005818412758e-05,3.353557304093355e-05,3.4363068573832684e-05,3.2303582452448366e-05,3.142546589915599e-05,3.03067337839321e-05,2.8353791893181947e-05,2.9972765782025364e-05,2.867598161037357e-05,2.630232361134435e-05,3.0235676909972625e-05,3.249813857952714e-05,2.6824222835407566e-05,1.266384668271292e-09
800,199.79813926273312,0.0012467131362539666,2.5691561704254434e-06,0.15295562517363,0.002537921093577175,1.498074026320493e-06,8.03850449051313e-05,1.036997638483108e-09,-1.8316503773740622e-14,-7.130853547980129e-19,2.1541420674267723e-32,-8.456272163291337e-28,-3.4329741898941346e-23,-4.076236741780686e-37,7.749621461362075e-42,0.004429376452802681,0.004814207452691572,0.0046103557376659925,0.005963561813441578,0.004540689775325092,2.1192399002616382e-07,0.004347769267789419,0.0013718247595063862,1.1237769408598593e-06,6.193993999670285e-09,1.1462311633627883e-08,1.0691035310438777e-08,3.1384030100125477e-09,9.756209924140684e-09,2.630940215254487e-09,2.578094613871068e-07,3.18171771622586e-09,8.831387809086549e-09,-2.4388702736611494e-10,4.319546348597974e-09,1.3836927832295594e-07,1.4231027285073998e-07,1.3986631699689687e-07,1.26945600100016e-07,3.6721990479791785e-07,1.4493906268415482e-07,1.2483101831264253e-07,2.1415026322172428e-09,1.37538618788457e-07,1.601285144568593e-07,1.5825999961436508e-07,1.6560988497554107e-07,1.3854156503056548e-07,1.4087961255559225e-07,2.9491174786635797e-05,1.9568843914126684e-05,1.3485286295384787e-11,7.99996621437153,7.999966607325869,7.999764275594208,0.000984968851021422,953.5987390270859,1649.1696736690833,21.99977606622456,7.994927334437701,7.999964123351582,744.6380671031009,7.9952637270527385,7.994886595281264,7.999962780667502,7.999972993917969,8.000175750036643,7.994695511626238,7.99997134212262,7.99472612297013,7.9956660995398705,0.0003924575329845134,1499.9995405619215,4.0749419840697225,3.1535997897490906e-05,3.642287194268431e-05,2.7571128700477668e-05,3.605979459447471e-05,3.324413401757788e-05,3.863032922156338e-05,3.601237098612721e-05,3.884168609365386e-05,2.7563844962482788e-05,3.886543472687236e-05,3.210026963670146e-05,3.499335313817528e-05,3.807359322467674e-05,3.59904443702151e-05,1.0298539393823296e-11
900,199.72460584696816,0.000943078347961162,1.323030363233116e-05,0.2181597867678087,0.002283222929512405,6.291760714627845e-09,-7.705432890540756e-05,1.5011076231596872e-09,1.1336810151677138e-14,1.2325850457435752e-19,1.480320406981386e-32,3.69289990710313e-28,9.33158224512875e-24,-4.377228712192386e-37,-8.790245967798098e-42,0.006211175760081589,0.0065528130272789415,0.005194678385977621,0.005458347270661671,0.005340312497034253,2.553790036814419e-07,0.005945771061865419,0.001130197245144422,2.763023658857173e-06,8.821525537927704e-09,4.43052604970316e-09,1.1658402614808436e-08,4.630331971291688e-09,5.183892974764011e-09,1.1406983626183624e-08,1.2572063612255233e-06,8.060153763939602e-09,1.2634109122008107e-08,4.2805572760456145e-09,1.2770186869761016e-08,1.5082882981277808e-07,1.766647609274314e-07,1.5978690360093218e-07,1.6503841714065358e-07,4.028597404122526e-07,1.8021606252727453e-07,1.4347723862843394e-07,2.237840184196195e-08,1.8540269527055655e-07,1.75204750630004e-07,1.5988685932331523e-07,1.430316483877343e-07,1.7443840079276808e-07,1.8494148810349838e-07,3.229735263339709e-05,2.1918259208963385e-05,1.6852743569545303e-11,7.999959446992118,7.999967015954823,7.999719470733262,0.0011479012479327744,953.6472590434352,1648.913357401407,21.999764418668082,7.995386568610788,7.9999656763307225,745.0512495014293,7.994381607896522,7.993652593367206,7.999967029755512,7.999965136464369,8.00020481743207,7.993470673204141,7.999961648621781,7.994292127428316,7.9933979132368105,0.0004418347316429903,1499.9994651924287,4.361274920703054,3.903063925700552e-05,4.027864055224743e-05,3.92003191068878e-05,3.481246546054011e-05,4.100981033345179e-05,3.617573378286847e-05,4.1937685712837025e-05,3.164355817827777e-05,4.260307561180707e-05,4.005942778293407e-05,3.340126048161758e-05,3.697620573434612e-05,3.556367576504176e-05,4.076740813156281e-05,5.174174300579341e-10
