milliseconds,Susceptible,Unquarantined_Infected,Quarantined_Infected,Confirmed_Infected
0,9010011.98326002,266.7567524311173,-2.8387739654979587,0.3532815277978624
100,9010001.366851106,272.2136566601077,3.5061889742147194,-0.3189415812297393
200,9009985.662348391,262.659160307387,6.363961351848408,0.22181786637064735
300,9009963.132389838,273.913680306336,6.437499649965998,-0.12816003537530551
400,9009966.063293431,282.55662657528836,7.663455768101349,0.39131955216832415
500,9009978.752748556,305.70798076582133,7.976445833542818,-0.1755265652543736
600,9009947.260760225,304.4494821995966,11.788202481781198,-0.08502592765968611
700,9009938.068405937,308.839540782071,8.72780996118133,-0.07682026553957622
800,9009919.513029367,325.47361862233106,17.12603706331145,-0.007752699885980097
900,9009915.410757782,309.7317903257726,14.221280615080143,0.49666422238796826
1000,9009932.106794193,309.1834458151182,17.23325063277496,0.5926294955979774
1100,9009896.588127907,343.20011286507753,20.08529037396928,0.6245203676683393
1200,9009901.81127216,346.25218403518136,19.82475397269518,0.8175791582851187
1300,9009866.860998906,359.34481534641276,24.569132318778397,1.055158954961287
1400,9009870.571199497,351.5614293297423,22.420786426141245,0.7178707702148149
1500,9009867.488384347,365.00613162207304,26.505285420191154,0.9897997776527188
1600,9009850.70966625,371.90951719871566,27.352331280513518,1.4787451925262585
1700,9009850.350014044,375.8198427758765,33.75178339606265,1.743864966076361
1800,9009847.771472333,376.5495842277164,38.51876620079548,1.3581498593743848
1900,9009816.050879106,391.8697878302598,34.20566733157684,1.81589735677792
2000,9009811.308631446,415.31246247966396,38.21425415380188,1.5381718354255849
2100,9009786.368341092,407.56471265277065,45.57901668028538,1.7442928747733826
2200,9009788.4721795,434.6800929470633,42.3554064518463,1.9911455361686603
2300,9009751.881352846,428.0574987339369,45.13071072540277,2.490376894947915
2400,9009762.244603772,440.77546303286414,50.395030543097995,2.8564728595082647
2500,9009738.834696297,461.4963128534871,48.62471250118828,2.698694283719936
2600,9009733.657660387,483.55504751674096,57.09075016899228,3.6959350245437195
2700,9009700.86468109,469.37294930214034,56.565163017822975,3.1220003952505593
2800,9009682.932885624,509.2002335736393,58.648528449599084,3.4380554856726997
2900,9009664.851153532,491.35246781527565,59.62982836917437,4.004354712787636
3000,9009682.95569605,533.526954798424,66.21078167794823,4.543933384752331
3100,9009633.210539747,537.8871910488913,72.98807902134634,4.503283138573694
3200,9009650.758200089,537.0779782203679,72.08190193015948,4.927688768502751
3300,9009638.24405293,549.4595683361873,72.73580695626458,5.4346162267632545
3400,9009592.764738502,560.202424955509,80.76018557509742,5.951666801989095
3500,9009576.186178643,597.7481000886394,83.45905755557641,5.9300636568675955
3600,9009562.800597247,584.6807829878348,86.68823712385557,6.977281577904296
3700,9009535.289295286,619.9560511412832,87.74122545425857,6.851400494155336
3800,9009526.819662983,617.4246511446183,93.35921480353709,7.639048714572258
3900,9009497.929586658,627.2514824862961,92.15256834585794,8.173895719782477
4000,9009472.730838552,669.3312632074003,96.63646039587981,8.79598828473721
4100,9009469.158088034,666.4374015413686,100.9877169460534,9.220528847978747
4200,9009467.49561942,702.7149340070193,102.45151502044693,9.209617340460532
4300,9009418.860828968,707.1872778231184,109.58804031997325,9.840462888618342
4400,9009399.483181614,713.5089390677596,112.88230849279797,10.421417722765213
4500,9009382.420919795,724.825763065363,118.96687660261277,10.935222649342958
4600,9009382.652965551,750.5204345687567,121.42204044826367,11.787681436092686
4700,9009339.041152703,780.5973051060967,129.28707532416118,12.444803574142687
4800,9009326.699542519,795.928886225769,126.9315705731571,13.132750078633808
4900,9009314.904322995,826.3288490212689,136.60955851759613,14.000440799023826
5000,9009257.738144085,838.9546361564853,139.49503882797717,14.261880655323498
