milliseconds,X,ES
0,1.0301797164287951,0.9175836626841656
100,1.8679626547587054,0.1435555446995509
200,2.484190788769972,-0.4714599527117142
300,2.9093114117130683,-1.0087623657277667
400,3.3974284326025592,-1.4033099589592497
500,3.6789132592470706,-1.624927313332483
600,3.9224635366971823,-2.0180546324127695
700,4.101600790967868,-2.0539039469291125
800,4.254818020965561,-2.377073843370781
900,4.473186005188629,-2.402980261440738
1000,4.463630506713596,-2.49989280937304
1100,4.565240169556949,-2.677377892471584
1200,4.770563141596881,-2.671650359487808
1300,4.847696928895627,-2.8357576072120216
1400,4.763011628423998,-2.8128560417832915
1500,4.902140113676499,-2.7990212089737305
1600,4.912881230207333,-2.8289052549468288
1700,4.938703747932524,-2.977032788633049
1800,4.875720496583991,-2.9001616869522238
1900,4.928563677063095,-2.9208802932961966
2000,4.958815958652217,-2.9391578760548933
2100,5.001891534342514,-2.987579714159613
2200,4.9353788014060145,-3.038025053680168
2300,4.9714213775845,-2.9811170260371624
2400,5.075735513291307,-3.0844063060079607
2500,5.070888644514282,-3.0572107989748822
2600,5.104323468840681,-2.972210315548604
2700,5.089807112855218,-2.9698738994360876
2800,5.000274137802144,-3.045858567215728
2900,5.0783159458928075,-2.957084430624759
3000,5.018058429600669,-3.1147188137573427
3100,5.045943296577343,-2.989381846849936
3200,4.993621551038971,-3.006012709807243
3300,5.104867900194717,-3.0406220615694886
3400,4.996773352216391,-3.115852036538625
3500,5.011745787539094,-2.9579378851264106
3600,5.080236009726525,-2.9857346447151376
3700,5.087191801333181,-3.005509479407597
3800,4.983909678052764,-3.093220600425219
3900,5.058561329157228,-3.0213578102493286
4000,5.0112676924546715,-2.9798687578091405
4100,5.039108087911984,-3.0486992057775657
4200,4.986521343240659,-3.0744012339999656
4300,5.01225269393676,-3.1177226696507563
4400,5.098159004102171,-3.115377742549321
4500,5.078969428543787,-2.9655275811582995
4600,4.98938604817165,-3.131582704743366
4700,5.108232785329286,-3.010868725856665
4800,5.012368618979068,-3.063255869500835
4900,5.034561833176907,-3.126792719499156
5000,5.068789823397521,-3.067282152876552
