miliseconds,H2O2_p,per3_p,coI_p,MLTH_p,coII_p,MLT_p,O2minus_p,H_p,O2_p,NADPH_c,O2_c,NADPplus_c,H2O2_c,NADP_c,O2minus_c,H_c,MLT_c,MLTH_c,coIII_p,NADP2_c
0,-3.74902999593762e-08,300.09415154402586,8.873455645601445e-08,300.0000455596201,0.00022713816175580804,-1.2191921024703886e-06,5.735082767778453e-06,-7.258291601482465e-08,0.06796226214172282,0.7569548968142922,0.061685467667550106,-0.005503315087984321,1.974224338118039e-06,6.770223109171257e-08,3.410454703740907e-05,0.0001523154063301927,2.1412166332232408e-07,299.99999978717744,-0.07482677601869338,6.766062392022657e-12
100,2.4676720963401553e-08,300.1459760231623,-7.788143574480854e-08,299.9999579498951,0.00010217675301053535,-0.00019173622023251112,-1.4048953235122924e-05,3.10186109445409e-07,0.2552608614761076,1.170812541292397,0.65634570465577,-0.0015197449290266058,-7.937732752452943e-06,-1.3638065024252569e-08,-6.161484787687247e-05,-1.782289153686758e-05,-1.263456807347281e-07,299.9999998987325,-0.048010445168269814,-1.2296585802210163e-11
200,-6.741839477507295e-08,300.0753741073537,2.897052590084133e-07,300.0002291820672,-0.0006134099312042583,-0.00017975298956953386,-4.412101678765054e-06,1.2496138934824003e-07,1.2446885945291388,5.701149100094837,2.4041817704243487,-0.0005353224931437832,-4.2707000963267216e-05,-6.281843070453225e-08,-2.9237572554046612e-05,3.661011821965259e-05,-2.1690420230253612e-07,299.99999989302563,-0.003658006484507502,-1.720610424631048e-11
300,1.1333116855840908e-07,299.8574550608494,3.3362699568474457e-07,299.9997944055682,-0.0008963197248581015,-6.441148898367543e-05,6.996000680637958e-07,-3.8108461488218686e-07,3.1552570256611228,6.202200156357035,2.9555134359252797,-0.008326252035312762,2.155019511514641e-05,-4.0288425599750535e-08,-2.462177453486153e-06,-0.00019819406191697543,2.2106740857374169e-07,299.9999997986665,-0.0726118730881001,3.09230870854969e-11
400,-1.1082782880701452e-07,299.99417499340944,-1.338491707088011e-07,300.00026603951306,0.0007157959940847745,3.431707403048166e-05,3.2849418020986786e-05,-2.344243655104118e-07,3.9192428193773403,10.642603412764595,4.62455885521268,0.006100947552406287,6.077801000999613e-06,1.0158211924059836e-07,5.378038435066928e-05,0.00011675690856826405,2.57258032179134e-07,299.99999980036665,0.16127792251352313,-1.8922922559782454e-11
500,7.091805752837601e-08,299.93425951064313,4.690710951085114e-07,299.99998097678355,-0.0008408043958538507,0.00016617489430083298,3.5501458793195314e-05,-2.704834337908279e-07,5.648258592498467,13.83529044380872,5.069396320777389,0.01134762147288169,3.577935630324095e-05,1.1763700583828048e-07,-5.2688019596394475e-05,-6.428130957645909e-05,4.328851112839206e-08,299.99999999119916,0.0983579859275257,2.649784228536004e-11
600,9.774156029339582e-08,300.07996685268915,-1.6095312091414078e-07,300.0002394093146,-0.00017160938375220818,-0.00014846758927226355,5.9348028614503875e-05,2.321396949867808e-07,6.096805379265168,13.991944741964973,6.242774604090835,-0.005529590253040238,-2.0687983292197337e-05,1.402428208791576e-07,2.8311013679902867e-05,-0.0001918406063478534,2.271215302524121e-07,299.9999996878565,-0.03237086948797056,-3.994569237561625e-12
700,3.790686950131921e-08,299.8602443042441,4.611945247931055e-07,299.9998900110606,9.542339043665333e-06,-0.00010220490091115288,4.295553243701844e-05,-8.556188712981039e-08,7.889541103343268,17.39437532027982,8.537044965851184,0.007308870065669933,7.87094864569343e-05,8.961426273663744e-08,-3.723957633475968e-05,0.0001986713467756439,1.468125459663674e-07,299.9999995702473,0.22914737698683932,-3.0862202947004964e-11
800,4.876275558740387e-08,299.92381123577,-1.6581894665100287e-07,299.999795301005,-0.00034514808427013827,-7.144134080336544e-05,6.971269198610646e-05,-2.574219509252363e-07,9.014215651364971,20.93022323860083,8.892776204225612,0.0018722335911624585,2.9247990230817513e-05,2.2619835211393308e-07,3.237613319071632e-05,-6.859879975775432e-05,3.615536314229527e-07,299.9999995590552,0.07202184116407898,4.192453644320987e-12
900,-2.7837906783852274e-08,299.8472257381087,3.059690905664304e-07,299.9998552809923,-0.0003614544004940923,0.00014799879478869145,9.398163243857318e-05,-1.705174699041469e-07,9.957823995630026,21.62513671099627,9.816558935516442,0.00798245492426417,8.641474530031247e-06,2.6767061759355995e-07,2.3637463016628945e-05,-4.411199714346814e-05,4.6899672660557833e-07,299.9999993658578,0.07886938046152428,2.0580777123057063e-11
1000,1.3856128735474407e-07,299.7250667258223,8.10551368985405e-07,299.9996551250749,-6.805551338267152e-05,0.00032715213175876735,8.599668792366621e-05,2.77210524623836e-07,10.9977402035777,24.754058421395683,10.77542568148947,0.01462088221698132,1.6662049134711583e-05,2.502220080393538e-07,8.28726423608499e-05,-7.908731832145288e-05,7.871277706743317e-07,299.999999401214,0.1786216869472454,-6.417881767531731e-12
1100,1.2107024268915727e-08,299.5409175287352,1.0598539688102943e-06,299.99996838330964,-0.00032702280566816527,0.00019330769122469227,8.673025347985656e-05,-1.2311652594657774e-07,11.900355506579261,25.804689300093848,11.961856433127474,0.008447973088437833,0.00010278904215761924,4.25649641173126e-07,0.00010249066107796459,0.00017417773239034018,5.203732087265248e-07,299.99999938184766,0.40101501882821833,5.751845176995561e-12
1200,1.8468824529556477e-07,299.7388754692303,4.880258679711829e-07,299.9998148960209,0.000567024946311146,0.0002853396618647202,0.00012737115954347767,-4.143963620144616e-08,13.473928094010146,28.359147507962728,13.660010011603564,0.026782401475397066,3.445672923402606e-05,4.522439262105405e-07,0.00013559916244459377,0.00010241821736877189,6.520829577875805e-07,299.9999989810561,0.20275653406785085,2.3818680148795845e-11
1300,1.2677065388340793e-07,299.4137216944093,8.757375564814188e-07,299.9998999962195,0.0007950984681856596,0.0005878611775765762,0.00013706455203775814,9.835600075343287e-08,13.842264818124018,32.11012627202658,13.715594915717547,0.014974715175144438,0.00012682527619770547,3.7548010608082964e-07,0.00010241895583668836,-7.051505723724133e-05,9.327718116773076e-07,299.99999894272787,0.5477408490485663,2.6354650330276572e-11
1400,2.0889094613122603e-07,299.65053179213544,1.1704072355638945e-06,299.99962039808554,0.0012198639561763727,0.0001635384070162624,0.00013530379259360276,-2.4863533060309633e-07,14.914917716409803,36.604082604257336,14.729793117592719,0.01758357518103192,0.00013789777481882452,4.492326393705435e-07,0.0001485765425950359,0.0001175327016951551,1.2867296809150552e-06,299.99999866980033,0.4376115677042745,4.225754905471082e-11
1500,3.923494469225384e-07,299.2375120208605,1.0830160525128766e-06,299.99946416773776,0.0016468009148182061,0.0005945807447152232,0.00016157108737997362,1.5859248078897545e-07,16.30484748764959,38.75134957370823,16.950124947367737,0.038657871386239565,0.00014528589546198705,6.201586409592977e-07,0.00022103469347754354,-8.23830139315325e-05,1.0849125482422588e-06,299.99999851377345,0.5681719382923098,3.975453276479508e-11
1600,3.069670662097202e-07,299.4730826971043,1.7410315052731503e-06,299.999491251002,0.0013810927060108821,0.00043473776794676524,0.0001673170716795497,-8.503295349959542e-08,16.7113553048606,40.42749336853547,17.42814294633392,0.0373175891602605,0.00013268191461260267,6.712172911692725e-07,0.00025392294367204026,-0.00023715210094203622,1.3866745283936085e-06,299.99999860465874,0.7883895773999576,-2.551796413878314e-11
