miliseconds,H2O2_p,per3_p,coI_p,MLTH_p,coII_p,MLT_p,O2minus_p,H_p,O2_p,NADPH_c,O2_c,NADPplus_c,H2O2_c,NADP_c,O2minus_c,H_c,MLT_c,MLTH_c,coIII_p,NADP2_c
0,-6.663718005615788e-08,299.91552946544203,2.1448856947664578e-07,300.0000302044267,-0.0009468512759357986,0.0002656267981063792,2.768964320747362e-07,-1.0841872622058599e-08,0.05318302740233264,-1.1216409124982623,0.455714466534705,0.0023287023752168066,-1.98296727077936e-05,-3.914782086957684e-09,3.6515401190749836e-05,-0.000147625300202566,-1.014589572534076e-08,299.999999964748,-0.15159939891512075,-8.584864023368889e-12
100,8.439204785679994e-08,299.99480843149416,-1.7037867989951203e-07,300.0000913301003,0.0004112262557069965,8.121753546253623e-05,-1.3328776352114155e-05,-2.7783958728745375e-07,1.3809492269272772,1.1389695442547914,0.9752075920345087,0.009552237030097293,-2.2321581236127393e-05,8.823945507450009e-08,6.382352626262284e-05,-5.828569088634034e-05,1.7265399877729265e-07,300.0000001475188,0.05743389430072229,-3.498567555666734e-11
200,1.029726652680099e-07,300.1136134570231,-5.823492867491501e-07,300.0000735820949,0.00040911948559998584,-0.00021844181090712277,7.90573762927052e-06,-4.9413810212353424e-08,2.026431274336356,6.472726525378857,1.622820131704708,-0.007205371918227538,-3.251903711872034e-05,-3.403074404209599e-08,-6.17404556306154e-05,4.684648711516569e-05,1.5004823646006468e-07,299.9999999882949,0.17825138253369344,-1.3664060762007151e-11
300,-6.188140738700958e-08,299.8188927908236,-5.011724351832825e-07,299.99995212933317,0.000318150793808748,5.006047567537802e-05,1.4143895547059693e-05,2.2778560123683106e-08,3.1765818081064956,5.915745139249743,3.369143940688775,-0.004150054537785952,3.9458187851504216e-05,-3.572612111882435e-08,6.165977176574239e-06,1.0740050403771164e-05,2.336270117214049e-09,300.0000001168809,-0.08444882899334845,1.4453058798315243e-12
400,-5.3042298308942855e-08,300.1116380665323,-2.446420981943677e-07,299.99972425386284,0.000569414862960387,2.4218961181003466e-05,2.6182112045400997e-05,-2.692544492642871e-07,3.7924316963399614,11.221465315670784,3.8302134573220776,-0.0005704022013847097,5.119331882287692e-05,1.0757423771797471e-07,6.631410904936843e-05,-6.404635309342637e-05,7.43857185111989e-08,300.00000000070963,-0.1308161768303031,-2.497386464076371e-11
500,1.0697884304399465e-08,299.90378665518506,3.6420380989601834e-07,299.9998807849162,0.0006415908763970436,-0.00020162400548755634,2.6426914883316696e-05,2.0619579392833706e-07,4.5989240091636905,12.155539159790822,5.137170599734797,-0.0018967536268713753,-4.169409699476759e-05,3.973959568149863e-08,4.648949213429917e-05,-0.0001972330653474705,2.3240837494194522e-07,299.99999995017123,0.13925488300505467,-2.4877647929495346e-11
600,1.1238272892708436e-07,299.92897435403756,-3.338994079936689e-08,299.9999881600386,-0.0002632668297878142,4.833072574318795e-05,4.4636746275006856e-05,9.043711578045091e-08,5.9573324449928835,14.99812653658513,6.405750867888031,-0.00023417041025301354,3.908204292456862e-05,1.1680122828830709e-07,-1.029175302435924e-05,-0.00020112288828390268,1.5739264596812943e-07,299.99999977630415,-0.015864019617445296,-2.1680153700426636e-11
700,3.315059762115054e-08,299.8180406525075,1.9817726737237533e-07,300.0000909313547,0.0006377278044399496,-0.00019642034704006828,5.777730967277991e-05,-1.971035926439449e-07,7.70453553530295,16.40053834083523,7.308656301971248,0.009163064226310195,-2.047492403747957e-05,2.2855728957563336e-07,6.778836300535688e-05,-3.796306959348011e-05,1.0315471416435443e-07,299.9999995783551,0.1410965909156071,-1.713734508269889e-11
800,6.006925528064926e-08,299.70182591328876,5.754015173037118e-07,300.000199446017,-0.0005072940544539942,6.075444841040375e-05,7.311691480460244e-05,-2.2120124602194476e-08,9.229648455369789,20.323995304560704,9.4865075794612,0.001191188967590573,-2.5522067544353737e-05,2.3553436647878257e-07,-1.9377880007076e-05,0.00012780873318118876,2.1037301571046472e-07,299.9999994722625,0.08086279925722699,6.420703850926981e-12
900,-3.099014871214125e-08,299.8109887544747,4.1801594656817646e-08,299.9997834495587,-0.00011466952837524178,0.00025183641285819557,6.14413574076843e-05,-3.337582128313066e-07,9.561004888006108,22.61031135008666,10.51032880918902,0.0007853053475988837,-1.0503046852177944e-05,2.2405248171521244e-07,-1.7644940121174745e-05,8.498015896053187e-05,6.948697210356427e-07,299.99999947424465,0.31432587645422305,1.5549771885388693e-11
