milliseconds,H2O2_p,per3_p,coI_p,MLTH_p,coII_p,MLT_p,O2minus_p,H_p,O2_p,NADPH_c,O2_c,NADPplus_c,H2O2_c,NADP_c,O2minus_c,H_c,MLT_c,MLTH_c,coIII_p,NADP2_c
0,-1.1910267869160337e-07,299.9254446546795,-2.321102388944918e-07,299.99997821867856,-0.0003813423693959983,0.0002615787326198979,1.129225138762881e-05,1.263098099289032e-07,0.237878327647335,0.3082107718080341,-0.7005305361251677,-0.006978153200076959,2.583670562396763e-05,-6.328968162715613e-08,-2.4068439233348092e-05,-5.815771935837579e-05,1.3020931393477592e-07,299.9999998931118,0.17370874584644502,-1.5697196297813925e-11
100,1.1262467168119707e-08,299.82680669802,2.788669012644794e-07,299.99979897647444,-0.0009260362024587596,3.066981029003729e-05,-3.5539442855633544e-06,-9.626191318729233e-08,1.4898327972326049,2.9500590749779505,1.7664397546772628,0.00676151859259907,3.776695494867281e-05,-8.784100967163767e-08,3.5411061801466705e-05,-0.0001232093138533742,-3.3901764272128186e-08,300.0000000831364,-0.0985561809340955,1.745613251815727e-12
200,-1.242008843408136e-07,299.9239534798816,1.7528032885146747e-07,299.9998424337679,0.00037963154086146625,0.00013487207929884117,1.982193455972069e-05,3.5775475493931345e-08,2.6347754966776336,6.680346061341152,2.1511582000463543,7.758293089541592e-05,-7.47139438827676e-06,1.1135433529133716e-07,6.613922804180049e-05,0.00016880897676785115,-7.252285960470476e-08,299.9999999704546,0.18663644573708713,-2.160750822163354e-11
300,-3.8230978178561434e-08,299.8570866090151,-5.6383894599179166e-08,300.00021769655393,-0.0006258409237154832,-9.465350907948143e-05,1.521470797150385e-05,1.9303536018845932e-07,2.4416093926537323,6.23999084800351,3.7613413076714015,-0.006297499554502593,2.6750464332737102e-05,1.0847203876955298e-07,2.1777909661881596e-05,9.699318456850903e-05,-3.414272220170134e-08,299.99999995637313,-0.10294428939757382,2.7611533991083764e-11
400,5.1394085016304075e-08,299.83641562054174,-2.66391008117512e-07,300.00016241366956,0.00024139881580112385,-9.40094570020831e-05,2.589776230241939e-05,-3.7392326328097987e-07,3.5331055565276803,11.762975989740102,5.134591024491543,0.0019038458686371383,5.0702810962174736e-05,-3.946002985774577e-08,2.756202092730417e-05,-2.771621670992021e-05,1.9569550763145215e-07,300.0000000681966,0.04412745574837338,-3.871395108644704e-11
500,1.5896858433068604e-08,299.8268670444277,-2.1524071589138858e-07,299.9998757660421,0.0005498403899054967,-0.00012161320036676669,2.160248024554298e-05,5.1958085117625386e-08,4.655379178058096,12.25189132195635,6.221747578295471,-0.0026487140867377107,5.5373771541638805e-05,-4.070190006674477e-08,2.240729783536852e-05,-0.0001991417371328907,3.209033785387864e-07,300.0000000427118,0.12828005669705042,-1.730024318645918e-11
600,1.41224376030057e-07,300.0508024760637,-1.7321339080988088e-08,299.9998168190283,-0.000796270129017394,6.187608016757291e-05,4.033382800751928e-05,-8.340534794901119e-08,7.089377377568917,15.401169761100407,7.390246891952845,-0.005827162752503972,6.106546058543242e-05,1.457019702358744e-07,6.912374264478173e-05,7.915515299813534e-05,2.8972937534808676e-07,299.9999999060962,0.14294071495337046,3.056011791634259e-11
700,-6.098361186831113e-08,299.8967522145591,4.5140832702873777e-07,299.99984857320794,0.00015703609654870712,0.00018083966486542874,6.052693456254792e-05,-7.467955540158365e-08,6.889647913016959,18.866260401728766,8.050025099342598,0.0132728455244252,9.65836141348972e-06,1.374925135134547e-07,6.65571314250656e-05,0.0001243471127539327,1.2166292003778214e-07,299.99999962714435,0.04100388623929606,-3.483007653618621e-11
800,1.716434775572107e-07,299.9593383846785,1.5904853257087263e-08,299.9999037478229,-0.00012060543038040322,0.00022958449315252355,6.336712955983388e-05,-2.2446659548873534e-07,9.318226992948325,18.150440071045313,9.103923041168438,0.004491509268368093,5.810437728487455e-05,1.1974937561502496e-07,4.895883636653797e-05,0.0002138148687334646,4.530381298482563e-07,299.99999962140015,-0.030897093134760356,-1.3366546553859348e-11
900,2.2573929497046406e-08,299.7941130590344,-1.9305237539334567e-07,299.99986733588713,3.311976266115463e-05,0.0003123933437079459,8.586274086892786e-05,-3.462426382122059e-07,10.176404912013767,22.721298656687832,9.72299730649736,0.01568791933555841,6.369378588052228e-05,3.0448885299453046e-07,-1.407732701645113e-05,1.534100345466685e-05,4.61492688043726e-07,299.99999935160946,0.2635371592790364,2.0494296472613424e-11
