miliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
0,1.0970246709528094e-11,9.99984711719011e-11,-2.844728803977249e-17,-1.0772676007538387e-15,-7.862706043708177e-16,2.3375037294355832e-17,-6.29414943133542e-20,1.5870344643197215e-21,3.6055723067211264e-22,1.715155683648036e-18,3.6805873571557167e-20,-5.090461911603225e-23,7.143134959827631e-24,2.0316230224316905e-24,6.999169432658696e-25,1.0280021299709549e-23,1.1899907510558183e-29,-8.259769247413101e-19,-1.9051258962443368e-15,-8.462297770766134e-22,-2.5333378512756492e-21,-1.2878311015658584e-18,7.430971418481568e-22,-3.035374026752375e-17,1.4062414780389458e-21,4.1169388733903e-23,5.168843244774102e-21,-1.424521939253475e-18,-3.6074082602151807e-29,8.555485238311713e-29,4.250598523803984e-29,5.90347623068532e-26,4.7978763876668166e-26,1.3584963810341088e-26,-3.9422980621195474e-24
100,1.0521205249242164e-11,9.956666277629716e-11,4.184064200945715e-15,2.0613091850139075e-13,2.0609997988155465e-13,4.16364956703985e-15,4.05883766119401e-18,8.403843856658288e-18,2.2189807014519773e-19,1.3910290087921818e-17,8.397051603809477e-18,4.1770366255675e-18,3.8945913406030215e-23,1.6815261985964616e-22,1.6656743858790214e-22,3.1009893170176126e-23,4.699849854278833e-28,2.2295519949169414e-15,6.232176453936211e-15,-7.6625991980511e-22,-3.686929616016718e-21,3.1625296155897814e-18,9.344775504156115e-20,2.2414546333764514e-15,9.192984785245411e-20,-2.0638191747822788e-22,-1.97364479887857e-21,2.8810014249452913e-18,1.838473966207143e-28,3.6552373665207256e-28,1.6661188901564772e-28,-7.680315353363079e-27,-4.199570479514711e-27,4.74922988330246e-27,1.4077926087905673e-23
200,1.04943062714862e-11,9.95534443728881e-11,4.163593611953649e-15,2.0690874163791576e-13,2.0766790310367134e-13,4.163895305163899e-15,6.0846778537672405e-18,8.616071570157131e-18,1.994991284859356e-19,2.8052720550517834e-17,8.614361596392201e-18,6.019536264109509e-18,8.018482815007586e-23,2.487495301256388e-22,2.528062845126729e-22,8.718407317292445e-23,7.095369189066458e-28,3.535299136488989e-15,1.6569779219274378e-14,2.045069074747137e-21,-5.721206842569516e-22,3.1570684397921246e-18,1.4367110057601007e-19,3.534026949150421e-15,1.4388194027672511e-19,1.9707182668449147e-21,6.419910672626183e-21,3.555273207759425e-18,4.864249527764121e-28,4.188730517689657e-28,4.88718954146477e-28,3.164836653480237e-26,7.682854185558832e-26,3.702013400661046e-26,5.344731132441262e-23
300,1.0485067468191839e-11,9.954141868615909e-11,4.164230806991485e-15,2.08139192229352e-13,2.0906633503568536e-13,4.1636130645928106e-15,6.618059740082828e-18,8.64923905537717e-18,1.9586501052829296e-19,3.767588310458221e-17,8.6580743527803e-18,6.558042341153155e-18,8.801209195637385e-23,2.7174906401138267e-22,2.709435714281724e-22,1.0482996660823446e-22,8.198728231867133e-28,3.850017832883342e-15,2.0761698074324334e-14,1.4358625683314815e-21,1.4284643845791509e-21,5.795829370560063e-18,1.567758038001899e-19,3.817816505504778e-15,1.579445519612786e-19,1.0539014401958193e-20,7.810670514401783e-22,5.288441657816839e-18,4.938328830460108e-28,4.244697446708722e-28,4.5590892843672605e-28,5.884642001711436e-26,1.2206214327174374e-25,2.2932514644700567e-26,1.1389003643665968e-23
400,1.0466796499625417e-11,9.954015220584866e-11,4.177301911851891e-15,2.088560829686607e-13,2.0886387606730873e-13,4.152556110981142e-15,7.034015560069742e-18,8.603291233713495e-18,1.9261609066807688e-19,5.109483843968719e-17,8.617752056866672e-18,6.972991856207919e-18,1.28915398671176e-22,2.8682753830776705e-22,2.8937311752867518e-22,1.3023227325417083e-22,8.92888820687424e-28,4.141183671327525e-15,2.8266281052465804e-14,9.091872436312301e-21,4.46940648747625e-21,1.8425434020948836e-18,1.6944364320811044e-19,4.106537009732954e-15,1.6960047944239653e-19,6.953554330884742e-21,4.527609140179276e-21,3.362688358164563e-18,7.0878082268575555e-28,7.119477259573569e-28,5.972574977527929e-28,1.310873959253103e-25,1.4749885513879906e-25,5.369690658031828e-26,9.234426475662864e-23
500,1.0456048992244665e-11,9.953527906938317e-11,4.138221392886824e-15,2.0785230276794276e-13,2.0701695782677623e-13,4.167108253517809e-15,7.419771808983047e-18,8.597122243560755e-18,1.8860735850908234e-19,6.019328404235406e-17,8.604272986707938e-18,7.44265027832543e-18,1.6049767677537746e-22,3.0608511527806395e-22,3.0378566919955203e-22,1.4460650376496333e-22,9.870851509894295e-28,4.431178986733049e-15,3.766204736553883e-14,8.306202273196933e-21,1.1201241042065442e-20,7.071120843862699e-18,1.797318702552235e-19,4.384986790975175e-15,1.798880634932106e-19,1.6927899645115442e-20,1.3663870383369074e-20,8.947896969244401e-18,7.037805695061291e-28,7.428380139383384e-28,7.544545295461648e-28,1.5085549655720537e-25,1.153519321803583e-25,1.5809848736073896e-25,9.892153052758847e-23
600,1.0431578305383157e-11,9.952272557800204e-11,4.180849232061816e-15,2.0718646798594101e-13,2.064798423493401e-13,4.151421811441452e-15,7.922483657617269e-18,8.556819066033715e-18,1.854886900920314e-19,7.411621774427283e-17,8.65456962881656e-18,7.855174204012699e-18,1.6763066451847664e-22,3.2521111859442236e-22,3.235110872296825e-22,1.6099872496562557e-22,1.0361927661646091e-27,4.658976788713182e-15,4.428375319298476e-14,1.3542617809187594e-20,1.4876226359646864e-20,1.1999238722253883e-17,1.9194763985065547e-19,4.727128351714757e-15,1.9375688508019869e-19,1.8168478355034818e-20,1.969542061149027e-20,7.19559363571209e-18,8.807325303604513e-28,8.73893998953189e-28,7.179297141229665e-28,1.7118528873097446e-25,1.8410779172656092e-25,1.9303307191710525e-25,1.1107919337426883e-22
700,1.042390168977156e-11,9.951500056159263e-11,4.121912382834452e-15,2.0735751659310405e-13,2.0590910387287365e-13,4.1788081720300366e-15,8.016631786020499e-18,8.663600924016748e-18,1.867551432578768e-19,7.871051464574747e-17,8.603245919065057e-18,8.062886557566442e-18,1.8174371878167946e-22,3.3005873601913086e-22,3.301303039532271e-22,1.8282144414612691e-22,1.1074758274675972e-27,4.778793344189897e-15,4.714085977193159e-14,2.2196744705299192e-20,2.150655222606573e-20,1.1977721909573152e-17,1.9532615392840741e-19,4.8124286570407645e-15,1.9840886289263398e-19,1.511379940641083e-20,1.9505593249787032e-20,1.1872674389594321e-17,9.47118308666011e-28,8.700536751948702e-28,1.033328655530521e-27,1.9754946823421086e-25,2.4672364608224737e-25,2.115852268417363e-25,1.6211314004444365e-22
800,1.0420943417381932e-11,9.951220877733282e-11,4.119300745033034e-15,2.0583950733154814e-13,2.0583514881401628e-13,4.1389944978683225e-15,8.088239979545828e-18,8.586401843394204e-18,1.8841293713374895e-19,8.939990882445929e-17,8.599025920525989e-18,8.118118692623547e-18,2.2049944638436227e-22,3.295864273283593e-22,3.2894925084893004e-22,2.1125783228829176e-22,1.1596463487008214e-27,4.7863836799482346e-15,5.131461090199041e-14,3.194910244609897e-20,2.900402119515344e-20,1.3487127096121558e-17,1.9676203528250637e-19,4.8047667682080945e-15,1.9789031229768514e-19,2.3247602301678345e-20,2.778257743463093e-20,1.3569693005823143e-17,9.999970264661391e-28,1.1129878493621373e-27,1.0609185214633415e-27,2.1840816543178894e-25,2.6644367793300613e-25,2.884594341934997e-25,1.774819237668302e-22
900,1.0413062179671828e-11,9.950942661245033e-11,4.131115941901689e-15,2.0737612977630951e-13,2.0788519574310818e-13,4.116271327826429e-15,8.088498289223104e-18,8.524050024699172e-18,1.8934343232923043e-19,9.358215726266303e-17,8.602645271054701e-18,8.13620029767291e-18,2.3536561993935555e-22,3.298307336092884e-22,3.282360548448039e-22,2.404661169638337e-22,1.2000317411364303e-27,4.795614747926466e-15,5.6001081705396495e-14,3.8944568098100653e-20,3.157878915806478e-20,1.9234503853864804e-17,1.9730461993492424e-19,4.8591148503496635e-15,1.9657265191927065e-19,3.7806878727714757e-20,3.5856043854329576e-20,1.934109999764202e-17,1.079369862748822e-27,1.1274928115255562e-27,1.2076986760467567e-27,2.7643090602195407e-25,3.818395061463213e-25,3.1015618487099523e-25,1.7134966111199253e-22
