milliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
0,1.0970771813266534e-11,1.000037794518768e-10,1.5061717904758312e-17,2.935311697848184e-16,1.0226213565558609e-15,-1.942212120851763e-17,5.582379369101789e-20,-3.289453798486176e-20,-1.3958047754022574e-21,1.2916875861275942e-18,2.356405002595827e-20,2.623449121285476e-20,1.0266557120653374e-23,2.333978348286436e-24,1.976889740912842e-24,-6.699542875189889e-25,3.893286783397456e-30,-1.4627164456759672e-17,-1.1324662129358061e-15,2.1502122948750487e-21,-3.1965908414470755e-21,2.4261197900454366e-18,-8.136267775614407e-22,1.5454256019716515e-17,-4.947299844025754e-22,3.3292642180951e-21,-3.467975752023031e-21,3.4951510747729183e-19,9.864137544622146e-29,9.27492185905618e-29,-4.6098446645043345e-29,-5.336223317741755e-27,-1.3807141547027906e-26,-1.0543604625651706e-27,2.2876108714699746e-23
100,1.052353306138645e-11,9.95648065386389e-11,4.216667131024557e-15,2.0414418488676388e-13,2.0518374380773483e-13,4.168594702972386e-15,4.092270939698613e-18,8.430915682665152e-18,2.218703364797801e-19,1.4275213799582204e-17,8.416593199171901e-18,4.131985696610768e-18,4.13188319539794e-23,1.7075990429335902e-22,1.6864658716518034e-22,5.547178238005389e-23,4.601853331270224e-28,2.2559210663350757e-15,8.828901145058119e-15,-1.1675817997868624e-21,2.5073634358623794e-21,3.3508056535465763e-18,9.322585118424621e-20,2.2346748771327888e-15,9.349535528562336e-20,-4.405978678248388e-21,5.609566133663112e-21,-1.993055236797276e-18,1.691732937723254e-28,1.9781629618924796e-28,3.5433207223072354e-28,1.8875915406080674e-26,3.875895164196609e-26,3.196475180578024e-26,-9.032006471631909e-24
200,1.0494110168148797e-11,9.955560387038206e-11,4.153452714180359e-15,2.0834930841915766e-13,2.0877925386095913e-13,4.1960550834828405e-15,6.050746905674087e-18,8.633582228151158e-18,2.0064656633587656e-19,2.5005575106230614e-17,8.630509366302162e-18,6.095406437561928e-18,8.043062322567297e-23,2.51906577419699e-22,2.5095177514536386e-22,5.925611585997214e-23,7.2343764530686475e-28,3.543526102921041e-15,1.3370748756246112e-14,-2.752738671975995e-21,1.2489994135395967e-21,4.403737687998855e-18,1.4581255940660865e-19,3.4948544158034055e-15,1.4440271747217377e-19,-1.4699308147534212e-21,1.7877861803832775e-21,3.329269705525811e-18,4.313214617316853e-28,4.46434223840394e-28,3.775679304788868e-28,3.2636443534911165e-26,1.0192271725934024e-26,3.4911867537634935e-26,4.9597005196892396e-24
300,1.048056676916829e-11,9.95445420661861e-11,4.189871918993897e-15,2.0935729150231557e-13,2.0806707629183248e-13,4.1525688749782035e-15,6.529333832113841e-18,8.673732909075796e-18,1.9617229328715473e-19,4.236009177454243e-17,8.581840986170466e-18,6.5358020021766214e-18,1.0637059380342725e-22,2.7034441090663937e-22,2.7097837155969965e-22,1.1049909275483246e-22,7.773010805455991e-28,3.823848034085199e-15,2.1762938489189944e-14,2.565943803846669e-21,2.6599153466390017e-23,1.237749265616276e-19,1.5858978574646204e-19,3.87155466689085e-15,1.5902575343729285e-19,7.438050740823183e-21,6.425176637648183e-21,6.359234510164673e-18,4.356266336845753e-28,5.033914796554916e-28,4.09498374423348e-28,5.522154287773179e-27,3.9822068815334833e-26,6.121946401208806e-26,7.613816177640692e-23
400,1.0466542721365692e-11,9.95362943560168e-11,4.164088910958916e-15,2.0814735974488435e-13,2.071825514679172e-13,4.176137824035339e-15,6.991346057864624e-18,8.598325034968563e-18,1.9267436003489016e-19,4.9826796236258485e-17,8.673910135603081e-18,6.960439260492208e-18,1.3582999891999945e-22,2.868447093193893e-22,2.907044840709368e-22,1.276967426162778e-22,8.88120533658957e-28,4.098281721237553e-15,2.733847012349085e-14,1.3922010092954933e-20,6.025220901715747e-21,5.3459040861001424e-18,1.6949999406089188e-19,4.137683787972369e-15,1.70348684854236e-19,9.238014247348013e-21,1.0205424260284416e-20,4.8956330939036776e-18,6.43529155292576e-28,5.484492477015872e-28,7.0917271385055375e-28,4.091469071619363e-26,8.882412365655869e-26,6.226825013320183e-26,2.980463782523379e-23
500,1.04520903163847e-11,9.95283337535073e-11,4.171944959742202e-15,2.0620796275126643e-13,2.0798355358307388e-13,4.170601451144783e-15,7.49437842721405e-18,8.58568655258392e-18,1.9108530360490717e-19,6.32513630904611e-17,8.649271133108743e-18,7.493165029779234e-18,1.5262512706834778e-22,3.0492511162397186e-22,3.049456031112844e-22,1.5199031908943331e-22,9.654168514248468e-28,4.404455838995429e-15,3.742405114820154e-14,1.3767742281813055e-20,1.0713875199670775e-20,7.880739265580255e-18,1.8120940914552472e-19,4.413186347444981e-15,1.806753412504196e-19,8.573757378773394e-21,7.948503443617771e-21,9.960766803923016e-18,7.947845039551018e-28,7.053432346899409e-28,6.1535202142010725e-28,1.93449688353747e-25,9.399277394679173e-26,7.14761278774654e-26,7.054091406696052e-23
600,1.0438890275755308e-11,9.952393173051672e-11,4.142198757660649e-15,2.0671266229254842e-13,2.0783400495855309e-13,4.155263628009922e-15,7.850875486243572e-18,8.589069695990012e-18,1.8773468343175416e-19,7.183083581241938e-17,8.637517996962678e-18,7.93473466504829e-18,1.8476038454888813e-22,3.2305637093895797e-22,3.2135592861097204e-22,1.8120840200882213e-22,1.0577549021818057e-27,4.6486827245992476e-15,4.530898795596645e-14,2.0191129634869282e-20,1.7462616382193166e-20,9.292802975997313e-18,1.9355725030461228e-19,4.679182779893158e-15,1.9340836557035165e-19,1.0875631976943206e-20,1.0739936002653496e-20,8.999299884905505e-18,9.06554164937211e-28,9.244127118355592e-28,7.792552216542423e-28,2.1473577916673977e-25,1.2399794347023722e-25,1.0934295984252178e-25,1.180674536279206e-22
700,1.0420195275402066e-11,9.952171933242507e-11,4.1363812018407455e-15,2.0812812615706495e-13,2.0716031009229115e-13,4.167701709839521e-15,8.04535656663834e-18,8.623605284252322e-18,1.8587119229648e-19,8.386251604631108e-17,8.58243259998371e-18,8.094504741890972e-18,1.9116324238798735e-22,3.3203784873155304e-22,3.285010877992818e-22,1.8654239593443743e-22,1.1065916098837375e-27,4.8385986601858734e-15,4.8374768548681064e-14,2.14799476540757e-20,2.1524862177402427e-20,1.4041502353827008e-17,1.9677225330874107e-19,4.818162663480957e-15,1.9734809469501537e-19,2.5358496834508763e-20,2.582828863102914e-20,1.433814887785429e-17,9.091406114743112e-28,9.056215365591415e-28,8.525633875156958e-28,2.5105294495390906e-25,2.041540102784143e-25,2.618996562563115e-25,1.1782958583340064e-22
800,1.0423365016124133e-11,9.95170382421987e-11,4.15490691638691e-15,2.0743679484885387e-13,2.0673382166051627e-13,4.140963960204234e-15,8.081178907624833e-18,8.538295624730402e-18,1.8609723152910493e-19,8.966655832670287e-17,8.594555015805609e-18,8.037131358134069e-18,2.2981283347046866e-22,3.30205095213032e-22,3.283435593624571e-22,2.3022181187278837e-22,1.1882087929786722e-27,4.790508758370697e-15,5.06081001853705e-14,2.6154534918881063e-20,2.2589739627719715e-20,1.7630088178226832e-17,1.9807861185098163e-19,4.847437037212344e-15,1.9590179473385698e-19,2.860619759647371e-20,2.5146106400732794e-20,1.947530305804729e-17,9.190783079407725e-28,1.0974091568101175e-27,1.0179054644651354e-27,2.2862066944152955e-25,2.3332132000296933e-25,2.550540699811264e-25,1.433978465775085e-22
900,1.041671034005394e-11,9.951584213007427e-11,4.1234316889464216e-15,2.055884441511298e-13,2.0789833611128174e-13,4.129399545633761e-15,8.115046453953608e-18,8.523839142040141e-18,1.8675322064475747e-19,9.173509205103722e-17,8.522125165108252e-18,8.032788158164662e-18,2.407154660158232e-22,3.299196154849506e-22,3.2933149296800855e-22,2.311502670508532e-22,1.2304711855149747e-27,4.817042580921643e-15,5.417408581430912e-14,3.696574864696167e-20,3.9780020272073327e-20,1.9681382029894984e-17,1.9812083864529236e-19,4.793595352583182e-15,1.9655999358393422e-19,3.9247101247805296e-20,3.0375589586495964e-20,2.2279701192003713e-17,1.2523967584755384e-27,1.0465920335329446e-27,1.2074035979139615e-27,3.2482392500056826e-25,3.866714841240229e-25,3.763371027935179e-25,1.6707876896307585e-22
