miliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
0,1.0963166818792632e-11,9.999584422786293e-11,-6.481966611197458e-18,-9.377150404475978e-16,1.4291692672248304e-15,-5.692300693800671e-18,3.7977925021345416e-20,-4.50563496619011e-20,7.246689585413133e-22,-1.649130769120967e-19,-3.185654697345024e-20,1.8230197951416117e-20,-1.0929151489841168e-24,5.846113939983798e-25,-2.4011706759668636e-24,-8.361691940937947e-25,-8.564032062524233e-30,2.1894566162525658e-17,-1.4109971498261162e-16,2.7601122127010225e-21,-3.8782884989618104e-21,2.1347866711572444e-18,1.4551278975761826e-21,1.7441011891858736e-17,1.1911793963394539e-21,-2.2135751502981354e-21,-5.028331457690434e-21,-2.586913007326524e-20,-1.8789561882216185e-32,-1.1449474396368097e-28,-5.868840023078267e-29,1.832672629645296e-26,-2.838265546451241e-26,-4.6116145213318307e-26,-9.256190579226221e-24
100,1.0526585733545953e-11,9.956562406299539e-11,4.1994805646031115e-15,2.0562287825711813e-13,2.0461777600978211e-13,4.180299107742076e-15,4.087611784795135e-18,8.402845084883824e-18,2.202886686347625e-19,1.2049833021728864e-17,8.432867334694654e-18,4.073818972924162e-18,4.650122095919031e-23,1.6940888600986686e-22,1.6975315286160508e-22,4.320406142971834e-23,4.485829342517389e-28,2.28224309084063e-15,8.640749282846676e-15,2.4731771568815405e-21,-4.905672066493383e-21,-2.3356377401550126e-18,9.050290539166018e-20,2.273037375305362e-15,9.290467047324269e-20,1.5274154476469485e-21,2.569190494117414e-21,3.3001965335936506e-18,3.0920735637819377e-28,1.8241967113025076e-28,2.63362078078882e-28,-5.046320942175214e-26,1.9272967410990403e-26,-2.2781978673188006e-26,-2.6239367322703914e-23
200,1.0490068781955472e-11,9.9552594831055e-11,4.1745601312993925e-15,2.0876995888576e-13,2.0746357103737658e-13,4.152699179599731e-15,6.014091562132206e-18,8.683978188038815e-18,1.9890535563712952e-19,3.07324599625472e-17,8.665905887053253e-18,6.116374518786981e-18,7.416648775612145e-23,2.477558679062286e-22,2.5275211290197133e-22,7.192004613590683e-23,6.7757084739505265e-28,3.504471160187991e-15,1.5503919195718497e-14,-1.571603628388866e-21,3.1307951949244845e-21,1.907577197727567e-18,1.4382601709740777e-19,3.5122666491772023e-15,1.4432202716549363e-19,-2.6321191505796546e-21,4.101544598119592e-21,6.225843173956553e-19,4.978419817388064e-28,4.219541932772393e-28,2.854844111824709e-28,7.426945545804499e-26,8.806962604080241e-26,3.158017487740391e-26,-3.117848049898627e-24
300,1.0475962943180411e-11,9.954369126570998e-11,4.1782018463005054e-15,2.0903582442932353e-13,2.067543442823873e-13,4.1872948805305825e-15,6.526028752376374e-18,8.697579476712659e-18,1.9516833448108235e-19,3.8666280320826013e-17,8.610842532307136e-18,6.622520195138025e-18,1.0653118921242564e-22,2.729993626462042e-22,2.702687567250607e-22,8.868110179873351e-23,8.157902193945149e-28,3.848788551723169e-15,2.1987886012464023e-14,2.015706775389332e-21,2.3267621280587402e-21,4.493577336717819e-18,1.5947540246434378e-19,3.8482924513974975e-15,1.5821062913483203e-19,9.855749123436598e-21,7.13707510974331e-21,3.2679528845209456e-18,5.8173897426965875e-28,5.814407547970323e-28,4.769749677863903e-28,8.363608475427317e-26,8.529103569956614e-26,5.665738867465849e-26,2.0919245049099073e-23
400,1.0462461203982748e-11,9.953842382966362e-11,4.155451187191309e-15,2.087664158242727e-13,2.0786546715933702e-13,4.175566934147493e-15,7.033707623444574e-18,8.655926216762112e-18,1.9181491073574321e-19,5.002775929399593e-17,8.651426107020341e-18,7.059978884832659e-18,1.351885134761965e-22,2.9009835813358693e-22,2.906885621544524e-22,1.2081773486620609e-22,8.88570937538159e-28,4.1016825952440116e-15,2.7810175944603622e-14,3.2699380744861085e-21,3.473761192834781e-21,1.5884332753586394e-18,1.680957335813688e-19,4.109603392547097e-15,1.685182639293066e-19,7.64391264745663e-21,5.1767009610464195e-21,2.071051378250434e-18,6.153886539979189e-28,5.4502281737638345e-28,5.053480047651993e-28,1.1276316971928565e-25,5.457189855381229e-26,1.249882118989504e-25,2.1494786482323167e-23
500,1.0450636736872845e-11,9.953091185328009e-11,4.182150288985687e-15,2.0727402343779627e-13,2.0771036162459483e-13,4.1634661582890906e-15,7.409624063843713e-18,8.668307440495974e-18,1.8824775267657658e-19,5.91095752537224e-17,8.654997859050119e-18,7.489433149273219e-18,1.476858059785001e-22,3.0564381763446275e-22,3.0795373926639564e-22,1.4300617708428645e-22,9.824940765847784e-28,4.373025207401277e-15,3.545559340620595e-14,1.4813509742182586e-20,6.226000065580222e-21,1.0061564158085683e-17,1.8179642900407973e-19,4.420965942949993e-15,1.8066883166340336e-19,1.4892453391894023e-20,1.6023100049643708e-20,5.884049392076345e-18,6.289241128342034e-28,6.517938445835783e-28,5.979287818502292e-28,7.439431497117044e-26,8.375100922217816e-26,1.1422084790050936e-25,8.091519494577747e-23
600,1.0439289191742804e-11,9.952785796259312e-11,4.17040203637684e-15,2.0607865181010258e-13,2.0805546575671655e-13,4.174942356440065e-15,7.922642032448338e-18,8.57214066026736e-18,1.8807268755470797e-19,7.036069334716773e-17,8.559646235343055e-18,7.911034954729835e-18,1.7999860898340808e-22,3.2384776534270894e-22,3.2315755852237886e-22,1.659173446257725e-22,1.0362068827476686e-27,4.724487805294907e-15,4.192430315114614e-14,1.4439439637509186e-20,1.1288762814836888e-20,1.0641851548901559e-17,1.9370333413797618e-19,4.686828849140484e-15,1.9137116096297342e-19,1.7627627067828898e-20,9.694622638322417e-21,8.504637589994957e-18,8.013598165681197e-28,8.577532076414047e-28,8.743140482942872e-28,2.151530398722636e-25,1.6936689019497317e-25,1.4163707539676242e-25,1.3067826211918055e-22
700,1.0423661942784764e-11,9.952148012583079e-11,4.1441010223802855e-15,2.078705873063825e-13,2.083776821725931e-13,4.170634332863792e-15,8.090370658087876e-18,8.65792343861944e-18,1.852780807271622e-19,8.489676233459301e-17,8.55034777525348e-18,8.017201112200018e-18,2.0703501213130377e-22,3.3054392475115924e-22,3.3165300513615554e-22,1.9288612196375804e-22,1.1480276822024635e-27,4.844695366220645e-15,4.789310554428936e-14,1.5323685276781198e-20,1.8896446144434937e-20,1.1241685239845748e-17,1.981840742126499e-19,4.820526562842121e-15,1.9669647359775874e-19,1.5121077708201873e-20,1.7656474248367636e-20,8.680767679995734e-18,9.799071444899987e-28,9.09756955558028e-28,1.0016942414674122e-27,2.269840416074089e-25,2.274185501033272e-25,2.066369739246333e-25,1.0380605532657108e-22
800,1.0417551785317237e-11,9.951517463196466e-11,4.144468580492617e-15,2.0728284398642295e-13,2.069645668351428e-13,4.1750309757289676e-15,8.131277664700677e-18,8.62060001196532e-18,1.878125707170622e-19,8.876891825318321e-17,8.634609710431278e-18,8.082313822168426e-18,2.0931759865540278e-22,3.304549063555722e-22,3.294376779354366e-22,2.1296864762119733e-22,1.1362258036608068e-27,4.856657067280071e-15,5.4131224857927305e-14,3.073959695930476e-20,2.847533919268085e-20,1.7343247981086508e-17,1.9818459780062866e-19,4.828533755500947e-15,1.9809796505319823e-19,2.3953119399716832e-20,2.6877847877812678e-20,1.761079286003442e-17,9.950517374557465e-28,1.0804730770450933e-27,1.0771807003818048e-27,2.660544896380644e-25,2.1696018778492547e-25,2.479810034834868e-25,1.6105101351307531e-22
900,1.0415601461658137e-11,9.951583964149011e-11,4.1433108793102544e-15,2.0810887342960277e-13,2.0613885699815163e-13,4.122167939524502e-15,8.148116002622542e-18,8.595525190541024e-18,1.8829046584840473e-19,9.22074416638737e-17,8.617328423790923e-18,8.086141719007285e-18,2.490171938569684e-22,3.3160789888527937e-22,3.28172719090284e-22,2.2283883460789707e-22,1.1861712661639284e-27,4.815360584172742e-15,5.735421140677212e-14,3.869639520631281e-20,3.3966812664163894e-20,1.7423536397732838e-17,1.9764198161251367e-19,4.784991085095453e-15,1.9697546032889674e-19,3.850742306008874e-20,2.950913727473313e-20,2.39727825731801e-17,1.0665035580003185e-27,1.2805785043318468e-27,1.1957583187635708e-27,3.204022397265647e-25,3.399751929719348e-25,3.6825006107000647e-25,2.363633428083682e-22
