milliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
0,1.0959083326558769e-11,9.999805873947312e-11,-1.9545029436541532e-17,9.547996102248856e-16,3.2918070467508607e-16,1.2329496170986671e-17,2.330426166892303e-20,-1.3696648579415024e-20,1.160409429637617e-21,8.373749068205352e-19,2.5893810136922276e-21,3.758918156160672e-20,-8.522287419683855e-24,-1.4462406925999407e-24,-2.3957757946031923e-24,-2.3768178718046684e-24,-1.0655788903053313e-29,7.175689810989384e-18,7.121665909906632e-16,4.347641943441726e-21,-3.140678588033937e-21,-1.4943946379504345e-18,-3.317894837641825e-22,5.611114198866027e-18,6.36398440041581e-23,4.054954969252069e-22,-4.0811348403755185e-21,2.5264031651099972e-18,-1.0981031456696935e-28,-5.562421415973924e-29,-7.448543920954984e-29,1.1404873198629298e-26,2.667704123179727e-26,-4.6661383556849614e-26,-8.165060997359456e-24
100,1.0523537078264216e-11,9.956865119013044e-11,4.198914638728119e-15,2.0580198107535081e-13,2.0418037925295758e-13,4.179813928122288e-15,4.109750407463503e-18,8.412286669957964e-18,2.230116189178368e-19,1.676851527895225e-17,8.459311624957095e-18,4.0805411031408424e-18,5.901515760792679e-23,1.6967416552792646e-22,1.6622050967129115e-22,3.69092122851107e-23,4.66336373745884e-28,2.235412696392149e-15,7.651303882141541e-15,-2.032384254139654e-21,3.775372412753943e-21,-1.1857989386734554e-18,9.05792479619438e-20,2.2327243978614242e-15,9.349458411467285e-20,-2.369531752430901e-21,-2.173327508307599e-21,3.00032445720141e-18,2.8282159909722647e-28,2.8726882043222054e-28,3.708842172354129e-28,-3.0287476544589645e-26,3.459030308389024e-26,-3.68163297077014e-26,1.801090375972283e-23
200,1.0489945966925744e-11,9.95536048496207e-11,4.168573517463029e-15,2.07181140267226e-13,2.0720325922711241e-13,4.187214142727393e-15,6.035857257970757e-18,8.638274413606772e-18,1.9834479358608017e-19,2.4168166048498218e-17,8.612551006420071e-18,6.0129332693281616e-18,6.52355477670115e-23,2.493797878460545e-22,2.527999271993848e-22,8.415623606551883e-23,7.080543471632574e-28,3.5125017410470384e-15,1.5383991536367826e-14,2.7259035163813083e-21,6.081939988073452e-21,2.047948910056045e-18,1.4566614865441778e-19,3.4806389626124958e-15,1.4331105228358157e-19,-1.0663831039315204e-21,-2.0512469458114567e-21,4.138927320000584e-18,4.269285899551083e-28,5.0389588703554655e-28,3.4314761376670687e-28,6.366439163459951e-26,-7.752408081263565e-27,-2.113329401275663e-26,3.175560874138338e-23
300,1.0477620794930618e-11,9.954860190722831e-11,4.180739074200347e-15,2.077204068157435e-13,2.0685967685433966e-13,4.193613335446047e-15,6.566444720332419e-18,8.594090765006599e-18,1.9572529200640433e-19,4.199662606490949e-17,8.588580457074359e-18,6.574819606837385e-18,9.688536865777895e-23,2.68685324021329e-22,2.7310332822053774e-22,1.0364055351036883e-22,7.670381787182043e-28,3.869811475621224e-15,2.2729764468324158e-14,8.460511402672092e-21,6.390005708644026e-22,3.670224455200373e-18,1.577554452356737e-19,3.8520360043395066e-15,1.5856677438058771e-19,8.666672990470381e-21,1.0844390333007905e-20,8.548088474849726e-19,6.058994886539857e-28,5.581050896530838e-28,6.208099284783423e-28,4.35321757467239e-26,8.929204397636118e-26,6.066626634701275e-26,1.6935840073462265e-23
400,1.0465579362437334e-11,9.953525814118656e-11,4.168476722327472e-15,2.0737543519508974e-13,2.0875378145169361e-13,4.191847795939226e-15,6.954925620623999e-18,8.600682358475882e-18,1.9270612277680473e-19,4.8266582352114815e-17,8.611036122627877e-18,6.993934957747794e-18,1.1129308469011343e-22,2.8675137999189464e-22,2.9031855735950535e-22,1.3426778056877104e-22,9.110071461538473e-28,4.159175951421646e-15,3.143822893963677e-14,1.2597038161832311e-20,4.234259108255093e-21,4.366567577888862e-18,1.6979008515634122e-19,4.1070683026511156e-15,1.6803808648005577e-19,7.357598856689322e-21,1.192544789035742e-20,8.346029531440016e-18,5.07395665223636e-28,6.904005032709986e-28,5.881921387264733e-28,1.4101408113668912e-25,7.429936975927353e-26,1.6167417414225922e-25,4.410181845261928e-23
500,1.0452194065390867e-11,9.953464059759652e-11,4.135245556900858e-15,2.0680816456410692e-13,2.0791925788189524e-13,4.1720381460458554e-15,7.460514254837242e-18,8.633623249756115e-18,1.8991267510451407e-19,6.12848240550143e-17,8.604447041023085e-18,7.405700514491669e-18,1.4986800968844285e-22,3.076551978192644e-22,3.072654378074418e-22,1.5105131620818203e-22,9.77947383915936e-28,4.4118371316421505e-15,3.575991435569171e-14,1.338699794204902e-20,8.26385719955643e-21,6.57203877268558e-18,1.805366819467633e-19,4.396339752820449e-15,1.816045531092494e-19,1.4909181776855618e-20,1.4383440066881596e-20,4.653129544000522e-18,6.694819249321183e-28,8.166400283338108e-28,5.88981741601525e-28,1.3510137944050729e-25,1.4376395514884228e-25,1.1839293391570524e-25,6.873483003399719e-23
600,1.0435958240812846e-11,9.951984830802023e-11,4.1417195503091205e-15,2.0781571831643517e-13,2.0677935548260821e-13,4.166940169411791e-15,7.883313236030551e-18,8.650588895199302e-18,1.8666355020717022e-19,7.633698875305028e-17,8.665817344339652e-18,7.840688357820617e-18,1.7082577357153076e-22,3.217414787676813e-22,3.2222755354420526e-22,1.741905337855814e-22,1.051129197517326e-27,4.717627819378287e-15,4.4391266494006617e-14,9.949774496717441e-21,1.426375527819073e-20,7.80252332893902e-18,1.934711683774237e-19,4.7116206935596225e-15,1.9361064946650202e-19,1.2111308151943545e-20,8.968227318742845e-21,5.6399529024188804e-18,8.420003448436471e-28,7.541962941196529e-28,8.343301051481886e-28,1.5071286275181134e-25,1.9379816315305178e-25,1.705916196409472e-25,1.2251613617047725e-22
700,1.0423949091739776e-11,9.951588717095338e-11,4.175440784360245e-15,2.0713298965540213e-13,2.0804675560225793e-13,4.142466381229407e-15,8.06900872801542e-18,8.59568849710163e-18,1.865104767424441e-19,8.427373584644585e-17,8.598144367686825e-18,8.117679818349332e-18,1.83915514078047e-22,3.2841541922035224e-22,3.2925230393807776e-22,1.9510029776804918e-22,1.0955836928234413e-27,4.837796506196747e-15,4.8776438314343e-14,2.5223172290040906e-20,1.651253589516133e-20,9.350941857663478e-18,1.9712511330373766e-19,4.78883576778816e-15,1.97668814191082e-19,1.783347499335206e-20,2.4088542884073488e-20,9.886489068098605e-18,8.08319556957724e-28,8.09529170711225e-28,8.265458870632595e-28,2.5308400829022504e-25,2.1563143010046417e-25,2.1752769730135816e-25,9.815625769875527e-23
800,1.0413965439841016e-11,9.951927443639772e-11,4.121238272279378e-15,2.0623200861493261e-13,2.0632458527886422e-13,4.165124691156793e-15,8.049435450811877e-18,8.586759397323444e-18,1.8803546640286176e-19,8.929369417339286e-17,8.601846904805489e-18,8.037058898288204e-18,2.270329015880948e-22,3.3216191377990206e-22,3.2848675696645064e-22,2.0636073503938949e-22,1.1639573796970004e-27,4.7821559507353354e-15,5.310290193437049e-14,2.8526727777875583e-20,3.279217585058092e-20,1.3086548007810321e-17,1.9580656337840018e-19,4.827497954323115e-15,1.9726293467840455e-19,2.2537251527009078e-20,2.3330328187219123e-20,1.5823569506615213e-17,9.768912101744263e-28,9.52712411758086e-28,9.800933036238109e-28,2.812754398817971e-25,3.2773969994532643e-25,2.2685270300841896e-25,1.3169426042833172e-22
900,1.041089048080807e-11,9.951286283905691e-11,4.11697586460767e-15,2.0818833864959255e-13,2.0828619220296525e-13,4.158392134707388e-15,8.130727855841533e-18,8.520355232403879e-18,1.8738850688144925e-19,9.173395084752088e-17,8.552167175248811e-18,8.117290639028872e-18,2.236768298796708e-22,3.315416047284678e-22,3.282239198323921e-22,2.3545368266657067e-22,1.2122501553000677e-27,4.830818588869724e-15,5.839617768087374e-14,2.958891336485976e-20,3.30165164407249e-20,1.918458184767122e-17,1.9712023948965247e-19,4.836336652668301e-15,1.9791304756048857e-19,3.6271073871555745e-20,3.529078972640983e-20,2.1152737036910998e-17,1.0636115001751989e-27,1.1208782988094922e-27,1.262425458748026e-27,3.5463479189097265e-25,3.7698311981134104e-25,2.90081039497759e-25,1.9235788163970195e-22
