miliseconds,S1,DNA0000,DNA0001,DNA0010,DNA0100,DNA1000,DNA1100,DNA1010,DNA1001,DNA0110,DNA0101,DNA0011,DNA1110,DNA1011,DNA1101,DNA0111,DNA1111,DNA001_1,DNA01_10,DNA01_11,DNA011_1,DNA01_1_1,DNA101_1,DNA1_100,DNA1_101,DNA1_110,DNA11_10,DNA1_1_10,DNA1_111,DNA11_11,DNA111_1,DNA1_1_11,DNA1_11_1,DNA11_1_1,DNA1_1_1_1
0,1.0962078877554144e-11,9.999790898494922e-11,-1.7404782827661843e-17,2.9644602106591417e-16,7.526661459559606e-16,8.54867492819148e-19,-2.285297738447856e-21,3.076506577770669e-20,-1.0517667338371927e-21,9.138121241184078e-19,-1.6431762532162556e-20,-5.416142642900532e-20,4.509769750656219e-24,4.908629743168463e-26,-9.14651939061978e-25,-3.3155425736044975e-24,2.5129737060800282e-29,-7.359408589643906e-19,8.786658921567961e-16,1.9832583424818152e-21,-5.230653032933434e-21,-2.928367894913179e-19,-7.372816232189216e-22,1.683085504926806e-17,1.2636826181285555e-21,-2.2557252549308198e-21,2.660237382224119e-21,2.628328604319271e-18,1.1828330280217621e-28,-1.044016070176359e-28,-9.758767141049146e-29,-1.4382936345507398e-26,-5.119518260671596e-26,-4.2389359528153445e-26,1.3962116586099448e-23
100,1.0518101130830062e-11,9.956488293264094e-11,4.167166867679153e-15,2.050885114108074e-13,2.0486934818842833e-13,4.218964507191603e-15,4.0926150703728574e-18,8.441286405059733e-18,2.203822023139493e-19,1.4497755966963762e-17,8.417534349752736e-18,4.050302645893807e-18,4.2040644112890275e-23,1.7014191954351017e-22,1.6584627319104665e-22,5.510960502682506e-23,4.31516349778103e-28,2.283180844191647e-15,6.5943974030030764e-15,-1.9629733019954252e-21,-4.4601670466230574e-21,-1.5203720808105246e-18,9.334392400966914e-20,2.224124757156871e-15,9.250194510253244e-20,5.528164953061572e-21,3.1856671092574727e-21,7.310038831681917e-19,3.4628756564245763e-28,2.885011606858036e-28,3.0617136884646748e-28,-5.004270000823281e-27,6.913456144539744e-26,-2.2236007130594324e-26,3.588133228459993e-24
200,1.0490466605419659e-11,9.955417844429961e-11,4.195550786530825e-15,2.086874823640709e-13,2.085068285467464e-13,4.16674625032712e-15,6.01779769883375e-18,8.652422017387165e-18,1.9971907471887646e-19,2.520898888261065e-17,8.650900026142329e-18,6.0617018425899435e-18,8.052929128090501e-23,2.4845642630990154e-22,2.4787978870045614e-22,7.214826830728878e-23,7.293398339271863e-28,3.5091309870976878e-15,1.578310633357055e-14,8.462032180416106e-22,4.107181337317768e-21,4.3473710413263104e-18,1.4581323368481394e-19,3.5287577673349413e-15,1.4603828051917098e-19,5.251462453689414e-21,9.835735118701348e-22,6.3238212759632205e-19,5.032199325181649e-28,3.1202875992514303e-28,3.62176054649612e-28,-2.5100742142704887e-26,3.593695839090341e-26,-1.147638510483669e-26,2.6780723652969427e-23
300,1.0481712015151992e-11,9.954320017963983e-11,4.188790470308975e-15,2.0932091924971712e-13,2.0814758482187693e-13,4.183318518054467e-15,6.614356935709436e-18,8.594614069260302e-18,1.9540384681753035e-19,4.025763889478563e-17,8.649718477845558e-18,6.529498584984661e-18,9.16906399921507e-23,2.7080688271031793e-22,2.6857352419003737e-22,8.481091111155145e-23,7.975534393922173e-28,3.865993479148503e-15,2.4511184143145185e-14,7.92898555936375e-21,1.0842979750600129e-20,2.1659610398654645e-18,1.5669898383031077e-19,3.840349824251315e-15,1.5664231533884103e-19,4.8993505715660615e-21,2.761286043367915e-21,1.2648115958679734e-19,5.003398203023013e-28,4.74603702108236e-28,5.956643008203463e-28,1.0706898000700862e-25,8.953867365463155e-26,1.990896878296297e-26,5.89775818771624e-23
400,1.0459580817975225e-11,9.95366417888008e-11,4.181638587124262e-15,2.091069038289565e-13,2.0806910673944006e-13,4.144123987504812e-15,7.049888399657093e-18,8.643838773154937e-18,1.9163187270989035e-19,5.225545887305173e-17,8.611543265220059e-18,6.987267651804067e-18,1.1589073101615329e-22,2.87398155248617e-22,2.8862044458766185e-22,1.1178787935262282e-22,9.025392481344285e-28,4.120321220591297e-15,2.914297899726714e-14,1.2462931023676238e-20,3.931796081105996e-21,4.135433990082246e-18,1.6877005866669832e-19,4.087969620281291e-15,1.6829983057793527e-19,4.60763773746106e-21,1.3173371004240652e-20,1.6103810178427756e-18,6.662078265371922e-28,5.538369034893325e-28,7.0001341703465055e-28,1.5453601088935677e-25,7.147848467175116e-26,7.068904727988079e-26,3.4460832800395274e-23
500,1.0444260222991973e-11,9.95351438101229e-11,4.162098201352206e-15,2.0825745953045133e-13,2.0806963131979314e-13,4.144283708340601e-15,7.385745415955298e-18,8.666055726682088e-18,1.8999065863531473e-19,6.485029403170724e-17,8.630643936048428e-18,7.468093783681873e-18,1.4813196479990171e-22,3.043270169613688e-22,3.0583368353057763e-22,1.4544995127965398e-22,9.945671591799066e-28,4.366843027341037e-15,3.802622543754475e-14,1.2042144712232352e-20,1.2818208358072495e-20,1.0132797565989222e-17,1.8095028182413132e-19,4.414649041983362e-15,1.803025236663283e-19,1.1556946746143496e-20,9.49134072839958e-21,5.499755618676774e-18,7.135249846657413e-28,6.779812846581886e-28,6.176150440606274e-28,1.64163853934603e-25,1.3512581692873616e-25,1.77977504660798e-25,9.23564171769646e-23
600,1.0438748205625406e-11,9.952055234826918e-11,4.178767034346787e-15,2.075739177297653e-13,2.0843130252138776e-13,4.136624861919943e-15,7.87598175387741e-18,8.668418447311344e-18,1.8719205314305695e-19,7.448438792405618e-17,8.665280967890919e-18,7.813182065315121e-18,1.8261234214230954e-22,3.2160165760117003e-22,3.245119199946834e-22,1.8286886129581734e-22,1.0650461987432622e-27,4.72103891241111e-15,4.189034795324399e-14,1.0862536082499562e-20,9.298966684812969e-21,7.753125199509666e-18,1.9075510993946126e-19,4.6705769753886844e-15,1.9182035481629707e-19,1.67141670935433e-20,1.695596558240198e-20,1.1521274115610976e-17,9.148536965496961e-28,8.867008357188131e-28,9.142988689407626e-28,1.3819035345941662e-25,2.2406598771531685e-25,2.046231115355393e-25,6.494032724571256e-23
700,1.0419062046984026e-11,9.951491666018232e-11,4.128869667469279e-15,2.0767731046442624e-13,2.079851582477643e-13,4.1537129200085004e-15,8.111295404943577e-18,8.582167372215288e-18,1.8723904006749353e-19,8.133158149698284e-17,8.653392792963056e-18,8.049596919404086e-18,1.924169367399976e-22,3.2883720373080646e-22,3.292949569194923e-22,1.972217587272066e-22,1.1439231834963938e-27,4.8062290112935396e-15,4.694173566518318e-14,1.9496902082649462e-20,1.9125399897952575e-20,1.3662873766193085e-17,1.9642848658481277e-19,4.807049342286938e-15,1.9711582305576896e-19,2.130034825518945e-20,1.9154889415068733e-20,1.3520545685467866e-17,1.006619412358484e-27,8.361210979973287e-28,1.031194900213175e-27,1.5894420270429516e-25,2.7443820983497597e-25,1.7645769687500909e-25,1.2297895164577113e-22
800,1.0413808990604869e-11,9.951358921114074e-11,4.137324523256062e-15,2.0635635300488835e-13,2.0648160778871213e-13,4.139419661842464e-15,8.101125573706288e-18,8.64066972929965e-18,1.8859730476842433e-19,8.924326360100501e-17,8.577477945716567e-18,8.056246933101334e-18,2.275104497818918e-22,3.283755069776315e-22,3.2934184292969176e-22,2.1264830118021925e-22,1.1812769208947908e-27,4.811521105079583e-15,5.439020387498131e-14,2.8971507482124636e-20,3.0685162830890784e-20,1.899134146803327e-17,1.9677105458892698e-19,4.792878040595e-15,1.9579999738296078e-19,3.0107615027841955e-20,3.199560622217777e-20,1.648609832526382e-17,1.1056527846501033e-27,1.0100311305982568e-27,9.53883835387682e-28,3.0576148730619574e-25,2.6044268295159446e-25,2.418701915462379e-25,1.7841600453391306e-22
900,1.040535749584025e-11,9.951322627763068e-11,4.143858843534541e-15,2.0734490753212675e-13,2.060911853976308e-13,4.16674792352938e-15,8.054868829173826e-18,8.540598250522613e-18,1.8660258651002229e-19,9.781639803920232e-17,8.562974244284192e-18,8.047834162581154e-18,2.3719608678787355e-22,3.3083451262242115e-22,3.301109817546111e-22,2.494800268756373e-22,1.2031752154144556e-27,4.825864776577383e-15,5.45121816965004e-14,3.166894203395245e-20,3.906684688643483e-20,2.0227668579637816e-17,1.979848925699208e-19,4.830610722296849e-15,1.9692008771332219e-19,3.097639717462535e-20,3.191677353399964e-20,2.0364530296789343e-17,1.242919458203684e-27,1.0406173437253833e-27,1.2411687212223603e-27,3.6090320253328668e-25,3.295527497396749e-25,3.911532755156684e-25,2.1826705757401755e-22
