milliseconds,Susceptible,Exposed,Infectious,Asymptomatic,Hospitalized,Recovered,Deceased,Cumulative_Cases
0,9900000.0,36600.0,732.0,2196.0,0.0,0.0,0.0,0.0
100,9899317.993469983,35692.650140919504,758.8845882700734,3251.541559977386,37.23684404183665,469.45481799568563,0.238578816118615,84.2358886223583
200,9898404.303464878,35050.85447110058,782.0552141974055,4117.9811258515665,75.16852653610218,1097.122473605471,0.514723838085856,166.67662939351723
300,9897299.839513531,34623.191598056066,802.322293690121,4833.077189778378,113.62037498297224,1855.1210998881054,0.8279300819792086,247.87935108634218
400,9896037.360242635,34368.416525270186,820.33320962996,5427.125668490978,152.45643367875346,2721.1301337644904,1.1777865396686122,328.2938313015012
500,9894643.004625399,34253.547637380754,836.6032247480163,5924.364735990484,191.57198743655985,3677.3438281769127,1.5639608800722042,408.282730073283
600,9893137.717748407,34252.085655952906,851.5442295043778,6344.281921673695,230.88663740632336,4709.497622860971,1.9861842055611068,488.1404195694857
700,9891538.231568523,34342.7886035758,865.4844864529905,6702.512611555569,270.3395136050724,5806.198973446055,2.4442428529326996,568.1059308793574
800,9889857.866419598,34508.670757381944,878.6847443739698,7011.573919315676,309.8854250039992,6958.380765352032,2.937968984500231,648.3735296205865
900,9888107.243280748,34736.11306886908,891.3525461540615,7281.5167828180465,349.49142777873294,8158.8156604024625,3.46723323917866,729.1021134707903
1000,9886294.801760668,35014.21626473249,903.652613591541,7520.399996934603,389.13433357056164,9401.763090608716,4.0319399041331225,810.4220446542946
1100,9884427.230011672,35334.26395311127,915.7154547334806,7734.6835802154565,428.79866686139513,10682.676311451609,4.632021966828321,892.4408198671099
1200,9882509.823648825,35689.274389738144,927.6445403035387,7929.5571718468045,468.4749597688242,11997.957852174995,5.267437352574098,975.2478039566581
1300,9880546.76299156,36073.654251875305,939.5218340290455,8109.193660028582,508.15844651327654,13344.770650114266,5.938165890092762,1058.9178860984691
1400,9878541.323069144,36482.93637834139,951.4119693686499,8276.941288797987,547.8480852188776,14720.895002217709,6.644206921165258,1143.5142492837854
1500,9876496.046053477,36913.564405056975,963.3656732492776,8435.481478130681,587.5457470437692,16124.611065023933,7.385578027822204,1229.0906456982073
1600,9874412.890161712,37362.706812714765,975.4227156567584,8586.965011526449,627.2555437143816,17554.597442020964,8.162312665444349,1315.693360355966
1700,9872293.350652639,37828.10581143065,987.614300077642,8733.12273713035,666.983279021257,19009.84876108636,8.974458625088587,1403.3628074048734
1800,9870138.551280944,38307.963109663746,999.9648615399825,8875.349268846046,706.7360377493261,20489.613364219153,9.822077048392893,1492.1347372983728
1900,9867949.314075721,38800.85274727758,1012.4934306579256,9014.766868673481,746.5218770716493,21993.34575887608,10.70524173211833,1582.0411583816206
2000,9865726.216663647,39305.64948467117,1025.2147490454465,9152.277921710467,786.3495801598611,23520.66756239347,11.624038381342665,1673.1110941396298
2100,9863469.640767612,39821.46821340235,1038.1402092234696,9288.609329076575,826.2284530534849,25071.334463798416,12.57856384489147,1765.3712240068633
2200,9861179.8114875,40347.61487566196,1051.2786112679632,9424.34847456823,866.1681634563797,26645.20946204329,13.568925512483935,1858.8464027529942
2300,9858856.827593805,40883.54860365563,1064.6367408204403,9559.970978971505,906.1786197193329,28242.242222130546,14.59524090732382,1953.5600615351375
2400,9856500.685060902,41428.85230035723,1078.2198130748172,9695.862269338886,946.2698808888589,29862.4530380844,15.657637363792222,2049.5345198538243
2500,9854111.296248134,41983.20865634168,1092.0318310320877,9832.335159303235,986.4520873097862,31505.91976618316,16.756251705333476,2146.7912400633163
2600,9851688.50559555,42546.38051968737,1106.0758755673671,9969.644236510008,1026.735407031622,33172.76713572224,17.89122994001599,2245.3510358929125
2700,9849232.101266561,43118.19632609557,1120.3543163833974,10107.996544987309,1067.12999942814,34863.15881951717,19.062727036083142,2345.2342275896967
2800,9846741.828658797,43698.53319727759,1134.8690594060436,10247.563972737893,1107.6459708621178,36577.288234267486,20.270906661254486,2446.460821628578
2900,9844217.397121588,44287.30852165361,1149.6216615589085,10388.489426012748,1148.293359383738,38315.37396876755,21.515941045237565,2549.050600908746
3000,9841658.482458992,44884.47680024071,1164.6133642371753,10530.889137516257,1189.0821371403545,40077.658090991936,22.798010890678754,2653.0231592611804
3100,9839064.743009161,45490.009536807345,1179.8453910950852,10674.867407598169,1230.0221548173927,41864.39519545769,24.117305071775526,2758.3981150641566
3200,9836435.806611149,46103.91148366269,1195.3186809341285,10820.50469802146,1271.1232091204954,43675.86129633023,25.474020789968442,2865.1949409754316
3300,9833771.28802911,46726.19885508176,1211.034212531865,10967.873594688304,1312.3949806792568,45512.34196466393,26.86836325477152,2973.433195138389
3400,9831070.783259755,47356.90640767025,1226.9928818332585,11117.033615175997,1353.8470691662876,47374.13622068893,28.30054572008319,3083.132447627009
3500,9828333.87640072,47996.07883850097,1243.1956244583182,11268.03750270466,1395.488973661128,49261.55187062106,29.77078934321058,3194.312372321811
3600,9825560.140086127,48643.77021307572,1259.6434113370187,11420.931643732549,1437.3301020375557,51174.90522056617,31.279323133412365,3306.992754142783
3700,9822749.135864368,49300.043472385645,1276.337248741026,11575.75641359954,1479.3797758636154,53114.52084112633,32.826383925722524,3421.1934951526077
3800,9819900.422906065,49964.959520896584,1293.2783266187778,11732.554184823402,1521.6472117493,55080.72563370256,34.41221615248331,3536.934731371493
3900,9817013.542653002,50638.596392863146,1310.4677306799003,11891.355247714095,1564.1415777189964,57073.859325869664,36.03707216100188,3654.2366305696405
4000,9814088.037125519,51321.02634362612,1327.9067667168888,12052.194617267935,1606.8719428225534,59094.261992277156,37.7012117796819,3773.1196361358298
4100,9811123.448455963,52012.31641091001,1345.5969438336888,12215.111608766074,1649.8472859325066,61142.2743923,39.40490230418937,3893.604462056259
4200,9808119.290207544,52712.56426438151,1363.5394500681716,12380.123473934213,1693.0765888284834,63218.25759611693,41.148419136190554,4015.711712988478
4300,9805075.093554894,53421.84042087948,1381.7359735835844,12547.267873038172,1736.5687068181267,65322.56142611046,42.932044685102156,4139.462499284505
4400,9801990.374492314,54140.229251734854,1400.188111418488,12716.572698585145,1780.3324676447542,67455.54690917474,44.75606913797952,4264.878001565965
4500,9798864.636442792,54867.82570586206,1418.8974120340117,12888.058463665422,1824.3766674823266,69617.58451777752,46.62079039557491,4391.979506121834
4600,9795697.38721269,55604.714053280855,1437.8656585751962,13061.753945845056,1868.7100398418663,71809.04257619161,48.526513585300584,4520.788632904093
4700,9792488.124402778,56350.986153899896,1457.0946302387117,13237.682748347092,1913.3412783531337,74030.29723485149,50.47355153938345,4651.327140496504
4800,9789236.340999238,57106.73441986472,1476.5861719789127,13415.868434659935,1958.2790468287042,76281.7287029112,52.46222452638045,4783.617002787994
4900,9785941.525314402,57872.051883202366,1496.342193934975,13596.334463004547,2003.5319788945644,78563.72130629272,54.49286027599011,4917.680408527371
5000,9782603.16277943,58647.03000315646,1516.3647162834566,13779.105707805504,2049.108659603383,80876.66233968551,56.565794043327514,5053.539782523344
