milliseconds,T,I,F_1,F_2,N,E,R,V,A
0,0.8957844204585819,-0.00013273388341565224,-0.002196049996182249,-0.02259174409172788,0.07689364066365795,0.1810026047162231,-3.797527943600185e-05,0.4081691519867066,0.0992449694847557
100,0.6571017846609831,0.20503292273657092,0.008058212745798973,0.04686217621141746,0.11423064519894172,0.2009990932479322,0.026276549285338978,0.5170567345627358,0.28521642964353106
200,0.38416316254102445,0.3946493520148575,0.031941095881013876,0.053457956460837217,0.14744476829123201,0.210367645508222,0.07130708666003521,0.8776779914527727,0.4484032479407472
300,0.19547773533835094,0.4615881558292799,0.05568947754597793,0.0678611901627367,0.11025774359846031,0.2339121241111562,0.12671033170850138,1.1606977340827467,0.5456711822646902
400,0.1180213950783327,0.44811488340327515,0.07099019971802696,0.1123716363820265,0.17129166122155853,0.2847278671919476,0.15537892100947767,1.2475327504397626,0.6125658094151591
500,0.08100520157762672,0.39446708378231726,0.0784101623794245,0.11091752992202245,0.1192115359154787,0.3041093792187649,0.17788189115348385,1.2904859186989148,0.6352700264893123
600,0.07781471338160041,0.32303387843998566,0.07784205312409288,0.08965855021420586,0.1634976055006697,0.3052972325892815,0.18710163406162902,1.122449962813709,0.6303793933362707
700,0.10301680254778009,0.2720964222393949,0.0691506768356216,0.1167123916938655,0.17691075633822984,0.33489093109021806,0.18820043705526351,1.0151353680003838,0.648705485752952
800,0.08778582313664285,0.23127171187684484,0.0617191429124418,0.11321053791406119,0.2438609780535573,0.3575642240796902,0.1874975071002451,0.8566934518976341,0.6332880110623935
900,0.11014467953690311,0.1705554225048165,0.05558646255264859,0.14015527697248098,0.2566243693467565,0.3542841680757099,0.1855333013004697,0.7709408741139795,0.6416048371899856
1000,0.12371160635418617,0.15968619844707238,0.04690487888001763,0.13852602156923838,0.290013364955823,0.39069977550978247,0.17340675089996144,0.576079732321856,0.642792038859753
1100,0.12736906524255515,0.13004936778488393,0.03881823498530041,0.15452629113223487,0.30105486210325133,0.4194102317800539,0.17374628476558623,0.5067327167065174,0.6602646142624298
1200,0.12127543351165952,0.08806230743556646,0.03194921135306504,0.1950230450810409,0.26035443022947996,0.4121463101258207,0.16434141926783505,0.3968685554405209,0.646923151416053
1300,0.14163848812799962,0.07631302363333682,0.026515232605839635,0.20015468312813203,0.3282448888016761,0.4254720159823918,0.15821212332545878,0.35976270462084675,0.6607319680393317
