milliseconds,T,I,F_1,F_2,N,E,R,V,A
0,0.9030834194447817,-0.0034558819242704606,0.0004277268236866068,-0.019024057986515297,0.09652210011401159,0.1945419541571003,-0.0035259812525149396,0.4243834162407387,0.10988565745826948
100,0.6464986383369435,0.21239897767690588,0.009525109800895586,0.00965062814933948,0.10112619785891029,0.21967120010998983,0.020442620966716816,0.48226944465748817,0.2751611860909902
200,0.39649874167136157,0.38572944289584804,0.031405397725653615,0.07434229216211433,0.08837522491331343,0.2352509241407701,0.07314337933625395,0.86265587806079,0.42794833325530696
300,0.18781057507487817,0.46624644704423795,0.05274446266065637,0.08448174812486668,0.10737445828256983,0.23207360069228794,0.12388556617164931,1.1088180519161293,0.537823806942984
400,0.11919725535073036,0.4489488853586986,0.06921731672123982,0.09858592216113672,0.16189274926610428,0.2794465826629876,0.16027334920764738,1.2944499857982443,0.61423888020476
500,0.07899365037640377,0.39891854292347756,0.07502025708389226,0.12073112278814087,0.17965444314069717,0.30176049858256626,0.17689718425285555,1.247479174691422,0.632594466754275
600,0.09702343153894205,0.32390714267753806,0.07708999314019839,0.13182482351452893,0.20646197490410684,0.2920276243952009,0.1894464208798418,1.1494390518503992,0.6240531387789444
700,0.08339527977644606,0.27243418026952015,0.07205821014617426,0.1005215580569251,0.1507852472471948,0.33900502212229366,0.18684180643533557,0.9897746326728232,0.6279711446771244
800,0.0989509202934574,0.23799788031625016,0.06392952996065311,0.1295701157910194,0.21078244472563876,0.34342122802779335,0.18566163384933537,0.8542541198146327,0.6366159814814466
900,0.09808755793384501,0.17207453940457187,0.05482766445259922,0.170158577329647,0.2012218253229082,0.3742202960286954,0.18496796223599227,0.7526676918629083,0.6341347300516446
1000,0.12550462838513907,0.13985699190414969,0.043906895738049054,0.17217406172419344,0.29212043426082596,0.39443756024238125,0.17477548134660603,0.5846791482222948,0.6502010460952581
1100,0.12877366494527218,0.12605890877262743,0.04084252525168593,0.15794729759510945,0.3057128135484003,0.38517710022623425,0.1740761709305372,0.4737658021173856,0.6533306180623007
1200,0.14061049488319538,0.09719970129493755,0.030858789361080514,0.20151237034483963,0.280645864313702,0.40794449368928687,0.16806542961576112,0.37083526800183775,0.6530559444049644
1300,0.14480550298253564,0.07944834032403135,0.02701436589887169,0.22295641388765394,0.35900231050003306,0.43697196676474365,0.1581443809333496,0.2995749916990147,0.6445564290390932
1400,0.14048148640319577,0.042713882892962754,0.01915521045786448,0.22615728809910465,0.33546215409671976,0.4482028309834875,0.15594927548958454,0.23819058694301806,0.6627270717899363
1500,0.1367978372609405,0.045547605709402306,0.015528333645039699,0.21863264556729567,0.4127297755782415,0.46093913997251246,0.1498027176917553,0.17401883891864758,0.659571885552774
1600,0.1459778630319153,0.025480543421594906,0.014521921220236173,0.26305609217582837,0.4003351022596194,0.4784364941637428,0.14229690724964997,0.1541377960226215,0.6773156267889099
1700,0.1394705544855134,0.021926666142596613,0.007954359204488547,0.28251815473538927,0.41959072055866037,0.4976668073456549,0.14597471027004338,0.12426426184063298,0.6760002609229281
