milliseconds,T,I,F_1,F_2,N,E,R,V,A
0,0.905757592412318,0.010438464299542117,0.0012400787315232716,0.02690407450214491,0.06391778051137487,0.18566812231800547,-0.0008404290663237838,0.37628207918305895,0.10714638967886618
100,0.6615245821511893,0.21300590130835773,0.008529588716168577,0.03986576575403441,0.10368125548341249,0.19314800902821203,0.01913326357006708,0.5128713150616021,0.28391179461654825
200,0.38739321375438196,0.40090742025811443,0.02884465107652907,0.04549804360527814,0.10292722617499969,0.2089969840718558,0.07528998460259047,0.8116365975021419,0.42973013103976454
300,0.2042162398025408,0.464549747246295,0.05591195124116053,0.08363166533160538,0.08700184715620636,0.22776333001718982,0.12164234040860025,1.1628134914667136,0.5525422457744272
400,0.10778118929076339,0.44259693219121493,0.07225576876129182,0.060151204873506045,0.14834201799416308,0.27283979647602874,0.15603317977426862,1.3091134673410747,0.5935259705663294
500,0.08127718468668321,0.38806899733293154,0.07774628506831116,0.07739559641524218,0.13093968102353748,0.2901060365403945,0.17877036915459535,1.2508552258610215,0.6260391598373265
600,0.07361766032046667,0.3281744489995287,0.07759608308749193,0.12479151935403639,0.21581530408101454,0.32835793748706665,0.1840257202751614,1.1952232071181985,0.620692185055373
700,0.09055852588994455,0.28447371887330636,0.07194824414089324,0.1264602848957878,0.1647719762865536,0.32249035294231665,0.19350125587261918,1.0333599518385104,0.639920194388501
800,0.09210019121541686,0.22619023185285336,0.0619809951249449,0.15690621106126046,0.23337945101428687,0.3586949317707598,0.18386333928738588,0.8540827908880311,0.6381381433530405
900,0.11141286170917702,0.17070181856946642,0.054831583149465624,0.15486794049339367,0.2725085132028065,0.35414732641749685,0.18513414834067354,0.7493434989836816,0.6272988865952901
1000,0.12370472507895493,0.1365258241484772,0.04461992619639308,0.17559892536145905,0.24335197982646403,0.3937200412039664,0.17483185855232858,0.6174864217875466,0.6577331053587613
1100,0.13168535315877852,0.12034821850191292,0.039910620315393656,0.1822034467138453,0.31894953709988677,0.4139074356309143,0.1669071061280756,0.49743728125861636,0.6573680850616709
1200,0.11779560285639794,0.08590268009274513,0.02988479263638294,0.16438145472502877,0.3125196891348039,0.4212111409245256,0.1622400357063661,0.37858394886697233,0.6433510312135893
1300,0.13820227523919765,0.07884238000571665,0.024801089829569734,0.19450859352139235,0.3432173437880301,0.4365428519574702,0.15437981922460223,0.3497402077472784,0.6420078934845225
1400,0.13434998682272795,0.060858673137063966,0.020464814734076936,0.23905037814746488,0.38381458867801366,0.4404130600697078,0.1543096544900612,0.278570573449328,0.6687121169943592
1500,0.1513277903671091,0.04111974781921873,0.015538457017331973,0.24593568592840273,0.36736135415552496,0.4622524349281863,0.1462211353255438,0.16287597807638535,0.6647866400022743
1600,0.1515010639977686,0.034981243803109525,0.012034259731703358,0.23920987563983126,0.38061835507454184,0.4911255247738592,0.14912592239984068,0.13836461149967702,0.6650704460497465
1700,0.16288184385234578,0.03161193449734124,0.008139426947463642,0.2490335210033398,0.4542978357995016,0.49186174746749434,0.14560086772114053,0.09672931192434694,0.6734306845204352
1800,0.1566663252616363,0.011641543006107199,0.009000258735340742,0.2751680429385365,0.4796084299340901,0.4904644152248406,0.14350020249487083,0.07846643510737226,0.6782143573253695
1900,0.14713475915654384,0.01994326264134834,0.007211993295408043,0.28773137186786496,0.5189804529404796,0.5201690492043383,0.14153506316241596,0.05294170012114467,0.6975185658750507
2000,0.1471382779399308,0.01814153782192117,0.002436874180686119,0.31781622753364513,0.5774704143684042,0.5511459826941015,0.14879644104172624,0.05273321657216265,0.7062673730894492
