miliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,4.996792803618984e-12,7.874519769749255e-15,9.99999092767313e-09,3.8469254699657405e-17,1.000013925007187e-10,-2.6219226063240606e-15,1.592535420278267e-16,-1.3224598821018987e-16,1.5999999832708288e-07,-3.196878112873302e-17,9.000000054773618e-08,-1.426404174662484e-17,3.6659583556435626e-16,1.399999999400669e-06,7.000000109556641e-10,1.799571367115468e-17,-5.015413556836448e-23,-2.9265342906041144e-23,-7.651736524419355e-19,-1.1705580867127916e-18,2.0000000237771777e-08,-6.548597288204401e-16,1.5880527954230399e-19,2.443010513722808e-19,1.841052129149102e-16,2.500000132674265e-09,2.783830495679555e-17,8.327015614515604e-17,3.4000000000577016e-06,2.522668757557592e-16,-4.0250283133360353e-17,4.761083892711389e-18,1.8268226571946515e-17,-8.792050187209494e-20
100,4.980598498168568e-12,8.211355044907426e-15,9.999983616297382e-09,8.479227028489929e-16,1.0000024498904975e-10,1.6682995781358422e-15,-7.695509494077531e-17,1.112299730484844e-16,1.599999996967016e-07,5.172399856602062e-17,8.999999952460785e-08,1.2755669058862432e-16,4.260201083496968e-16,1.3999999995340202e-06,6.999999993838713e-10,-1.1690078748229129e-17,9.932986643803447e-24,-2.1101958019883684e-23,-2.0853291639002812e-19,2.651098420005654e-19,2.0000000573869216e-08,3.214349839928544e-16,-3.018478245037561e-19,3.591263593722248e-19,1.008629224156212e-16,2.499999790845392e-09,-3.2672596994809184e-17,1.1066608003871624e-16,3.4000000004524126e-06,-1.1727917154164484e-16,-6.0535434658373644e-18,-3.1477664759020278e-18,1.158794324464801e-17,-6.969576922625472e-19
200,4.9596061920906835e-12,3.7418275076171407e-14,9.999969866815251e-09,1.547215015358422e-15,9.999875241403068e-11,1.6650426372032353e-15,1.5117075179452991e-16,5.314819323416087e-16,1.6000000194326723e-07,1.461876091384142e-16,9.000000025294295e-08,1.2801151263309189e-16,4.228099375678589e-16,1.4000000005897606e-06,6.999999768761478e-10,2.06292600296836e-17,-4.660412115237828e-23,-1.3613864426306122e-22,-4.027235374212667e-19,1.024687971823637e-18,2.0000000579544105e-08,-2.1576289109732223e-16,1.689737504047336e-19,-3.046269464128983e-19,-2.086186398148266e-16,2.5000001207496616e-09,5.1820688144598235e-17,-1.258485319737216e-16,3.4000000003961036e-06,7.504656814070268e-17,2.867228529518274e-17,2.710836337277805e-18,-1.9011956831058674e-17,1.189168841690596e-18
300,4.946054426848877e-12,3.7549863759382714e-14,9.99996075229717e-09,1.8971299810821907e-15,9.999516762848093e-11,-1.6795614155538622e-15,-8.905251235327514e-17,8.22330053288105e-16,1.5999999368829143e-07,2.0695243237575606e-16,8.999999972455566e-08,2.845858041587556e-16,1.833815017007389e-16,1.400000000137092e-06,7.000000113750938e-10,2.2753959501567064e-18,5.893368572177925e-23,-1.5823069978126878e-22,3.3224470547297098e-19,-5.495064287265833e-19,2.0000000756921424e-08,7.325498336493023e-17,-4.427658328245825e-19,-2.804366888080252e-19,2.421161135645214e-16,2.4999997632000535e-09,-3.567019228968204e-18,5.650781517128297e-17,3.39999999985608e-06,-3.4796576608048335e-17,-8.241650221993774e-18,-3.3332463752349573e-18,1.3941894084754465e-17,3.6752535770484457e-19
400,4.9357364619317674e-12,7.135259784163893e-14,9.999932018722785e-09,2.3788580967001886e-15,9.999411508577161e-11,4.535789394150252e-15,1.9915012874053997e-16,1.0937726408245341e-15,1.5999999364106233e-07,2.9363738801446466e-16,8.999999904791668e-08,3.48366157173327e-16,3.8883722358871416e-16,1.3999999996208557e-06,6.999999754311511e-10,9.362702996955264e-18,1.761650879785511e-23,1.2308449212896486e-22,6.834794595475237e-19,9.310236806190737e-19,1.9999999135771725e-08,-3.517595658403954e-17,-4.169089383207541e-19,-2.9870615096652968e-19,-2.014348443318289e-16,2.499999699801196e-09,-3.6766693242251695e-17,7.37776970824221e-17,3.399999999733399e-06,-1.8222564134854298e-16,-3.6898749899992254e-17,-2.678649151030167e-19,-1.8062947855515547e-17,8.036099744760322e-19
500,4.916930477447927e-12,6.897294079041773e-14,9.99991262952648e-09,2.8239896402419243e-15,9.999532673537964e-11,6.021778805553502e-15,4.1140768979790994e-16,1.3120316608519312e-15,1.5999998757197484e-07,3.578897774320302e-16,8.999999888825656e-08,4.892502164109503e-16,4.43993107593976e-16,1.3999999998847412e-06,6.999999803573104e-10,-5.825268326955216e-19,-5.139449672778016e-23,9.022104769987059e-24,6.964501790400246e-19,-4.0912676829874963e-19,1.9999999525566523e-08,1.0399845876315271e-15,-6.208710057904606e-19,-3.0468856878092984e-19,-8.70042535479948e-17,2.4999995455456724e-09,6.49382779061118e-17,3.165321858206391e-16,3.3999999994371564e-06,6.374929432097408e-16,5.2749930299550436e-17,3.9671744749324996e-18,-1.187394236853399e-17,1.538677069510499e-18
600,4.906445534056457e-12,8.567808931836156e-14,9.99991869246926e-09,3.2631082204264844e-15,9.999455044585867e-11,9.250520872200771e-15,2.2493044811082644e-16,1.6327680754168902e-15,1.599999800427148e-07,4.731605058479201e-16,8.999999758699152e-08,5.62761978017469e-16,1.7284370954545025e-15,1.399999999528714e-06,6.999999663698016e-10,1.6027805568674308e-17,-3.790093065405005e-23,-1.7955693372331255e-22,1.9062598924121628e-19,6.653676370982481e-21,2.0000000298899928e-08,1.802436213019136e-16,-2.9457544741583806e-19,-2.0338266734222644e-19,1.528350468180221e-16,2.4999992998856144e-09,1.0754493850793267e-16,4.897052697640154e-16,3.3999999994707006e-06,1.994007347125398e-16,4.1675309886852035e-17,4.748912252427447e-18,3.2090627730625555e-17,2.425563297974034e-18
700,4.8913863377608185e-12,1.0820028931617298e-13,9.99990164400743e-09,3.751450795106601e-15,9.999243588325317e-11,1.5386559665011247e-14,6.463483678853181e-16,1.8881178380888626e-15,1.5999997925772855e-07,4.671659863712061e-16,8.99999977060206e-08,6.490104175798903e-16,2.4473401198222866e-15,1.3999999993898565e-06,6.999999960729585e-10,1.297987021853543e-17,-5.063460000049473e-23,1.5304583886466166e-22,-7.032549875015971e-19,-6.401134970308442e-20,1.9999998871070988e-08,8.969141940670811e-16,3.3052774474433856e-19,5.834879765220294e-19,-1.9870194399809084e-16,2.4999990686676456e-09,1.231678541043815e-16,6.254897477268035e-16,3.3999999992027112e-06,6.291392142872548e-16,-3.382524851291319e-17,7.909374216761703e-18,6.590342557473099e-17,5.189933478684039e-18
800,4.871530861127225e-12,1.2471038024399643e-13,9.999874919014348e-09,4.308920927001516e-15,9.999125705688613e-11,2.4267457477689657e-14,4.984679466683323e-16,1.9722933080230398e-15,1.5999997647594453e-07,5.189651100171041e-16,8.99999964014822e-08,6.751040188031753e-16,2.9905559419569037e-15,1.3999999990229536e-06,6.999999637697079e-10,4.7049262272624864e-17,9.473882148440826e-23,7.802825704506153e-23,1.134953075392043e-18,-5.747090955027758e-19,1.9999999460626407e-08,1.1940651439719442e-15,-2.6704619417836088e-19,4.7828874606024875e-19,1.7603212457770275e-16,2.499998937598294e-09,1.2625096064359555e-16,9.181377948732754e-16,3.3999999990961723e-06,7.548525510499816e-16,1.0469498588640386e-18,1.5519355974707176e-17,1.6163834523161834e-17,6.981569168951805e-18
900,4.851148865922317e-12,1.4228585143281427e-13,9.999868165940704e-09,4.645552637936357e-15,9.999199049259592e-11,2.8353713169142107e-14,7.543438804623412e-16,2.2056189089077676e-15,1.5999997108864176e-07,6.191483397629314e-16,8.99999957345689e-08,7.409944546656247e-16,3.303791187905765e-15,1.3999999990467313e-06,6.999999588163178e-10,3.9281632938390327e-17,3.096266933583666e-23,-8.018915450113093e-24,1.175741475900713e-18,4.78489422119607e-19,1.9999998814919976e-08,1.5487021799732889e-15,-4.599970479569937e-19,3.0121283129187373e-19,-2.0831297143011677e-16,2.499998416596447e-09,2.0256450773074902e-16,1.3344880221040761e-15,3.399999998891957e-06,1.2753918017507926e-15,2.56215943813697e-17,1.5164303670028275e-17,6.823529495061247e-17,7.092036668168803e-18
