miliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,4.994252393768708e-12,3.1892198558798314e-15,1.0000006904858785e-08,1.2800380284472915e-16,9.999836370689278e-11,1.5660771356506763e-15,3.5052126656237836e-17,-9.57200809412677e-17,1.599999962002273e-07,-3.49427720926557e-17,8.999999945655741e-08,5.2398309969378263e-17,7.415324854533398e-17,1.400000000037337e-06,7.000000050541154e-10,1.8771925705146992e-17,3.540331070684755e-23,1.1200378167707015e-23,8.444418344421135e-19,-1.267591812699433e-18,1.999999926659016e-08,-4.1868927627136224e-16,-1.1337879912632848e-19,-5.507619352159607e-19,2.702566838302529e-16,2.499999928774639e-09,1.375176281789775e-17,-9.595471326634196e-17,3.4000000002600536e-06,2.230799556779228e-17,-6.503887749735643e-17,8.715940537520435e-19,-2.3682765116657267e-17,-1.0165689633025025e-18
100,4.974499555194828e-12,2.5666267708640077e-14,9.99999112625922e-09,5.085628964149382e-16,9.999796461847982e-11,4.099503081437831e-15,-1.8529708470473376e-16,3.76606410833936e-16,1.5999999809554026e-07,6.995321780548955e-17,9.000000031818736e-08,1.032390353433259e-16,-2.535669372173792e-16,1.4000000005756056e-06,6.99999991932441e-10,1.7246525240051144e-17,-9.676852724403361e-23,-5.13556078865202e-23,1.0071018956187233e-18,-7.625759216276492e-20,1.9999999755747293e-08,1.0021036651228126e-16,4.2810447099976317e-19,2.381542007982434e-19,1.2689401215620142e-16,2.4999998885017685e-09,1.4741931551392284e-17,-3.055658444134136e-17,3.3999999997109077e-06,2.3212537227412795e-16,2.2696977523381128e-17,1.9872737289586005e-18,3.465238469939784e-19,7.169196606612929e-19
200,4.976767241633813e-12,2.5269516851372485e-14,9.999973053356612e-09,1.2554302612262962e-15,9.999869442346304e-11,4.317819106223726e-15,-1.5863366218192313e-16,4.717990900479482e-16,1.6000000044972328e-07,1.7931088239781314e-16,8.9999999932486e-08,1.3751528705579792e-16,2.1493180038886794e-16,1.400000000513082e-06,6.99999997268173e-10,3.986632933116968e-18,-7.200169660900068e-23,-1.2909054310066708e-22,2.5183543029372833e-20,-1.1530802005164187e-18,2.0000000438277165e-08,-7.211281210252166e-16,-6.067374954789586e-19,5.001571890913153e-19,-2.6642446217306274e-16,2.5000000657484465e-09,2.303049338779982e-18,1.6933735100670932e-16,3.399999999922225e-06,-2.195956156335883e-16,-4.3557942906693875e-17,1.5795362236606581e-18,-2.2114022947566355e-17,-2.656350931303613e-19
300,4.944395243796865e-12,4.1364987604586745e-14,9.999942388265818e-09,1.9444917769122176e-15,9.999812475406491e-11,2.884422997589742e-15,-1.494533654598952e-17,9.666169600387757e-16,1.599999957454546e-07,2.108507167682337e-16,8.999999928541002e-08,2.1887832831222063e-16,-2.1009076764218176e-16,1.3999999994611112e-06,7.000000167166549e-10,-3.725163937207023e-18,4.7241474418208233e-23,1.215717433668957e-22,6.504434561697654e-19,-2.7628949666420854e-19,2.00000004489309e-08,-8.037122195944591e-16,1.6843500288329216e-20,-4.46387715334946e-19,-9.611308447514478e-17,2.499999979171808e-09,-1.6622917232744275e-18,1.9705456842012904e-16,3.3999999998086655e-06,-2.387663560767982e-16,-6.142137268060312e-17,-3.625695629892512e-18,-3.93852605526891e-17,3.9859949084267607e-19
400,4.927301085611063e-12,6.891713591378252e-14,9.999944512016794e-09,2.470449634077569e-15,9.999557030918734e-11,3.2419902088825075e-15,1.340781307322334e-16,1.038492490056794e-15,1.599999964697334e-07,3.195307369295615e-16,8.999999957297575e-08,3.516764687203011e-16,4.2968079552022203e-16,1.3999999995574943e-06,7.000000080749898e-10,7.63847579904316e-18,2.9044648073209813e-23,-4.902404235393226e-23,2.724967787909933e-19,4.319576949619112e-19,1.9999999521002406e-08,-7.133897961001387e-16,4.704699114977533e-19,4.840583413509978e-19,-2.3135959498171046e-16,2.499999854993294e-09,2.1149203515929316e-18,1.8130160440079614e-16,3.3999999998070608e-06,-2.174564903237664e-16,-5.5388417923787745e-17,-3.853500245910252e-18,3.4110473640773754e-17,1.86814966038818e-18
500,4.918391651675637e-12,7.929380769504204e-14,9.999913432496368e-09,2.8381991946999394e-15,9.999533782214502e-11,5.0896888424503766e-15,2.727339490848665e-16,1.3848743091427502e-15,1.599999870929555e-07,3.294896848034484e-16,8.999999809861817e-08,4.1181734325133813e-16,9.16078026021863e-16,1.4000000003539415e-06,6.999999879524627e-10,2.524329547867519e-17,-8.044489592150959e-23,1.0514592532216769e-22,-1.0262839550407453e-18,-9.257435343914009e-19,1.9999999055711723e-08,8.507229256231314e-16,1.0465469389878059e-19,-3.2473853053200876e-20,-9.880779916119355e-17,2.4999994979939347e-09,7.795242403896057e-17,1.8723512924353724e-16,3.39999999964881e-06,8.694061501108209e-17,-4.0401625783437534e-17,-3.5802082490336776e-19,-1.2542523336053423e-17,3.0797391275086696e-18
600,4.907009446665839e-12,9.835504488077753e-14,9.999904140801808e-09,3.3759723551952134e-15,9.999290012438734e-11,1.3912499470180026e-14,3.314847522824572e-16,1.517989257138385e-15,1.5999998643036257e-07,4.139662821999111e-16,8.999999793482307e-08,5.34996049495355e-16,1.4060887001094509e-15,1.3999999993364115e-06,6.999999712854956e-10,3.4813480124817055e-17,6.569732952213354e-23,1.535015783753358e-22,6.012161807429319e-19,4.569590630375488e-19,1.99999995217842e-08,8.505863403603782e-16,-4.745209099962469e-19,4.178848283711297e-19,-1.265045287825434e-16,2.4999995394474356e-09,3.0787474767758815e-17,4.379576125066254e-16,3.3999999998365032e-06,4.755827558183676e-16,-5.1368517231289477e-17,1.251515749104556e-17,3.747838667497722e-17,3.738305489913835e-18
700,4.8851031606110495e-12,1.0527022014993626e-13,9.999900151170871e-09,3.70986259730038e-15,9.999387879168975e-11,1.6972635257606872e-14,5.831846089264425e-16,1.6152069554865515e-15,1.5999998306659743e-07,4.721174880764543e-16,8.999999741021879e-08,5.727827647337699e-16,2.4550281726268345e-15,1.399999999010236e-06,6.999999909657105e-10,1.7535936065470836e-17,8.574830202157038e-23,9.384394121034385e-23,1.6186723740239058e-19,1.6529130074039949e-18,1.9999998946085446e-08,3.212029190947792e-17,-6.05325796515621e-19,1.4389793296422186e-19,4.332626015444686e-17,2.4999990116794273e-09,1.6349316885854195e-16,8.362299246139303e-16,3.3999999996225054e-06,7.031120139373139e-16,-5.989186198601262e-17,1.492081216038194e-17,3.256530858346944e-17,4.4352850091870235e-18
800,4.873872246551857e-12,1.2847702906644162e-13,9.99987576218978e-09,4.3952946561515385e-15,9.999343467440676e-11,2.0097913499185855e-14,6.312829018940236e-16,1.8423522620653085e-15,1.5999997558205102e-07,5.605942722135915e-16,8.999999709863144e-08,7.274304622824447e-16,3.0718625655397916e-15,1.3999999998696926e-06,6.999999848154974e-10,3.513643151814801e-17,4.012129139995869e-23,-1.3756538801033024e-22,1.5377183834883997e-18,1.9992177100739726e-19,1.999999830230449e-08,1.0412877282839412e-15,4.905770383673361e-19,-4.1949775119678303e-19,-1.5371379488899332e-17,2.4999987056254424e-09,1.4690053421013456e-16,8.925175579480408e-16,3.3999999993198766e-06,1.066062455555102e-15,-8.429690105905695e-18,1.7498281285555116e-17,3.276051237871158e-17,6.4869650187188415e-18
900,4.866767173782614e-12,1.3841186587861773e-13,9.999871331714487e-09,4.554322042213557e-15,9.999043002507899e-11,2.927502276424528e-14,8.806714598054822e-16,2.2882745981952377e-15,1.599999700548404e-07,6.026024118380084e-16,8.999999561590626e-08,8.252662350770685e-16,3.553708948062376e-15,1.399999998746418e-06,6.999999644492692e-10,3.2841648868242047e-17,6.8447963134962e-23,1.9000961959333853e-22,2.4558160456509586e-19,9.791557026366478e-19,1.99999987656328e-08,9.132924752049534e-16,-5.886887911609814e-19,-3.855919360974005e-19,2.6875549932042707e-16,2.499998504655375e-09,2.4703533031603264e-16,1.1540208294137738e-15,3.3999999982609156e-06,1.1838408530001362e-15,6.74856855311455e-17,1.707962108165012e-17,5.476668730161818e-17,6.967619989426898e-18
