miliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,4.999605406786807e-12,-7.296996050580457e-15,1.0000010861549504e-08,6.668352754095069e-17,9.999911625062363e-11,-3.7431511976261454e-15,-3.726738841996927e-17,-1.3035916973355145e-17,1.5999999936006023e-07,5.7835320215726355e-18,8.999999971690731e-08,-4.013436437310125e-17,2.964567137626238e-16,1.3999999996522739e-06,7.000000192339012e-10,1.841210340367566e-17,2.7786454185955965e-23,1.583602318308322e-22,1.005737046736062e-18,7.200574108774726e-19,1.9999999484590064e-08,7.762152479593984e-16,-6.502041695671615e-19,-2.308463423248473e-19,-1.459705390115772e-16,2.4999999852818997e-09,-2.213062595707138e-18,-8.768523241057326e-17,3.40000000011936e-06,-1.958748119261264e-16,7.12971407515905e-17,-2.1723073362344526e-18,-2.181029948992352e-18,-6.684050556781224e-19
100,4.9816948255647676e-12,1.690747993584884e-14,9.99998178306273e-09,9.11095908133693e-16,9.999933554183784e-11,-1.4523714037402015e-15,-7.7718689947237e-17,3.46654282254535e-16,1.5999999792494242e-07,9.450654699585225e-17,8.999999975809378e-08,1.4112808034369998e-17,-3.0579735513987654e-17,1.4000000005490082e-06,6.999999767057112e-10,2.2545738214813186e-17,4.3396499268900283e-23,6.260373015333165e-23,-3.5418560628631684e-19,6.76453966476374e-20,1.999999922181108e-08,8.879367222788325e-17,-6.702545636396915e-19,-1.6342915585189295e-19,3.681308400890146e-17,2.5000000198202215e-09,-1.7862731213748338e-17,1.2949518630203106e-16,3.3999999995476315e-06,-1.8683809636957565e-16,3.96118073900427e-17,5.0783140494464505e-18,3.19995120237816e-17,1.0140812886800752e-18
200,4.971389146988085e-12,2.622196715356337e-14,9.999971564936662e-09,1.6418824525421989e-15,9.999959849056956e-11,3.0720583662169366e-15,-1.0395033126394866e-16,3.8951498482140394e-16,1.5999999653482054e-07,1.2243914084556786e-16,9.000000004451593e-08,1.3130307421025217e-16,-9.434360042746321e-17,1.3999999994146625e-06,7.000000051909319e-10,-1.9862263451730086e-17,7.203408045860107e-23,-2.656682900156375e-23,2.0896070536173084e-19,5.110934325966042e-19,2.0000000254469248e-08,3.6825028664902174e-16,-3.6680919275171146e-19,-2.9672363184490125e-19,-1.4528801964663045e-16,2.5000001132824834e-09,-1.2764603992324875e-17,-1.2178562145316164e-16,3.3999999996390022e-06,-1.5458579345269647e-16,1.627324244795167e-17,-2.191433486271349e-18,3.599348664122178e-17,-2.0952433106203186e-19
300,4.945977108243307e-12,5.3059532857298425e-14,9.99995105254638e-09,2.1758741083785323e-15,9.999720065182515e-11,-2.45123257136474e-15,-1.6874930983534987e-16,6.937798532123711e-16,1.5999999747292054e-07,2.484610199836623e-16,8.999999966406014e-08,2.8047188485520636e-16,9.760640199668016e-17,1.4000000002940057e-06,6.999999909549791e-10,-1.7503319054850177e-17,5.2270756569401236e-23,1.6250245245981366e-22,-9.678694454937454e-19,-5.686239113371656e-19,2.0000000343567354e-08,2.7509133637563813e-16,4.94928418683653e-19,-2.6381105774080744e-19,2.437587195136446e-16,2.49999992749269e-09,-3.4973909675903094e-17,8.304279149333409e-17,3.4000000000046698e-06,-1.814392812438247e-16,-4.8451048495291025e-17,8.2128909408879235e-19,1.6382305923897793e-17,3.699065568645171e-19
400,4.9372406258619824e-12,5.4424214492290164e-14,9.999939683016337e-09,2.5359136680553683e-15,9.999545973096754e-11,2.0582413710088457e-15,2.0351756230497916e-16,9.69829049275098e-16,1.5999999998220474e-07,3.331415897723503e-16,8.999999937504038e-08,3.601021144948109e-16,4.762253576641138e-16,1.4000000000579217e-06,7.000000085437396e-10,-2.6884030694124746e-18,8.344304353187835e-24,4.2026060857076173e-23,-6.477206051490471e-19,1.160055259166519e-18,1.999999963163262e-08,-6.790430032368593e-16,-6.857271956394994e-19,2.839247947572185e-19,-2.9431057896090304e-16,2.499999833572381e-09,2.250226016404234e-17,2.743574319904305e-16,3.399999999489015e-06,1.9206835967721735e-16,3.861900790047275e-17,4.585621277530063e-18,7.361842811805518e-18,1.5276014257966197e-18
500,4.927064613906099e-12,7.536281527016691e-14,9.99991810526727e-09,2.9638216047448775e-15,9.999377435348673e-11,7.609655480944693e-15,1.0945464571534901e-16,1.2722496000665832e-15,1.5999999456613687e-07,3.6187255876521327e-16,8.999999823073182e-08,4.669064818964695e-16,5.581852645508606e-16,1.399999999723677e-06,7.000000064285775e-10,2.712497881042184e-17,4.631543308062645e-23,-1.429679312019113e-23,1.2028977525430019e-18,-8.863030235308867e-20,1.999999979122909e-08,8.848798748938377e-16,1.0199608027854769e-19,-1.58644678663591e-19,5.184282163303742e-17,2.499999792576793e-09,-2.493539359539875e-19,2.270483900048935e-16,3.3999999992766873e-06,6.311521362373216e-16,-9.924878120924561e-18,4.056940617210621e-18,2.7294838629143452e-17,3.2214854936475754e-18
600,4.901911494572739e-12,9.907464566768853e-14,9.999909141873116e-09,3.62833275933446e-15,9.999479657573287e-11,1.2240519821457565e-14,4.640876075260816e-16,1.4296694609776e-15,1.5999998848619272e-07,4.243441864241195e-16,8.999999744821118e-08,5.099728650731172e-16,1.102904706559127e-15,1.400000000030814e-06,7.000000064308852e-10,1.7887665249007083e-18,-3.630933096952151e-23,3.528586940368237e-23,8.737443051056659e-20,3.460692313869811e-19,2.000000001803869e-08,-2.4742651409541103e-17,1.1096956393491045e-19,-5.326647667121242e-19,-1.6397613958008462e-16,2.4999995054351895e-09,1.2414862302034472e-16,4.852465780370716e-16,3.399999999050523e-06,7.868767366988631e-16,2.7721478441491626e-17,2.4467851456794383e-18,2.2738487440056465e-17,2.7773682421320073e-18
700,4.897471366015964e-12,1.0987595041466498e-13,9.999890980329725e-09,3.656740049324468e-15,9.99932855298293e-11,1.5401278135001187e-14,5.607316473721948e-16,1.820050543648077e-15,1.5999998147202085e-07,4.89942633945668e-16,8.99999972214764e-08,6.301718295089655e-16,2.0912195624301067e-15,1.3999999994030418e-06,6.999999878142165e-10,4.0178175131006546e-17,1.842071166864458e-24,-3.053574691419936e-23,1.7029736495290427e-18,4.851189246140523e-19,1.9999998686543834e-08,2.937628648572946e-17,1.8009427878245217e-19,1.581354025877063e-19,4.757273898967292e-17,2.4999990501222595e-09,1.4001744819729912e-16,9.294666956467666e-16,3.399999998933662e-06,6.260965190046101e-16,4.726365145444811e-17,1.5543339452928002e-17,1.4046359436696864e-17,5.276986030828286e-18
800,4.862656318439085e-12,1.1696956968284222e-13,9.999881912495164e-09,3.974755302736488e-15,9.999147591824313e-11,2.3348455523248794e-14,7.718247641772386e-16,1.987820567193224e-15,1.5999997066891777e-07,5.486260297822449e-16,8.999999657521671e-08,7.108431861929169e-16,2.6117156402225157e-15,1.399999999636752e-06,6.999999570267718e-10,5.089590659032671e-17,8.334286946538602e-23,-1.7013802218539896e-22,1.1723737512450171e-18,9.980319598591814e-19,1.9999998517444486e-08,1.067765198378071e-15,8.226962782524055e-20,1.5043883959193207e-19,2.287145680167506e-16,2.499998994025994e-09,2.099287634884586e-16,9.995759344692665e-16,3.3999999993170374e-06,7.935244649685527e-16,3.707515776790872e-17,1.568182906127093e-17,7.403229434642855e-17,5.2282371366039985e-18
900,4.864363503934042e-12,1.3008162846073354e-13,9.999877174351884e-09,4.487509908692914e-15,9.999112789345393e-11,2.70903572018374e-14,1.0132931294739146e-15,2.127582394815363e-15,1.599999652502145e-07,6.5738944107658315e-16,8.999999583386354e-08,8.044747905171305e-16,2.9146350753876637e-15,1.3999999996658895e-06,6.999999595389616e-10,5.346217601815192e-17,-4.144635573535713e-23,-9.357034154671446e-23,1.0522833545926772e-18,1.585522597890125e-18,1.999999826812686e-08,9.459118421072042e-16,-4.90126502242069e-19,-4.638389069009206e-19,-2.263649171567936e-16,2.499998816353111e-09,1.768474978215133e-16,1.0965937349133457e-15,3.3999999983195964e-06,1.482715649006253e-15,-1.9967595034019333e-17,2.2518773169194896e-17,6.210625972821703e-17,6.711018370494738e-18
