milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,ROS,basalROS,damDNA,E1,E2,E1_Ub,E2_Ub,Proteasome,Ub,p53DUB,Mdm2DUB,DUB,Mdm2_p53_Ub,Mdm2_p53_Ub2,Mdm2_p53_Ub3,Mdm2_p53_Ub4,Mdm2_P1_p53_Ub4,Mdm2_Ub,Mdm2_Ub2,Mdm2_Ub3,Mdm2_Ub4,Mdm2_P_Ub,Mdm2_P_Ub2,Mdm2_P_Ub3,Mdm2_P_Ub4,p53_Ub4_Proteasome,Mdm2_Ub4_Proteasome,Mdm2_P_Ub4_Proteasome,GSK3b,GSK3b_p53,GSK3b_p53_P,Abeta,AggAbeta_Proteasome,AggAbeta,AbetaPlaque,Tau,Tau_P1,Tau_P2,MT_Tau,AggTau,AggTau_Proteasome,Proteasome_Tau,PP1,NFT,IR
0,4.998102301510551,4.999480903221271,94.99874730739771,9.999932844457998,9.99999999999985,9.942896947051554e-12,200.00000000005468,3.232573526119518e-14,-9.549390489260485e-11,-4.966030636996959e-21,10.0,1.4101430707111947e-09,102.24390809414095,100.30056381538554,1.5771278040020098,-0.623053700205564,499.99999993765033,4001.5296459314914,200.0,200.0,200.0,0.004635337958141399,-0.0007833746208860224,-0.00014970693061188347,3.710937288534299e-06,-1.7080611545022777e-06,1.4023099093844444e-05,2.107293215549412e-06,1.9579104774449974e-07,8.537285537784757e-10,1.1937791797727616e-14,5.5754456811789545e-15,3.130943912888401e-16,-1.0819220640925416e-17,-6.560381252777555e-09,-1.0725641794996018e-12,4.559924065079149e-21,500.00017627488086,-0.00045342991648479874,4.5232505174069433e-17,-5.697802606836036e-09,3.1588318676577366e-18,5.2691405049131926e-17,1.752346148835834e-19,-0.00024758491735516884,5.214982463998765e-05,1.2630670924258554e-05,100.00036752351744,2.8281785071374734e-11,-1.7568366665600416e-13,2.4355195931583963e-07,50.0,4.01137130448305e-14,0.0
100,4.99684087847897,5.003687608249223,94.99912615016892,9.999592578375362,10.000000000000163,4.8031122516932374e-11,199.99999999995833,4.2801779176581446e-14,-6.691417548244297e-10,6.060060959795356e-21,10.0,5.697219468099977e-10,96.17935338837364,100.55841337150326,4.020319173897969,0.8252139995380684,499.9999998195748,3994.1863821800566,200.0,200.0,200.0,-0.0038286744474619024,-0.0012629706070603724,-0.0001662927224011738,-8.671503142947306e-06,1.2024584325820008e-05,2.2626778948121584e-05,-4.6404541514602453e-07,2.2248878010626422e-07,-9.537233492683465e-09,-7.372775506542223e-14,-7.230667220124496e-15,-3.931008837108616e-16,6.659056051663194e-18,3.3399691747727132e-09,-5.252035704161382e-12,1.0052146440584008e-21,499.9991398998135,0.00031383242487369515,-9.078332831129462e-17,2.274026316588522e-08,1.8716448705597354e-18,7.63393377976592e-16,3.224209024462069e-19,0.00046617367029277285,0.00012715904240965048,1.5979733225908165e-05,99.99921382903446,-2.5735989260516176e-11,1.369515400797828e-13,-1.8337984997597738e-07,50.0,-4.294370632338451e-14,0.0
200,4.992262562960111,5.012222579654592,95.00386195956843,9.999680950681233,9.99999999999848,1.8280036205696828e-12,199.9999999999961,-2.109890567407376e-15,-5.669448819254061e-10,4.48491238803449e-21,10.0,1.054033035219445e-09,88.10622197450618,99.30694174709652,11.065928880659001,-0.6050094889095256,499.9999999618824,3990.9523269697465,200.0,200.0,200.0,-0.0037172905689235045,0.0006339924942009959,-0.00014195312918618364,6.479802884247159e-07,-7.347732017494859e-06,1.3425495288471992e-05,-2.1792669047666307e-06,-3.290079159516941e-08,-1.2337430474652464e-08,4.8341826482547634e-14,7.143004017386184e-15,1.1039426438951603e-16,-1.1116537176682158e-17,2.955631416406076e-09,-7.916380936975642e-13,-2.1661700889343718e-21,499.99895215516904,0.001138694182990891,-2.54013603696526e-17,4.1472078583358685e-08,2.2831081448910945e-18,3.1613148380759976e-16,-8.205344135990843e-19,0.0022983942669983076,-0.00010491028143058637,1.09960513051219e-05,99.99911436387153,-3.241010128547349e-11,2.6680456817401683e-13,-2.0048323814604118e-07,50.0,5.627316139278557e-14,0.0
300,4.992745395289601,5.014088955006728,95.00860007840886,9.999007473917683,10.0000000000009,7.284002533094456e-11,200.0000000000242,4.271395123232812e-14,6.916457657273631e-10,-5.6071049936853416e-21,10.0,2.267024823673394e-09,85.74875570341918,99.13799926864492,13.232664464904937,0.801659935191448,499.99999997065385,3986.839707893815,200.0,200.0,200.0,-0.003485667323326815,-0.0012488295073040804,-0.00010133008557877584,-8.668574775941732e-06,-2.298659172178073e-06,6.652713851261506e-06,2.0345642768143756e-06,3.908382145937132e-08,6.725854167704367e-09,-8.963677514088823e-14,5.8178690623190414e-15,-2.6006081921816506e-16,-1.6872450703761984e-18,7.793735717891878e-10,4.616908884818262e-12,5.82981735343743e-21,499.9980362006595,0.0009434071009508942,-1.6781816603669222e-17,-4.638802210170083e-08,-3.664789672025634e-18,-6.256368411267701e-16,-2.304431269863342e-19,0.002063852988145609,-3.4941176113685e-05,1.0414598035565632e-05,99.99778022928571,2.8839885016989305e-12,-2.0163677508045038e-13,9.743835775276377e-08,50.0,-5.2449324486454064e-14,0.0
400,4.989192218802156,5.0145905209783646,95.0086087052327,9.99897253890983,10.000000000000172,6.431409211409703e-11,199.99999999991257,7.046113990692337e-14,-2.9665781079089324e-10,-4.437448940359486e-21,10.0,4.094721573039847e-09,80.87905287705263,100.33265848752171,19.150140247475456,1.1189771923634317,499.9999998196099,3980.3090474830724,200.0,200.0,200.0,0.0032290407192865364,-0.0011042889634820827,1.9756156223230213e-05,-2.18330544827758e-06,-1.3903110337842425e-05,-6.025145166004267e-06,-2.234797011673737e-06,1.383294267601177e-07,1.0765334452825411e-08,1.270684673111567e-14,7.050437106601781e-15,3.2807338226567287e-16,9.452559278518793e-18,-7.820130179028322e-10,-3.2396813458025965e-12,1.6344020848735561e-21,499.99748002665706,0.0012840293493447145,-2.4549332480281324e-17,6.755802848431684e-08,3.19661511456299e-18,-9.274448014555401e-17,-8.390620375806419e-19,0.004195656043632093,0.00019773469685368327,-1.963016214542856e-06,99.99651263053191,-2.7212051462953134e-11,-2.683195529111639e-13,3.3262698262546246e-07,50.0,-2.8943436483527736e-14,0.0
500,4.9871449739655525,5.013469878455021,95.01675015898745,9.998501278530567,10.000000000001263,-2.112181920917039e-11,200.0000000000458,-2.989652993254705e-14,-3.8921534716477997e-10,5.9358256989854605e-21,10.0,4.143148331865305e-09,77.82969477983961,100.0146394767608,23.535186200352157,1.1921047239665945,499.99999996089366,3978.692828844148,200.0,200.0,200.0,0.0027371857197427485,0.0012404226499447004,8.505213017259918e-06,-1.695964810329234e-06,-1.147664424941238e-05,1.376734917517645e-05,2.3773012529020778e-06,-1.521802567040789e-07,-1.816320760507413e-09,-6.967078272160982e-14,3.4292690204988034e-15,1.110387844640011e-16,1.6310881591310888e-17,-4.857688897603676e-09,-5.014807597514359e-12,-4.1552402992746725e-21,499.99770255870754,0.0029199387246943037,5.779675625563432e-17,9.694921135823019e-08,-3.7252583798156205e-18,9.606756014056262e-17,7.291590935173756e-19,0.00535860954151632,0.00021152999724513804,1.7296424352068545e-05,99.99577956922552,-1.123311101094953e-11,-1.64642005671957e-13,-1.262879394860284e-07,50.0,-5.0573433602746624e-14,0.0
600,4.984155019006455,5.0229630127523945,95.01204862142848,9.998229860145406,9.999999999998984,-1.4899506577444854e-11,200.00000000002402,1.0910019135266184e-14,-2.780937956468177e-10,-2.0575636356917623e-21,10.0,5.859208590843042e-09,72.55961162097367,99.09779821676963,25.831813421119364,1.0000775625401592,499.99999957390634,3974.807443141182,200.0,200.0,200.0,-0.0020891431178352215,0.0011211055621473238,0.00018729318059528468,-8.293952899466187e-06,1.1945678540974727e-05,-2.2712661871860998e-05,2.187252781936426e-06,-1.2183254394862562e-07,-8.78732205187947e-09,2.394106267363382e-14,-5.180950564352544e-15,-9.800160021287318e-17,-1.1762610894088885e-17,-6.585443440110596e-09,-3.851806394441127e-12,6.11107558411841e-21,499.99642314379474,0.0025487807369669476,8.511173480796754e-17,5.215097868101432e-08,3.0091282789498537e-18,-2.4573950325946777e-16,-1.7879232866956064e-19,0.005270318708150804,0.00023563642044950427,9.69224573600927e-06,99.9947822313537,-2.3145924170081512e-11,2.5658251254329364e-13,5.4790292339327556e-08,50.0,-4.99179718273424e-14,0.0
700,4.984521029224948,5.031149288156179,95.01468866450031,9.997896876270493,10.000000000000998,2.2047032935248176e-12,199.9999999998809,5.2478725750457557e-14,-2.357586702309181e-10,-6.18555021526068e-21,10.0,7.256297505842368e-09,68.0367283261127,99.41512111305366,31.04476304086245,0.45594355722216784,499.99999966366994,3971.1485759224183,200.0,200.0,200.0,0.005180594624113368,0.00020341758746324307,-6.931451293210445e-05,1.1152394668992899e-05,-8.689360644293086e-07,3.1770664059602624e-05,2.709043805769035e-06,-2.1774738307475038e-07,2.7384862320583286e-09,6.469055437097689e-14,-2.0376589243331943e-15,-1.602054212796102e-16,-5.558041837670202e-18,-3.6500012695454813e-09,9.091390443051316e-13,4.586507534629963e-22,499.99700732435656,0.003059428674910814,-9.142983174194811e-17,7.624066313104158e-08,2.60939049513977e-18,6.03389335476372e-16,-1.002594844803358e-19,0.005591435572170464,0.00011406603342583216,5.697941055908785e-07,99.99426239888535,-1.8958095111831068e-11,1.0696077528963767e-14,-5.326747675507437e-08,50.0,1.3078974617745746e-14,0.0
800,4.982020742612457,5.028534544301929,95.01991150065852,9.997761111817118,9.999999999998758,5.0198010805880395e-11,200.00000000001143,4.4094480741741454e-14,8.049203221854504e-10,5.413052763430851e-21,10.0,6.855064743497325e-09,65.8689970534538,99.28842409009246,31.558414538519994,1.6196971654257755,499.9999998864902,3963.069692064583,200.0,200.0,200.0,0.00234863503438138,0.0004906866629560917,-0.00013783629498689498,6.820177803311749e-06,9.847066424550396e-06,-2.1880283583496293e-05,2.5562782413794802e-06,-4.2420276183275166e-08,5.3199139043407226e-09,5.790639730497414e-14,3.738959242986506e-15,-1.7282090830643056e-17,1.3323279875861983e-18,6.138145814701556e-09,-6.2923861059159515e-12,-1.124814789587863e-21,499.9961403061425,0.004371052453631074,-3.0616312366952e-17,1.1310870421125226e-07,-3.202105446498729e-18,-1.77493835195287e-16,5.798161789663289e-19,0.007791369106645153,0.00032313647647921515,1.5851001755678103e-05,99.99301388464974,-6.292689301222562e-11,5.846229192044363e-14,3.559587559345946e-07,50.0,-1.1555135784923724e-14,0.0
900,4.982563721511708,5.036103007736914,95.02270557566528,9.99773841823783,10.000000000001032,1.219496896354205e-10,199.99999999996558,-3.736888917114943e-14,-1.6565036402308343e-11,4.682251703868902e-21,10.0,9.379470732370655e-09,62.3827343115496,97.6187024518979,34.864695777311276,2.2665842639244658,499.99999958345876,3962.412185869244,200.0,200.0,200.0,3.611230638326428e-05,0.0012175656545722559,-2.3370866230804088e-05,-9.517443481115511e-06,-1.005408002399945e-05,3.695411306999759e-05,-4.3940650927216527e-07,-2.546989096938366e-08,4.267947042482485e-09,6.823391583410997e-14,-2.5270886420877725e-15,-2.360444264440875e-16,-7.508641042521418e-18,-5.557292975056898e-09,-8.181316591947929e-13,-4.897041620039012e-21,499.99495432967365,0.003863658452892051,8.24761264165729e-17,1.8396310693637928e-07,3.6818305968110713e-19,-2.633577131027223e-16,2.6979468858364884e-19,0.008881977304151484,0.00040157727985194047,-1.9204364494914907e-06,99.99099172743475,-6.318383808491569e-11,-3.68570821387279e-14,2.7293622177905105e-07,50.0,-1.6427687334454032e-14,0.0
