miliseconds,DnaA,GcrA,CtrA,CtrA_P,DivK,DivK_P,I,CcrM,hcori,hctrA,hccrM,hftsZ,Ini,DNA,Count,PodJL,PerP,DivJ,CckA_P,CpdR,RcdA,ParAADP,FtsZ,Zring,CckA_tot,CpdR_tot,ParA_tot,Elong,Z,FtsQ
0,0.7798190769175758,0.6513876508083857,0.040119845608743196,0.07986316190666753,0.6600372227085555,0.3398079132211884,0.09009888883303542,0.14984173216289653,0.9999922336990116,0.0,0.0,0.0,-7.254344153302825e-09,1.050004917450258,2.0,0.19976633205378846,0.55032455304106,0.999850599276004,0.7602204567706337,0.6600315511456458,0.7394787887332914,0.9967040187150563,0.5303349562514158,0.04055114569356286,1.3,1.0,1.0,0.050640304532923515,0.9999999930397883,0.20014444990594146
100,0.779333834208639,0.6523815477657824,0.03978692280128105,0.0798420255595577,0.656809862175327,0.3429052498269943,0.08975510526462749,0.14971993654146673,0.9999759470219789,0.0,0.0,0.0,1.638509072898927e-08,1.049980490853503,2.0,0.2013901426668832,0.549604843978474,1.0008741100857939,0.7610291544588186,0.6586270497061294,0.7396131051868018,0.9305455478970318,0.5317815197788975,0.04179190522541191,1.3,1.0,1.0,0.0503550051254234,0.9999987940201266,0.1990936797966939
200,0.7791057601249984,0.6569876580565199,0.03965588883972231,0.07971250546622898,0.6544394845587768,0.3447823558029121,0.08908052506933697,0.14932041718353617,0.999959890769861,0.0,0.0,0.0,5.8085557717331824e-08,1.0517744249543792,2.0,0.20191480306364654,0.5477700113566919,1.001459165543178,0.7615270232535618,0.6567411043483955,0.7378033052044531,0.855075825846256,0.5326554816557457,0.04331348638174218,1.3,1.0,1.0,0.051570708073881845,0.9999988098435271,0.19920152667246654
300,0.7791186763018733,0.6592339693178347,0.03926287299638169,0.07943336670141544,0.6524774151147288,0.34773164193529826,0.08905422687724539,0.14855575310420652,0.999917636365964,0.0,0.0,0.0,8.682887097629737e-08,1.0526263363297896,2.0,0.20286130357235319,0.5473680679206627,1.0025356915885975,0.7625367422124146,0.6549836116133144,0.737273771760807,0.8054334520557795,0.5343488342157439,0.045492203691131855,1.3,1.0,1.0,0.05182195695720797,0.999998815260548,0.19828927696231052
400,0.7783399778351556,0.6620746008992668,0.03912331100688124,0.0792813970284588,0.6502450836594806,0.34977004638632403,0.08837936426855504,0.14834951763887752,0.9999099328803046,0.0,0.0,0.0,1.1960968546953532e-07,1.052203354614925,2.0,0.20426801948439294,0.5458945264181141,1.0030589954041023,0.7632392065673875,0.653597533055863,0.7346343603918604,0.7493593303843669,0.5354601034434228,0.0483808814347679,1.3,1.0,1.0,0.05307788653226204,0.9999988008712587,0.1981821637805039
500,0.7778909400957911,0.6634359178127849,0.038731362911898166,0.07908400365068223,0.6477450116751641,0.3522596273454462,0.08818337754601385,0.1482346438430666,0.9998895182492216,0.0,0.0,0.0,1.5766332688147896e-07,1.053585715330881,2.0,0.20598296973851818,0.5443374111304157,1.0035092922898898,0.7639537531971362,0.6521187256446146,0.7335344003988641,0.708199762119529,0.5363101899178021,0.04963675671742952,1.3,1.0,1.0,0.05377739749480649,0.9999988030448049,0.19744533044298473
600,0.7778125810317885,0.6675949573658492,0.03851764174138631,0.07879477612471658,0.6457540483664919,0.354453672207262,0.0877859640132949,0.14781005169369552,0.9998608532959384,0.0,0.0,0.0,1.549703977169114e-07,1.0543658655262464,2.0,0.20639434182225777,0.5432334180622007,1.0042136599418094,0.7647441813405765,0.6510560439896242,0.7337623908771223,0.6714333498528818,0.5367897438540088,0.05018142830711361,1.3,1.0,1.0,0.05449190899566101,0.9999988154863829,0.19659494643384912
700,0.7772539271238555,0.6703403342603171,0.0382564401631111,0.0786707480999072,0.6438669140960603,0.35611277769739397,0.08748315800002573,0.14698668858259153,0.999827127486757,0.0,0.0,0.0,2.0516831371936187e-07,1.0546458181747171,2.0,0.20843699526326143,0.5421563152185152,1.005457516244113,0.7651830481483457,0.6500523532792863,0.7311365518347261,0.6346330649810589,0.5393890539126859,0.052845696116197445,1.3,1.0,1.0,0.05425638430045038,0.9999988011343158,0.19590992131796933
800,0.7767082998539807,0.6695439904771353,0.03808045995048171,0.07838036429360491,0.6422928323093281,0.35816011996914876,0.0872144262839837,0.1467678650286413,0.9998102838863664,0.0,0.0,0.0,2.0415373582603702e-07,1.0560135766239098,2.0,0.20815219916452327,0.5415636120466246,1.0054372578988386,0.7657941700162233,0.6485361039808629,0.7313543065965302,0.6040728669811303,0.5398944856602492,0.05388575752588142,1.3,1.0,1.0,0.056482248234316655,0.9999988024943347,0.1955578616694629
900,0.7763183982613336,0.6737294644287777,0.0380619225381522,0.07810142689189338,0.6395601710389862,0.35962719757708406,0.08667158619845843,0.1466783879041228,0.9997741243046666,0.0,0.0,0.0,2.484931327228854e-07,1.0567508726123194,2.0,0.2094435831690505,0.5411709903022375,1.006732875082455,0.7666861114535973,0.6475793776529657,0.7297787450815725,0.5803518079122042,0.5405250139241919,0.05733421490638026,1.3,1.0,1.0,0.057012359119112156,0.9999987964339607,0.19499830784706043
