miliseconds,DnaA,GcrA,CtrA,CtrA_P,DivK,DivK_P,I,CcrM,hcori,hctrA,hccrM,hftsZ,Ini,DNA,Count,PodJL,PerP,DivJ,CckA_P,CpdR,RcdA,ParAADP,FtsZ,Zring,CckA_tot,CpdR_tot,ParA_tot,Elong,Z,FtsQ
0,0.7797747675667276,0.6489069301901685,0.04003026870552607,0.08012911315514627,0.6602442142617503,0.3403882956651027,0.08990708055161829,0.1497513236709546,0.9999946875942664,0.0,0.0,0.0,-2.3708757807270113e-08,1.05060641746891,2.0,0.2000710875949197,0.5493368439934647,0.9999643269516681,0.7599686515515438,0.6602345034797659,0.7397305402523706,1.0052328232622787,0.529429331810543,0.0408343936124384,1.3,1.0,1.0,0.050497521156798994,0.9999999981593578,0.19967451762924435
100,0.7794488909550479,0.6515644231107613,0.0398625517723975,0.07985248082031175,0.6571271418354636,0.34240274925598596,0.08969835550948894,0.149501670527247,0.999988933960926,0.0,0.0,0.0,4.986965025338823e-08,1.0512177955820465,2.0,0.20177329846411973,0.5483112128575186,1.0006335551970889,0.7609345195460955,0.6581464461007274,0.7388592130251319,0.9312717273285757,0.5316739762959443,0.041771729572019474,1.3,1.0,1.0,0.050208339001933014,0.9999988020383104,0.1991450809082622
200,0.778997357150743,0.6547223073919815,0.039419595430922424,0.07947599764374542,0.6548332188871487,0.34564535844062094,0.08906700369489821,0.14939039578929056,0.9999632545164993,0.0,0.0,0.0,2.875115744305196e-08,1.0509805106333758,2.0,0.20164818192589412,0.5486358515779104,1.0016202371052685,0.761629804116972,0.6567647026610467,0.7379551764665424,0.8619591350762592,0.5321749853389585,0.042961494826692405,1.3,1.0,1.0,0.05134903875344644,0.9999988077862758,0.19892573978993328
300,0.7787262254036795,0.659029475132594,0.03928488364561968,0.07925380721970104,0.6520356557900885,0.3479357281469226,0.0888158743889015,0.14852651390232163,0.9999210150882188,0.0,0.0,0.0,5.6864245693571847e-08,1.0524697852595062,2.0,0.20403528252211056,0.5465832467573566,1.0024733385859772,0.7627260955268862,0.655106085030087,0.7357946106066217,0.8053183210446659,0.5340312184806717,0.045641465951773846,1.3,1.0,1.0,0.05244886122290989,0.9999988082693055,0.19838517126032165
400,0.778585969644791,0.6624302756830255,0.03893556407943619,0.07913172240178151,0.6500060875528151,0.3498022168004804,0.08848864807289719,0.1484516404898869,0.9999076281547978,0.0,0.0,0.0,1.203507842243173e-07,1.052004101473128,2.0,0.20492160828855643,0.5465923870322327,1.0031681289963665,0.7633667806372441,0.6533632934659868,0.7354163925470786,0.7482364392224987,0.53581163201129,0.04712637840238066,1.3,1.0,1.0,0.05299864220988049,0.9999987993737586,0.19759633566943574
500,0.7779723298836143,0.6645987485196022,0.03879172045622886,0.07911136550925083,0.647971272504846,0.35240964082089965,0.0883039943340622,0.14792956209161548,0.9998854675586781,0.0,0.0,0.0,1.1235818520941667e-07,1.0528193997513682,2.0,0.20509156228130043,0.5448524093245086,1.0035945039997038,0.7639865978508091,0.652024108213339,0.7348723262036171,0.7057533157894308,0.5361350487270437,0.04981113607322451,1.3,1.0,1.0,0.052974747653763754,0.9999988138861431,0.19704861187733552
600,0.7777371656841867,0.6674654387819167,0.03874695162146486,0.07881553983016784,0.6457439887959288,0.35410744052246185,0.0880047547024256,0.14746821017847614,0.9998457608220371,0.0,0.0,0.0,1.8585116317257894e-07,1.054655252609693,2.0,0.20739149096627665,0.5438704277182368,1.0043391029373474,0.7647426295529991,0.6513914730935784,0.7323121212174221,0.670471864240987,0.5375755316742142,0.050269883719779765,1.3,1.0,1.0,0.05381386098470159,0.9999988055519181,0.19658731199179752
700,0.7770153507233966,0.6704650686111078,0.038365505535095844,0.07865408542660109,0.6434277349939721,0.3558776000467575,0.08760151648407544,0.14693144047214068,0.9998388551379215,0.0,0.0,0.0,1.78242380721289e-07,1.0545070613052174,2.0,0.20790311565880104,0.5425592342338998,1.0051908481435274,0.7653602632310436,0.6496748006267803,0.7319613569220164,0.6301142246398713,0.5391797807090863,0.053486728987325816,1.3,1.0,1.0,0.05556409020576597,0.9999988064802179,0.19647318860291893
800,0.7768006944818557,0.6727451709412388,0.038179605002110796,0.07840912114783999,0.6417839648935928,0.35758395485602307,0.08703420480984166,0.14698168904032521,0.9998205385467147,0.0,0.0,0.0,2.3464042711039966e-07,1.054996705899679,2.0,0.20933478120823532,0.5415118971135893,1.0061292708420526,0.7660315328644419,0.6487476912454286,0.7305147872347696,0.5967380094205383,0.5410158628742741,0.05378375084313504,1.3,1.0,1.0,0.05555034138024163,0.9999987969205644,0.1959946891580542
900,0.7764071286112666,0.6741195116044231,0.03795563645880413,0.07824211704065563,0.6404431867972309,0.35969709963356317,0.08704526148746337,0.14617714954737587,0.9997900440009808,0.0,0.0,0.0,2.6996246937946136e-07,1.056090674122486,2.0,0.2104638187195146,0.5408744028921401,1.0066544827902606,0.766699865312776,0.6475229749270339,0.7300649381002285,0.5715850310189788,0.5412035974367506,0.055026330111275674,1.3,1.0,1.0,0.056286539422313576,0.9999988103120652,0.19471615550987975
