milliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.4961538865518175e-06,-6.0522720815146e-13,5.0373402588986776e-06,4.148999160266253e-10,2.6092103165025697e-13,2.962213283687128e-09,-1.4316438375478642e-13,2.4935540143523936e-06,2.9408116845133575e-09,1.9739653584225674e-09,1.4851515981990445e-11,3.271231079612283e-16,-5.106045328388709e-10,-3.557357592287881e-15,-9.817957581514984e-09,1.6386414746040954e-10,9.982267459664427e-06,-4.172321047983855e-09,2e-05,1.9974236655513015e-06,4.35928438564703e-09,1.63e-06
100,1.639617783339323e-06,1.214580701864707e-10,3.0931372067258934e-06,6.094338426433219e-07,4.400326638324319e-11,1.3101685371926918e-07,9.194661140665553e-12,1.586972926134026e-06,6.643906628377749e-07,1.3761906317392257e-07,2.2309195805566286e-09,1.6121069546375584e-13,7.030887874775487e-08,5.2019135274848595e-12,2.341702971621552e-08,1.7929783697017957e-09,9.980569785912426e-06,9.341771589100602e-09,2e-05,2.0081946575675096e-06,-2.767446766028264e-09,1.63e-06
200,1.2965272245449878e-06,9.546365296012608e-11,1.987392574782326e-06,7.323120271679615e-07,5.3316269722998695e-11,2.767099081421453e-07,2.007429561323131e-11,1.1738193219909872e-06,8.145346354049426e-07,2.937409686857571e-07,1.9900448591858703e-09,1.4509907285513342e-13,4.253401893262918e-08,3.1623007082475093e-12,1.3165472130861912e-07,6.294212309997855e-09,9.91380013395482e-06,1.0894114496488902e-07,2e-05,1.9861067445800992e-06,1.891138348991754e-08,1.63e-06
300,1.109952841920136e-06,8.321939259401503e-11,1.3704468537530032e-06,7.375102888521225e-07,5.511572709081212e-11,3.564621628498572e-07,2.6597965581739086e-11,9.489132501264817e-07,8.452299124362615e-07,3.9307830487776453e-07,1.6368477126096617e-09,1.2222652133035242e-13,2.8003176606337583e-08,2.139619830606428e-12,2.592661748433371e-07,1.3369072643894925e-08,9.754486213793311e-06,2.12551017910836e-07,2e-05,1.986717193137311e-06,2.1743413772130102e-08,1.63e-06
400,9.711846983160103e-07,7.456135487169952e-11,9.766137747788825e-07,7.163520070945018e-07,5.403645110463744e-11,4.099087967542951e-07,3.100326857774142e-11,7.980135866742189e-07,8.348862908730679e-07,4.479207421729273e-07,1.3677322651733661e-09,1.0369265622324748e-13,2.1375028957439526e-08,1.6229966050139457e-12,3.721144925358083e-07,1.8256342771287037e-08,9.6298509227183e-06,3.651341697721325e-07,2e-05,1.975641917250449e-06,5.1294962688793155e-08,1.63e-06
500,8.775555827992487e-07,6.68176386324852e-11,7.455733316048375e-07,6.85702481263339e-07,5.305718065395598e-11,4.3198459471298307e-07,3.3247208758507825e-11,7.197480099195459e-07,8.197474087351203e-07,4.807776835651647e-07,1.1852299265501454e-09,9.257848915236522e-14,1.5897972332409274e-08,1.2945569489141327e-12,4.4737302406782677e-07,2.3386612941204484e-08,9.475505073061743e-06,5.189033984770976e-07,2e-05,1.9395580454030354e-06,6.49390612332938e-08,1.63e-06
600,8.044609460749265e-07,6.233480620266789e-11,5.405389913048333e-07,6.651401710417772e-07,5.256205748699401e-11,4.427222621244107e-07,3.417989816951993e-11,6.217274930346449e-07,8.005091203197801e-07,4.933852802230985e-07,1.0433939167354913e-09,8.263193717510418e-14,1.3762383886283593e-08,1.060768606286598e-12,5.365406724469674e-07,2.8367807553636253e-08,9.314709868418322e-06,6.614192245579215e-07,2e-05,1.8980593103226307e-06,7.996832264653949e-08,1.63e-06
700,7.665355555783564e-07,5.852958503061092e-11,3.991730877883729e-07,6.512723317680595e-07,5.145383190084338e-11,4.3818504121535923e-07,3.4551887613289565e-11,5.714382699726195e-07,7.849080740116053e-07,4.88791723910684e-07,9.386222612124906e-10,7.422714959578494e-14,1.1715423009555629e-08,8.474617562504042e-13,6.135710783813723e-07,3.274734019195836e-08,9.214387318087694e-06,8.004033487234861e-07,2e-05,1.881160949921744e-06,1.288409872836765e-07,1.63e-06
800,6.98680438804931e-07,5.5698088195725945e-11,3.5211338518788884e-07,6.375591719275382e-07,5.180548971829348e-11,4.3925395385095843e-07,3.500094875314328e-11,5.194481930201333e-07,7.75453395984952e-07,4.882077937019333e-07,8.65948932401935e-10,7.064502152759433e-14,9.582433958633548e-09,7.353738070087961e-13,6.634197080436423e-07,3.571126742178692e-08,9.090711100555216e-06,9.085416701569336e-07,2e-05,1.8449322428288459e-06,1.455174065369863e-07,1.63e-06
900,6.63364089582798e-07,5.375080243222688e-11,2.4860265158273296e-07,6.299759496783806e-07,5.171150299911086e-11,4.3470072048491155e-07,3.4948235883564037e-11,4.775421562755526e-07,7.756645354049589e-07,4.810498834936107e-07,8.07171955678316e-10,6.619811959432064e-14,7.893997152675136e-09,6.500381440847768e-13,7.2081145338983e-07,3.935898874969131e-08,9.00818244630415e-06,1.005208312303897e-06,2e-05,1.805249800092296e-06,1.8613069067333558e-07,1.63e-06
