miliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.491010677624779e-06,-9.883672787182165e-14,4.996874444326009e-06,-1.464800598677348e-09,3.7783343087724757e-13,-3.555271303667956e-09,1.8479552620703248e-13,2.504459647566909e-06,-4.913937884591825e-09,-9.759784138961527e-10,2.0663107072245093e-12,-7.259616066582144e-16,-2.8817474301493046e-10,7.94725584576038e-15,-5.440336742793568e-09,-8.188978728865715e-10,9.98693876993083e-06,3.917415444082161e-09,2e-05,2.015108238307738e-06,1.550280974046952e-08,1.63e-06
100,1.6419984226275251e-06,1.211238278031184e-10,3.059189555148838e-06,6.130114616408188e-07,4.3902002932510215e-11,1.3668040623834906e-07,9.039121839938182e-12,1.5909359974438412e-06,6.564940676647537e-07,1.427323340567363e-07,2.229321497330026e-09,1.6123166448197944e-13,7.078927914750655e-08,5.209865046778974e-12,2.6217274062192174e-08,2.229829584138261e-09,9.998344154328572e-06,1.3061465299368085e-08,2e-05,2.012080572709572e-06,6.037954748719333e-09,1.63e-06
200,1.288017840949042e-06,9.574146012945779e-11,1.9946686025230746e-06,7.33279183863107e-07,5.385920404530387e-11,2.7673706716894086e-07,1.9634782835961453e-11,1.184718446901481e-06,8.207096436266665e-07,2.999436059055134e-07,1.98466314615778e-09,1.4699222516060477e-13,4.270574959028198e-08,3.1695436620934653e-12,1.383377200354744e-07,6.10618210270949e-09,9.902668502162092e-06,9.113749398115546e-08,2e-05,2.005277919433767e-06,1.3144163673082768e-08,1.63e-06
300,1.1032567329108245e-06,8.311365606118419e-11,1.388719881457502e-06,7.358263007207535e-07,5.481404242280081e-11,3.571211914124916e-07,2.6611549811842905e-11,9.679841314462312e-07,8.458554093687096e-07,3.9835902799501817e-07,1.6427580400053959e-09,1.2266967732726663e-13,2.899438342364215e-08,2.1413256924850416e-12,2.6595284229118775e-07,1.3000143558258526e-08,9.748731225550339e-06,2.0907352008037413e-07,2e-05,1.9709840408759002e-06,3.12695874474055e-08,1.63e-06
400,9.69520254930357e-07,7.324761741367394e-11,1.0108931945999638e-06,7.125692115959912e-07,5.421507967908469e-11,4.112772277136886e-07,3.0826159032957426e-11,8.319064289865481e-07,8.263351451085434e-07,4.5203014168939634e-07,1.3645406187319654e-09,1.0502048278079216e-13,2.1158491934176614e-08,1.601415348026976e-12,3.7676602758953026e-07,1.916860458347219e-08,9.609786571816036e-06,3.7970359183033633e-07,2e-05,1.9484988529678136e-06,3.287547898504956e-08,1.63e-06
500,8.639580947612879e-07,6.673636927403255e-11,7.477923519570098e-07,6.900155990915738e-07,5.271601017660357e-11,4.322226451639688e-07,3.307661627420287e-11,7.139742585363745e-07,8.141637038088138e-07,4.807460836486695e-07,1.2006777350002254e-09,9.059513883131868e-14,1.639191089986833e-08,1.2921708858969743e-12,4.547257699330907e-07,2.336169758937669e-08,9.447983163178068e-06,5.202321808427051e-07,2e-05,1.9458656706658954e-06,5.973356700926145e-08,1.63e-06
600,8.147135327400927e-07,6.298784728173934e-11,5.380460015043891e-07,6.738855762085796e-07,5.2053766515103914e-11,4.3833467463175444e-07,3.4257031404740946e-11,6.180052944205532e-07,7.938127798792248e-07,4.899687182061323e-07,1.0464394967447176e-09,8.318673427919535e-14,1.3846582670857907e-08,1.0673396156843719e-12,5.360183815215204e-07,2.8492618155477996e-08,9.343103070552766e-06,6.527630185501176e-07,2e-05,1.901687173039887e-06,7.516656566019234e-08,1.63e-06
700,7.615569266056505e-07,6.008612277226331e-11,4.0185347765801524e-07,6.507441627274267e-07,5.1765170153585206e-11,4.439864057020045e-07,3.487924034010534e-11,5.501887920732439e-07,7.875973270769396e-07,4.906922282854412e-07,9.535067494612365e-10,7.438229451850932e-14,1.163911298870768e-08,9.079753998158067e-13,6.135500806056743e-07,3.2313996875545445e-08,9.212253012730281e-06,8.001528619946614e-07,2e-05,1.8929410385650422e-06,1.2405200762016995e-07,1.63e-06
800,7.124823844363539e-07,5.633006975109466e-11,3.5659336043438534e-07,6.406449224218552e-07,5.155951177928216e-11,4.3964921372804017e-07,3.495393239875677e-11,5.039153522515902e-07,7.824336371363397e-07,4.929401559668166e-07,8.739933787116418e-10,6.806432873614115e-14,9.645236263276922e-09,7.374581381394622e-13,6.783738208209972e-07,3.689479829428461e-08,9.10165439877717e-06,8.748507497855983e-07,2e-05,1.8331349105864497e-06,1.558428175010955e-07,1.63e-06
900,6.667329321264206e-07,5.4569071246062114e-11,2.3388470358029194e-07,6.382674595502217e-07,5.10149791282293e-11,4.334231930542378e-07,3.477618693533393e-11,4.6043641460975326e-07,7.755861873136613e-07,4.805269717216662e-07,8.127795547092506e-10,6.470577343947596e-14,7.869889221186188e-09,6.688695241199172e-13,7.211787472865313e-07,3.9976685618386875e-08,9.038315368543702e-06,9.772903612051135e-07,2e-05,1.8004218388302856e-06,1.9546894402985566e-07,1.63e-06
1000,6.357137227390383e-07,5.1414897818447566e-11,2.438719145970504e-07,6.31679370355582e-07,5.1363829030976555e-11,4.2312610390805474e-07,3.4772355833913716e-11,4.509856915562438e-07,7.691799498216008e-07,4.762829255453416e-07,7.506176008888606e-10,6.222912036670078e-14,7.003776693108359e-09,6.143422040588454e-13,7.586347306279189e-07,4.136483326292099e-08,8.952364206685217e-06,1.0354865729223275e-06,2e-05,1.7617255607275477e-06,2.173680668520779e-07,1.63e-06
1100,6.084391593029759e-07,5.005589386581902e-11,1.9294241298464276e-07,6.309925658350461e-07,5.155746268835204e-11,4.1469632352227975e-07,3.396292295464686e-11,4.3678672233016445e-07,7.775945874683567e-07,4.6945158678046134e-07,7.046663946243153e-10,6.020476361469495e-14,6.468583340388115e-09,5.597385431050661e-13,7.892445151866666e-07,4.3939275889821557e-08,8.889901108963457e-06,1.1042978174750967e-06,2e-05,1.7364953303458243e-06,2.590477719393656e-07,1.63e-06
1200,6.000753076335675e-07,4.831321369913001e-11,1.4057078100381895e-07,6.296945467415245e-07,5.23505611899251e-11,4.0586226599143504e-07,3.367807605644489e-11,3.7897316372282964e-07,7.753275924620615e-07,4.581193513494439e-07,6.830962222148028e-10,5.818982859093164e-14,5.717978167563995e-09,5.018375887945402e-13,8.294094175004448e-07,4.575496530053106e-08,8.820482882049657e-06,1.1782755795901844e-06,2e-05,1.6857025686613928e-06,3.0647031080733974e-07,1.63e-06
