milliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.4949575108307857e-06,3.4754193417438256e-14,5.017050062909577e-06,3.443177569973508e-09,-1.7489431789274558e-13,1.7978399777420777e-09,1.2545780453494652e-13,2.4847696443356825e-06,-5.067052476367787e-09,-3.1634466333649847e-09,-1.2666514118356875e-11,1.2771591680035039e-15,-9.81111013998664e-11,-2.2406781332712454e-14,-4.706583646176487e-09,1.8479576130600011e-10,9.985126055059704e-06,1.8312855403174643e-08,2e-05,2.008685220158063e-06,8.901195872220788e-09,1.63e-06
100,1.6320246315202947e-06,1.2048403929520436e-10,3.0753939982626686e-06,6.078835687321502e-07,4.453154351225111e-11,1.3488664573293736e-07,9.4435401458705e-12,1.5725309684151244e-06,6.584071135298792e-07,1.4423078012654594e-07,2.2055946379052954e-09,1.6153331264550254e-13,7.07874249836778e-08,5.24727326048921e-12,2.8367104156669744e-08,1.8211940658746997e-09,1.000443684023446e-05,2.717991719614618e-08,2e-05,1.985569176248426e-06,-1.5682081848294216e-08,1.63e-06
200,1.3010747279317149e-06,9.685890062870413e-11,1.9710328472263307e-06,7.304503366561827e-07,5.410295950388847e-11,2.758809618140345e-07,2.0183443260383734e-11,1.1973560508747248e-06,8.187180756394799e-07,2.9863621716142253e-07,1.9769224732607496e-09,1.4658964300013713e-13,4.25734306353447e-08,3.1655563730942975e-12,1.3471988719544572e-07,6.992244177075443e-09,9.904098254113825e-06,9.535170336728317e-08,2e-05,1.9954013996254335e-06,6.802108151667936e-10,1.63e-06
300,1.0974944566963177e-06,8.226985231883442e-11,1.4003094101610872e-06,7.412753838224703e-07,5.539019346316614e-11,3.5902988331615786e-07,2.6625108033988783e-11,9.651851961293502e-07,8.452777564050742e-07,3.942604141340073e-07,1.6278144460173327e-09,1.222091363175553e-13,2.8225996913244966e-08,2.1123938497048373e-12,2.468796370060085e-07,1.2627976769282611e-08,9.7714068148642e-06,2.2309602347440545e-07,2e-05,1.9970734516139945e-06,2.4272978477920458e-08,1.63e-06
400,9.63350534431613e-07,7.357703102091197e-11,9.982285168895967e-07,7.198027638273523e-07,5.398178793839115e-11,4.0736584183381926e-07,3.045039345689333e-11,8.203781940906726e-07,8.282249744841959e-07,4.4745476192771126e-07,1.3952242723722356e-09,1.045511072540427e-13,2.0826890678872035e-08,1.622776898639452e-12,3.5239689496529756e-07,1.8309944654090785e-08,9.623444455464678e-06,4.073655934815559e-07,2e-05,1.9621358871205096e-06,2.7756561689829565e-08,1.63e-06
500,8.652315705448439e-07,6.698940606332555e-11,6.958298225577781e-07,6.869728054581856e-07,5.2832684609583927e-11,4.3118214883732297e-07,3.3130280284799874e-11,7.118193232962106e-07,8.082316390547335e-07,4.781337931417365e-07,1.2040774280146552e-09,9.190657228067976e-14,1.632401163135971e-08,1.2960014773023694e-12,4.556287199033253e-07,2.3692429205801e-08,9.484430125868714e-06,5.302314549381404e-07,2e-05,1.9401601513003325e-06,5.697908626933532e-08,1.63e-06
600,8.07141262666363e-07,6.374889086813297e-11,5.563909408848854e-07,6.682323013359491e-07,5.172508870322998e-11,4.3917835156305895e-07,3.447785026284969e-11,6.455586692226593e-07,8.017798086581552e-07,4.927343787112328e-07,1.0647345442417545e-09,8.288419085125296e-14,1.3249678803093424e-08,1.006083615561677e-12,5.46898992449266e-07,2.824670693310737e-08,9.318139957323427e-06,6.736769452961679e-07,2e-05,1.9284406774738066e-06,8.750424734027453e-08,1.63e-06
700,7.636756472160595e-07,5.995871430571908e-11,3.941794025801669e-07,6.53099352440765e-07,5.1287121627046535e-11,4.3928668258540225e-07,3.476197890566294e-11,5.708237955505401e-07,7.869495440836955e-07,4.943699228714183e-07,9.617470097886351e-10,7.601301993839488e-14,1.0875362007652338e-08,9.017335755814463e-13,5.968552747431426e-07,3.264850032292703e-08,9.190495275916657e-06,7.953103393325971e-07,2e-05,1.8978172474475405e-06,1.0623348586265508e-07,1.63e-06
800,6.9605733063209e-07,5.648689048091349e-11,3.207072601818372e-07,6.411842123457369e-07,5.131881609145707e-11,4.406578903865502e-07,3.482362146716915e-11,5.326151932938493e-07,7.762724981476452e-07,4.868833315337857e-07,8.731605078957429e-10,6.91297929987009e-14,9.667595627655652e-09,7.930198340929102e-13,6.541779453347851e-07,3.6287656253720577e-08,9.103538477989948e-06,8.983844672145952e-07,2e-05,1.8486027380849014e-06,1.5544677537735795e-07,1.63e-06
900,6.585486207458361e-07,5.3319825136776556e-11,2.199555790353109e-07,6.379851277247328e-07,5.102419219208379e-11,4.3101682416643083e-07,3.4541328700656024e-11,4.971811689676742e-07,7.806390481577121e-07,4.869128125182745e-07,7.972819027237754e-10,6.590123778147507e-14,8.174823007576085e-09,6.94003220418925e-13,7.201419802100497e-07,3.92763686893804e-08,8.996333389044146e-06,9.726364515846969e-07,2e-05,1.7998597992579684e-06,2.0193547402291053e-07,1.63e-06
1000,6.319662719685601e-07,5.260227378733388e-11,1.690167039293831e-07,6.281513385283451e-07,5.180656814579801e-11,4.22058045938012e-07,3.47646470492482e-11,4.383759433440071e-07,7.808236232407639e-07,4.778936724648104e-07,7.499359483066123e-10,6.141943447027218e-14,7.350275323051219e-09,6.467435176933885e-13,7.467136191264725e-07,4.230103152624802e-08,8.962421591992106e-06,1.0495899213214986e-06,2e-05,1.75915374806612e-06,2.1078297466960112e-07,1.63e-06
1100,6.077638232920836e-07,5.072502647364912e-11,1.7887687467827128e-07,6.342527955317322e-07,5.171492031148399e-11,4.148172004763666e-07,3.3881876758352705e-11,4.0620402816249647e-07,7.722986237303587e-07,4.6408309335261813e-07,7.301094560664196e-10,5.991790645249464e-14,6.261865200728193e-09,5.470234968017638e-13,8.000416118567587e-07,4.483273542345428e-08,8.877349910145428e-06,1.112122958800963e-06,2e-05,1.7319602660838295e-06,2.468363033764615e-07,1.63e-06
1200,6.031055620536026e-07,4.92470404554058e-11,9.827394738562254e-08,6.276625870039972e-07,5.254217359575697e-11,4.0552063186177434e-07,3.341840069788946e-11,4.025263070064481e-07,7.784546067762573e-07,4.5840535113643637e-07,6.991212454154898e-10,5.6082257318919295e-14,6.516844278118746e-09,4.681184778573381e-13,8.05506063455162e-07,4.597171631693936e-08,8.840520460690479e-06,1.1571641172163228e-06,2e-05,1.7075266651064903e-06,3.034626039137963e-07,1.63e-06
1300,5.633342699733011e-07,4.691215459353923e-11,1.3702539346504533e-07,6.396258884087855e-07,5.305499289751817e-11,3.982798831667071e-07,3.2844087878288755e-11,3.8130747183507565e-07,7.885327571393233e-07,4.4586803825788017e-07,6.542914583182259e-10,5.6833915354724696e-14,5.883814280043492e-09,4.713834339055475e-13,8.488098101994001e-07,4.81241156865124e-08,8.799038915323324e-06,1.2085972470813258e-06,2e-05,1.6677595709665982e-06,3.3754790097627737e-07,1.63e-06
1400,5.395327184491549e-07,4.685601318854897e-11,1.1905532015534832e-07,6.41683886982065e-07,5.306914552165e-11,3.8446492602612606e-07,3.2416397100217665e-11,3.6942470178994794e-07,7.90967291327849e-07,4.3644216666511704e-07,6.360771352327459e-10,5.3504491063115636e-14,4.494501588267979e-09,4.640551588289488e-13,8.529971857245214e-07,4.844951239697018e-08,8.764397351860516e-06,1.2419375087484131e-06,2e-05,1.631739944060616e-06,3.832042365135448e-07,1.63e-06
1500,5.492710141500031e-07,4.4732217474620445e-11,1.0235927262667368e-07,6.445172856660456e-07,5.386452488966875e-11,3.739236433362977e-07,3.176516500727988e-11,3.352911044690307e-07,8.02425483707983e-07,4.2553257713714316e-07,6.462486699607557e-10,5.190521188592302e-14,4.556971794643771e-09,3.5354001313245327e-13,8.776354625614432e-07,4.984621473798722e-08,8.695882605440502e-06,1.2720203378262207e-06,2e-05,1.5788572501515185e-06,3.9027733674921064e-07,1.63e-06
1600,5.324565094394791e-07,4.4764685621871e-11,4.509293786539072e-08,6.51377964307588e-07,5.430194476160105e-11,3.664786885478608e-07,3.1119669586973425e-11,3.3261217173776395e-07,8.088931797443724e-07,4.164687263212619e-07,5.982012479883355e-10,5.1238195170130824e-14,3.9840009662582645e-09,3.5825953117667997e-13,8.973690692968417e-07,5.0970870679745256e-08,8.668685936648651e-06,1.324872756098948e-06,2e-05,1.553701235809233e-06,4.3918823194312147e-07,1.63e-06
1700,5.206207740575014e-07,4.403245232515683e-11,7.437251767470712e-08,6.58943116080181e-07,5.533562481222869e-11,3.591880292093808e-07,3.025866932086627e-11,2.968754763744913e-07,8.072426444088287e-07,4.087028544192251e-07,6.07590736131731e-10,5.165844171078979e-14,4.316256312955529e-09,3.4441629654621453e-13,9.191772321796326e-07,5.1961615158294224e-08,8.638161358752014e-06,1.3644169472153373e-06,2e-05,1.5175307782766242e-06,4.6665478407606097e-07,1.63e-06
1800,5.165638119286626e-07,4.2256856705429455e-11,5.4526483969389933e-08,6.562498681671808e-07,5.607852789914162e-11,3.533314181253832e-07,2.990295384526477e-11,2.9998009263611076e-07,8.100042675868469e-07,4.04592937619643e-07,5.936165159210692e-10,5.160096775608505e-14,4.039325472023808e-09,3.688165982013964e-13,9.328230624090961e-07,5.3703747077563685e-08,8.639127039564998e-06,1.3449014606119341e-06,2e-05,1.5020572424598147e-06,5.049871086867493e-07,1.63e-06
1900,5.122920411397319e-07,4.1444210125054556e-11,3.434407233061126e-08,6.626768495507091e-07,5.664023047424402e-11,3.4628514567553496e-07,2.8805048411416676e-11,2.74913159618367e-07,8.181902553329234e-07,3.964764580988622e-07,5.972274739289742e-10,4.822588749357408e-14,3.91091904860848e-09,2.973871882242511e-13,9.444269144187658e-07,5.443607907649683e-08,8.611589394261113e-06,1.4033580592497006e-06,2e-05,1.4648620736640138e-06,5.172549228335241e-07,1.63e-06
2000,4.922346071473126e-07,4.2295561945225556e-11,8.591623097393042e-08,6.674401211976546e-07,5.724142339763237e-11,3.34626230170467e-07,2.8230292800794484e-11,2.6602502566518605e-07,8.234921415421644e-07,3.890280880140037e-07,5.900369753851824e-10,5.018783173776032e-14,3.3554506807703584e-09,3.069782213770523e-13,9.382892980807527e-07,5.468385950247565e-08,8.607689620841468e-06,1.4155832626512348e-06,2e-05,1.451452604612663e-06,5.572699548441951e-07,1.63e-06
2100,4.953264122484575e-07,4.0108330499357436e-11,5.926635751937087e-08,6.758497843010403e-07,5.739611275408321e-11,3.253765846794658e-07,2.8089101708080658e-11,2.6005314867776293e-07,8.309529071719715e-07,3.7999260846070624e-07,5.771546334136092e-10,4.7576129018936436e-14,3.1451420242828757e-09,2.684296362027579e-13,9.69288410578382e-07,5.662957089460614e-08,8.579920389309994e-06,1.4225789066699284e-06,2e-05,1.421546936123826e-06,6.013838187101428e-07,1.63e-06
2200,4.842006209699714e-07,3.984176948347905e-11,8.899572882318728e-09,6.842463586560578e-07,5.850854251013963e-11,3.202796501653469e-07,2.7740476374063112e-11,2.5096416860551754e-07,8.338424332022717e-07,3.8079514006482785e-07,5.646695728065824e-10,4.812800386490078e-14,3.529310717265806e-09,2.3022304228575793e-13,9.667997800036256e-07,5.628985897164787e-08,8.573102093362333e-06,1.451443663196403e-06,2e-05,1.3959030170993795e-06,6.268713928098519e-07,1.63e-06
2300,4.510644283218512e-07,3.9331949892068546e-11,6.273354842855923e-09,6.886782494741208e-07,5.854379455784778e-11,3.1816041704638015e-07,2.7277375264484327e-11,2.43324414162768e-07,8.393254693842545e-07,3.7242935566553157e-07,5.668273514034941e-10,4.78899253590563e-14,3.114275128327536e-09,2.632301734594754e-13,9.856740636756638e-07,5.629436974250932e-08,8.570197258591176e-06,1.464755475901906e-06,2e-05,1.3458910385952732e-06,6.248767082841018e-07,1.63e-06
