miliseconds,AA,AAp,W,WAA,WAAp,WWAA,WWAAp,TT,TTW,TTWW,TTWAA,TTWAAp,TTAA,TTAAp,TTWWAA,TTWWAAp,Y,Yp,Z,B,Bp,SetYp
0,2.4953645739740426e-06,3.036910150144197e-13,4.997807426235104e-06,-5.1635714520523516e-09,2.90716454991581e-14,-2.9932381306237997e-09,2.5435551227731284e-14,2.5022112296638218e-06,-1.0285680769699229e-09,-1.6457281139043265e-09,-1.1394652120601533e-11,1.2597745441700327e-15,-2.290300291874588e-10,-1.7462062884980647e-14,-1.2324155676160589e-08,-3.389985966634066e-10,9.989918507073882e-06,1.4878453792889688e-08,2e-05,2.015821467836574e-06,2.114749650839014e-09,1.63e-06
100,1.6567083402535086e-06,1.2099299620000174e-10,3.0845888298806776e-06,6.174799112200486e-07,4.353684453263782e-11,1.320147484946646e-07,9.564616824756667e-12,1.5916494107073733e-06,6.673057966936704e-07,1.4475100191839796e-07,2.219023283982354e-09,1.6086706166091094e-13,7.041533403789081e-08,5.2622674614507066e-12,3.1401374927100395e-08,1.9649692753190016e-09,9.991615712383132e-06,2.9720744119647973e-08,2e-05,1.994596956677585e-06,-1.3435644872685576e-08,1.63e-06
200,1.314792003492449e-06,9.660107041693308e-11,2.0113339085505577e-06,7.269958154789014e-07,5.400319478455163e-11,2.730277019204203e-07,1.9585493614962473e-11,1.2029180095094494e-06,8.239539309528117e-07,3.012002423193531e-07,1.989074761418909e-09,1.47072312090154e-13,4.2715717211909594e-08,3.143064126741886e-12,1.4456177824767046e-07,6.0867645676228435e-09,9.927052538976587e-06,8.312396094355423e-08,2e-05,1.9966340799592264e-06,7.815524728681089e-09,1.63e-06
300,1.0992215095993908e-06,8.240130921146286e-11,1.339013446527234e-06,7.320641026408025e-07,5.491768303033815e-11,3.6331875575366587e-07,2.6381459217730348e-11,9.701044746999314e-07,8.391868693181553e-07,3.9277721466867127e-07,1.6459205627861135e-09,1.2370773914785512e-13,2.839220758405452e-08,2.14296812367339e-12,2.456552891116262e-07,1.32971590537578e-08,9.751448415621924e-06,2.109929893469119e-07,2e-05,1.982485575367424e-06,3.1806852520069317e-08,1.63e-06
400,9.56407649947335e-07,7.383724789133658e-11,9.95933204594904e-07,7.185647676745381e-07,5.3800234972146e-11,4.0472901789611907e-07,3.082216292313508e-11,7.955774549573577e-07,8.333722472872412e-07,4.4868181273449274e-07,1.3744661745587303e-09,1.0390867957610792e-13,2.1407291338583598e-08,1.6470144721386052e-12,3.6465936743216597e-07,1.8859138817978107e-08,9.61738297623216e-06,3.976200888623994e-07,2e-05,1.9579408391074694e-06,4.030706173156981e-08,1.63e-06
500,8.595227563554637e-07,6.79732888078048e-11,7.360934547923193e-07,6.910791231540229e-07,5.3045878491898835e-11,4.3128527795613086e-07,3.305299094958889e-11,6.869421075808598e-07,8.098110640544267e-07,4.7634710614240046e-07,1.1788500147838168e-09,9.05128880784151e-14,1.6842251855827532e-08,1.2446145591700086e-12,4.5922723200107746e-07,2.4744701197996653e-08,9.466121037968057e-06,5.286161609417358e-07,2e-05,1.946459844545492e-06,4.925623824379724e-08,1.63e-06
600,8.218670783259147e-07,6.23845632626155e-11,5.202282019502096e-07,6.705434047502268e-07,5.2391598821911444e-11,4.3618432173284553e-07,3.4568091138266587e-11,6.097898895235386e-07,8.012415646814133e-07,4.935650266255726e-07,1.0291133911901648e-09,8.255669092731702e-14,1.3086326679158144e-08,1.006766855957464e-12,5.498108061213806e-07,2.8558707933335255e-08,9.313015717171929e-06,6.904801470022991e-07,2e-05,1.9016441312030984e-06,8.04854587256096e-08,1.63e-06
700,7.615664028415643e-07,5.946914262506902e-11,4.3074898477911836e-07,6.557483715989183e-07,5.1864614755390386e-11,4.4519303561195386e-07,3.5135785538979214e-11,5.791756513781516e-07,7.905043335809752e-07,4.954760721929298e-07,9.382431647283754e-10,7.521109963679093e-14,1.1623897311928369e-08,9.246363062611222e-13,6.179506120707343e-07,3.324587199531829e-08,9.195434182185355e-06,7.924999289748682e-07,2e-05,1.8677422512972357e-06,1.1781797538407252e-07,1.63e-06
800,7.13459767992587e-07,5.7080227592595196e-11,2.871958544065164e-07,6.417351590679862e-07,5.083917955744979e-11,4.374945750103923e-07,3.507596604183284e-11,5.253421554105734e-07,7.810338394737065e-07,4.918678761010256e-07,8.612401023971145e-10,7.020793070327316e-14,1.015221365755025e-08,7.97603726982718e-13,6.607744518815734e-07,3.698793448335184e-08,9.115328062552616e-06,9.015781347957548e-07,2e-05,1.8580911108865824e-06,1.6437105465893578e-07,1.63e-06
900,6.581828754373596e-07,5.374679765229945e-11,2.2766038785851203e-07,6.30017502822494e-07,5.1479644696344377e-11,4.313319776088502e-07,3.4811275840964815e-11,4.912691861153459e-07,7.79794400220503e-07,4.826010526561483e-07,8.082335614887555e-10,6.401664255292134e-14,8.268980807235501e-09,6.789140513254596e-13,7.154241143598338e-07,3.946983885335683e-08,9.035707906544643e-06,9.990490369461007e-07,2e-05,1.82238777567447e-06,2.046463328005011e-07,1.63e-06
