miliseconds,TFp53,miR34a
0,0.02674381484659189,0.0010644021626668723
100,0.052742819143901346,0.0002871145824624054
200,0.13376840433363313,0.0025240915199542394
300,0.18965640563122182,-0.00038300234909166564
400,0.21559630707726335,0.0019937787107650005
500,0.21564741663826442,0.005061833055941212
600,0.3278264002547552,0.0037367514519801863
700,0.32722748459396606,0.007148470040858754
800,0.36862612797797334,0.008803959041541149
900,0.44209396484897856,0.007390344684666098
1000,0.463904261117812,0.009305968538198253
1100,0.5765165425917895,0.014539092544288788
1200,0.5800681734227487,0.013264016067194118
1300,0.6353814313131732,0.016644737884736707
1400,0.7257233212325379,0.020836777214629273
1500,0.7747601088964364,0.02244993175081518
1600,0.8443888375118747,0.023991943870438244
1700,0.8845858670130142,0.025323547260809053
1800,0.9192700557383812,0.029225319238413885
1900,0.9539092809558483,0.03150645412374445
2000,0.9920311901166835,0.03583479282229594
2100,1.0558736158624429,0.03555202379336811
2200,1.1259553875221862,0.03831003691998179
2300,1.1807386331962493,0.04316264192624776
2400,1.2534989477991694,0.04654141313713162
2500,1.2681196596324402,0.04656044603242981
2600,1.3341702382577305,0.05271774665420971
2700,1.381853877651731,0.05422698599926696
2800,1.4633096384335584,0.05619510655109889
2900,1.5051242962037024,0.058903497950131264
3000,1.574429323281406,0.06513759351970522
3100,1.6197698918306136,0.06498307760289024
3200,1.710367034975341,0.06851465487127943
3300,1.704117934988453,0.07063078025868802
3400,1.8213749752872754,0.07655547676915689
3500,1.8956462846026774,0.07771115722416318
3600,1.916788434266283,0.08147169937815239
3700,1.9473761888135708,0.0834445452012938
3800,2.0410886526051937,0.08851214631613671
3900,2.1276237834632252,0.09159460167719059
4000,2.1611307101350676,0.09278068536991761
4100,2.216218961657671,0.09744986137834852
4200,2.2655812979991476,0.09973169140157342
4300,2.32469545941178,0.10206440791843914
4400,2.407078549496376,0.10766532384894995
4500,2.4092201336794354,0.10944140198844038
4600,2.50461634510617,0.11415004531533365
4700,2.565605333531801,0.11837806965499947
4800,2.6484634171441,0.12136448847459803
4900,2.725454598802716,0.1229208616694203
5000,2.7950291914542613,0.1261938915638663
