milliseconds,TFp53,miR34a
0,0.03627737013978033,-0.0016528440184803346
100,0.0732524173210018,-0.0014633937953376335
200,0.06956633098467115,0.00252410692845646
300,0.11925318732778097,-0.0006477116323465783
400,0.22267722670118703,0.002538860224365967
500,0.24348915526901918,0.002127184278143379
600,0.30910160152121446,0.0037364663552558364
700,0.33454398202168667,0.004171631833743257
800,0.42054126824277116,0.006902668157593227
900,0.4411504484089304,0.01109016615764255
1000,0.5316579954051882,0.009497466615557743
1100,0.5529581551865198,0.01350494406860659
1200,0.6430778433381201,0.014547110674086346
1300,0.644216875938471,0.016457368866690088
1400,0.6848986288557024,0.02088778635676982
1500,0.7533304340289667,0.022051410590224696
1600,0.8245490515074899,0.02375155407302026
1700,0.8976956528052362,0.02504729557417504
1800,0.9241480574257969,0.030609349533121447
1900,0.9919718956225423,0.030983221056651373
2000,1.0025064115389415,0.03460080006096433
2100,1.105000046646248,0.038261455101430246
2200,1.12332109452543,0.04103623432172116
2300,1.1994649540895184,0.04431045307950272
2400,1.2218012020974442,0.04388464164151566
2500,1.2701927584092403,0.048667199722517186
2600,1.3460986958044654,0.049702334262235956
2700,1.3667316096608346,0.05333618232280763
2800,1.4886652494825512,0.05586557376370202
2900,1.4822101290665635,0.061152073920888846
3000,1.6116590873289323,0.06523464502127302
3100,1.6366322218973701,0.06534576426851307
3200,1.6789061984755078,0.07022853975669367
3300,1.7438828273807494,0.07129141766195832
3400,1.8032335830493191,0.0775596267076763
3500,1.87708728105208,0.0788548703061047
3600,1.9323555172879445,0.0823592158729431
3700,2.0070174642382423,0.08384070879620481
3800,2.0690194967570092,0.08680514504498488
3900,2.073563190473486,0.09228287951332406
4000,2.1863449183274577,0.09561393205788966
4100,2.2113766667034054,0.0991426473671717
4200,2.2629463400824528,0.10181457130190738
4300,2.3515099774566464,0.10229170609778795
4400,2.4272765700210774,0.10823457947473962
4500,2.4805214787901213,0.11037898649794155
4600,2.4779950824351062,0.11417423957134344
4700,2.6087002775635666,0.11799987150259221
4800,2.6209305261165943,0.11992990418962583
4900,2.6746426196836928,0.12463184499487534
5000,2.7939226665375996,0.12536933656680135
