miliseconds,L,L_RF,L_RF_C8,L_RF_FL,L_RF_FS,p43_p41,C3,C8,C8_star,C3_star,p43_FLIP,NF_kB_IkB,NF_kB_IkB_P,p43_FLIP_IKK_star,NF_kB_star,RF,FL,FS,IKK,L_RF_C8_FS,L_RF_FL_FL,L_RF_FL_FS,L_RF_FS_FS
0,113.79414345250717,0.07756114903803414,0.030065675392217564,0.008221074828538573,4.417185252174499e-06,0.00494589852897512,1.4434039959818576,64.43428342144718,-2.3820125732039105e-06,2.6308577062433684e-09,-0.001903555908234586,4.739549030960519,1.926196515038086e-05,3.1466729845586493e-06,-7.849757512976299e-05,91.46826873346225,7.361397891842823,5.125895811714157,5.772817366454768,-0.003975220050893633,-0.0009775484554152784,-0.03082177203716069,2.234398700895365e-06
100,23.755024643019574,82.71058665111056,0.044390022854712725,4.884858153409965,0.0002549498425613004,-0.005044005835007683,1.4434039988119758,64.40537124052817,-7.764559019870151e-07,-2.264839959745876e-09,0.015655485919347265,4.739573820062033,-9.371049543203167e-06,-1.3927663051987675e-05,-1.4413277699809073e-05,2.6544762512637785,0.03913838706915026,3.5095673009318125,5.772863924482593,0.010596938329278185,0.4649040835087435,1.5900200117676435,5.258568658222887e-05
200,22.472849217470202,83.47371721093403,0.07151417756438207,3.760980260695983,0.0004059255623690446,-0.003974752416337478,1.443403995552436,64.34025378659312,2.0106657448808824e-06,5.284657911293821e-09,0.03738055455014033,4.739613858286974,5.384908606328306e-06,2.322055363904829e-05,-0.00011688496626904762,-0.1941308608661263,0.010024356757654887,2.3669913514537004,5.7728650360577,0.025179858324096922,0.46471630679935416,2.6832427073753107,0.00012417681677957587
300,22.12779165053088,84.5851384206748,0.10729550690563706,3.097350825662144,0.0004948030923026983,0.002366377568708399,1.4434040026605606,64.18171838076142,8.214214766142866e-07,-6.065807183155747e-10,0.043052318614386104,4.7393886823271485,-1.791772975619668e-05,6.555877867889148e-05,8.652761276835545e-05,-0.4081121575733014,0.023846217929659567,1.7454424194710494,5.77275673847659,0.049791341596976325,0.46322214194873207,3.3200045906739577,0.00020468491757139946
400,22.213414806300918,83.71037670263816,0.15620502438486275,2.7065608784964423,0.000551235066938497,0.005069353566333789,1.4434040005461197,64.13304644881319,1.9005442438542356e-06,4.048369329544279e-09,0.05775578528524956,4.739427984045639,-1.2707578816917197e-05,4.8935812051588135e-05,-0.00012725848122385237,-0.04853515493483875,-0.023998206737890118,1.3251454048079068,5.772733831764587,0.06857751549324159,0.46704855069012796,3.687711155121118,0.000288822624592242
500,22.168979880069973,84.00488917499771,0.23877812254650363,2.421265929391731,0.0005917531167694001,0.011818813903619831,1.443404003188857,64.11173789968751,-1.753895319324245e-06,4.207616300477109e-09,0.06943275255498298,4.73937606954204,2.1299091411276105e-05,5.029188943590206e-05,-7.373124037619306e-06,-0.38482455143226363,0.0379823708116787,1.0332205226898925,5.7727394448030465,0.0911828586171512,0.4651248232492074,3.969836985022807,0.0003370695789178164
600,22.195806872270644,83.80445393490612,0.3176354124480537,2.263875083693577,0.0006124082488938461,0.012150117273525229,1.4434040060824551,63.951676597201924,-2.1389978551875764e-06,-2.725831071135393e-09,0.07898495304920312,4.739576395726827,4.5394151828909314e-05,8.176227328502072e-05,-0.00012790296430248568,0.2139392929033331,0.027494750933756404,0.8250140128052326,5.772701433221333,0.11634818460597836,0.4658570917272588,4.188105143708272,0.00039497349021276775
700,21.81518355676127,83.58969377185588,0.29945293579008175,2.1115364059808863,0.0006356730921018828,0.0030465242963426398,1.4434039967886962,63.889356536494056,1.255540576810281e-06,2.7337686761525283e-09,0.08625227538883745,4.739633986211575,5.196150736182344e-05,0.00016009196254590215,0.00015032011981727455,-0.6054775297378673,0.043938463021486726,0.7011526533334852,5.77269226363695,0.13195568333232788,0.4643764728002308,4.279169819173873,0.00043458233469064714
800,21.947828780031145,83.69641982335001,0.37203938328197433,1.9882943995464997,0.0006486703763934977,0.015053564205594849,1.4434039936558196,63.84684911252209,-1.7068944606756768e-06,1.6023130298976297e-09,0.09296087431109962,4.739462501665095,2.954225230875537e-05,0.00019293906419554438,8.32798008626799e-05,0.4982480312309189,0.012916044013608824,0.4999041093410427,5.772601609189142,0.1567661284735773,0.46561034741960755,4.40375853236148,0.0004724997244018903
900,21.859660820172174,83.6759197304387,0.41369451730520396,1.9134324225180084,0.000649468066795209,0.013783445646239135,1.4434040005343272,63.720193854718225,-1.9499397315826714e-06,3.036874668483766e-09,0.10185035509217179,4.739532503497831,7.728099247075111e-05,0.00016711702599664247,5.3886130568066686e-05,-0.2020836665981587,0.04481523764846489,0.46614039033933835,5.772658238547061,0.16608280356760186,0.4642081895019605,4.465410073311017,0.0004946017670013278
1000,21.329225814671197,84.00902886867382,0.5190541348740167,1.80630377657318,0.0006628777216230549,0.02242453527203527,1.443404000486494,63.7042445701628,2.4716297012751424e-06,-3.3982913548316263e-09,0.10763674822838876,4.739392413485018,5.40507067341162e-05,0.00028112071940334,0.00021995302685485655,-0.27584287259396834,-0.021457892342800218,0.3866823177210789,5.7725564903994595,0.18988210775461978,0.4641972428681693,4.552511974916457,0.0005220890606365089
1100,21.861623438554055,83.28220962644563,0.5395541644487748,1.7489314672671987,0.0006716106802078323,0.027369011286538722,1.4434039981252542,63.6346436521025,-1.9323304173266344e-06,5.739737469353312e-09,0.11365775463489185,4.739176785156606,0.00011648580717584585,0.00030330433880068543,0.00025402242806744484,-0.3161474922460437,-0.04093858975472916,0.26503666145902116,5.772467391870521,0.20079400237556033,0.4669794103812931,4.581301666653752,0.0005387921460849571
1200,21.846254669702024,83.18463549353612,0.613023383392714,1.726276489145548,0.0006757225471178673,0.02239043857079499,1.4434039998526997,63.524837437957316,1.0917378859366314e-06,4.822499902773764e-10,0.1176191498788043,4.739184070895179,0.00012543962524629335,0.0003490706123332787,0.00023227437306992205,0.04245548578259216,0.0045786473563413236,0.25260877114887015,5.77249038424821,0.21134999492779186,0.46629792755358307,4.647509026768147,0.0005471070056339922
1300,22.303029589738042,83.68394051088414,0.6450886900413991,1.673860969508374,0.0006704477119050111,0.03633945349753402,1.4434039962022591,63.46872987355155,2.382636032308204e-06,-3.1630150525223746e-09,0.12866820483750185,4.739048917974405,0.00012871279252499868,0.0003795065465147307,0.00025136539641530485,0.48956721222459143,0.04501105906635306,0.23462425852390034,5.772428976687366,0.221155832764192,0.4653878955233757,4.677827379482802,0.0005560187012976696
