milliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,1000000000.0,5600000.0,700000000.0,352800000.0,1881600000.0
100,1001042284.9482272,5658611.109839385,684453685.3595284,352418724.4777953,1864568938.663457
200,1002087782.5694864,5717830.261151326,669557260.0848165,352036620.28058976,1847840425.0333028
300,1003136492.216836,5777665.439243016,655273202.0837982,351653712.2021943,1831407445.0501525
400,1004188404.3464087,5838122.842112059,641565459.4390312,351270026.3940374,1815262438.435684
500,1005243509.3183535,5899208.910708951,628399755.9756006,350885589.1245964,1799397840.9915543
600,1006301797.895413,5960930.142787857,615744359.4167539,350500425.9024395,1783806337.0766284
700,1007363261.3426652,6023293.039356259,603569978.9535604,350114561.3315664,1768480898.7036254
800,1008427891.4605083,6086304.148529206,591849663.6701123,349728019.19395536,1753414764.6349192
900,1009495680.3773401,6149970.077186947,580558547.0985508,349340822.5390765,1738601414.5138636
1000,1010566620.5745249,6214297.489317047,569673448.8357744,348952993.7978642,1724034531.9374657
1100,1011640704.9247899,6279293.1212816145,559173006.0029974,348564554.7133406,1709708028.3381443
1200,1012717926.6361051,6344963.776778071,549037305.3127863,348175526.44006395,1695616010.3315651
1300,1013798279.2326407,6411316.3258349355,539247771.6744062,347785929.56091285,1681752773.7338064
1400,1014881756.5410982,6478357.704920825,529787063.92784166,347395784.1062486,1668112796.899774
1500,1015968352.6921873,6546094.920548539,520639026.3679909,347005109.5497222,1654690741.780431
1600,1017058062.0708342,6614535.040872841,511788447.85159504,346613924.8989148,1641481423.708034
1700,1018150879.3334376,6683685.201970931,503221098.14534026,346222248.6632516,1628479821.7180758
1800,1019246799.4086372,6753552.611577497,494923684.63169295,345830098.85193723,1615681078.817894
1900,1020345817.474121,6824144.546615117,486883731.4493245,345437493.01574016,1603080487.8376763
2000,1021447928.9473413,6895468.353771701,479089518.13286346,345044448.26314574,1590673485.7275586
2100,1022553129.4768734,6967531.45022811,471530024.9533869,344650981.2748703,1578455648.388433
2200,1023661414.9733725,7040341.348339121,464195087.13003516,344257108.18556786,1566422728.7442434
2300,1024772781.3838899,7113905.566789776,457074582.27332383,343862845.0972349,1554570489.983366
2400,1025887225.1878505,7188231.766573721,450159508.98894805,343468207.33798236,1542894943.3168201
2500,1027004742.7945626,7263327.613289498,443440884.9883411,343073210.22257686,1531392104.4791303
2600,1028125330.8690101,7339200.904670954,436910667.2281756,342677868.3971791,1520058203.429638
2700,1029248986.2585942,7415859.4813226415,430561057.06929713,342282196.30773765,1508889533.1304173
2800,1030375706.0172387,7493311.2790960595,424384801.93548703,341886207.9646257,1497882524.4904385
2900,1031505487.3842955,7571564.299939467,418374963.4417754,341489917.1012965,1487033695.1012464
3000,1032638327.796014,7650626.624680274,412525022.93092376,341093337.1024335,1476339672.472566
3100,1033774224.8249086,7730506.406771299,406828689.48478866,340696481.1029897,1465797160.4169228
3200,1034913176.2389635,7811211.876821791,401280098.90320385,340299361.89095443,1455402972.2901387
3300,1036055179.9025073,7892751.342671144,395873584.7623806,339901992.0156415,1445153993.2227309
3400,1037200233.861386,7975133.188275382,390603831.84499097,339504383.7150196,1435047205.5947418
3500,1038348336.2684643,8058365.8788648015,385465745.3686793,339106548.97480834,1425079667.6601064
3600,1039499485.4341885,8142457.957066834,380454512.747128,338708499.5018583,1415248523.427748
3700,1040653679.7983671,8227418.047162449,375565539.8376802,338310246.7515145,1405550992.4665105
3800,1041810917.9431431,8313254.856492396,370794384.64589095,337911801.9645217,1395984356.8624396
3900,1042971198.5879203,8399977.172315378,366136850.3433358,337513176.11871904,1386545978.5020947
4000,1044134520.5904822,8487593.859983739,361589025.0282593,337114379.9099572,1377233305.9946852
4100,1045300882.9470063,8576113.863829939,357147260.4512624,336715423.7626,1368043870.8815958
4200,1046470284.6947956,8665546.237231383,352807492.18906724,336316318.1882037,1358975159.579257
4300,1047642725.076937,8755900.088721653,348566462.30987453,335917073.14286226,1350024842.9603384
4400,1048818203.4522977,8847184.610215751,344421080.58427864,335517698.36390597,1341190656.1254947
4500,1049996719.3000494,8939409.074755685,340368476.64323825,335118203.3430768,1332470408.0197139
4600,1051178272.0646067,9032582.870326899,336405291.37518173,334718597.7089154,1323861846.554589
4700,1052362861.3872032,9126715.446575528,332528803.76843196,334318890.6216062,1315362872.387939
4800,1053550486.9686135,9221816.348119413,328736239.78644574,333919091.14637876,1306971406.9500895
4900,1054741148.6543938,9317895.208730899,325024945.86825776,333519208.1656328,1298685422.7063515
5000,1055934846.3071904,9414961.754145062,321392245.1867215,333119250.4488118,1290502920.037689
