milliseconds,M,C1,C2,A,T
0,37600000.0,5640000.0,3760000.0,2000000.0,700000.0
100,35259537.6335293,6327401.315965594,3718900.0187954907,2029191.9958674752,669445.2456420532
200,33069823.067940317,6952534.130059367,3681821.380948516,2057386.4310126177,640563.1598318126
300,31021237.60455022,7519703.012304361,3648394.4379627467,2084643.8422753254,613265.0514661865
400,29104599.645783618,8033008.962120338,3618270.5826921496,2111021.9087708937,587465.2384207409
500,27311385.171583652,8496252.816557879,3591129.866714387,2136574.0558007555,563083.2707125172
600,25633646.83301691,8912971.722032502,3566677.730132819,2161349.963217689,540043.2456079208
700,24063931.756129004,9286476.799728492,3544641.328104351,2185396.0953848828,518273.19255812984
800,22595246.70650359,9619869.242884101,3524767.8946512463,2208755.926816989,497704.83788520953
900,21221072.9828574,9916033.65779562,3506825.2998993364,2231469.8443878246,478273.7625351763
1000,19935323.962553333,10177657.594819047,3490600.099976092,2253575.4227555855,459919.09945811244
1100,18732301.9739361,10407251.36761043,3475895.5704683857,2275107.704696164,442583.2193199219
1200,17606668.597688314,10607161.717749266,3462530.338935258,2296099.3946039528,426211.51833672414
1300,16553428.0749159,10779579.476062397,3450337.6008329303,2316580.967107354,410752.3064819498
1400,15567900.44808681,10926551.935142618,3439163.8702003635,2336580.8431633264,396156.61812972813
1500,14645710.13453683,11049988.10480821,3428868.4538174453,2356125.4650230566,382378.1291710343
1600,13782787.624041244,11151657.924450804,3419323.532565814,2375239.2852239227,369373.16787192377
1700,12975313.884241518,11233217.83215249,3410411.600468287,2393945.131589583,357100.3122108414
1800,12219713.22671077,11296214.035704218,3402025.141519488,2412264.254935352,345520.3341366362
1900,11512636.329503385,11342090.313402947,3394065.8537310218,2430216.441226789,334596.0724929684
2000,10850941.513345663,11372196.613030128,3386443.7947148695,2447820.1356978253,324292.2914605415
2100,10231699.040427672,11387787.052886752,3379077.5922604804,2465092.415904681,314575.70393391827
2200,9652168.352414772,11390030.378148982,3371893.4041960863,2482049.1419975087,305414.8013793572
2300,9109788.564803276,11380014.314165507,3364824.4927379913,2498705.0203899527,296779.7772136801
2400,8602163.304385103,11358752.522244424,3357810.5375763862,2515073.704373773,288642.409937987
2500,8127055.344128499,11327187.047419082,3350797.4014244094,2531167.8306650096,280976.0162092311
2600,7682364.693222684,11286198.372548942,3343736.137420331,2546999.164553625,273755.282313762
2700,7266134.384532694,11236602.743428515,3336583.2622434795,2562578.5629030205,266956.30142911663
2800,6876527.106056235,11179162.877712257,3329299.711408724,2577916.1294759256,260556.3866515062
2900,6511824.908403014,11114588.100308161,3321850.8194950195,2593021.217310479,254534.07095517922
3000,6170423.879628522,11043536.744165268,3314206.1174133453,2607902.465635948,248869.0460060341
3100,5850815.996761739,10966624.497445103,3306338.4883097047,2622567.919807345,243542.03297371522
3200,5551600.335409242,10884419.205776826,3298224.7215712867,2637024.9586107284,238534.8455301537
3300,5271457.515213115,10797452.6157837,3289844.337836807,2651280.463870521,233830.2001832783
3400,5009161.626759216,10706214.860423168,3281180.1647610203,2665340.7417658744,229411.79213164587
3500,4763560.418090961,10611163.550253076,3272217.4362832797,2679211.6554794367,225264.14139644726
3600,4533580.338202457,10512721.432749717,3262944.045758499,2692898.591220133,221372.62216847646
3700,4318214.22313991,10411282.031029452,3253349.9935536697,2706406.541382304,217723.3625895782
3800,4116522.0578982,10307209.272068923,3243427.4424571455,2719740.0990954847,214303.24243767696
3900,3927622.734363171,10200841.25442529,3233170.353857763,2732903.5137934,211099.82368488587
4000,3750692.7858170103,10092490.808060225,3222574.448106361,2745900.6996813817,208101.33303363604
4100,3584961.9317201404,9982447.520828007,3211637.01724991,2758735.265653994,205296.6205795105
4200,3429708.641276913,9870979.757611966,3200356.7372040953,2771410.545020455,202675.1194001978
4300,3284259.812137201,9758334.786754867,3188733.671287113,2783929.597538719,200226.83556194187
4400,3147983.7524461267,9644741.98511938,3176768.9639489395,2796295.2565672086,197942.2877898655
4500,3020291.881099846,9530412.038594615,3164464.9352640514,2808510.1170918285,195812.51460714138
4600,2900631.525620141,9415540.228864534,3151824.7681293483,2820576.5844843755,193829.01099034108
4700,2788487.745692736,9300305.580733443,3138852.6061737826,2832496.8612039364,191983.7384779152
4800,2683376.84377523,9184873.81967934,3125553.2748757866,2844272.991015791,190269.0662112805
4900,2584848.3699005423,9069396.437240561,3111932.386645785,2855906.8442550916,188677.7834266009
5000,2492478.7959627192,8954013.573568346,3097996.069691286,2867400.1609151647,187203.04167360597
