miliseconds,DNA_damage,p53_total,p53_ub,p53_ub_ub,Mdm2_cyt,Mdm2_p_cyt,Mdm2_p_nuc
0,0.0,0.07118052099005139,0.02455995346165647,0.006825984341934576,0.1161000643451146,0.011870063359623888,0.33179794841369026
100,0.0,0.07118029150317139,0.024560938467477422,0.0068263735765945206,0.11610343213342174,0.011865668935337541,0.3318169138974273
200,0.0,0.0711801889935583,0.024561141883046013,0.006826427186995269,0.11610558599038119,0.011864818393996397,0.33179465236473044
300,0.0,0.07117888679948639,0.02456113222809872,0.006826222866339407,0.11610711811378666,0.011864328010354511,0.33177953137118515
400,0.0,0.07117919808195677,0.0245606173561336,0.006825908754369914,0.11610812500998269,0.011864061156128355,0.3317670571088836
500,0.0,0.07117960961987668,0.0245605591594408,0.006825626995876345,0.1161092828869892,0.011863830939242115,0.3317549135754628
600,0.0,0.07117960441727034,0.0245606059902728,0.006825338049617743,0.1161098222063716,0.011863593919525888,0.33174944315941757
700,0.0,0.07118037956674832,0.024560448728939314,0.006825175711478761,0.11611064012963214,0.011863398340979096,0.3317394991002709
800,0.0,0.07118171456697404,0.02456076337615718,0.006825002285179142,0.11611165289024225,0.011863147926653508,0.3317357023355486
900,0.0,0.07118233850824154,0.024560990928807005,0.006824928468933088,0.11611194458893351,0.011862957330045632,0.33172843640523747
1000,0.0,0.07118279326855587,0.024561130413571546,0.006824869305062463,0.11611244404004827,0.011862866798999559,0.33172423720495897
1100,0.0,0.071183979227134,0.024561337357748576,0.00682482936442639,0.11611289850195196,0.011862725477815573,0.3317200967415031
1200,0.0,0.07118520938415732,0.024561600243787684,0.0068248076729710274,0.11611325432523835,0.011862500703186086,0.3317169469142809
1300,0.0,0.07118572868127682,0.024561984806791587,0.006824785061764742,0.11611369015170246,0.011862505853114488,0.3317115895033661
1400,0.0,0.07118706644524479,0.02456224821577618,0.006824785963681135,0.1161142274602735,0.011862369496727367,0.3317066059657378
1500,0.0,0.07118850311633648,0.02456234082808885,0.00682475664185131,0.11611482522641703,0.011862221034125724,0.3317053387727325
1600,0.0,0.07118956832029627,0.024562600232035863,0.0068247892401637165,0.11611512094824158,0.011861988700162581,0.33170318951617955
1700,0.0,0.07119097234007137,0.024563155650905964,0.006824790535362216,0.11611541369312628,0.011861965986936826,0.33169852224361224
1800,0.0,0.07119188028806775,0.02456348058407671,0.006824807572552458,0.11611568562862742,0.011861869432100599,0.3316959811480823
