miliseconds,CDK2cycA,CyclinA,Cdk2,CDK2cycA_star_
0,-1.3579616747148995e-10,3.992279625216623e-07,1.0026161775959987e-07,9.542129849141282e-10
100,1.5087678968976508e-08,3.8338300943391957e-07,8.334102279962387e-08,1.936140754922273e-09
200,1.940977172385179e-08,3.756555242762854e-07,7.566941836006794e-08,3.487472240418024e-09
300,2.4486077443755174e-08,3.7008578541283963e-07,7.048910467918986e-08,4.519129331273585e-09
400,2.8466919649520726e-08,3.6470081472769423e-07,6.430298219200833e-08,7.094754593782917e-09
500,2.9394921092866996e-08,3.625935421378426e-07,6.223687375477664e-08,7.94741086515086e-09
600,2.9425840693195456e-08,3.6154994693486224e-07,6.173166790633793e-08,1.0191864170571103e-08
700,3.022586657653327e-08,3.596929657555973e-07,6.017584170465313e-08,1.2356239792721597e-08
800,3.104585427408256e-08,3.6009458853022527e-07,5.98394578228443e-08,1.3373725644918605e-08
900,3.233846216832359e-08,3.584871223690108e-07,5.821161998978421e-08,1.4470884223763634e-08
1000,3.359095563042855e-08,3.575468877163525e-07,5.610427920343062e-08,1.5535620770712283e-08
1100,3.3844274593293464e-08,3.562171240794316e-07,5.557422105449861e-08,1.7426576047809453e-08
1200,3.403962606862651e-08,3.538901812518171e-07,5.3496658828081216e-08,1.914194413593357e-08
1300,3.511978577703018e-08,3.530549504780858e-07,5.3499642853268964e-08,1.9930293005277867e-08
1400,3.6204520939375485e-08,3.515329535860551e-07,5.180389907063657e-08,2.1109996427419807e-08
1500,3.623464902786427e-08,3.510771980490932e-07,4.9799115916916105e-08,2.2649616506997206e-08
1600,3.707806863426987e-08,3.4922522768318206e-07,4.8962512578931445e-08,2.3378835004578717e-08
1700,3.783896865833872e-08,3.4788039194880417e-07,4.8590884587254154e-08,2.5579200023926237e-08
1800,3.94854424802835e-08,3.4749136485970453e-07,4.686880608689333e-08,2.5991577168194346e-08
1900,3.939912984471288e-08,3.461309248319967e-07,4.4982569333196277e-08,2.8754329801394378e-08
2000,4.0098079658512955e-08,3.448404173029055e-07,4.497838221338372e-08,3.0409872281981825e-08
2100,4.1322750415921505e-08,3.435390113979477e-07,4.365176653348771e-08,3.0587423547862347e-08
2200,4.247493726076118e-08,3.41901910254036e-07,4.2019086551960134e-08,3.207181688066077e-08
2300,4.31836271722394e-08,3.412559373685568e-07,4.0551735861892065e-08,3.3534090615983214e-08
2400,4.399794606199232e-08,3.4026244606934646e-07,4.021161983191319e-08,3.596600664350756e-08
2500,4.413007684786898e-08,3.373795009245504e-07,3.849820318399647e-08,3.7599397149433317e-08
2600,4.561496631597692e-08,3.364719353057274e-07,3.687642235601156e-08,3.751211527251399e-08
2700,4.5679474122508354e-08,3.3518841651198546e-07,3.597111295239209e-08,3.99393893741939e-08
2800,4.71101041502239e-08,3.3528589981537115e-07,3.394276692990446e-08,4.156513729705545e-08
2900,4.761804528934167e-08,3.3403050237899875e-07,3.3475598407556407e-08,4.2849167178219516e-08
3000,4.890969595283998e-08,3.327890357932707e-07,3.201795773936315e-08,4.2664710420779755e-08
3100,4.887343074658245e-08,3.305639599783823e-07,3.1177922669303655e-08,4.4985268518801594e-08
3200,4.9776839946852234e-08,3.295958937384987e-07,2.9086013530329622e-08,4.727610708920422e-08
3300,5.06878441187533e-08,3.2787606886899834e-07,2.796416908214995e-08,4.755208493295818e-08
3400,5.100195241460197e-08,3.2776749205967303e-07,2.7814848154292884e-08,4.8478081993242496e-08
3500,5.2941811387369086e-08,3.2591119593422046e-07,2.6167795479787546e-08,5.065059468789694e-08
3600,5.353648105077522e-08,3.2431903024679005e-07,2.5041338774190973e-08,5.251360497185736e-08
3700,5.4357806598248505e-08,3.2413515909654074e-07,2.4069055446714605e-08,5.437734111260517e-08
3800,5.4203961202723913e-08,3.2221432138448025e-07,2.1619432741772688e-08,5.398556408838824e-08
3900,5.62421219580939e-08,3.223208474401623e-07,2.354941452539375e-08,5.604170670142568e-08
4000,5.7079327558044946e-08,3.239269246401225e-07,2.3390587579436957e-08,5.831114095770253e-08
4100,5.6776450229687075e-08,3.2551507900841814e-07,2.457116934771882e-08,5.903009201128084e-08
4200,5.765756962798731e-08,3.2623541872192067e-07,2.597368954650691e-08,6.055027600402556e-08
4300,5.871762578340194e-08,3.2711912930418133e-07,2.7894486127088348e-08,6.173783827183438e-08
4400,5.956245354024237e-08,3.2929399222528237e-07,2.878334593701317e-08,6.293433306673618e-08
4500,6.114280805731566e-08,3.291299242309283e-07,2.988625641926367e-08,6.252132759811986e-08
4600,6.129183885505583e-08,3.318611707805766e-07,3.08096052306596e-08,6.375754275657203e-08
4700,6.270750914918695e-08,3.32557815417009e-07,3.171445519224479e-08,6.576043616857815e-08
4800,6.362566855589563e-08,3.3409775223885313e-07,3.296270357010312e-08,6.760018809035648e-08
4900,6.411406080068625e-08,3.3463783093619063e-07,3.3936847388453514e-08,6.812197396776306e-08
5000,6.467653782647202e-08,3.3600515887863327e-07,3.6220189865265365e-08,6.975695094503373e-08
