miliseconds,CDK2cycA,CyclinA,Cdk2,CDK2cycA_star_
0,4.5067048045370787e-11,4.001265631750338e-07,1.0005436615248281e-07,-8.162690401018555e-10
100,1.557539638512234e-08,3.833901282214917e-07,8.272258789748706e-08,1.0789994143132276e-09
200,1.976494570624442e-08,3.7610937024919613e-07,7.608883356121076e-08,3.810462661400299e-09
300,2.372791037259588e-08,3.7037660309148567e-07,7.014055364958118e-08,6.2232895295395455e-09
400,2.8847675829846722e-08,3.633501556488167e-07,6.38201457464565e-08,7.987742380334433e-09
500,2.9344026456799743e-08,3.633423737815416e-07,6.364040055138078e-08,7.990900684854128e-09
600,3.036326163403243e-08,3.609532658832542e-07,6.156373271448405e-08,1.0909159770608537e-08
700,2.989799973042472e-08,3.6073417762831087e-07,6.008022105813383e-08,1.1716698057016778e-08
800,3.1818236538036675e-08,3.5936038893652827e-07,5.962891201720388e-08,1.2713427872840052e-08
900,3.277685313271831e-08,3.58023960791805e-07,5.8483424798791176e-08,1.4502358536854577e-08
1000,3.315563095697101e-08,3.5650383891408666e-07,5.746707803051469e-08,1.6178227128623135e-08
1100,3.344658486580756e-08,3.5570284977957334e-07,5.5805705497449214e-08,1.6622079278946264e-08
1200,3.419431622503351e-08,3.5427708386635454e-07,5.4608841978179735e-08,1.785902478466894e-08
1300,3.472089255002456e-08,3.523847725868792e-07,5.237828119225102e-08,2.060647230661835e-08
1400,3.646492609422753e-08,3.5256336211139404e-07,5.1701418823600563e-08,2.1899608312358032e-08
1500,3.688627921115274e-08,3.505863358324835e-07,5.0917472434835895e-08,2.18700209799889e-08
1600,3.788979385201368e-08,3.500447727346215e-07,4.8818112092890666e-08,2.4381670628891586e-08
1700,3.842014871571384e-08,3.4841964375753584e-07,4.813877754808951e-08,2.6098399636900628e-08
1800,3.899575293548702e-08,3.465119201570262e-07,4.610063477625227e-08,2.6872144016359436e-08
1900,3.9836602772390505e-08,3.460111987652575e-07,4.6238679016171594e-08,2.9048568711353905e-08
2000,4.124749705356962e-08,3.441709995206679e-07,4.503463004679499e-08,3.009994444467998e-08
2100,4.112105113427081e-08,3.426728440978951e-07,4.293760262032554e-08,3.1221856046816616e-08
2200,4.290121216247643e-08,3.4255137336072387e-07,4.263231041960168e-08,3.140058802171715e-08
2300,4.266937742535124e-08,3.4055192533710594e-07,4.052129627004176e-08,3.314716429408006e-08
2400,4.4419102437988874e-08,3.402293703542059e-07,4.017193327301937e-08,3.442343337398009e-08
2500,4.436092120572312e-08,3.3852408889188837e-07,3.85831929329618e-08,3.629254421335995e-08
2600,4.4770051854410256e-08,3.362690571968006e-07,3.762370664974778e-08,3.882579439022555e-08
2700,4.6181531260622895e-08,3.360732714215744e-07,3.574587709063868e-08,4.023458967329109e-08
2800,4.689098598562127e-08,3.3442149691577764e-07,3.4203341477348036e-08,4.040113207218604e-08
2900,4.82117331644668e-08,3.3280483074777595e-07,3.250237991328732e-08,4.175846318136785e-08
3000,4.866575407136236e-08,3.3212247139648427e-07,3.242982763724567e-08,4.2765953682217014e-08
3100,4.960813529557596e-08,3.316256563963747e-07,3.076098576681834e-08,4.53971907285964e-08
3200,5.0229881782838066e-08,3.2932936000570403e-07,2.8794994150827337e-08,4.540412320143531e-08
3300,5.07774120796446e-08,3.284963722837023e-07,2.8070376934832075e-08,4.727555701189753e-08
3400,5.2293387858838924e-08,3.273743348722354e-07,2.6708423666561043e-08,4.918050791473968e-08
3500,5.229112383458475e-08,3.262575287446911e-07,2.6283252780205703e-08,5.045775507509556e-08
3600,5.3041395693577274e-08,3.2385233100151303e-07,2.543649596519145e-08,5.2942484736450904e-08
3700,5.432854373943645e-08,3.2267468557964637e-07,2.302260849444794e-08,5.353266837445071e-08
3800,5.535564436982689e-08,3.2232058931126207e-07,2.1435446140295777e-08,5.562167080482366e-08
3900,5.4969387900926036e-08,3.228806471821436e-07,2.3455122747198815e-08,5.522170013168351e-08
4000,5.67335128399842e-08,3.2494624565418524e-07,2.458654482625062e-08,5.702514013901197e-08
4100,5.7133863021932204e-08,3.2616862704083123e-07,2.564820882632833e-08,5.921505718022781e-08
4200,5.787394500003965e-08,3.2579502746818526e-07,2.6044228779724293e-08,5.9458808481115046e-08
4300,5.9544303054809505e-08,3.281945032191751e-07,2.7823225167690583e-08,6.133214293141612e-08
4400,6.007304499397309e-08,3.2926268535202787e-07,2.8992596424264957e-08,6.258408599716516e-08
4500,6.078854201391382e-08,3.2966942984921e-07,2.970020360291579e-08,6.276284431280774e-08
4600,6.182286286763825e-08,3.3170540204958737e-07,3.1056389444003115e-08,6.494146772983081e-08
4700,6.279391895976899e-08,3.3242883681930784e-07,3.185071222199989e-08,6.589967438287388e-08
4800,6.290987105369855e-08,3.32628683291721e-07,3.2682074712615024e-08,6.621202609963903e-08
4900,6.387407468130174e-08,3.348550994716773e-07,3.454107654622632e-08,6.936546013246039e-08
5000,6.551763728271004e-08,3.349896204562706e-07,3.484544286420009e-08,7.028945280742632e-08
