miliseconds,CDK2cycA,CyclinA,Cdk2,CDK2cycA_star_
0,5.041974684223511e-10,4.002241618956104e-07,9.94249851906e-08,6.181186488740038e-10
100,1.513665832155406e-08,3.830349490237797e-07,8.314720136742006e-08,6.681941199420519e-10
200,1.9685781743754824e-08,3.7699178463319583e-07,7.574276959384622e-08,4.08323999376123e-09
300,2.406941869478575e-08,3.694853059243778e-07,6.985821541138381e-08,5.477163178933153e-09
400,2.7767419700821995e-08,3.64719149932288e-07,6.34827446134107e-08,6.149540842529105e-09
500,2.9065452916992788e-08,3.631424158300264e-07,6.262550158399148e-08,8.964140549919978e-09
600,3.029281494951938e-08,3.617665796279433e-07,6.235797527423176e-08,1.035351421007463e-08
700,3.0874940740954006e-08,3.6131739254548855e-07,6.094175232010078e-08,1.1104270597328996e-08
800,3.1954936047604803e-08,3.588452453026682e-07,5.8735774612907566e-08,1.3486706255395524e-08
900,3.1839816118639974e-08,3.5754411012208036e-07,5.801195596978733e-08,1.4115934099590437e-08
1000,3.312627481856267e-08,3.56378678373566e-07,5.641374103020721e-08,1.510516317901287e-08
1100,3.332274754251589e-08,3.5549667152368264e-07,5.569226810402006e-08,1.665628555948724e-08
1200,3.4995679569691594e-08,3.543374373845866e-07,5.4176198402150906e-08,1.742922976984598e-08
1300,3.495681579706847e-08,3.5263644473538096e-07,5.368283229450393e-08,2.0791299606862856e-08
1400,3.64976722977653e-08,3.5100078152222687e-07,5.181521822390281e-08,2.0573901982907902e-08
1500,3.631320781263433e-08,3.505034925095387e-07,5.133146331931899e-08,2.1672619846551653e-08
1600,3.7701140161775934e-08,3.4857171923339283e-07,4.9147472275113854e-08,2.333050210974096e-08
1700,3.8323848878735674e-08,3.473996314381729e-07,4.8126332040935385e-08,2.553504597755507e-08
1800,3.94044607406701e-08,3.470737326490527e-07,4.706312115660401e-08,2.6481766974896286e-08
1900,3.94217261131705e-08,3.452863026133439e-07,4.559644466620773e-08,2.9150579132658954e-08
2000,4.0195163615219385e-08,3.4392364655867113e-07,4.4168750360619794e-08,2.9464248122163603e-08
2100,4.103484766998823e-08,3.43914753936162e-07,4.246370134583408e-08,3.0510764730977104e-08
2200,4.2875166646910996e-08,3.420883055052641e-07,4.12669962912379e-08,3.193968186301446e-08
2300,4.251343406959343e-08,3.399232675952848e-07,4.153007428486635e-08,3.387752945302026e-08
2400,4.331617813825032e-08,3.3920689317044736e-07,3.914507273538346e-08,3.4722966787700336e-08
2500,4.479683970546938e-08,3.3906754247242766e-07,3.903657527293203e-08,3.7096253773022154e-08
2600,4.551218178196621e-08,3.372026725352534e-07,3.699899357396794e-08,3.699866281598035e-08
2700,4.560784361691752e-08,3.353436414915402e-07,3.632620266574724e-08,4.0289202963665807e-08
2800,4.736711624853296e-08,3.3454338592292607e-07,3.500309929273521e-08,4.146731563422565e-08
2900,4.8385289002303283e-08,3.332850912308227e-07,3.341073319895103e-08,4.1424784595752536e-08
3000,4.823670396136165e-08,3.3122768250628117e-07,3.263074920047516e-08,4.302054701474696e-08
3100,4.9509427520388115e-08,3.310786475000814e-07,3.1109561532619076e-08,4.593907683111186e-08
3200,5.04063417250579e-08,3.290834534183154e-07,2.993303217772268e-08,4.6382238421646444e-08
3300,5.072776852009001e-08,3.285871597920553e-07,2.8353607632203806e-08,4.8626759149237784e-08
3400,5.1127027856833996e-08,3.272120928065094e-07,2.7134907978489554e-08,4.856502155329363e-08
3500,5.186714075665917e-08,3.2570918478269537e-07,2.5668952628632378e-08,5.060422289396046e-08
3600,5.3658219743077815e-08,3.252241855479202e-07,2.514084199926515e-08,5.255205474828226e-08
3700,5.432564337404967e-08,3.2280890402920894e-07,2.346492605834e-08,5.348232162573398e-08
3800,5.4381395819465234e-08,3.2129256193836545e-07,2.1601928716411196e-08,5.502140616938299e-08
3900,5.501976383529415e-08,3.233154620723212e-07,2.3495323704758564e-08,5.675684213434541e-08
4000,5.713190300722024e-08,3.2385973175104545e-07,2.4580397578916258e-08,5.6506473952201734e-08
4100,5.7258377111169216e-08,3.254426637748556e-07,2.4924006652631012e-08,5.944464116305575e-08
4200,5.755424902881566e-08,3.257241228266263e-07,2.6035855511271065e-08,5.889325086842085e-08
4300,5.8317671074071586e-08,3.27021508917367e-07,2.8232761871690694e-08,6.147860548822311e-08
4400,6.045813344448204e-08,3.290029267360843e-07,2.9242691844306457e-08,6.15854035576781e-08
4500,6.116491918947569e-08,3.299950569027184e-07,3.018113675961454e-08,6.334687292694176e-08
4600,6.118822686641911e-08,3.306627525867221e-07,3.060959407117517e-08,6.4179790819999e-08
4700,6.280724453131527e-08,3.3206673190821857e-07,3.2733896738384766e-08,6.647206851463183e-08
4800,6.284170033495948e-08,3.340214773192574e-07,3.411505623525015e-08,6.73000025335039e-08
4900,6.462107194762221e-08,3.3439178934893485e-07,3.51219676485706e-08,6.801694749866946e-08
5000,6.521515797946364e-08,3.356469594264983e-07,3.495226336774202e-08,7.030795239270747e-08
