milliseconds,CDK2cycA,CyclinA,Cdk2,CDK2cycA_star_
0,-3.930095722548161e-10,4.0047550927384433e-07,9.964248739913879e-08,-6.627625055706828e-11
100,1.5604902885553367e-08,3.836407813159228e-07,8.299671463715144e-08,1.6934371396330635e-09
200,1.930963255405711e-08,3.7600741591686794e-07,7.664832144059268e-08,4.1425602441781696e-09
300,2.3844611972251748e-08,3.7056109017987876e-07,6.923790563695808e-08,5.525730198814011e-09
400,2.7564426697938444e-08,3.634966429833101e-07,6.371432234327651e-08,7.647153974655352e-09
500,2.8907856992093878e-08,3.635805016622617e-07,6.362155963715739e-08,8.900314480243297e-09
600,3.016622882022929e-08,3.6140546588955307e-07,6.141631737799046e-08,1.0076083692794338e-08
700,3.0861138095888046e-08,3.600553629158252e-07,5.982346281446613e-08,1.1734616312458012e-08
800,3.072234280152763e-08,3.5893135246289793e-07,5.913751431563758e-08,1.365835960182228e-08
900,3.270524457389717e-08,3.5789216409704695e-07,5.717044832273805e-08,1.4974918790568815e-08
1000,3.236054237453652e-08,3.5600206510856356e-07,5.7019054343878376e-08,1.568214531946895e-08
1100,3.375303377032196e-08,3.548449469351188e-07,5.57130464052546e-08,1.634542556301969e-08
1200,3.3789974005233246e-08,3.5360191411230116e-07,5.51166326994557e-08,1.8802756216762247e-08
1300,3.52066940642294e-08,3.535120052321466e-07,5.329072271635756e-08,2.0274221529116317e-08
1400,3.618427181596193e-08,3.522951166175203e-07,5.143061842048648e-08,2.0828800494506454e-08
1500,3.734472018170029e-08,3.5008063248879575e-07,5.025592747270366e-08,2.2264881107063647e-08
1600,3.817074107968229e-08,3.496196927551337e-07,4.8729216592726805e-08,2.4535438839881427e-08
1700,3.869588690451639e-08,3.486246539170078e-07,4.813637035518526e-08,2.561277949444524e-08
1800,3.870834000722818e-08,3.474285936064448e-07,4.7195149295238023e-08,2.6837856829386917e-08
1900,3.977342721434489e-08,3.450167918927832e-07,4.581221423012091e-08,2.8998165445438483e-08
2000,4.129338135261185e-08,3.449147649157286e-07,4.5181375375305075e-08,2.992051076138998e-08
2100,4.204433951229118e-08,3.4399575009698876e-07,4.3863093072340796e-08,3.054374388225012e-08
2200,4.2493019334403206e-08,3.4275929753631127e-07,4.239711730294561e-08,3.284296221044539e-08
2300,4.362308965981676e-08,3.4097618308968443e-07,4.131077539938938e-08,3.410446699082325e-08
2400,4.39813338887248e-08,3.3963121872994346e-07,3.862521125105656e-08,3.4331168015868076e-08
2500,4.444213246737145e-08,3.3808638641432156e-07,3.799456437826323e-08,3.604395498196435e-08
2600,4.529532517726362e-08,3.369480344820926e-07,3.673255586153071e-08,3.7519767095289006e-08
2700,4.62129463277963e-08,3.3508466670174863e-07,3.54244996595544e-08,4.026745926683765e-08
2800,4.7376482414485946e-08,3.344279359041228e-07,3.3750280374079036e-08,4.1170270112637645e-08
2900,4.736228794095898e-08,3.335274400340876e-07,3.256463714597914e-08,4.2076682461645064e-08
3000,4.8218029355582275e-08,3.320409383140413e-07,3.1517423528950155e-08,4.3614697000809806e-08
3100,4.920445569467743e-08,3.301412055792132e-07,3.050872238758738e-08,4.52436979001493e-08
3200,5.065997006088882e-08,3.300218434933717e-07,2.9424753317666476e-08,4.563689760727284e-08
3300,5.130307123667803e-08,3.286068412051328e-07,2.9171147186877254e-08,4.7406763738394615e-08
3400,5.2348427938164534e-08,3.270147195128279e-07,2.7587060829774684e-08,4.924655306703723e-08
3500,5.249317070330074e-08,3.255299294128397e-07,2.5168827696243543e-08,5.1333051781744025e-08
3600,5.2845649527484e-08,3.2385402891682166e-07,2.4549377576315888e-08,5.2695911808858984e-08
3700,5.3396188503379396e-08,3.229751987895237e-07,2.2819678961822927e-08,5.3050137435299174e-08
3800,5.5175534407831694e-08,3.2288990824782843e-07,2.227236977477282e-08,5.545587340986288e-08
3900,5.5243919296931276e-08,3.222257892345626e-07,2.2472295824363585e-08,5.623891271718177e-08
4000,5.6739172941769e-08,3.2439570887568687e-07,2.4453832288645202e-08,5.7047843728794866e-08
4100,5.666000633651487e-08,3.257497635971428e-07,2.5679975252396506e-08,5.879279129314452e-08
4200,5.864120269467417e-08,3.2664708314949526e-07,2.6790685891633342e-08,6.031470232379567e-08
4300,5.857823008933814e-08,3.27706889850626e-07,2.782220144631365e-08,6.148667045286194e-08
4400,5.950364782495745e-08,3.292124112640388e-07,2.8020545385894473e-08,6.303504242756852e-08
4500,6.128401003934733e-08,3.3034236345608047e-07,3.000059464336221e-08,6.387224653507205e-08
4600,6.159893320026808e-08,3.3110648641244106e-07,3.151760727186758e-08,6.423996648597116e-08
4700,6.186367656836205e-08,3.317239041648995e-07,3.263289329389991e-08,6.538649403412414e-08
4800,6.298702549492015e-08,3.334922512018247e-07,3.375693721433716e-08,6.76082024587491e-08
4900,6.439030796464215e-08,3.3528610614252943e-07,3.4905060859185574e-08,6.901095707002768e-08
5000,6.503521106237717e-08,3.3504762294115935e-07,3.602523761073749e-08,6.96184984216716e-08
