milliseconds,CDK2cycA,CyclinA,Cdk2,CDK2cycA_star_
0,5.1637209137117e-10,4.0037148997095035e-07,1.0016753577469781e-07,-8.241204500323626e-10
100,1.4701468053648743e-08,3.8351863715740706e-07,8.338169168971177e-08,2.05840225544523e-09
200,1.9262548985576058e-08,3.756880968574446e-07,7.566044889086514e-08,4.367322211076901e-09
300,2.4792057555902392e-08,3.7041479488189144e-07,6.965759103719956e-08,5.076736116758575e-09
400,2.7628228741607843e-08,3.64679011601934e-07,6.433073631440754e-08,7.270112686500069e-09
500,2.8964620812541934e-08,3.634979741890622e-07,6.364878954566293e-08,9.398336016924569e-09
600,2.933190990549038e-08,3.6216384622907205e-07,6.17414137576055e-08,1.0233434436734313e-08
700,2.999131536777252e-08,3.6120707187033975e-07,6.022345717721938e-08,1.156969428035044e-08
800,3.093155541466354e-08,3.5938059257711553e-07,5.8687865419532893e-08,1.372510159052629e-08
900,3.188156943339978e-08,3.579811363501794e-07,5.840069698942489e-08,1.4254226035922094e-08
1000,3.296852864281465e-08,3.567906681598968e-07,5.672349351245588e-08,1.621845193308054e-08
1100,3.370864817110517e-08,3.5625334257530544e-07,5.57997173864819e-08,1.6285847586208986e-08
1200,3.434676744593262e-08,3.540928949713758e-07,5.427295403381645e-08,1.840362599592895e-08
1300,3.591918314169588e-08,3.529126025548234e-07,5.355542571024696e-08,2.0127206699503622e-08
1400,3.547197766406392e-08,3.5238355305431097e-07,5.264520307735727e-08,2.1757715010117687e-08
1500,3.727134089844577e-08,3.503276604591368e-07,4.980815206991749e-08,2.354986263568983e-08
1600,3.752915079642855e-08,3.4973040169447037e-07,4.9321297466197293e-08,2.4831158449560808e-08
1700,3.7885620154577276e-08,3.485353933745144e-07,4.813645788304906e-08,2.6031678412500884e-08
1800,3.961190166676034e-08,3.465525823930534e-07,4.6080643071024893e-08,2.6511154583712458e-08
1900,4.034608981251858e-08,3.450553533661549e-07,4.604968641780154e-08,2.7685995259606674e-08
2000,4.028793093152777e-08,3.4383482110518163e-07,4.491704587552804e-08,2.927461499563275e-08
2100,4.1522590734800866e-08,3.438486089230175e-07,4.2935510266704553e-08,3.025780370015515e-08
2200,4.252158061080752e-08,3.425239658535312e-07,4.269706528642391e-08,3.1813887491742195e-08
2300,4.26356314694662e-08,3.398486571847118e-07,3.985503637853169e-08,3.4759654728038884e-08
2400,4.3885714088447546e-08,3.390693853938837e-07,4.02032364252025e-08,3.559028380142883e-08
2500,4.39810003056468e-08,3.3747950631133716e-07,3.74019347698571e-08,3.6047017289136854e-08
2600,4.554513187532434e-08,3.3703535576904603e-07,3.720929752796874e-08,3.7943951719375023e-08
2700,4.599683127959727e-08,3.358935137615743e-07,3.5264105119617564e-08,3.864985038467028e-08
2800,4.657678313271426e-08,3.34100119062293e-07,3.396903157217282e-08,4.0818021020687045e-08
2900,4.7748859088010016e-08,3.3263954659112093e-07,3.372781144717175e-08,4.1236302157240314e-08
3000,4.8829517662259284e-08,3.3257193580785603e-07,3.191504748213444e-08,4.4207119289340104e-08
3100,4.869802662057838e-08,3.3079150361325737e-07,3.1136493067827536e-08,4.586387424538825e-08
3200,5.06980742299574e-08,3.2871764894402625e-07,2.9040940295686426e-08,4.5763062837447893e-08
3300,5.1345143323314187e-08,3.279863128898749e-07,2.7724196282261785e-08,4.7260547919917995e-08
3400,5.151111427299195e-08,3.2773450587413675e-07,2.7173524329261823e-08,4.8525945425783676e-08
3500,5.3135706304335225e-08,3.2598271856525047e-07,2.630797859761039e-08,4.9933220392459506e-08
3600,5.3011182965420726e-08,3.2451447428880347e-07,2.503668800678838e-08,5.212513994417964e-08
3700,5.405014151461611e-08,3.2280853198313487e-07,2.270933014030144e-08,5.427724313316154e-08
3800,5.493084949054796e-08,3.217715727001206e-07,2.214603774343969e-08,5.3883709767747776e-08
3900,5.621900593489768e-08,3.234544481169723e-07,2.3890548479204023e-08,5.703989286942959e-08
4000,5.635043331301265e-08,3.2423228179378915e-07,2.4235881748684936e-08,5.6374101896290165e-08
4100,5.771167956538583e-08,3.254271374930883e-07,2.5700935291051342e-08,5.818823067337944e-08
4200,5.7562880514379464e-08,3.2686374953633406e-07,2.6114396446232907e-08,6.021021764756834e-08
4300,5.91028764198213e-08,3.277487609980442e-07,2.8400751419400152e-08,6.019247481242188e-08
4400,5.961411948384666e-08,3.2842480098121876e-07,2.9415470676894055e-08,6.293532822988436e-08
4500,6.038899468186248e-08,3.3058679247801215e-07,2.9507420215751586e-08,6.381778499961122e-08
4600,6.141885537230024e-08,3.30703836332741e-07,3.149272081365851e-08,6.365754634487723e-08
4700,6.222547896908536e-08,3.316650001255567e-07,3.276407398115401e-08,6.679607917812671e-08
4800,6.340859646444853e-08,3.3376460171804715e-07,3.2859621779865265e-08,6.721163927583331e-08
4900,6.397852898698787e-08,3.3487305338222234e-07,3.481672419289699e-08,6.765443707163601e-08
5000,6.55110320055439e-08,3.3542971465489517e-07,3.5159929944933636e-08,6.958125596864522e-08
