miliseconds,Cln,ClbSt,MBF,Nrm1t,ClbMt,Polo,Sic1t,SBF,Cdh1,Cdc14
0,0.09991740529535477,1.0019989398662583,0.04985020924053735,0.5090977990205925,1.0002637352463306,0.250485156354741,-4.365720755015551e-05,1.000099913446794,1.9506335418766105e-05,0.10035348061411531
100,0.10892815515397979,0.985505125207719,0.04982846800358691,0.5091005957770015,1.0009431351396463,0.2509619510927665,0.0016825653181072628,0.22732095277903588,0.0011065779938991033,0.10048562357228844
200,0.10816669568632686,0.9778244078295333,0.0495684355181187,0.5094154398912539,1.0019585337847305,0.2511379138325072,0.0027404262249091133,0.062223596440017626,0.0011168646491181104,0.10203758236012378
300,0.10757341988364763,0.9734498744784571,0.049307207332249255,0.5096992711779716,1.0029031955392234,0.25206388445636735,0.0034969785734143928,0.04452838088641807,0.0011583615976908607,0.10600133828933962
400,0.1068629510205239,0.9657951245302553,0.04904454369698827,0.5100095653447445,1.0034698890581315,0.25314968927999865,0.004027326374307366,0.04100506388347081,0.0011707778498959071,0.10845648792957956
500,0.10439592736271713,0.9517090381847545,0.0488334770823545,0.5100602722560119,1.004879257821788,0.2535664260683443,0.004362611131821153,0.03954481112098544,0.0011941041672835521,0.11109302121361998
600,0.10342062781858627,0.940344453345148,0.048443714019205,0.5103016863682721,1.0048364989779122,0.2540188660335427,0.004672984205806457,0.04611745801972215,0.0011973027948127702,0.11300950601209195
700,0.1030263518447261,0.9364830846387908,0.04824399058729586,0.5105404605088856,1.0059579369278595,0.25500092414469294,0.004822874554828165,0.04138507600315198,0.0012137904803737915,0.11687713698822695
800,0.10131982918837998,0.9248998263704341,0.048065224647644844,0.510662785669336,1.0067878410412714,0.25608107270140124,0.004963676188412087,0.045668141954788334,0.0012588968433422467,0.1176958328007156
900,0.10057600397937652,0.9193144236585031,0.04783139099157768,0.5109169966335015,1.0084551673216537,0.2560614030168652,0.0050632256003712815,0.04046765875193897,0.001252549578109148,0.12121228031948802
1000,0.09907504363682464,0.9082584180438865,0.047423594039300195,0.5111129530111129,1.0085759010738953,0.2571675377603644,0.00511952145934664,0.04444866868268928,0.0012972723134084116,0.12144273017310843
1100,0.09841353515701345,0.8977625081730456,0.047399257912530704,0.5113801343707611,1.0101848923937717,0.25833036023729666,0.005176960364484272,0.04302408288912909,0.0013081201880567142,0.1232424930336705
1200,0.09619692422929413,0.8908681137258577,0.047267065735838255,0.511600940072255,1.0106421825336032,0.25887871382906114,0.00519946616132604,0.04344521338366128,0.0013557869761923274,0.1256640608566853
1300,0.09598135651000528,0.8862376433711726,0.046924827726610115,0.5116588977217307,1.0112750077834631,0.2593929056328473,0.005214719251155931,0.04092373925777943,0.001374362659983245,0.12968497389893435
1400,0.09431660929609213,0.8833554712429648,0.04658083878525087,0.511882610754647,1.0126757729657825,0.25987335374935705,0.005208019840319973,0.038881206899248164,0.0013852181737432712,0.13205879855161465
1500,0.09285624645611497,0.8742773681983618,0.04633825082709895,0.5123055074483216,1.0129169902167723,0.26108583938895275,0.005232007818353731,0.04217290699139369,0.00139719512284934,0.1357256431754491
1600,0.09159428710769431,0.860568319165104,0.04604390240152938,0.5125031963104163,1.0144182398884574,0.26121424518345776,0.005244462956059813,0.03621787897221752,0.0014492453517068488,0.13512707098590196
1700,0.09082648231814879,0.8494593726068129,0.045822820383094515,0.5124639733850763,1.0151622577936543,0.26167355431735284,0.005302990204612696,0.033034375998503035,0.0014626242067097505,0.136679807770523
1800,0.09020716370207307,0.8409346140766346,0.04582241497471149,0.512887753407848,1.0149133408485804,0.2632825565626087,0.005338488724616893,0.04021587701040903,0.0014898887965055212,0.14349553555459058
1900,0.08875561853099712,0.8353555518617071,0.045535207947712916,0.5129850546444082,1.0159267864599961,0.2638707688325693,0.005344090695499829,0.03322477598121299,0.0015023568945350218,0.14525812413188655
2000,0.08868965611934443,0.8300349956596621,0.04528723359337362,0.5132916001368015,1.0172156910116434,0.2644174220361943,0.00535426034322695,0.03779327514378934,0.0015049410327876516,0.14813314693735813
2100,0.08752146881856232,0.8198171745421761,0.044983646044910494,0.5132555871883322,1.018343387919481,0.2647757541156694,0.005352124777494632,0.039888928764466015,0.0015729687624199682,0.1486233982795002
2200,0.08678881953263427,0.8192472447696422,0.04489930954690852,0.5135775502721721,1.0185786662848026,0.26586020766059865,0.005399542690879437,0.04332912319502875,0.0015853376546270436,0.150934161023171
2300,0.08484270901286925,0.8084376580208005,0.0445888555796986,0.5136588442217228,1.019338185079708,0.26606352737821193,0.0054827519018087086,0.04056752788732638,0.0016234807027028216,0.156142949308868
2400,0.08451314771373573,0.8008680110749321,0.04452169321590004,0.513925329250993,1.01993087488821,0.26733792490506975,0.005515695837636156,0.03477634977833082,0.0016250696755108329,0.15814970930453742
2500,0.08350569835258598,0.7918017632512873,0.04414691240812175,0.5140225220416059,1.0209309205781179,0.2678879708048614,0.005464012935580421,0.03430895440867429,0.0016626849436566428,0.16100170333050867
2600,0.08221121723023914,0.7887793638767536,0.04399891114293765,0.5144015296904577,1.0224597821706667,0.2686320732542321,0.0055416124173058605,0.038931218264756436,0.0017090619244999575,0.16498087452949184
2700,0.08157857149930005,0.7829339806975658,0.043745004319301894,0.5144974960855948,1.0229690646578466,0.2691917180041556,0.005549379405163215,0.03814221232624976,0.0017474487297548507,0.16835785963362632
2800,0.08017274032915095,0.767924082777581,0.04369838992311107,0.5146715820459089,1.0237289252694945,0.27032597269982234,0.005580887728854174,0.04175458894037882,0.001739317090948221,0.17167482474541818
2900,0.08002681972953161,0.767790355088127,0.04343422104179785,0.5148112111237261,1.0245172812113663,0.2705168966765409,0.005578410207728991,0.041720480841274166,0.0017744995224344595,0.17517628332918508
3000,0.07850314687254296,0.7541426552297826,0.04321928861450889,0.5149637595150949,1.0256022680964414,0.27104802060541533,0.005546839731618474,0.028914672907166435,0.001841018776010241,0.17461403650472285
