milliseconds,cyclin,dimer,dimer_p,p_dimer,p_dimer_p,cdc25_p,wee1_p,IE_p,UbE_star
0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,90.86793844011922,8.52214070298217,0.10849638116893165,0.4439308460539224,0.007531020972428133,3.3004705798070336e-05,3.801181887355544e-05,1.958503465926841e-05,4.285381957304001e-08
200,83.26492565581833,14.619544736926885,0.3781348159795447,1.5829371554295935,0.05460542611640323,0.00023061845247342074,0.00027190423864508894,0.00011702523593571965,4.541700219813203e-07
300,76.83719898365655,18.91581156420967,0.7439011514032595,3.1859540608349737,0.16745989702524508,0.0006814290983503514,0.0008225856349512861,0.00030176278903982893,1.563620263676991e-06
400,71.33230926137725,21.864726287406278,1.160086060526552,5.081932349844735,0.3615095082101465,0.00141751888189311,0.0017518701071498638,0.0005584981172226254,3.449668720258179e-06
500,66.56527530737398,23.802387783610765,1.5949709019315828,7.143844188544919,0.6443756702885244,0.0024356811821313346,0.0030810644969462954,0.0008686219066783194,6.027582675969878e-06
600,62.397457454878015,24.98107231494575,2.027050482726695,9.277505489404271,1.0181049056526787,0.003712174423313609,0.004804459393736553,0.0012159477992725657,9.154037049313225e-06
700,58.72290467374434,25.591998884173883,2.442292409374669,11.41355708634301,1.4808161069248276,0.005212714172668718,0.006899127933804082,0.0015874211409887473,1.2682274144593733e-05
800,55.45924802774863,25.781116227321466,2.832114580773884,13.501571705839078,2.027935532579091,0.006899017814670669,0.009332011925533215,0.0019726429668482136,1.6482576089813768e-05
900,52.54149356525275,25.660287784602264,3.1918815265620726,15.505653361873215,2.6531230111339634,0.00873288044057291,0.01206496354736274,0.002363318582534091,2.0446476279213494e-05
1000,49.9176701366595,25.3154301589812,3.5197747224530738,17.401084368725122,3.348968128695071,0.010678581173437165,0.01505827794432582,0.0027528566156443087,2.4485507008206852e-05
1100,47.54572193365075,24.812535265861907,3.8159426611503204,19.171740885079373,4.107509738758333,0.01270417141852031,0.01827309504947914,0.0031361005508758534,2.852864097609708e-05
1200,45.39124086797814,24.20221071695456,4.081860434405228,20.808076341539532,4.920620027422622,0.014782047125340864,0.021672968828608148,0.0035091459099666445,3.251996736826155e-05
1300,43.42582009510859,23.523083187130492,4.319858951231455,22.305562631811718,5.780277073783277,0.016889043319739314,0.02522478672812435,0.0038692041169176104,3.641685020306103e-05
1400,41.62579530877747,22.804461637477576,4.5327698084416985,23.663445292821496,6.678760157384819,0.01900629071131473,0.028899276274300417,0.004214485905089634,4.0188447181701555e-05
