milliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
0,1.325e-14,6.87e-15,0.0,1.32e-13,0.0
100,-9.952882017267278e-15,6.742632782702572e-15,5.10844708108289e-17,8.575323134643986e-14,1.3248476950221447e-15
200,-3.4704641376654643e-14,8.172009462456746e-15,1.0840936226946335e-16,4.592010908299106e-14,3.260845764549957e-15
300,-5.945640073604202e-14,9.601386142210921e-15,1.6573425372809783e-16,6.08698681954224e-15,5.196843834077769e-15
400,-7.597477139744515e-14,1.0964005522137491e-14,1.639616411485151e-16,-1.2254028455157803e-14,5.7686030645616475e-15
500,-9.069710180623813e-14,1.2312062392987416e-14,1.4929743557182123e-16,-2.5906732430447514e-14,6.042765769607959e-15
600,-1.0541943221503112e-13,1.366011926383734e-14,1.3463322999512735e-16,-3.9559436405737276e-14,6.3169284746542724e-15
700,-1.2014176262382414e-13,1.500817613468727e-14,1.1996902441843346e-16,-5.321214038102704e-14,6.591091179700586e-15
800,-1.3486409303261715e-13,1.6356233005537194e-14,1.0530481884173958e-16,-6.686484435631679e-14,6.865253884746899e-15
900,-1.4958642344141013e-13,1.770428987638712e-14,9.06406132650457e-17,-8.051754833160652e-14,7.139416589793212e-15
1000,-1.6430875385020313e-13,1.9052346747237046e-14,7.597640768835183e-17,-9.417025230689627e-14,7.413579294839525e-15
1100,-1.7903108425899614e-13,2.040040361808697e-14,6.131220211165794e-17,-1.0782295628218602e-13,7.687741999885839e-15
1200,-1.9375341466778914e-13,2.17484604889369e-14,4.6647996534964047e-17,-1.2147566025747577e-13,7.961904704932152e-15
1300,-2.0847574507658215e-13,2.3096517359786827e-14,3.198379095827015e-17,-1.3512836423276553e-13,8.236067409978465e-15
1400,-2.1589050066933915e-13,2.4314615244251826e-14,3.408397185847975e-17,-1.4183318967456174e-13,1.0176338778698929e-14
1500,-2.1652082966312434e-13,2.541205788724458e-14,5.1748379248681477e-17,-1.4208753419543473e-13,1.3663442334454053e-14
1600,-2.1715115865690954e-13,2.6509500530237336e-14,6.94127866388832e-17,-1.4234187871630772e-13,1.715054589020917e-14
1700,-2.1778148765069473e-13,2.760694317323009e-14,8.707719402908488e-17,-1.4259622323718068e-13,2.0637649445964295e-14
1800,-2.1841181664447992e-13,2.870438581622285e-14,1.0474160141928665e-16,-1.4285056775805368e-13,2.412475300171942e-14
1900,-2.190421456382651e-13,2.98018284592156e-14,1.2240600880948838e-16,-1.4310491227892667e-13,2.7611856557474536e-14
2000,-2.1967247463205028e-13,3.089927110220835e-14,1.4007041619969005e-16,-1.4335925679979966e-13,3.1098960113229654e-14
2100,-2.2030280362583548e-13,3.199671374520111e-14,1.577348235898918e-16,-1.4361360132067265e-13,3.458606366898478e-14
2200,-2.2093313261962067e-13,3.309415638819386e-14,1.7539923098009355e-16,-1.4386794584154564e-13,3.80731672247399e-14
2300,-2.2156346161340586e-13,3.419159903118662e-14,1.930636383702953e-16,-1.4412229036241863e-13,4.156027078049503e-14
2400,-2.2219379060719106e-13,3.528904167417937e-14,2.1072804576049702e-16,-1.4437663488329162e-13,4.5047374336250157e-14
2500,-2.2282411960097625e-13,3.638648431717213e-14,2.2839245315069877e-16,-1.4463097940416458e-13,4.853447789200528e-14
2600,-2.2345444859476144e-13,3.748392696016488e-14,2.4605686054090045e-16,-1.4488532392503758e-13,5.2021581447760386e-14
2700,-2.2408477758854664e-13,3.858136960315763e-14,2.6372126793110217e-16,-1.4513966844591057e-13,5.5508685003515516e-14
2800,-2.2471510658233183e-13,3.967881224615039e-14,2.813856753213039e-16,-1.4539401296678356e-13,5.899578855927064e-14
