miliseconds,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
0,-1.0907111996191412e-35,0.0117590568706314,-1.585284563583468e-34,0.0379799887571665,9.071538730425305e-36,0.00394239990123767,3.762806774300808e-35,0.00200010981212238,9.002872254184549e-37,5.827256018314962e-40,1.5821833083706e-05,1.4027582096681775e-36,2.30017456622937e-08,1.3524819675704801e-05,9.353347240589149e-06,3.3311210465159e-08,-9.140394019084792e-52,-2.7917533370037417e-36,-7.712651984757902e-37,0.000286841656341217,0.0030378361484431904,3.93693336257109e-34
100,2.9230929826720664e-35,0.0117590568706314,4.977861657525819e-35,0.0379799887571665,-1.0357023725650423e-35,0.0039423999012376705,-1.1200561821431331e-35,0.00200010981212238,2.121504921674691e-35,1.0057494575767707e-39,1.582183308370626e-05,1.7784230574827117e-35,2.3001745662293693e-08,1.3524819675705141e-05,9.353347240588554e-06,3.331121046515881e-08,-5.898252760299345e-51,6.874677769864507e-35,1.228148762362355e-36,0.000286841656341217,0.0030378361484431904,-1.1027494217998599e-33
200,9.442687875904064e-35,0.011759056870631399,-5.057588361710088e-34,0.0379799887571665,-8.243352824307731e-35,0.003942399901237671,1.5958627153474134e-34,0.00200010981212238,6.241751527775983e-35,2.6279381522221194e-39,1.5821833083706274e-05,4.774771901998895e-35,2.3001745662293693e-08,1.3524819675705182e-05,9.35334724058849e-06,3.331121046515888e-08,-1.3481259441577215e-50,1.4379627677882276e-34,-3.0042392443398534e-37,0.000286841656341217,0.0030378361484431904,-3.2084601693892226e-33
300,1.0141992977380392e-34,0.011759056870631399,-2.9098734874673976e-34,0.0379799887571665,-1.7536434473300445e-34,0.003942399901237671,2.2898235933868206e-34,0.00200010981212238,9.46588946571803e-35,3.707057839229778e-39,1.582183308370629e-05,7.698093254860799e-35,2.3001745662293693e-08,1.3524819675705221e-05,9.353347240588434e-06,3.3311210465158936e-08,-2.116836898396668e-50,2.4942365359379703e-34,3.056771344292445e-36,0.000286841656341217,0.003037836148443191,-4.4434040410687796e-33
400,1.9495876281573967e-34,0.011759056870631399,-6.114371170849718e-34,0.0379799887571665,-2.456750255131301e-34,0.003942399901237671,2.7100648155956674e-34,0.0020001098121223797,1.2839540179625928e-34,3.901616157996672e-39,1.5821833083706305e-05,9.762345991976044e-35,2.30017456622937e-08,1.3524819675705253e-05,9.353347240588393e-06,3.331121046515899e-08,-2.8862578689722865e-50,3.2087549955768826e-34,4.2206159122686404e-36,0.000286841656341217,0.0030378361484431913,-6.1044145732109196e-33
500,2.0749633990626727e-34,0.011759056870631399,1.0465274496397015e-34,0.0379799887571665,-1.2790731075047598e-34,0.003942399901237671,3.3434355432600124e-34,0.0020001098121223797,1.369490645483173e-34,6.103645742437953e-39,1.5821833083706305e-05,9.576163704141395e-35,2.30017456622937e-08,1.3524819675705251e-05,9.353347240588393e-06,3.331121046515899e-08,-2.867398663153019e-50,3.2937354604850193e-34,6.641061409938403e-36,0.000286841656341217,0.0030378361484431917,-5.4421522643225735e-33
600,2.6313118829089973e-34,0.011759056870631399,6.9391613438074095e-34,0.0379799887571665,-5.210550957465298e-35,0.003942399901237671,5.639501614490299e-34,0.00200010981212238,1.508161435138637e-34,6.718413082459297e-39,1.58218330837063e-05,9.421398955494864e-35,2.30017456622937e-08,1.3524819675705253e-05,9.353347240588388e-06,3.331121046515899e-08,-2.891763198900452e-50,3.587549282272719e-34,5.845252780987979e-36,0.000286841656341217,0.0030378361484431917,-4.6440146773932536e-33
700,3.0730250304838203e-34,0.011759056870631399,1.2236296386564986e-33,0.0379799887571665,4.6922444198975754e-35,0.003942399901237671,6.225610686864446e-34,0.00200010981212238,1.5689881013287415e-34,6.966774636415976e-39,1.5821833083706305e-05,8.973701421073514e-35,2.30017456622937e-08,1.3524819675705258e-05,9.353347240588393e-06,3.331121046515899e-08,-2.911829337489875e-50,3.7959443032780026e-34,8.52309036440424e-36,0.000286841656341217,0.0030378361484431917,-3.591987209380585e-33
800,3.3236196260468093e-34,0.011759056870631399,1.5867091418911608e-33,0.0379799887571665,5.434331197101791e-35,0.003942399901237671,7.280964162905762e-34,0.00200010981212238,1.6072002320073759e-34,8.969311583819921e-39,1.5821833083706308e-05,8.875250919724211e-35,2.30017456622937e-08,1.3524819675705251e-05,9.353347240588392e-06,3.331121046515899e-08,-3.102825040104458e-50,3.973304740757387e-34,1.3123868344912216e-35,0.000286841656341217,0.0030378361484431917,-3.153385615502623e-33
900,3.5843921713759974e-34,0.011759056870631399,1.6079123388574183e-33,0.0379799887571665,1.7608707453208062e-34,0.003942399901237671,7.756020784528158e-34,0.00200010981212238,1.7469120571604262e-34,9.055517850154428e-39,1.5821833083706305e-05,8.320059685328737e-35,2.30017456622937e-08,1.3524819675705251e-05,9.353347240588393e-06,3.331121046515899e-08,-3.1497663061557668e-50,4.021693737199631e-34,1.3242137674132858e-35,0.000286841656341217,0.003037836148443192,-2.5558140085406515e-33
1000,4.12721931432869e-34,0.011759056870631399,2.0955448535332582e-33,0.0379799887571665,2.7682450585448504e-34,0.003942399901237671,8.792968501305246e-34,0.00200010981212238,1.7487573694370699e-34,1.086560453400128e-38,1.5821833083706305e-05,8.134592268414186e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588383e-06,3.331121046515899e-08,-3.1226170405230287e-50,4.258390128565703e-34,1.6095563299244533e-35,0.000286841656341217,0.003037836148443192,-1.7519268855854178e-33
1100,4.546734119127022e-34,0.011759056870631399,3.116108712487195e-33,0.0379799887571665,3.832952431847945e-34,0.003942399901237672,1.0458802907175014e-33,0.00200010981212238,1.9087964397691908e-34,1.1905250491771154e-38,1.58218330837063e-05,7.810015603922086e-35,2.30017456622937e-08,1.3524819675705253e-05,9.353347240588388e-06,3.331121046515899e-08,-3.0663695636670015e-50,4.460614495909159e-34,1.7945490880165286e-35,0.000286841656341217,0.003037836148443192,-9.213591637785598e-34
1200,4.960566065753941e-34,0.011759056870631399,3.56518819452962e-33,0.0379799887571665,3.647555629360428e-34,0.003942399901237672,1.221969028120784e-33,0.00200010981212238,1.8937032139069372e-34,1.2337701787970542e-38,1.5821833083706305e-05,7.624465679671082e-35,2.30017456622937e-08,1.3524819675705253e-05,9.353347240588392e-06,3.331121046515899e-08,-3.3054184032999393e-50,4.503237923986855e-34,1.9268341516901975e-35,0.000286841656341217,0.003037836148443192,-3.021252414673773e-34
1300,5.5324682984115776e-34,0.011759056870631399,3.881790625811743e-33,0.0379799887571665,4.947773490861404e-34,0.003942399901237672,1.3318106820000137e-33,0.00200010981212238,2.071511606571072e-34,1.3782290195591716e-38,1.5821833083706305e-05,7.365455462388727e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588386e-06,3.331121046515899e-08,-3.311048219579728e-50,4.875463385114262e-34,2.2521103634954501e-35,0.000286841656341217,0.003037836148443192,-9.433230181874758e-35
