milliseconds,FeDuo,FeDuo_0,FeRBC,FeRBC_0,FeSpleen,FeSpleen_0,FeLiver,FeLiver_0,Fe2Tf,NTBI,Tf,Fe1Tf,Hepcidin,Fe2Tf_0,Fe1Tf_0,NTBI_0,Fe2Tf_,FeRest,FeOutside,FeRest_0,FeBM,FeBM_0
0,1.3728047753741308e-35,0.0117590568706314,4.860613232091022e-35,0.0379799887571665,-5.882490299862613e-36,0.00394239990123767,1.707375589206272e-35,0.00200010981212238,-5.5080787306258387e-36,-2.5053975860091816e-40,1.5821833083705997e-05,1.3444411495975867e-36,2.30017456622937e-08,1.3524819675704797e-05,9.353347240589154e-06,3.3311210465159e-08,2.6254947203707006e-52,1.1222241225773636e-36,1.5382314872102852e-36,0.000286841656341217,0.0030378361484431904,2.4742693580533817e-34
100,3.9315343850668074e-35,0.0117590568706314,-5.466715619351927e-35,0.0379799887571665,-4.0810066748896895e-35,0.0039423999012376705,4.183208520998285e-36,0.00200010981212238,2.058499670230318e-35,1.1892713355484072e-39,1.582183308370626e-05,1.8263279843379213e-35,2.3001745662293693e-08,1.3524819675705141e-05,9.353347240588549e-06,3.331121046515881e-08,-4.3585356548229913e-51,5.717751322389539e-35,9.998803913094982e-37,0.000286841656341217,0.0030378361484431904,-1.3668200766903934e-33
200,7.895392235114809e-35,0.011759056870631399,-5.797440417933069e-34,0.0379799887571665,-1.2313082682958696e-34,0.003942399901237671,1.4168284359412437e-34,0.00200010981212238,6.005175813566567e-35,2.1721600458988473e-39,1.5821833083706274e-05,4.674288187832987e-35,2.3001745662293693e-08,1.3524819675705182e-05,9.353347240588488e-06,3.331121046515888e-08,-1.349113937772974e-50,1.5122122366358091e-34,2.4499403723481875e-36,0.000286841656341217,0.0030378361484431904,-2.9533278041287235e-33
300,1.226014852454292e-34,0.011759056870631399,-7.437341485761307e-34,0.0379799887571665,-1.9535175560013663e-34,0.003942399901237671,1.3592242996564122e-34,0.00200010981212238,9.501182408779475e-35,3.558626342671536e-39,1.5821833083706295e-05,7.596909070026901e-35,2.3001745662293693e-08,1.3524819675705224e-05,9.35334724058843e-06,3.3311210465158936e-08,-2.2752714033093887e-50,2.319308115397697e-34,1.7664329013286756e-36,0.000286841656341217,0.003037836148443191,-4.9511977723006206e-33
400,1.6670296775603244e-34,0.011759056870631399,-5.675134663401737e-34,0.0379799887571665,-1.810366304444663e-34,0.003942399901237671,2.7510969029123013e-34,0.0020001098121223797,1.318781822555184e-34,4.844448645814233e-39,1.5821833083706308e-05,9.819055607055776e-35,2.30017456622937e-08,1.352481967570525e-05,9.353347240588388e-06,3.331121046515899e-08,-2.902406783988513e-50,3.1615654987269653e-34,4.235897360467072e-36,0.000286841656341217,0.0030378361484431913,-5.714787801172754e-33
500,2.080152556633111e-34,0.011759056870631399,5.792146013402074e-35,0.0379799887571665,-1.2100038173994109e-34,0.003942399901237671,4.24842270421277e-34,0.0020001098121223797,1.3873403198109622e-34,5.641563254137298e-39,1.5821833083706305e-05,9.518773075512299e-35,2.30017456622937e-08,1.352481967570525e-05,9.353347240588385e-06,3.331121046515899e-08,-2.966161337703642e-50,3.3327455973376805e-34,4.061939030847978e-36,0.000286841656341217,0.0030378361484431917,-5.258369271733282e-33
600,2.3085925673481545e-34,0.011759056870631399,2.3777394623956747e-34,0.0379799887571665,-4.201402132829559e-35,0.003942399901237671,4.668363942805525e-34,0.00200010981212238,1.5071147783230361e-34,6.796010710759002e-39,1.5821833083706305e-05,9.263377947649577e-35,2.30017456622937e-08,1.3524819675705253e-05,9.35334724058839e-06,3.331121046515899e-08,-2.999925577440433e-50,3.4065247817829833e-34,8.648481986625322e-36,0.000286841656341217,0.0030378361484431917,-4.367032315328766e-33
700,2.815700836387704e-34,0.011759056870631399,1.1822449864093691e-33,0.0379799887571665,-1.2852645907214965e-35,0.003942399901237671,5.53259189211724e-34,0.00200010981212238,1.5781731998947898e-34,7.065492125551025e-39,1.5821833083706305e-05,9.023071740289754e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588388e-06,3.331121046515899e-08,-3.06964867152815e-50,3.7795318955363245e-34,8.914171442062054e-36,0.000286841656341217,0.0030378361484431917,-3.526349847623153e-33
800,3.672258473614754e-34,0.011759056870631399,1.1525025665329118e-33,0.0379799887571665,1.2326215998924004e-34,0.003942399901237671,7.64624862682711e-34,0.00200010981212238,1.5751863865298716e-34,8.915345121258886e-39,1.58218330837063e-05,8.88594791442672e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588386e-06,3.331121046515899e-08,-2.949068952000254e-50,3.878861665881145e-34,1.2951489103808624e-35,0.000286841656341217,0.0030378361484431917,-3.5457000167054965e-33
900,4.066499313960361e-34,0.011759056870631399,1.6558896951750306e-33,0.0379799887571665,1.7607996440032977e-34,0.003942399901237671,9.031895558675458e-34,0.00200010981212238,1.671985841611125e-34,8.944516593683151e-39,1.5821833083706305e-05,8.543120806274414e-35,2.30017456622937e-08,1.3524819675705255e-05,9.353347240588393e-06,3.331121046515899e-08,-3.0019620260028705e-50,4.037044977196837e-34,1.3557682860373002e-35,0.000286841656341217,0.003037836148443192,-2.332156022462271e-33
