biomodel_num,median_err,max_err,min_err,method,tot_time,avg_time,cnt,num_species,num_parameter,num_reaction,status,noise_mag
1,0.039521620649697324,0.9942240665094281,-0.011505359061274983,differential_evolution,0.326448917388916,0.0003261227945943217,1001.0,12.0,35.0,17.0,Success!,0.1
3,-0.17930923820252093,-0.9769868735569075,-0.14411218292321307,differential_evolution,0.10205650329589844,0.0002796068583449272,365.0,3.0,5.0,7.0,Success!,0.1
4,-0.03866863736927253,0.19446975227983831,-0.03866863736927253,differential_evolution,0.15680742263793945,0.0003136148452758789,500.0,5.0,5.0,7.0,Success!,0.1
7,0.09748597626746441,-0.9999891648790418,-0.0091833613008943,differential_evolution,0.6394269466400146,0.0006387881584815331,1001.0,17.0,49.0,25.0,Success!,0.1
8,-0.010172925675288476,-0.028963984995181116,-0.004698879740532221,differential_evolution,0.2411329746246338,0.0002408920825420917,1001.0,5.0,5.0,13.0,Success!,0.1
9,-0.21446245145470536,-0.21446245145470536,-0.21446245145470536,differential_evolution,0.012342691421508789,0.000374020952166933,33.0,26.0,1.0,20.0,Success!,0.1
12,-0.012357508663244051,-0.9999728200936494,-0.005556548539647213,differential_evolution,0.37613558769226074,0.00037575982786439637,1001.0,6.0,16.0,12.0,Success!,0.1
13,0.00017006714547019574,0.00017006714547019574,0.00017006714547019574,differential_evolution,0.3296380043029785,0.0011366827734585465,290.0,18.0,1.0,21.0,Success!,0.1
18,-0.0024288328720283798,-0.0024288328720283798,-0.0024288328720283798,differential_evolution,0.0823049545288086,0.0005309997066374748,155.0,20.0,1.0,47.0,Success!,0.1
19,0.24253348940999964,0.9906681186947468,0.0010057361675895745,differential_evolution,15.76231837272644,0.015746571800925514,1001.0,93.0,90.0,125.0,Success!,0.1
21,0.0006412634060161812,0.002039105169484774,-0.0007565783574524117,differential_evolution,0.21240019798278809,0.0003779362953430393,562.0,10.0,4.0,24.0,Success!,0.1
25,0.6569966342774134,0.9973356408799315,0.061132303649611655,differential_evolution,0.04267096519470215,0.0001706838607788086,250.0,3.0,10.0,4.0,Success!,0.1
26,0.4483374181134505,0.9999911778796398,-0.0032193107693927053,differential_evolution,0.40006279945373535,0.00039966313631741794,1001.0,11.0,16.0,10.0,Success!,0.1
27,0.035429035465532124,0.9962617228697955,0.014103617736505808,differential_evolution,0.22739863395690918,0.00022717146249441475,1001.0,5.0,9.0,4.0,Success!,0.1
28,0.04518091050014372,-0.9999899962475147,0.004113873051361483,differential_evolution,0.5792388916015625,0.0005786602313701923,1001.0,16.0,27.0,17.0,Success!,0.1
29,0.23217749647313418,-0.9999999975312137,0.007324124286375736,differential_evolution,0.24039435386657715,0.00024015419966691025,1001.0,6.0,15.0,7.0,Success!,0.1
30,0.5380361162699945,-0.999999176871418,0.0012938423905757153,differential_evolution,0.6071410179138184,0.000606534483430388,1001.0,18.0,32.0,20.0,Success!,0.1
31,0.26457691441675013,0.9999593006333659,-0.01237034557306862,differential_evolution,0.24113774299621582,0.00024089684615006575,1001.0,6.0,9.0,4.0,Success!,0.1
33,0.33159245668588766,0.9906184056340203,-0.014782257691036112,differential_evolution,1.7904133796691895,0.0017886247549142751,1001.0,32.0,48.0,26.0,Success!,0.1
34,0.08916322319583506,0.9999846376422511,-0.002314855167271275,differential_evolution,0.7964234352111816,0.0007956278074037779,1001.0,9.0,45.0,22.0,Success!,0.1
36,-0.9490191870443985,-0.9490191870443985,-0.9490191870443985,differential_evolution,0.006319284439086914,0.0001914934678511186,33.0,2.0,1.0,5.0,Success!,0.1
40,0.07608682906625404,0.07608682906625404,0.07608682906625404,differential_evolution,0.00885009765625,0.0002681847774621212,33.0,3.0,1.0,5.0,Success!,0.1
42,0.010920190254596267,0.9997820133166233,-0.0025621169378365932,differential_evolution,0.5414609909057617,0.0005409200708349268,1001.0,15.0,25.0,25.0,Success!,0.1
43,-0.7120524689042738,-0.7571006781883289,-0.017989812428226042,differential_evolution,1.0698590278625488,0.0010687902376249239,1001.0,5.0,3.0,7.0,Success!,0.1
44,1.3865826885029535e-05,1.3865826885029535e-05,1.3865826885029535e-05,differential_evolution,0.36551499366760254,0.0009183793810743782,398.0,4.0,1.0,8.0,Success!,0.1
45,-0.00766118734161248,-0.00766118734161248,-0.00766118734161248,differential_evolution,0.08464813232421875,0.0003728992613401707,227.0,4.0,1.0,8.0,Success!,0.1
47,-0.3109343678953848,-0.8173296399796074,0.02034437737193809,differential_evolution,0.2504692077636719,0.000250218988774897,1001.0,2.0,13.0,3.0,Success!,0.1
55,0.21129343119617297,-0.999999999889376,0.013396829331538492,differential_evolution,0.7583470344543457,0.0007575894450093364,1001.0,13.0,65.0,32.0,Success!,0.1
56,0.12449276734457616,0.9999682477584061,0.0003460594960987859,differential_evolution,2.0636863708496094,0.002061624746103506,1001.0,50.0,163.0,94.0,Success!,0.1
57,-0.04551462554754706,-0.9989947995378685,-0.04551462554754706,differential_evolution,0.3750176429748535,0.0003746429999748786,1001.0,6.0,27.0,5.0,Success!,0.1
58,0.44328970942089574,0.82473956965675,-0.012214883573335465,differential_evolution,0.27074241638183594,0.00027047194443739856,1001.0,4.0,16.0,11.0,Success!,0.1
59,0.18635831908983658,0.9999477511326313,0.0015390791959064706,differential_evolution,0.5367002487182617,0.0005361640846336281,1001.0,6.0,97.0,18.0,Success!,0.1
62,0.19373332840289997,0.7635819157071221,-0.17356595177728393,differential_evolution,0.22931432723999023,0.00022908524199799225,1001.0,3.0,8.0,5.0,Success!,0.1
63,-0.3637464957915818,-0.999969892471982,0.24797506340948916,differential_evolution,0.0716395378112793,0.0005685677604069786,126.0,5.0,6.0,8.0,Success!,0.1
64,-0.02782245993177432,0.9999999800412911,-0.02782245993177432,differential_evolution,2.893373966217041,0.0028904834827343066,1001.0,19.0,15.0,17.0,Success!,0.1
65,0.11051412260823576,0.9999999865660328,0.06616052469130779,differential_evolution,0.3333272933959961,0.0003329942990968992,1001.0,8.0,23.0,16.0,Success!,0.1
67,-0.17025510290863533,-0.9999190463616199,0.09316923460120462,differential_evolution,0.6457035541534424,0.0006450584956577846,1001.0,7.0,21.0,13.0,Success!,0.1
69,0.009924066129727084,0.9999999388142525,0.009924066129727084,differential_evolution,0.30294322967529297,0.00030264058908620675,1001.0,10.0,20.0,7.0,Success!,0.1
75,-0.472858980690695,0.9916825899767355,-0.08044061245037298,differential_evolution,0.4274001121520996,0.0004269731390130865,1001.0,10.0,24.0,8.0,Success!,0.1
77,-0.0032647580838516626,-0.0060732047070538794,-0.0004563114606494461,differential_evolution,0.03129768371582031,0.0003556554967706854,88.0,8.0,2.0,5.0,Success!,0.1
