milliseconds,VENUS
0,1.001889668023226
100,1.0002553947672945
200,0.9983461835278655
300,0.9944987589764562
400,0.9929823358454098
500,0.9898227605594316
600,0.9860532370299522
700,0.9844881589672503
800,0.9842028592918949
900,0.9832741032745882
1000,0.9758044350832443
1100,0.9770387297100259
1200,0.9714083453064105
1300,0.9700150588074474
1400,0.9704882239862301
1500,0.9658965632563661
1600,0.9625325137983003
1700,0.9619383759849545
1800,0.9619721170734097
1900,0.958710952908828
2000,0.9571086009846533
2100,0.9568950220065117
2200,0.9538184705880488
2300,0.9486953229338017
2400,0.9501571457250724
2500,0.9466961500211886
2600,0.9447343842796414
2700,0.9400394824978577
2800,0.9373099915392872
2900,0.9411154863002453
3000,0.9342136765522072
3100,0.934843518720264
3200,0.9327610737116
3300,0.9320363842829752
3400,0.9248125659424205
3500,0.9256214263735735
3600,0.9237209148577006
3700,0.9218556969329494
3800,0.9180026151911255
3900,0.9184062231338309
4000,0.915033285700487
4100,0.9147595006642848
4200,0.9108985143843568
4300,0.9119840658188921
4400,0.9051648216111524
4500,0.906410298525155
4600,0.9042293554042552
4700,0.898605947438027
4800,0.8969633811179978
4900,0.897960100805872
5000,0.8944082172359415
