miliseconds,taRNA,mT7cr,mGFPcr,pT7,pGFP,ara,pT3,mT3cr
0,0.0024963159373017994,0.35694050989993975,0.1769915751788197,0.05202036074264652,6.341494976128688,6.289165675781121e-05,6.350062638445233e-05,0.005664214207556304
100,0.01994833940167491,0.35694050990007825,0.17699061806688307,0.05276599835039592,6.340738330961062,0.009908993293818981,6.444426219460883e-05,0.005661064982307841
200,0.027495124181881943,0.3569405099001657,0.17698991896859428,0.0520269857478961,6.337217199236486,0.009933717583021848,6.357315199466068e-05,0.005669144528134507
300,0.04667448116620288,0.3569405099003772,0.17699172612734113,0.05283961433115782,6.340974010711172,0.009860412560924096,6.572256839505467e-05,0.005662431845276568
400,0.05285663397821215,0.35694050990039317,0.17699116610341523,0.05244537080656285,6.3432121660220915,0.009917181931434687,6.594786443793472e-05,0.00566651883817474
500,0.06312984371089793,0.35694050990051174,0.17699112265605998,0.05314185241311558,6.3436774084943135,0.009891056962298648,6.518791563607235e-05,0.005667840278409693
600,0.08401799288320899,0.3569405099005778,0.1769910557319725,0.05239959685991443,6.3413751118421775,0.009773644576151493,6.569761929830116e-05,0.005661528812717469
700,0.08569110906509136,0.3569405099007816,0.17699026006190588,0.05304311328014704,6.347002237649539,0.009795481887687732,6.706611551391591e-05,0.005663765623631737
800,0.10041370875271198,0.35694050990087217,0.1769917829052537,0.05384983841687558,6.347019480471503,0.009785944330174521,6.70343207191675e-05,0.005668663703105775
900,0.1181554758780521,0.3569405099009495,0.1769905066449727,0.053982901628106074,6.344199145714565,0.00975742437660568,6.807214324745319e-05,0.005664770709051516
1000,0.12481185132158464,0.3569405099010016,0.1769915507906898,0.05344375122078355,6.351066957934852,0.009709996473087974,6.810383302573606e-05,0.005669193708398367
1100,0.14014044509914572,0.3569405099011377,0.17699113033983133,0.0544773203507251,6.350302209334302,0.009634554218192247,6.883697917641729e-05,0.0056680049664182474
1200,0.1413088865877673,0.3569405099012036,0.17699486050500518,0.05437938457432955,6.355234485476364,0.009575393439244418,6.879847099478934e-05,0.0056726405378731545
1300,0.14963590337482982,0.3569405099013494,0.17699647505702457,0.055426356953766395,6.357637712106175,0.009673446480556826,7.0119147858055e-05,0.005667320538468355
1400,0.1671325456231971,0.3569405099013892,0.17699707894801786,0.05525667360011497,6.3576602964989535,0.009542002653431584,7.147450401862547e-05,0.005672801476853316
1500,0.17071886356809496,0.35694050990147314,0.17699791722185967,0.05587153014777812,6.365111696042374,0.00949419464123036,7.242999949699802e-05,0.0056736571400959135
1600,0.18943485392130457,0.3569405099016184,0.17699762117765863,0.05611560246683753,6.361980776494767,0.00955771629372821,7.489113441656184e-05,0.005677216118480513
1700,0.19563620338220428,0.3569405099016984,0.1770005902067135,0.05641825343800249,6.369216415480492,0.009529900370198343,7.569781092415295e-05,0.005675973324468539
