milliseconds,c,cer,cAMP,h,inh,V,n
0,0.3,260.0,1.0,0.0,1.0,-60.0,0.0
100,0.29999130330261714,259.9999014827688,1.0,0.0018009424062319552,1.0,-59.889351441877366,9.49476801440546e-07
200,0.2999828132835508,259.9998029316078,1.0,0.0035947242175746507,1.0,-59.77837306760589,1.9143097113367123e-06
300,0.2999745318671371,259.999704347351,1.0,0.005381387275146629,1.0,-59.66706183851588,2.894950250447719e-06
400,0.2999664610022779,259.99960573084206,1.0,0.007160973781298612,1.0,-59.555414659038654,3.891857535117091e-06
500,0.2999586026706399,259.9995070829317,1.0,0.008933525139533445,1.0,-59.44342823411426,4.905513493329782e-06
600,0.2999509588506523,259.9994084044725,1.0,0.010699083408518939,1.0,-59.33109934510635,5.936392311858978e-06
700,0.2999435315772736,259.99930969633056,1.0,0.012457689633031229,1.0,-59.21842446498503,6.985004671165479e-06
800,0.29993632288625605,259.99921095937356,1.0,0.014209385203789223,1.0,-59.10540009648416,8.051858485289587e-06
900,0.29992933485488377,259.9991121944804,1.0,0.015954211117379553,1.0,-58.992022549370475,9.137485244133317e-06
1000,0.29992256960504715,259.99901340254314,1.0,0.017692208247037634,1.0,-58.87828795621526,1.0242440211523061e-05
1100,0.29991602924720023,259.9989145844506,1.0,0.019423417501502803,1.0,-58.764192495348375,1.1367272664166036e-05
1200,0.2999097159816319,259.998815741117,1.0,0.02114787941503332,1.0,-58.64973197463309,1.2512581284647174e-05
1300,0.2999036319774784,259.9987168734477,1.0,0.022865634658446612,1.0,-58.53490233091108,1.3678948082721116e-05
1400,0.29989777948604673,259.99861798237106,1.0,0.024576723572643084,1.0,-58.41969916312157,1.4867001128487273e-05
1500,0.2998921607659071,259.9985190688173,1.0,0.02628118648365356,1.0,-58.30411804155646,1.607737359561003e-05
1600,0.29988677810210906,259.998420133724,1.0,0.02797906361466531,1.0,-58.18815442790866,1.7310713727489336e-05
1700,0.2998816338615527,259.99832117805073,1.0,0.029670394908843562,1.0,-58.07180345168486,1.856771872059868e-05
1800,0.29987673036840407,259.9982222027456,1.0,0.03135522046297248,1.0,-57.95506041655199,1.984906061400925e-05
1900,0.2998720700612663,259.99812320878726,1.0,0.03303357999682712,1.0,-57.837920163210995,2.1155480583653873e-05
2000,0.2998676553548813,259.998024197148,1.0,0.034705513322678266,1.0,-57.720377630293136,2.2487706131476073e-05
2100,0.2998634887356691,259.997925168819,1.0,0.03637106003364824,1.0,-57.60242746815073,2.384650896894604e-05
2200,0.299859572730521,259.99782612480163,1.0,0.038030259628851495,1.0,-57.484064167394415,2.5232687459748878e-05
2300,0.29985590986622745,259.9977270660976,1.0,0.03968315160545473,1.0,-57.365282218814805,2.6647039788619357e-05
2400,0.2998525027801507,259.9976279937366,1.0,0.04132977519185819,1.0,-57.24607567560842,2.8090436442915994e-05
2500,0.29984935406611074,259.9975289087374,1.0,0.04297016973123238,1.0,-57.1264387642341,2.956372005156597e-05
2600,0.29984646643437746,259.997429812148,1.0,0.04460437430146775,1.0,-57.006365252177424,3.1067810633570306e-05
2700,0.2998438425933586,259.99733070501594,1.0,0.04623242800349939,1.0,-56.88584891627888,3.260362837767992e-05
2800,0.2998414853012691,259.99723158840095,1.0,0.047854369833120865,1.0,-56.7648833379577,3.4172127182222935e-05
2900,0.2998393974087592,259.99713246338575,1.0,0.0494702386318236,1.0,-56.643461740389306,3.577432677794063e-05
3000,0.2998375817235624,259.9970333310421,1.0,0.051080073319293574,1.0,-56.52157751379995,3.741121690274408e-05
3100,0.29983604120188845,259.99693419247814,1.0,0.05268391257662097,1.0,-56.39922347403252,3.908389400909657e-05
3200,0.2998347787611188,259.9968350487922,1.0,0.05428179515874151,1.0,-56.276392588423136,4.079342777250473e-05
3300,0.29983379742780025,259.996735901109,1.0,0.055873759662933356,1.0,-56.15307740399032,4.254096805276479e-05
3400,0.2998331002652186,259.9966367505615,1.0,0.05745984465819298,1.0,-56.02927032910864,4.432769433703713e-05
3500,0.2998326903537816,259.9965375982869,1.0,0.059040088689574194,1.0,-55.904963706318966,4.615479877976711e-05
3600,0.2998325709147788,259.996438445455,1.0,0.06061453016218718,1.0,-55.78014934297837,4.8023584092982176e-05
3700,0.29983274510701874,259.99633929322096,1.0,0.06218320755140467,1.0,-55.65481928490369,4.9935304728759305e-05
3800,0.2998332162570039,259.99624014277856,1.0,0.06374615918246514,1.0,-55.528964943263716,5.189134808253707e-05
3900,0.2998339876734852,259.9961409953172,1.0,0.06530342341042777,1.0,-55.402577797299585,5.3893090954010444e-05
4000,0.2998350627520076,259.9960418520462,1.0,0.06685503852307592,1.0,-55.27564899864428,5.5941981113766346e-05
4100,0.29983644498800915,259.99594271419676,1.0,0.06840104276380604,1.0,-55.14816932551288,5.8039553428165374e-05
4200,0.29983813784308105,259.9958435829928,1.0,0.06994147439541855,1.0,-55.02012968340057,6.018731358032593e-05
4300,0.29984014497119144,259.9957444597003,1.0,0.07147637160079942,1.0,-54.89152026119943,6.238693329123974e-05
4400,0.29984246996580377,259.9956453455717,1.0,0.0730057725967893,1.0,-54.76233147384717,6.46400345596784e-05
4500,0.2998451165856283,259.99554624189574,1.0,0.07452971554760196,1.0,-54.63255312208863,6.694838624598812e-05
4600,0.2998480886174167,259.99544714996665,1.0,0.07604823862882393,1.0,-54.50217490473588,6.931378678119219e-05
4700,0.29985138989329496,259.9953480710885,1.0,0.07756138000466578,1.0,-54.37118635227539,7.1738075665403e-05
4800,0.29985502442796574,259.99524900660373,1.0,0.07906917783866917,1.0,-54.239576323320144,7.422326809743847e-05
4900,0.2998589961459956,259.9951499578358,1.0,0.08057167030177338,1.0,-54.1073340090747,7.677129432804261e-05
5000,0.2998633092144002,259.9950509261588,1.0,0.08206889557669053,1.0,-53.974447710178836,7.938432142791973e-05
