milliseconds,E,T
0,318734.7938045234,5090143.292636841
100,319699.62486503803,4999289.8105662465
200,322319.5490954006,5224000.293322221
300,323494.10139233933,5069880.852869965
400,322135.0960273367,5376322.15540753
500,322969.33314555115,5519240.5687597245
600,325756.8315863455,5549817.826090293
700,324894.9981237977,5405532.651910455
800,325189.9341203749,5513513.27849216
900,327113.8670878668,5792704.123079476
1000,326659.52756369504,5832397.665960763
1100,329528.08750966087,5885807.108997357
1200,328945.24034504476,5936535.300939335
1300,328747.2108632256,5911801.880911669
1400,329618.42454581417,6068237.446491817
1500,331385.1354204915,6079838.716575385
1600,332245.7795725385,6147609.267134388
1700,332119.2849078604,6310482.705170923
1800,333648.5680185965,6510744.1017632345
1900,336138.73361610045,6477067.23215639
2000,334687.2801956836,6621809.040827065
2100,336941.8526262497,6807710.672246977
2200,336787.63460033166,6831750.819689443
2300,339851.31016622577,6967681.186431742
2400,340307.7778712231,7023593.635166197
2500,339154.0543798912,7223451.438309551
2600,342626.34028319176,7226510.612047074
2700,343198.1710329312,7362253.335401681
2800,343119.2812296577,7496119.50335716
2900,343690.1560787063,7530430.494647334
3000,346202.56848252926,7722173.492209729
3100,347204.870484592,7697468.502893814
3200,346134.2600242998,7757334.069992367
3300,349280.1712845,8008624.011749977
3400,349335.17065224785,8142431.670757683
3500,351170.25092489657,8213352.9858359415
3600,351682.1991149341,8405495.16475978
3700,352148.29649476893,8478657.61452113
3800,354283.72675643524,8664626.454985896
3900,355345.5122087248,8621893.12553531
4000,354456.9405896813,8853812.414033923
4100,355219.04425679304,9013286.6345059
4200,357218.9292649132,8984807.180725697
4300,359436.32966329256,9163637.643455204
4400,360636.57395010104,9125657.671170594
4500,360843.34068957844,9534120.29171787
4600,360692.7399583265,9554859.480156653
4700,362170.640896876,9511324.226958495
4800,364706.94832332357,9747300.264154697
4900,366175.9872741366,9950353.847695261
5000,366081.17435776646,9916201.592271892
