milliseconds,E,T
0,319465.8920006161,5081159.67469911
100,320646.7958808336,5096634.015008794
200,322674.3460637063,5083827.887677768
300,321354.8486040921,5368560.02369306
400,323353.3961447534,5432610.67013418
500,323682.8202676076,5322139.674556755
600,325405.2789338671,5355469.0802821815
700,326277.9334814724,5400178.366451594
800,325336.9062263825,5726019.400798184
900,326152.12593696255,5592439.735471658
1000,326754.8945954812,5665433.482440724
1100,327598.097639264,5706062.983912562
1200,328083.2091871691,5870664.147660765
1300,328631.26366030547,6107203.592868864
1400,329578.03224764176,6200834.395404777
1500,332772.72400028195,6206296.550723085
1600,332300.1764011044,6156445.8495048
1700,332411.8362985082,6343684.687751206
1800,332934.37982877996,6332867.430076808
1900,335808.25892782543,6674156.850211116
2000,336373.9740727807,6661942.838880841
2100,336321.7883516703,6861493.195251375
2200,336436.430930253,6723960.6750257835
2300,338024.11535353295,6947370.896293859
2400,340216.95697849686,7086810.65622906
2500,339945.62691213196,7102784.8863033885
2600,341866.91066486854,7118068.575766146
2700,341414.2209584674,7333312.125062487
2800,343745.0200249553,7327298.936856457
2900,345126.808849934,7423892.000284675
3000,344694.68299446005,7720780.355877015
3100,346596.0482790815,7804461.723540848
3200,347087.86034212663,7864742.293618834
3300,347271.36805520544,7919117.819321433
3400,350341.23865979223,8081870.333026888
3500,349605.05834619794,8216383.708099396
3600,351437.66166395886,8380572.240469291
3700,352672.1789289536,8414726.03149275
3800,352299.9077602591,8530215.294906791
3900,354849.37027739163,8528339.072378833
4000,354343.09987986373,8822723.793446947
4100,356989.3951739041,8875441.784415435
4200,358349.04790534044,8890884.535245491
4300,357987.63045223965,9144372.659414303
4400,359703.1477040231,9282579.569236888
4500,360867.76203605934,9342124.841981607
4600,361265.3035304585,9595841.704305591
4700,364291.11263876583,9643724.289281804
4800,363727.1993944661,9839756.763540031
4900,364565.6691602387,9775496.768498112
5000,366080.8102295212,10195061.953723317
