milliseconds,E,T
0,318980.17121061456,5016129.5141903935
100,320138.3395062519,5103303.909745929
200,321151.7492580486,5050348.009223462
300,322443.8263858964,5320548.924216682
400,321980.30882650625,5380943.09708209
500,324962.16693681874,5503516.462547687
600,324248.6973771297,5347959.3709495105
700,324034.4288800936,5648598.340737994
800,324996.8891213381,5547631.8008784875
900,327934.69261534384,5784488.994204891
1000,328124.07241259626,5716741.516277036
1100,327488.1079193321,5795192.89411168
1200,329711.8375888231,6023047.901315563
1300,330483.8286672392,5931226.575866001
1400,329813.28988542233,6068592.288039251
1500,331885.2506949527,6315563.879084964
1600,331830.20583829965,6424861.657684435
1700,334103.3054449153,6375858.717014854
1800,334007.70138489787,6341342.762517045
1900,334419.33350378124,6672707.814676825
2000,337073.57024092396,6790130.714097775
2100,335457.03953413706,6672175.398596775
2200,338368.91072667204,6960931.423611242
2300,338690.08940460574,7000027.49270576
2400,339247.58389899635,7001841.952430548
2500,341281.07752856065,7044172.789224636
2600,341041.35388336156,7352610.072195042
2700,341281.54756614304,7322414.547292917
2800,343455.28347940487,7522150.940659241
2900,343073.5732814313,7440591.276825366
3000,345336.19492141664,7578333.0657950435
3100,344702.65186777676,7722608.010945047
3200,347764.0280988905,7798294.210742211
3300,348480.47496697487,8021808.105315221
3400,350036.24895247485,8107734.778811143
3500,349571.16759732884,8178794.510059999
3600,350594.61248434446,8220738.345693287
3700,351413.31933097483,8309183.090554107
3800,353092.4244673087,8558217.927472232
3900,354103.4776000317,8789819.60253459
4000,354605.0910218528,8771806.94709331
4100,355862.40639601205,8753230.06059667
4200,358508.24662497896,8953045.891846795
4300,358102.9869912005,9143317.633792942
4400,359536.16188643326,9369227.731129665
4500,361428.6835066048,9488987.047773588
4600,361325.2329827943,9470967.808072118
4700,361633.2448762558,9681471.925240928
4800,364870.3463932482,9697024.369063508
4900,366372.07759668905,9953239.676465653
5000,366545.69505660696,10141319.249859998
