milliseconds,E,T
0,320754.91316422215,4850178.300329621
100,320567.1917548381,5099589.66963578
200,320280.01604066,5143199.67777565
300,321210.3475933293,5355940.816766282
400,323916.67890288733,5267885.89741281
500,324304.314153525,5400081.852330513
600,325628.73460899096,5337933.932487293
700,324232.66172096663,5569647.1867903005
800,327176.93965509284,5613745.820854501
900,327713.54512436275,5576491.805363052
1000,326833.8803914018,5681013.169814757
1100,329112.0519632811,5958360.542957343
1200,330017.74124588625,6053079.025776505
1300,329884.09257418656,6108325.820361096
1400,331042.56164389395,5996434.5583305275
1500,332455.7949975674,6302840.52953684
1600,332656.7384852602,6180112.566721296
1700,332827.49149737495,6269931.267586406
1800,333319.1800888754,6420441.887237967
1900,336043.521252714,6656251.169578196
2000,336131.4254623362,6681340.620969647
2100,335885.2339670392,6640499.491019533
2200,337753.7195369855,6764268.458747324
2300,337994.46097954304,6787422.746847925
2400,339338.90978400875,6892599.744938253
2500,341234.8625579033,7129724.396496701
2600,339929.88058240287,7241055.888381971
2700,343035.1186080669,7241827.76745916
2800,344273.3726526632,7352747.700321998
2900,344840.8574436959,7571919.593719556
3000,344913.5761802391,7556557.973446101
3100,345019.8542602525,7778167.696227367
3200,345661.632680795,7974906.929145618
3300,348122.74276471976,8027318.963822394
3400,350169.9812302271,7959515.132735128
3500,350154.37113920774,8308333.70700317
3600,351671.8149969058,8318496.183026992
3700,351032.69421164185,8305955.505081453
3800,352480.8170011443,8455307.8294967
3900,353549.3263405776,8732227.00202599
4000,355480.04410655674,8796832.288599877
4100,355594.1280106912,8846547.707500307
4200,357608.8035759584,8885578.834679114
4300,359235.1586841568,9090815.383572144
4400,359427.7877445959,9119209.023812765
4500,360325.52687421825,9378525.888634503
4600,362373.99475542724,9583535.675851628
4700,363955.19683879014,9680578.679840175
4800,363501.1856320713,9658601.351934554
4900,365082.57624470576,9816163.477101607
5000,366280.73431633285,10076324.437414989
